ticker,filename,size_bytes,source,file_type,date_added
ABL,ABL.csv,79208,PSX (via psxdata API pull),csv,2026-07-06
ABOT,ABOT.csv,84371,PSX (via psxdata API pull),csv,2026-07-06
AGP,AGP.csv,83969,PSX (via psxdata API pull),csv,2026-07-06
AHCL,AHCL.csv,73860,PSX (via psxdata API pull),csv,2026-07-06
AICL,AICL.csv,80522,PSX (via psxdata API pull),csv,2026-07-06
AIRLINK,AIRLINK.csv,62289,PSX (via psxdata API pull),csv,2026-07-06
AKBL,AKBL.csv,82267,PSX (via psxdata API pull),csv,2026-07-06
APL,APL.csv,85648,PSX (via psxdata API pull),csv,2026-07-06
ATRL,ATRL.csv,88161,PSX (via psxdata API pull),csv,2026-07-06
BAFL,BAFL.csv,83335,PSX (via psxdata API pull),csv,2026-07-06
BAHL,BAHL.csv,83413,PSX (via psxdata API pull),csv,2026-07-06
BNWM,BNWM.csv,64993,PSX (via psxdata API pull),csv,2026-07-06
BOP,BOP.csv,80194,PSX (via psxdata API pull),csv,2026-07-06
BWCL,BWCL.csv,84344,PSX (via psxdata API pull),csv,2026-07-06
CHCC,CHCC.csv,86889,PSX (via psxdata API pull),csv,2026-07-06
CNERGY,CNERGY.csv,79442,PSX (via psxdata API pull),csv,2026-07-06
COLG,COLG.csv,79031,PSX (via psxdata API pull),csv,2026-07-06
CPHL,CPHL.csv,63238,PSX (via psxdata API pull),csv,2026-07-06
DCR,DCR.csv,81803,PSX (via psxdata API pull),csv,2026-07-06
DGKC,DGKC.csv,85742,PSX (via psxdata API pull),csv,2026-07-06
EFERT,EFERT.csv,85205,PSX (via psxdata API pull),csv,2026-07-06
ENGRO,ENGRO.csv,67513,PSX (via psxdata API pull),csv,2026-07-06
ENGROH,ENGROH.csv,84126,PSX (via psxdata API pull),csv,2026-07-06
FABL,FABL.csv,82681,PSX (via psxdata API pull),csv,2026-07-06
FATIMA,FATIMA.csv,82120,PSX (via psxdata API pull),csv,2026-07-06
FCCL,FCCL.csv,84106,PSX (via psxdata API pull),csv,2026-07-06
FFC,FFC.csv,87945,PSX (via psxdata API pull),csv,2026-07-06
FFL,FFL.csv,81886,PSX (via psxdata API pull),csv,2026-07-06
FHAM,FHAM.csv,72335,PSX (via psxdata API pull),csv,2026-07-06
GADT,GADT.csv,70204,PSX (via psxdata API pull),csv,2026-07-06
GAL,GAL.csv,84660,PSX (via psxdata API pull),csv,2026-07-06
GHGL,GHGL.csv,81132,PSX (via psxdata API pull),csv,2026-07-06
GHNI,GHNI.csv,86983,PSX (via psxdata API pull),csv,2026-07-06
GLAXO,GLAXO.csv,84773,PSX (via psxdata API pull),csv,2026-07-06
HALEON,HALEON.csv,43963,PSX (via psxdata API pull),csv,2026-07-06
HBL,HBL.csv,87515,PSX (via psxdata API pull),csv,2026-07-06
HGFA,HGFA.csv,65665,PSX (via psxdata API pull),csv,2026-07-06
HINOON,HINOON.csv,84536,PSX (via psxdata API pull),csv,2026-07-06
HMB,HMB.csv,80253,PSX (via psxdata API pull),csv,2026-07-06
HUBC,HUBC.csv,85788,PSX (via psxdata API pull),csv,2026-07-06
HUMNL,HUMNL.csv,80083,PSX (via psxdata API pull),csv,2026-07-06
IBFL,IBFL.csv,50713,PSX (via psxdata API pull),csv,2026-07-06
ILP,ILP.csv,81623,PSX (via psxdata API pull),csv,2026-07-06
INDU,INDU.csv,89155,PSX (via psxdata API pull),csv,2026-07-06
INIL,INIL.csv,86018,PSX (via psxdata API pull),csv,2026-07-06
ISL,ISL.csv,82565,PSX (via psxdata API pull),csv,2026-07-06
JDWS,JDWS.csv,57515,PSX (via psxdata API pull),csv,2026-07-06
JVDC,JVDC.csv,68575,PSX (via psxdata API pull),csv,2026-07-06
KAPCO,KAPCO.csv,83290,PSX (via psxdata API pull),csv,2026-07-06
KEL,KEL.csv,79228,PSX (via psxdata API pull),csv,2026-07-06
KOHC,KOHC.csv,85912,PSX (via psxdata API pull),csv,2026-07-06
KTML,KTML.csv,78481,PSX (via psxdata API pull),csv,2026-07-06
LCI,LCI.csv,84411,PSX (via psxdata API pull),csv,2026-07-06
LOTCHEM,LOTCHEM.csv,83463,PSX (via psxdata API pull),csv,2026-07-06
LUCK,LUCK.csv,87812,PSX (via psxdata API pull),csv,2026-07-06
MARI,MARI.csv,90687,PSX (via psxdata API pull),csv,2026-07-06
MCB,MCB.csv,88146,PSX (via psxdata API pull),csv,2026-07-06
MEBL,MEBL.csv,86929,PSX (via psxdata API pull),csv,2026-07-06
MEHT,MEHT.csv,42146,PSX (via psxdata API pull),csv,2026-07-06
MLCF,MLCF.csv,84602,PSX (via psxdata API pull),csv,2026-07-06
MTL,MTL.csv,86715,PSX (via psxdata API pull),csv,2026-07-06
MUREB,MUREB.csv,73716,PSX (via psxdata API pull),csv,2026-07-06
NATF,NATF.csv,85571,PSX (via psxdata API pull),csv,2026-07-06
NBP,NBP.csv,83901,PSX (via psxdata API pull),csv,2026-07-06
NESTLE,NESTLE.csv,73942,PSX (via psxdata API pull),csv,2026-07-06
NML,NML.csv,84150,PSX (via psxdata API pull),csv,2026-07-06
NPL,NPL.csv,81280,PSX (via psxdata API pull),csv,2026-07-06
OGDC,OGDC.csv,86969,PSX (via psxdata API pull),csv,2026-07-06
PABC,PABC.csv,62744,PSX (via psxdata API pull),csv,2026-07-06
PAEL,PAEL.csv,83962,PSX (via psxdata API pull),csv,2026-07-06
PAKT,PAKT.csv,70498,PSX (via psxdata API pull),csv,2026-07-06
PGLC,PGLC.csv,47730,PSX (via psxdata API pull),csv,2026-07-06
PIBTL,PIBTL.csv,80674,PSX (via psxdata API pull),csv,2026-07-06
PIOC,PIOC.csv,85435,PSX (via psxdata API pull),csv,2026-07-06
PKGS,PKGS.csv,83474,PSX (via psxdata API pull),csv,2026-07-06
POL,POL.csv,87075,PSX (via psxdata API pull),csv,2026-07-06
POWER,POWER.csv,79099,PSX (via psxdata API pull),csv,2026-07-06
PPL,PPL.csv,86123,PSX (via psxdata API pull),csv,2026-07-06
PSEL,PSEL.csv,43970,PSX (via psxdata API pull),csv,2026-07-06
PSO,PSO.csv,88819,PSX (via psxdata API pull),csv,2026-07-06
PSX,PSX.csv,80841,PSX (via psxdata API pull),csv,2026-07-06
PTC,PTC.csv,80438,PSX (via psxdata API pull),csv,2026-07-06
RMPL,RMPL.csv,61182,PSX (via psxdata API pull),csv,2026-07-06
SAZEW,SAZEW.csv,87294,PSX (via psxdata API pull),csv,2026-07-06
SCBPL,SCBPL.csv,75457,PSX (via psxdata API pull),csv,2026-07-06
SEARL,SEARL.csv,86140,PSX (via psxdata API pull),csv,2026-07-06
SHFA,SHFA.csv,81406,PSX (via psxdata API pull),csv,2026-07-06
SNGP,SNGP.csv,84559,PSX (via psxdata API pull),csv,2026-07-06
SRVI,SRVI.csv,84990,PSX (via psxdata API pull),csv,2026-07-06
SSGC,SSGC.csv,82153,PSX (via psxdata API pull),csv,2026-07-06
SSOM,SSOM.csv,57737,PSX (via psxdata API pull),csv,2026-07-06
SYS,SYS.csv,87244,PSX (via psxdata API pull),csv,2026-07-06
TGL,TGL.csv,85029,PSX (via psxdata API pull),csv,2026-07-06
THALL,THALL.csv,82878,PSX (via psxdata API pull),csv,2026-07-06
TPLRF1,TPLRF1.csv,25249,PSX (via psxdata API pull),csv,2026-07-06
TRG,TRG.csv,85681,PSX (via psxdata API pull),csv,2026-07-06
UBL,UBL.csv,88538,PSX (via psxdata API pull),csv,2026-07-06
UPFL,UPFL.csv,55186,PSX (via psxdata API pull),csv,2026-07-06
YOUW,YOUW.csv,76796,PSX (via psxdata API pull),csv,2026-07-06
