ticker,year,filename,size_bytes,source,file_type,date_added
786,2022,786_Annual_Report_2022.pdf,5867473,PSX,pdf,2026-07-06
786,2023,786_Annual_Report_2023.pdf,5964511,PSX,pdf,2026-07-06
786,2024,786_Annual_Report_2024.pdf,4573292,PSX,pdf,2026-07-06
786,2025,786_Annual_Report_2025.pdf,5101179,PSX,pdf,2026-07-06
AABS,2022,AABS_Annual_Report_2022.pdf,6089735,PSX,pdf,2026-07-06
AABS,2023,AABS_Annual_Report_2023.pdf,6978711,PSX,pdf,2026-07-06
AABS,2024,AABS_Annual_Report_2024.pdf,10403982,PSX,pdf,2026-07-06
AABS,2025,AABS_Annual_Report_2025.pdf,15200932,PSX,pdf,2026-07-06
AASM,2022,AASM_Annual_Report_2022.pdf,2632425,PSX,pdf,2026-07-06
AASM,2023,AASM_Annual_Report_2023.pdf,2238009,PSX,pdf,2026-07-06
AASM,2024,AASM_Annual_Report_2024.pdf,1188804,PSX,pdf,2026-07-06
AASM,2025,AASM_Annual_Report_2025.pdf,1137582,PSX,pdf,2026-07-06
AATM,2022,AATM_Annual_Report_2022.pdf,23343470,PSX,pdf,2026-07-06
AATM,2023,AATM_Annual_Report_2023.pdf,12438475,PSX,pdf,2026-07-06
AATM,2024,AATM_Annual_Report_2024.pdf,8350546,PSX,pdf,2026-07-06
AATM,2025,AATM_Annual_Report_2025.pdf,13694714,PSX,pdf,2026-07-06
ABL,2022,ABL_Annual_Report_2022.pdf,17381672,PSX,pdf,2026-07-06
ABL,2023,ABL_Annual_Report_2023.pdf,11416116,PSX,pdf,2026-07-06
ABL,2024,ABL_Annual_Report_2024.pdf,19856681,PSX,pdf,2026-07-06
ABL,2025,ABL_Annual_Report_2025.pdf,6520206,PSX,pdf,2026-07-06
ABOT,2022,ABOT_Annual_Report_2022.pdf,9716444,PSX,pdf,2026-07-06
ABOT,2023,ABOT_Annual_Report_2023.pdf,7945376,PSX,pdf,2026-07-06
ABOT,2024,ABOT_Annual_Report_2024.pdf,6545571,PSX,pdf,2026-07-06
ABOT,2025,ABOT_Annual_Report_2025.pdf,5461784,PSX,pdf,2026-07-06
ACPL,2022,ACPL_Annual_Report_2022.pdf,8372997,PSX,pdf,2026-07-06
ACPL,2023,ACPL_Annual_Report_2023.pdf,14692755,PSX,pdf,2026-07-06
ACPL,2024,ACPL_Annual_Report_2024.pdf,6344274,PSX,pdf,2026-07-06
ACPL,2025,ACPL_Annual_Report_2025.pdf,4959497,PSX,pdf,2026-07-06
ADAMS,2022,ADAMS_Annual_Report_2022.pdf,3923918,PSX,pdf,2026-07-06
ADAMS,2023,ADAMS_Annual_Report_2023.pdf,24973540,PSX,pdf,2026-07-06
ADAMS,2024,ADAMS_Annual_Report_2024.pdf,6318543,PSX,pdf,2026-07-06
ADAMS,2025,ADAMS_Annual_Report_2025.pdf,15354247,PSX,pdf,2026-07-06
ADMM,2022,ADMM_Annual_Report_2022.pdf,6767333,PSX,pdf,2026-07-06
ADMM,2023,ADMM_Annual_Report_2023.pdf,1989734,PSX,pdf,2026-07-06
ADMM,2024,ADMM_Annual_Report_2024.pdf,6880311,PSX,pdf,2026-07-06
ADMM,2025,ADMM_Annual_Report_2025.pdf,1947456,PSX,pdf,2026-07-06
AGIC,2022,AGIC_Annual_Report_2022.pdf,19912405,PSX,pdf,2026-07-06
AGIC,2023,AGIC_Annual_Report_2023.pdf,20267684,PSX,pdf,2026-07-06
AGIC,2024,AGIC_Annual_Report_2024.pdf,18729416,PSX,pdf,2026-07-06
AGIC,2025,AGIC_Annual_Report_2025.pdf,25226558,PSX,pdf,2026-07-06
AGIL,2022,AGIL_Annual_Report_2022.pdf,14317700,PSX,pdf,2026-07-06
AGIL,2023,AGIL_Annual_Report_2023.pdf,9106757,PSX,pdf,2026-07-06
AGIL,2024,AGIL_Annual_Report_2024.pdf,13121897,PSX,pdf,2026-07-06
AGIL,2025,AGIL_Annual_Report_2025.pdf,12715857,PSX,pdf,2026-07-06
AGL,2022,AGL_Annual_Report_2022.pdf,19101589,PSX,pdf,2026-07-06
AGL,2023,AGL_Annual_Report_2023.pdf,21470160,PSX,pdf,2026-07-06
AGL,2024,AGL_Annual_Report_2024.pdf,24101078,PSX,pdf,2026-07-06
AGL,2025,AGL_Annual_Report_2025.pdf,24643303,PSX,pdf,2026-07-06
AGP,2022,AGP_Annual_Report_2022.pdf,13482073,PSX,pdf,2026-07-06
AGP,2023,AGP_Annual_Report_2023.pdf,6549276,PSX,pdf,2026-07-06
AGP,2024,AGP_Annual_Report_2024.pdf,7619225,PSX,pdf,2026-07-06
AGP,2025,AGP_Annual_Report_2025.pdf,8957916,PSX,pdf,2026-07-06
AGSML,2022,AGSML_Annual_Report_2022.pdf,11971570,PSX,pdf,2026-07-06
AGSML,2023,AGSML_Annual_Report_2023.pdf,15007862,PSX,pdf,2026-07-06
AGSML,2024,AGSML_Annual_Report_2024.pdf,8517848,PSX,pdf,2026-07-06
AGSML,2025,AGSML_Annual_Report_2025.pdf,22342168,PSX,pdf,2026-07-06
AGTL,2022,AGTL_Annual_Report_2022.pdf,20356306,PSX,pdf,2026-07-06
AGTL,2023,AGTL_Annual_Report_2023.pdf,13992595,PSX,pdf,2026-07-06
AGTL,2024,AGTL_Annual_Report_2024.pdf,12138768,PSX,pdf,2026-07-06
AGTL,2025,AGTL_Annual_Report_2025.pdf,12379670,PSX,pdf,2026-07-06
AHCL,2022,AHCL_Annual_Report_2022.pdf,12599274,PSX,pdf,2026-07-06
AHCL,2023,AHCL_Annual_Report_2023.pdf,14721732,PSX,pdf,2026-07-06
AHCL,2024,AHCL_Annual_Report_2024.pdf,12221665,PSX,pdf,2026-07-06
AHCL,2025,AHCL_Annual_Report_2025.pdf,8188167,PSX,pdf,2026-07-06
AHL,2022,AHL_Annual_Report_2022.pdf,3708320,PSX,pdf,2026-07-06
AHL,2023,AHL_Annual_Report_2023.pdf,9256524,PSX,pdf,2026-07-06
AHL,2024,AHL_Annual_Report_2024.pdf,18698703,PSX,pdf,2026-07-06
AHL,2025,AHL_Annual_Report_2025.pdf,14101279,PSX,pdf,2026-07-06
AHTM,2022,AHTM_Annual_Report_2022.pdf,5418843,PSX,pdf,2026-07-06
AHTM,2023,AHTM_Annual_Report_2023.pdf,4623836,PSX,pdf,2026-07-06
AHTM,2024,AHTM_Annual_Report_2024.pdf,5632152,PSX,pdf,2026-07-06
AHTM,2025,AHTM_Annual_Report_2025.pdf,6564520,PSX,pdf,2026-07-06
AICL,2022,AICL_Annual_Report_2022.pdf,8596187,PSX,pdf,2026-07-06
AICL,2023,AICL_Annual_Report_2023.pdf,8924846,PSX,pdf,2026-07-06
AICL,2024,AICL_Annual_Report_2024.pdf,9407059,PSX,pdf,2026-07-06
AICL,2025,AICL_Annual_Report_2025.pdf,11545584,PSX,pdf,2026-07-06
AIRLINK,2022,AIRLINK_Annual_Report_2022.pdf,14508271,PSX,pdf,2026-07-06
AIRLINK,2023,AIRLINK_Annual_Report_2023.pdf,22999856,PSX,pdf,2026-07-06
AIRLINK,2024,AIRLINK_Annual_Report_2024.pdf,10040410,PSX,pdf,2026-07-06
AIRLINK,2025,AIRLINK_Annual_Report_2025.pdf,22178724,PSX,pdf,2026-07-06
AKBL,2022,AKBL_Annual_Report_2022.pdf,2994532,PSX,pdf,2026-07-06
AKBL,2023,AKBL_Annual_Report_2023.pdf,3416114,PSX,pdf,2026-07-06
AKBL,2024,AKBL_Annual_Report_2024.pdf,2734933,PSX,pdf,2026-07-06
AKBL,2025,AKBL_Annual_Report_2025.pdf,2766839,PSX,pdf,2026-07-06
AKDHL,2022,AKDHL_Annual_Report_2022.pdf,2250790,PSX,pdf,2026-07-06
AKDHL,2023,AKDHL_Annual_Report_2023.pdf,5776512,PSX,pdf,2026-07-06
AKDHL,2024,AKDHL_Annual_Report_2024.pdf,6575534,PSX,pdf,2026-07-06
AKDHL,2025,AKDHL_Annual_Report_2025.pdf,12952328,PSX,pdf,2026-07-06
AKDSL,2022,AKDSL_Annual_Report_2022.pdf,13883508,PSX,pdf,2026-07-06
AKDSL,2023,AKDSL_Annual_Report_2023.pdf,25026190,PSX,pdf,2026-07-06
AKDSL,2024,AKDSL_Annual_Report_2024.pdf,19368252,PSX,pdf,2026-07-06
AKDSL,2025,AKDSL_Annual_Report_2025.pdf,10885666,PSX,pdf,2026-07-06
AKGL,2022,AKGL_Annual_Report_2022.pdf,5226171,PSX,pdf,2026-07-06
AKGL,2023,AKGL_Annual_Report_2023.pdf,6134641,PSX,pdf,2026-07-06
AKGL,2024,AKGL_Annual_Report_2024.pdf,20593362,PSX,pdf,2026-07-06
AKGL,2025,AKGL_Annual_Report_2025.pdf,6922140,PSX,pdf,2026-07-06
ALAC,2022,ALAC_Annual_Report_2022.pdf,11998181,PSX,pdf,2026-07-06
ALAC,2023,ALAC_Annual_Report_2023.pdf,9123663,PSX,pdf,2026-07-06
ALAC,2024,ALAC_Annual_Report_2024.pdf,12455461,PSX,pdf,2026-07-06
ALAC,2025,ALAC_Annual_Report_2025.pdf,11249512,PSX,pdf,2026-07-06
ALIFE,2022,ALIFE_Annual_Report_2022.pdf,15939977,PSX,pdf,2026-07-06
ALIFE,2023,ALIFE_Annual_Report_2023.pdf,8419519,PSX,pdf,2026-07-06
ALIFE,2024,ALIFE_Annual_Report_2024.pdf,12991292,PSX,pdf,2026-07-06
ALIFE,2025,ALIFE_Annual_Report_2025.pdf,6850348,PSX,pdf,2026-07-06
ALNRS,2022,ALNRS_Annual_Report_2022.pdf,4921490,PSX,pdf,2026-07-06
ALNRS,2023,ALNRS_Annual_Report_2023.pdf,6643498,PSX,pdf,2026-07-06
ALNRS,2024,ALNRS_Annual_Report_2024.pdf,7277682,PSX,pdf,2026-07-06
ALNRS,2025,ALNRS_Annual_Report_2025.pdf,5032590,PSX,pdf,2026-07-06
ALTN,2022,ALTN_Annual_Report_2022.pdf,11591854,PSX,pdf,2026-07-06
ALTN,2023,ALTN_Annual_Report_2023.pdf,11104438,PSX,pdf,2026-07-06
ALTN,2025,ALTN_Annual_Report_2025.pdf,2460122,PSX,pdf,2026-07-06
