,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,freefloat_m,market_cap_m
0,AIRLINK,Air Link Communication Limited,158.59,158.59,1.65,1.05%,0.73,0.0,"2,063,854",125.0,19888.0
1,ATRL,Attock Refinery Limited,873.63,873.63,22.96,2.70%,1.44,0.0,"281,596",45.0,39401.0
2,CPHL,Citi Pharma Ltd.,78.80,78.80,0.93,1.19%,0.38,0.0,"1,057,749",133.0,10471.0
3,DGKC,D.G. Khan Cement Company Limited,227.14,227.14,3.87,1.73%,1.92,0.0,"8,336,417",232.0,52620.0
4,EFERT,Engro Fertilizers Limited,199.87,199.87,0.92,0.46%,4.63,0.0,"1,158,607",635.0,127009.0
5,ENGROH,Engro Holdings Limited,294.09,294.09,6.37,2.21%,10.93,0.0,"4,794,478",1019.0,299623.0
6,FCCL,Fauji Cement Company Limited,59.28,59.28,1.73,3.01%,1.96,0.0,"10,591,055",908.0,53820.0
7,FFC,Fauji Fertilizer Company Limited,572.17,572.17,-1.31,-0.23%,11.8,0.0,"2,106,457",566.0,323703.0
8,FFL,Fauji Foods Limited,17.85,17.85,-0.03,-0.17%,0.35,0.0,"3,717,659",533.0,9514.0
9,GAL,Ghandhara Automobiles Limited,583.21,583.21,21.19,3.77%,0.51,0.0,"2,797,731",24.0,14063.0
10,GHNI,Ghandhara Industries Limited,990.25,990.25,21.68,2.24%,0.57,0.0,"367,494",16.0,15617.0
11,HCARXD,Honda Atlas Cars (Pakistan) Limited,241.38,241.38,1.01,0.42%,0.27,0.0,"503,653",30.0,7290.0
12,HUBC,The Hub Power Company Limited,233.14,233.14,-0.31,-0.13%,8.75,0.0,"2,962,891",1029.0,239864.0
13,LUCK,Lucky Cement Limited,472.38,472.38,2.86,0.61%,8.01,0.0,"2,038,908",465.0,219556.0
14,MARI,Mari Energies Limited,673.75,673.75,-0.54,-0.08%,6.24,0.0,"773,978",254.0,171092.0
15,MEBL,Meezan Bank Limited,553.45,553.45,36.99,7.16%,9.61,0.0,"3,775,484",476.0,263463.0
16,MLCF,Maple Leaf Cement Factory Limited,107.43,107.43,0.52,0.49%,1.95,0.0,"20,049,681",499.0,53557.0
17,NML,Nishat Mills Limited,160.42,160.42,2.56,1.62%,0.98,0.0,"2,719,803",167.0,26842.0
18,NRL,National Refinery Limited,366.62,366.62,4.13,1.14%,0.37,0.0,"402,561",28.0,10202.0
19,OGDC,Oil & Gas Development Company Limited,334.91,334.91,0.04,0.01%,8.33,0.0,"3,716,723",682.0,228495.0
20,PAEL,Pak Elektron Limited,45.42,45.42,-0.03,-0.07%,0.89,0.0,"10,840,203",537.0,24401.0
21,PPL,Pakistan Petroleum Limited,243.74,243.74,1.12,0.46%,6.29,0.0,"3,456,873",708.0,172565.0
22,PRL,Pakistan Refinery Limited,36.24,36.24,0.57,1.60%,0.32,0.0,"5,111,336",240.0,8711.0
23,PSO,Pakistan State Oil Company Limited,346.12,346.12,3.77,1.10%,3.13,0.0,"2,785,134",248.0,85922.0
24,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,088.03",24.54,1.19%,1.7,0.0,"117,789",22.0,46716.0
25,SEARL,The Searle Company Limited,94.58,94.58,0.04,0.04%,1.07,0.0,"1,983,501",311.0,29417.0
26,SNGP,Sui Northern Gas Pipelines Limited,119.63,119.63,-1.30,-1.07%,1.17,0.0,"2,057,120",268.0,32095.0
27,SSGC,Sui Southern Gas Company Limited,31.85,31.85,-0.23,-0.72%,0.41,0.0,"8,089,276",356.0,11346.0
28,SYS,Systems Limited,149.57,149.57,2.48,1.69%,5.1,0.0,"1,614,217",935.0,139834.0
29,TREET,Treet Corporation Limited,25.89,25.89,0.78,3.11%,0.19,0.0,"8,843,244",196.0,5079.0
