,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,shares_m,market_cap_m
0,AASMNC,Al-Abid Silk Mills Limited,3.49,3.49,0.34,10.79%,0.0,0.0,0,13.0,47.0
1,ABOT,Abbott Laboratories (Pakistan) Limited,995.32,995.32,10.93,1.11%,0.73,0.0,"195,901",98.0,97442.0
2,ACPL,Attock Cement Pakistan Limited,220.87,220.87,4.10,1.89%,0.23,0.0,"24,973",137.0,30353.0
3,ADAMS,Adam Sugar Mills Limited,65.17,65.17,0.34,0.52%,0.01,0.0,"4,076",17.0,1127.0
4,AGIL,Agriauto Industries Limited,170.73,170.73,-0.26,-0.15%,0.05,0.0,"29,090",36.0,6146.0
5,AGP,AGP Limited,210.28,210.28,3.95,1.91%,0.44,0.0,"859,748",280.0,58878.0
6,AGTL,Al-Ghazi Tractors Limited,408.32,408.32,1.21,0.30%,0.18,0.0,"41,769",58.0,23668.0
7,AHTM,Ahmad Hassan Textile Mills Limited,93.49,93.49,0.00,0.00%,0.01,0.0,272,8.0,792.0
8,AIRLINK,Air Link Communication Limited,158.59,158.59,1.65,1.05%,0.47,0.0,"2,063,854",395.0,62686.0
9,AKGL,Al-Khair Gadoon Limited,53.12,53.12,0.00,0.00%,0.0,0.0,6,10.0,531.0
10,ALNRS,Al-Noor Sugar Mills Limited,128.51,128.51,0.18,0.14%,0.02,0.0,"2,228",20.0,2631.0
11,ANL,Azgard Nine Limited,11.19,11.19,0.09,0.81%,0.04,0.0,"950,447",485.0,5432.0
12,ANTM,AN Textile Mills Limited,37.46,37.46,-1.94,-4.92%,0.0,0.0,"3,257",10.0,362.0
13,ARCTM,Arctic Textile Mills Limited,42.83,42.83,-0.05,-0.12%,0.0,0.0,"205,953",13.0,564.0
14,ARPL,Archroma Pakistan Limited,398.30,398.30,-1.70,-0.43%,0.1,0.0,899,35.0,13767.0
15,ASCNC,Al Shaheer Corporation Limited,13.17,13.17,-0.32,-2.37%,0.04,0.0,"5,033,499",375.0,4938.0
16,ASHT,Ashfaq Textile Mills Limited,36.04,36.04,-0.26,-0.72%,0.01,0.0,"2,852",47.0,1678.0
17,ASL,Aisha Steel Mills Limited,13.07,13.07,-0.07,-0.53%,0.09,0.0,"923,694",931.0,12165.0
18,ASTM,Asim Textile Mills Limited,25.70,25.70,2.34,10.02%,0.0,0.0,"22,122",15.0,390.0
19,ATBA,Atlas Battery Limited,217.86,217.86,-1.23,-0.56%,0.06,0.0,"38,219",35.0,7629.0
20,ATRL,Attock Refinery Limited,873.63,873.63,22.96,2.70%,0.7,0.0,"281,596",107.0,93143.0
21,AVN,Avanceon Limited,36.19,36.19,0.15,0.42%,0.12,0.0,"693,563",430.0,15550.0
22,AWTX,Allawasaya Tex. & Finishing Mills Ltd,"1,552.05","1,552.05",0.00,0.00%,0.01,0.0,0,1.0,1242.0
23,BAFS,Baba Farid Sugar Mills Limited,291.79,291.79,6.67,2.34%,0.02,0.0,542,9.0,2757.0
24,BATA,Bata Pakistan Limited,"1,002.51","1,002.51",-6.31,-0.62%,0.06,0.0,"2,194",8.0,7579.0
25,BBFL,Big Bird Foods Limited,46.16,46.16,0.13,0.28%,0.1,0.0,"224,507",299.0,13797.0
26,BCL,Bolan Castings Limited,78.55,78.55,0.51,0.65%,0.01,0.0,"15,808",11.0,901.0
27,BECO,Beco Steel Limited,5.39,5.39,0.00,0.00%,0.05,0.0,"2,394,075",1250.0,6735.0
28,BERG,Berger Paints Pakistan Limited,116.29,116.29,-3.64,-3.03%,0.02,0.0,"292,904",25.0,2855.0
29,BFAGRO,Barkat Frisian Agro Limited,37.90,37.90,1.47,4.04%,0.09,0.0,"4,319,999",310.0,11749.0
30,BFBIO,BF Biosciences Limited,143.80,143.80,0.92,0.64%,0.1,0.0,"129,647",88.0,12702.0
31,BFMOD,B.F. Modaraba,22.44,22.44,-0.16,-0.71%,0.0,0.0,"30,359",8.0,169.0
32,BHAT,Bhanero Textile Mills Limited,862.51,862.51,0.00,0.00%,0.02,0.0,2,3.0,2623.0
33,BIFO,Biafo Industries Limited,131.67,131.67,-2.19,-1.64%,0.05,0.0,"409,105",46.0,6107.0
34,BIPL,BankIslami Pakistan Limited,27.44,27.44,0.43,1.59%,0.23,0.0,"4,022,548",1109.0,30423.0
35,BLUEX,Blue-Ex Limited,9.16,9.16,1.00,12.26%,0.02,0.0,"1,611,615",284.0,2604.0
36,BNL,Bunnys Limited,7.16,7.16,0.10,1.42%,0.04,0.0,"4,123,912",668.0,4783.0
37,BNWM,Bannu Woollen Mills Limited,66.08,66.08,-0.70,-1.05%,0.0,0.0,"4,830",10.0,628.0
38,BPL,Burshane LPG (Pakistan) Limited,57.17,57.17,-1.12,-1.92%,0.01,0.0,"48,783",22.0,1286.0
39,BTL,Blessed Textiles Limited,"1,138.26","1,138.26",-1.47,-0.13%,0.06,0.0,23,6.0,7321.0
40,BUXL,Buxly Paints Limited,238.68,238.68,-10.78,-4.32%,0.0,0.0,"169,299",1.0,344.0
41,BWHL,Baluchistan Wheels Limited,229.30,229.30,11.77,5.41%,0.02,0.0,"147,778",13.0,3058.0
42,CCM,Crescent Cotton Mills Limited,42.07,42.07,0.50,1.20%,0.01,0.0,"2,406",23.0,953.0
43,CEPB,Century Paper & Board Mills Limited,31.17,31.17,1.30,4.35%,0.09,0.0,"1,448,420",402.0,12521.0
44,CFL,Crescent Fibres Limited,59.33,59.33,2.45,4.31%,0.01,0.0,"2,187",12.0,737.0
45,CHAS,Chashma Sugar Mills Limited,133.14,133.14,10.70,8.74%,0.03,0.0,"208,655",29.0,3820.0
46,CHCC,Cherat Cement Company Limited,346.69,346.69,0.76,0.22%,0.51,0.0,"1,488,155",194.0,67360.0
47,CLOV,Clover Pakistan Limited,8.26,8.26,0.11,1.35%,0.02,0.0,"1,900,323",389.0,3216.0
48,CNERGY,Cnergyico PK  Limited,8.21,8.21,0.04,0.49%,0.34,0.0,"11,320,214",5493.0,45101.0
49,COLG,Colgate-Palmolive (Pakistan) Limited,"1,262.27","1,262.27",17.75,1.43%,2.31,0.0,"8,637",243.0,306445.0
50,CPHL,Citi Pharma Ltd.,78.80,78.80,0.93,1.19%,0.14,0.0,"1,057,749",228.0,18003.0
51,CPPL,Cherat Packaging Limited,100.03,100.03,1.81,1.84%,0.04,0.0,"28,254",49.0,4911.0
52,CRTM,The Crescent Textile Mills Limited,69.00,69.00,1.59,2.36%,0.05,0.0,"14,728",100.0,6900.0
53,CSAP,Crescent Steel & Allied Products Limited,112.45,112.45,-1.65,-1.45%,0.07,0.0,"929,417",78.0,8730.0
54,DAAG,Data Agro Limited,90.74,90.74,-1.53,-1.66%,0.0,0.0,"1,414",4.0,363.0
55,DADX,Dadex Eternit Limited,100.73,100.73,4.19,4.34%,0.01,0.0,"7,284",11.0,1084.0
56,DBSLNC,Dadabhoy Sack Limited,7.00,7.00,0.00,0.00%,0.0,0.0,0,4.0,28.0
57,DCL,Dewan Cement Limited,11.83,11.83,0.39,3.41%,0.04,0.0,"7,361,106",484.0,5727.0
58,DCR,Dolmen City REIT,38.17,38.17,-0.28,-0.73%,0.64,0.0,"609,121",2224.0,84879.0
59,DFSM,Dewan Farooque Spinning Mills Limited,24.69,24.69,-1.31,-5.04%,0.02,0.0,"5,727,277",98.0,2413.0
60,DGKC,D.G. Khan Cement Company Limited,227.14,227.14,3.87,1.73%,0.75,0.0,"8,336,417",438.0,99514.0
61,DINT,Din Textile Mills Limited,78.07,78.07,-3.02,-3.72%,0.03,0.0,869,52.0,4096.0
62,DMC,D.M. Corporation Limited.,208.44,208.44,0.00,0.00%,0.0,0.0,45,3.0,636.0
63,DNCC,Dandot Cement Company Limited,19.69,19.69,0.09,0.46%,0.05,0.0,"176,074",316.0,6229.0
64,DOL,Descon Oxychem Limited,32.05,32.05,0.56,1.78%,0.04,0.0,"191,421",175.0,5610.0
65,DSLNC,Dost Steels Limited,5.32,5.32,0.00,0.00%,0.02,0.0,"4,855,448",445.0,2366.0
66,DWSMNC,Dewan Sugar Mills Limited,6.86,6.86,0.10,1.48%,0.0,0.0,"60,171",92.0,628.0
67,DYNO,Dynea Pakistan Limited,344.67,344.67,7.67,2.28%,0.05,0.0,"5,427",19.0,6505.0
68,ECOP,Ecopack Limited,57.49,57.49,-1.03,-1.76%,0.02,0.0,"270,412",48.0,2774.0
69,EFERT,Engro Fertilizers Limited,199.87,199.87,0.92,0.46%,2.01,0.0,"1,158,607",1335.0,266886.0
70,ELCM,Elahi Cotton Mills Limited,275.74,275.74,-13.07,-4.52%,0.0,0.0,743,1.0,358.0
71,ELSM,Ellcot Spinning Mills Limited,120.04,120.04,0.00,0.00%,0.01,0.0,0,11.0,1314.0
72,EMCO,Emco Industries Limited,49.46,49.46,0.14,0.28%,0.01,0.0,"17,783",35.0,1731.0
73,ENGROH,Engro Holdings Limited,294.09,294.09,6.37,2.21%,2.67,0.0,"4,794,478",1204.0,354153.0
74,EPCL,Engro Polymer & Chemicals Limited,35.13,35.13,1.32,3.90%,0.24,0.0,"2,283,968",909.0,31930.0
75,EPQL,Engro Powergen Qadirpur Limited,25.16,25.16,-0.01,-0.04%,0.06,0.0,"548,973",324.0,8147.0
76,EXIDE,Exide Pakistan Limited,542.12,542.12,-2.32,-0.43%,0.03,0.0,"11,104",8.0,4212.0
77,FABL,Faysal Bank Limited,101.46,101.46,2.22,2.24%,1.16,0.0,"3,545,453",1518.0,153985.0
78,FANM,First Al-Noor Modaraba,7.53,7.53,0.50,7.11%,0.0,0.0,"424,879",23.0,174.0
79,FASM,Faisal Spinning Mills Limited,323.76,323.76,0.00,0.00%,0.02,0.0,305,10.0,3238.0
