,symbol,name,ldcp,current,change,change_pct,idx_weight,idx_point,volume,freefloat_m,market_cap_m
0,ABL,Allied Bank Limited,183.65,183.65,5.95,3.35%,0.4,0.0,"206,927",115.0,21029.0
1,ABOT,Abbott Laboratories (Pakistan) Limited,995.32,995.32,10.93,1.11%,0.4,0.0,"195,901",21.0,21051.0
2,AGP,AGP Limited,210.28,210.28,3.95,1.91%,0.34,0.0,"859,748",84.0,17664.0
3,AHCL,Arif Habib Corporation Limited,16.27,16.27,0.28,1.75%,0.26,0.0,"6,010,645",843.0,13722.0
4,AICL,Adamjee Insurance Company Limited,83.10,83.10,3.05,3.81%,0.44,0.0,"779,972",280.0,23268.0
5,AIRLINK,Air Link Communication Limited,158.59,158.59,1.65,1.05%,0.36,0.0,"2,063,854",119.0,18806.0
6,AKBL,Askari Bank Limited,112.99,112.99,2.76,2.50%,0.93,0.0,"22,929,384",435.0,49127.0
7,APL,Attock Petroleum Limited,540.57,540.57,2.33,0.43%,0.32,0.0,"30,849",31.0,16814.0
8,ATLHXD,Atlas Honda Limited,"1,712.28","1,712.28",2.97,0.17%,0.4,0.0,"3,391",12.0,21247.0
9,ATRL,Attock Refinery Limited,873.63,873.63,22.96,2.70%,0.71,0.0,"281,596",43.0,37257.0
10,BAFL,Bank Alfalah Limited,61.40,61.40,4.73,8.35%,1.66,0.0,"9,066,848",1419.0,87154.0
11,BAHL,Bank AL Habib Limited,177.99,177.99,8.35,4.92%,2.82,0.0,"5,002,315",834.0,148367.0
12,BNWM,Bannu Woollen Mills Limited,66.08,66.08,-0.70,-1.05%,0.01,0.0,"4,830",5.0,314.0
13,BOP,The Bank of Punjab,36.31,36.31,1.22,3.48%,0.95,0.0,"77,111,046",1382.0,50181.0
14,BWCL,Bestway Cement Limited,490.16,490.16,0.20,0.04%,0.56,0.0,"14,926",60.0,29226.0
15,CHCC,Cherat Cement Company Limited,346.69,346.69,0.76,0.22%,0.7,0.0,"1,488,155",107.0,37048.0
16,CNERGY,Cnergyico PK  Limited,8.21,8.21,0.04,0.49%,0.21,0.0,"11,320,214",1373.0,11275.0
17,COLG,Colgate-Palmolive (Pakistan) Limited,"1,262.27","1,262.27",17.75,1.43%,0.58,0.0,"8,637",24.0,30645.0
18,CPHL,Citi Pharma Ltd.,78.80,78.80,0.93,1.19%,0.19,0.0,"1,057,749",126.0,9902.0
19,DCR,Dolmen City REIT,38.17,38.17,-0.28,-0.73%,0.4,0.0,"609,121",556.0,21220.0
20,DGKC,D.G. Khan Cement Company Limited,227.14,227.14,3.87,1.73%,0.95,0.0,"8,336,417",219.0,49757.0
21,EFERT,Engro Fertilizers Limited,199.87,199.87,0.92,0.46%,2.28,0.0,"1,158,607",601.0,120099.0
22,ENGROH,Engro Holdings Limited,294.09,294.09,6.37,2.21%,5.38,0.0,"4,794,478",963.0,283322.0
23,FABL,Faysal Bank Limited,101.46,101.46,2.22,2.24%,0.88,0.0,"3,545,453",455.0,46196.0
24,FATIMA,Fatima Fertilizer Company Limited,161.12,161.12,-4.18,-2.53%,0.96,0.0,"3,152,778",315.0,50753.0
25,FCCL,Fauji Cement Company Limited,59.28,59.28,1.73,3.01%,0.97,0.0,"10,591,055",858.0,50892.0
26,FFC,Fauji Fertilizer Company Limited,572.17,572.17,-1.31,-0.23%,8.6,0.0,"2,106,457",791.0,452851.0
27,FFL,Fauji Foods Limited,17.85,17.85,-0.03,-0.17%,0.17,0.0,"3,717,659",504.0,8996.0
28,FHAM,First Habib Modaraba,33.50,33.50,-0.23,-0.68%,0.06,0.0,"141,093",94.0,3156.0
29,GADT,Gadoon Textile Mills Limited,312.74,312.74,6.75,2.21%,0.05,0.0,"90,711",8.0,2630.0
30,GAL,Ghandhara Automobiles Limited,583.21,583.21,21.19,3.77%,0.25,0.0,"2,797,731",23.0,13298.0
31,GHGL,Ghani Glass Limited,40.83,40.83,0.86,2.15%,0.27,0.0,"819,467",350.0,14286.0
32,GHNI,Ghandhara Industries Limited,990.25,990.25,21.68,2.24%,0.28,0.0,"367,494",15.0,14768.0
33,GLAXO,GlaxoSmithKline Pakistan Limited,376.11,376.11,5.86,1.58%,0.46,0.0,"503,092",64.0,23956.0
34,HALEON,Haleon Pakistan Limited,803.65,803.65,-1.55,-0.19%,0.24,0.0,"28,552",16.0,12646.0
35,HBL,Habib Bank Limited,307.45,307.45,15.24,5.22%,3.43,0.0,"6,871,016",587.0,180394.0
36,HCARXD,Honda Atlas Cars (Pakistan) Limited,241.38,241.38,1.01,0.42%,0.13,0.0,"503,653",29.0,6894.0
37,HGFA,HBL Growth Fund,19.66,19.66,1.76,9.83%,0.1,0.0,"2,904,116",265.0,5216.0
38,HINOON,Highnoon Laboratories Limited,"1,007.54","1,007.54",4.84,0.48%,0.41,0.0,"141,439",21.0,21353.0
39,HMB,Habib Metropolitan Bank Limited,118.90,118.90,2.82,2.43%,1.07,0.0,"1,264,702",472.0,56064.0
40,HUBC,The Hub Power Company Limited,233.14,233.14,-0.31,-0.13%,4.31,0.0,"2,962,891",973.0,226814.0
41,HUMNL,Hum Network Limited,11.50,11.50,0.33,2.95%,0.12,0.0,"5,455,638",567.0,6521.0
42,IBFL,Ibrahim Fibres Limited,224.27,224.27,-1.52,-0.67%,0.07,0.0,640,16.0,3482.0
43,ILP,Interloop Limited,106.18,106.18,-1.36,-1.26%,0.57,0.0,"3,212,821",280.0,29767.0
44,INDU,Indus Motor Company Limited,"2,044.39","2,044.39",-14.04,-0.68%,0.54,0.0,"10,653",14.0,28587.0
45,INIL,International Industries Limited,169.32,169.32,0.45,0.27%,0.19,0.0,"59,395",59.0,10049.0
46,ISL,International Steels Limited,90.18,90.18,-0.56,-0.62%,0.26,0.0,"570,429",152.0,13730.0
47,JDWS,JDW Sugar Mills Limited,948.43,948.43,3.75,0.40%,0.16,0.0,517,9.0,8220.0
48,JVDC,Javedan Corporation Limited,153.48,153.48,6.28,4.27%,0.56,0.0,"3,570,218",190.0,29227.0
49,KAPCO,Kot Addu Power Company Limited,28.36,28.36,0.04,0.14%,0.25,0.0,"807,153",457.0,12949.0
50,KEL,K-Electric Limited,8.33,8.33,-0.21,-2.46%,0.44,0.0,"82,666,150",2762.0,23003.0
51,KOHC,Kohat Cement Company Limited,107.12,107.12,-3.00,-2.72%,0.47,0.0,"1,407,350",230.0,24619.0
52,KTML,Kohinoor Textile Mills Limited,54.30,54.30,-0.91,-1.65%,0.28,0.0,"569,654",269.0,14623.0
53,LCI,Lucky Core Industries Limited,246.93,246.93,10.29,4.35%,0.43,0.0,"684,810",92.0,22806.0
54,LOTCHEM,Lotte Chemical Pakistan Limited,28.19,28.19,0.12,0.43%,0.2,0.0,"13,241,887",379.0,10671.0
55,LUCK,Lucky Cement Limited,472.38,472.38,2.86,0.61%,3.94,0.0,"2,038,908",440.0,207611.0
56,MARI,Mari Energies Limited,673.75,673.75,-0.54,-0.08%,3.07,0.0,"773,978",240.0,161784.0
57,MCB,MCB Bank Limited,426.84,426.84,21.33,5.26%,3.36,0.0,"1,857,558",415.0,177041.0
58,MEBL,Meezan Bank Limited,553.45,553.45,36.99,7.16%,4.73,0.0,"3,775,484",450.0,249129.0
59,MEHT,Mehmood Textile Mills Limited,239.00,239.00,-0.28,-0.12%,0.1,0.0,"1,420",23.0,5378.0
60,MLCF,Maple Leaf Cement Factory Limited,107.43,107.43,0.52,0.49%,0.96,0.0,"20,049,681",471.0,50643.0
61,MTL,Millat Tractors Limited,305.21,305.21,0.26,0.08%,1.04,0.0,"317,997",180.0,54805.0
62,MUREB,Murree Brewery Company Limited,906.45,906.45,-13.10,-1.42%,0.19,0.0,"22,088",11.0,10030.0
63,NATF,National Foods Limited,399.24,399.24,11.81,3.05%,0.44,0.0,"946,555",58.0,23267.0
64,NBP,National Bank of Pakistan,205.01,205.01,6.51,3.28%,1.99,0.0,"15,996,699",510.0,104558.0
65,NESTLE,Nestle Pakistan Limited,"7,678.79","7,678.79",15.30,0.20%,0.66,0.0,172,5.0,34823.0
66,NML,Nishat Mills Limited,160.42,160.42,2.56,1.62%,0.48,0.0,"2,719,803",158.0,25382.0
67,NPL,Nishat Power Limited,73.31,73.31,-0.20,-0.27%,0.24,0.0,"1,653,144",173.0,12688.0
68,OGDC,Oil & Gas Development Company Limited,334.91,334.91,0.04,0.01%,4.1,0.0,"3,716,723",645.0,216064.0
69,PABC,Pakistan Aluminium Beverage Cans Limited,110.60,110.60,-0.72,-0.65%,0.15,0.0,"122,482",72.0,7988.0
70,PAEL,Pak Elektron Limited,45.42,45.42,-0.03,-0.07%,0.44,0.0,"10,840,203",508.0,23074.0
71,PAKT,Pakistan Tobacco Company Limited,"1,440.52","1,440.52",12.50,0.88%,0.35,0.0,"9,759",13.0,18175.0
72,PGLC,Pak-Gulf Leasing Company Limited,14.20,14.20,-0.15,-1.04%,0.0,0.0,"7,807",10.0,140.0
73,PIBTL,Pakistan International Bulk Terminal,18.85,18.85,-0.23,-1.20%,0.29,0.0,"20,096,607",804.0,15151.0
74,PIOC,Pioneer Cement Limited,280.46,280.46,-2.91,-1.03%,0.18,0.0,"199,318",34.0,9556.0
75,PKGS,Packages Limited,800.07,800.07,-9.87,-1.22%,0.41,0.0,"18,667",27.0,21453.0
76,POL,Pakistan Oilfields Limited,687.90,687.90,-0.01,0.00%,1.7,0.0,"160,000",130.0,89403.0
77,POWER,Power Cement Limited,23.55,23.55,0.52,2.26%,0.23,0.0,"2,107,444",517.0,12168.0
78,PPL,Pakistan Petroleum Limited,243.74,243.74,1.12,0.46%,3.1,0.0,"3,456,873",669.0,163177.0
79,PSEL,Pakistan Services Limited,930.13,930.13,-13.69,-1.45%,0.54,0.0,782,31.0,28667.0
80,PSO,Pakistan State Oil Company Limited,346.12,346.12,3.77,1.10%,1.54,0.0,"2,785,134",235.0,81247.0
81,PSX,Pakistan Stock Exchange Limited,51.87,51.87,-1.87,-3.48%,0.47,0.0,"7,351,195",481.0,24944.0
82,PTC,Pakistan Telecommunication Company Ltd,72.07,72.07,6.55,10.00%,0.81,0.0,"28,752,273",593.0,42760.0
83,RMPL,Rafhan Maize Products Company Limited,"9,541.26","9,541.26",21.57,0.23%,0.25,0.0,37,1.0,13219.0
84,SAZEW,Sazgar Engineering Works Limited,"2,088.03","2,088.03",24.54,1.19%,0.84,0.0,"117,789",21.0,44175.0
85,SCBPL,Standard Chartered Bank (Pak) Ltd,65.86,65.86,0.34,0.52%,0.24,0.0,"16,807",194.0,12749.0
86,SEARL,The Searle Company Limited,94.58,94.58,0.04,0.04%,0.53,0.0,"1,983,501",294.0,27817.0
87,SHFA,Shifa International Hospitals Limited,504.28,504.28,-1.21,-0.24%,0.27,0.0,"17,447",28.0,14345.0
88,SNGP,Sui Northern Gas Pipelines Limited,119.63,119.63,-1.30,-1.07%,0.58,0.0,"2,057,120",254.0,30349.0
89,SRVI,Service Industries Limited,"2,344.15","2,344.15",3.39,0.15%,1.05,0.0,"18,660",23.0,55073.0
90,SSGC,Sui Southern Gas Company Limited,31.85,31.85,-0.23,-0.72%,0.2,0.0,"8,089,276",337.0,10728.0
91,SSOM,S.S.Oil Mills Limited,461.48,461.48,2.66,0.58%,0.01,0.0,"52,951",1.0,644.0
92,SYS,Systems Limited,149.57,149.57,2.48,1.69%,2.51,0.0,"1,614,217",884.0,132226.0
93,TGL,Tariq Glass Industries Limited,198.57,198.57,5.39,2.79%,0.26,0.0,"263,349",69.0,13675.0
94,THALL,Thal Limited,625.01,625.01,-20.23,-3.13%,0.38,0.0,"59,954",32.0,20258.0
95,TPLRF1,TPL REIT Fund I,10.53,10.53,0.60,6.04%,0.24,0.0,"6,753,392",1193.0,12560.0
96,TRG,TRG Pakistan Limited,64.31,64.31,0.64,1.01%,0.43,0.0,"3,732,529",355.0,22798.0
97,UBL,United Bank Limited,479.73,479.73,32.06,7.16%,7.99,0.0,"8,560,443",876.0,420477.0
98,UPFL,Unilever Pakistan Foods Limited,"25,699.00","25,699.00",94.80,0.37%,0.25,0.0,31,1.0,13378.0
99,YOUW,Yousaf Weaving Mills Limited,5.85,5.85,-0.05,-0.85%,0.01,0.0,"1,212,242",82.0,477.0
