date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,177.06,185.0,176.03,183.65,206927,False
1,2026-06-30,178.25,179.89,175.0,177.7,173038,False
2,2026-06-29,179.3,181.38,176.99,177.73,139970,False
3,2026-06-24,180.43,181.94,178.99,179.19,160016,False
4,2026-06-23,185.7,185.7,178.01,179.02,142986,False
5,2026-06-22,186.22,186.95,183.5,183.72,54337,False
6,2026-06-19,188.56,190.5,185.0,186.22,36470,False
7,2026-06-18,186.98,192.89,185.0,188.56,102537,False
8,2026-06-17,188.11,188.11,185.0,186.12,35163,False
9,2026-06-16,182.98,186.2,182.5,184.74,59114,False
10,2026-06-15,184.98,184.98,180.02,182.49,49375,False
11,2026-06-12,180.49,183.0,179.51,181.91,54950,False
12,2026-06-11,179.5,180.31,178.01,179.51,2570,False
13,2026-06-10,181.0,181.0,177.5,177.87,62016,False
14,2026-06-09,182.0,182.0,180.07,180.8,20565,False
15,2026-06-08,181.82,181.82,178.5,180.24,12116,False
16,2026-06-05,182.3,186.0,180.36,181.82,18251,False
17,2026-06-04,178.81,183.0,178.81,182.4,47496,False
18,2026-06-03,180.95,180.95,170.1,180.01,21611,False
19,2026-06-02,181.4,181.4,178.01,180.2,13893,False
20,2026-06-01,182.0,182.49,178.01,180.11,12317,False
21,2026-05-29,181.95,182.5,180.02,180.77,45767,False
22,2026-05-25,182.99,182.99,179.88,181.35,34318,False
23,2026-05-22,181.88,181.88,179.0,179.87,29445,False
24,2026-05-21,180.99,183.9,179.0,179.89,98080,False
25,2026-05-20,180.9,180.9,178.0,179.13,20039,False
26,2026-05-19,177.01,179.0,177.01,178.99,71794,False
27,2026-05-18,178.0,179.0,170.05,176.73,25275,False
28,2026-05-15,178.3,181.5,177.02,178.99,44424,False
29,2026-05-14,180.0,180.0,178.5,178.68,10213,False
30,2026-05-13,180.99,180.99,179.0,179.79,7110,False
31,2026-05-12,181.49,181.89,178.95,179.16,23957,False
32,2026-05-11,180.0,181.95,179.0,180.26,16464,False
33,2026-05-08,181.33,183.0,180.05,180.97,14436,False
34,2026-05-07,184.0,184.0,180.0,181.33,56578,False
35,2026-05-06,180.7,184.0,179.02,182.69,29431,False
36,2026-05-05,181.0,181.97,176.0,178.99,37186,False
37,2026-05-04,179.94,184.9,178.0,178.87,36168,False
38,2026-04-30,180.4,183.89,173.0,180.71,56244,False
39,2026-04-29,185.5,185.95,183.03,184.39,26941,False
40,2026-04-28,182.95,185.0,182.95,184.42,106479,False
41,2026-04-27,183.89,184.75,182.0,183.23,49586,False
42,2026-04-24,184.45,184.45,181.25,183.89,31062,False
43,2026-04-23,185.0,185.7,182.85,185.01,76746,False
44,2026-04-22,184.36,185.99,183.12,185.27,73294,False
45,2026-04-21,182.5,186.5,182.5,184.36,110615,False
46,2026-04-20,185.0,185.0,180.02,181.73,34348,False
47,2026-04-17,184.98,185.9,182.01,185.28,65301,False
48,2026-04-16,182.01,184.0,181.0,182.81,36614,False
49,2026-04-15,188.8,188.8,180.1,181.53,48272,False
50,2026-04-14,177.99,179.47,177.01,178.33,24371,False
51,2026-04-13,176.01,179.98,175.15,176.68,31558,False
52,2026-04-10,182.98,184.85,176.11,180.22,43537,False
53,2026-04-09,187.0,187.0,178.0,181.2,102488,False
54,2026-04-08,177.11,189.0,177.1,186.39,226586,False
55,2026-04-07,171.0,175.0,170.0,173.84,17678,False
56,2026-04-06,171.09,173.99,166.5,171.08,24488,False
57,2026-04-03,171.86,179.89,167.02,171.09,15899,False
58,2026-04-02,172.95,173.01,170.0,171.86,29268,False
59,2026-04-01,171.83,177.8,171.83,174.84,54800,False
60,2026-03-31,168.99,172.0,168.99,171.83,17163,False
61,2026-03-30,170.67,174.99,166.12,167.93,96980,False
62,2026-03-27,170.0,171.52,170.0,170.67,30979,False
63,2026-03-26,171.01,172.0,170.0,170.02,59841,False
64,2026-03-25,173.0,173.0,170.01,171.42,33830,False
65,2026-03-24,171.0,174.0,170.0,171.7,9566,False
66,2026-03-19,170.08,171.92,169.5,170.03,79711,False
67,2026-03-18,173.98,173.98,170.0,170.07,68169,False
68,2026-03-17,169.99,171.0,166.0,170.01,254042,False
69,2026-03-16,170.91,178.98,170.0,170.01,52627,False
70,2026-03-13,170.79,171.73,160.1,170.91,57507,False
71,2026-03-12,172.34,173.0,169.05,170.78,45750,False
72,2026-03-11,174.94,175.01,170.31,172.34,16466,False
73,2026-03-10,172.0,178.0,170.0,170.08,174881,False
74,2026-03-09,169.16,175.3,153.51,166.41,131507,False
75,2026-03-06,175.42,177.49,170.0,170.38,42772,False
76,2026-03-05,168.0,175.98,168.0,175.42,20320,False
77,2026-03-04,171.0,174.35,168.0,169.15,123491,False
78,2026-03-03,152.05,171.95,152.05,171.08,101710,False
79,2026-03-02,170.0,171.0,157.19,157.86,1046044,False
80,2026-02-27,174.7,178.3,174.0,174.65,49361,False
81,2026-02-26,173.5,175.25,171.07,175.0,41129,False
82,2026-02-25,172.5,179.0,172.11,172.71,49108,False
83,2026-02-24,176.99,177.0,166.0,171.98,47803,False
84,2026-02-23,182.49,182.49,174.0,174.99,39699,False
85,2026-02-20,183.99,183.99,174.0,178.63,16237,False
86,2026-02-19,184.8,186.91,176.05,178.17,91667,False
87,2026-02-18,175.1,185.0,175.1,184.23,103923,False
88,2026-02-17,179.99,181.99,173.11,175.39,325184,False
89,2026-02-16,193.0,193.0,178.0,178.84,220749,False
90,2026-02-13,197.89,197.89,188.0,193.57,54534,False
91,2026-02-12,197.96,197.96,190.0,193.46,47364,False
92,2026-02-11,197.25,197.9,187.2,196.58,61930,False
93,2026-02-10,197.0,198.0,194.5,197.04,45836,False
94,2026-02-09,200.11,202.49,196.0,196.29,50793,False
95,2026-02-06,205.6,205.61,197.0,200.04,77172,False
96,2026-02-04,201.2,205.59,201.17,204.96,76889,False
97,2026-02-03,198.0,201.9,198.0,201.17,97478,False
98,2026-02-02,199.87,202.0,197.0,197.99,46307,False
99,2026-01-30,199.39,204.0,197.0,199.87,37554,False
100,2026-01-29,206.0,206.0,198.1,199.36,137995,False
101,2026-01-28,203.0,203.0,202.0,202.54,13671,False
102,2026-01-27,204.0,205.0,202.02,202.96,41629,False
103,2026-01-26,201.57,204.97,201.0,202.64,42898,False
104,2026-01-23,206.62,208.44,200.01,203.57,70652,False
105,2026-01-22,210.9,210.9,205.95,206.62,48963,False
106,2026-01-21,208.41,215.0,206.5,208.56,228045,False
107,2026-01-20,199.9,210.99,198.0,207.36,302599,False
108,2026-01-19,199.0,200.99,198.0,199.94,86331,False
109,2026-01-16,193.7,199.98,193.7,198.47,102681,False
110,2026-01-15,195.0,197.0,193.48,193.7,63873,False
111,2026-01-14,198.0,199.0,196.0,197.34,36685,False
112,2026-01-13,197.06,199.0,194.1,197.82,123182,False
113,2026-01-12,202.0,202.0,196.95,197.05,133942,False
114,2026-01-09,202.5,204.9,200.0,200.37,113962,False
115,2026-01-08,199.88,204.0,197.69,202.38,199440,False
116,2026-01-07,199.7,199.7,194.36,198.14,108840,False
117,2026-01-06,196.0,199.71,191.03,198.05,254271,False
118,2026-01-05,189.54,199.5,189.54,195.9,329069,False
119,2026-01-02,187.0,190.5,186.77,189.54,126515,False
120,2026-01-01,182.7,186.0,182.0,185.37,133789,False
121,2025-12-31,182.5,184.0,180.0,182.77,164272,False
122,2025-12-30,183.25,183.25,182.5,183.01,30191,False
123,2025-12-29,182.09,183.84,180.01,182.67,53889,False
124,2025-12-26,181.47,182.4,180.0,182.09,83908,False
125,2025-12-24,179.57,182.78,179.06,181.07,34646,False
126,2025-12-23,180.26,181.98,179.0,180.54,33682,False
127,2025-12-22,181.52,181.99,178.57,180.26,26428,False
128,2025-12-19,182.82,182.82,180.0,180.41,29559,False
129,2025-12-18,180.99,183.7,180.55,182.58,148398,False
130,2025-12-17,181.0,181.0,177.02,179.96,64363,False
131,2025-12-16,179.01,181.87,177.8,179.81,62801,False
132,2025-12-15,182.74,182.96,179.8,180.09,145130,False
133,2025-12-12,182.5,183.0,176.0,181.87,28533,False
134,2025-12-11,181.27,184.0,181.27,182.73,11633,False
135,2025-12-10,183.89,183.89,182.01,183.04,32763,False
136,2025-12-09,181.69,184.0,181.0,182.96,96730,False
137,2025-12-08,180.05,182.0,179.0,181.69,34230,False
138,2025-12-05,180.0,182.98,178.5,178.89,38087,False
139,2025-12-04,178.11,180.99,178.11,179.99,41052,False
140,2025-12-03,183.0,184.0,179.0,179.64,63576,False
141,2025-12-02,182.57,184.88,181.61,182.39,29583,False
142,2025-12-01,184.44,184.44,181.0,182.57,76333,False
143,2025-11-28,177.74,181.2,177.73,180.85,38380,False
144,2025-11-27,176.0,178.0,175.02,177.73,33940,False
145,2025-11-26,174.24,177.45,173.1,175.7,27260,False
146,2025-11-25,176.48,176.93,174.75,175.48,16933,False
147,2025-11-24,176.48,176.5,175.0,175.67,14636,False
148,2025-11-21,174.99,177.0,173.01,174.77,49679,False
149,2025-11-20,173.01,177.0,172.01,174.1,122065,False
150,2025-11-19,174.99,175.0,172.8,173.05,27131,False
151,2025-11-18,175.67,178.0,173.0,173.46,106943,False
152,2025-11-17,173.5,175.5,173.5,174.67,52288,False
153,2025-11-14,172.55,174.89,172.0,173.03,259043,False
154,2025-11-13,171.01,174.95,171.0,171.48,41394,False
155,2025-11-12,173.9,176.6,170.0,170.71,127898,False
156,2025-11-11,179.34,179.34,171.11,173.24,101830,False
157,2025-11-10,183.97,183.97,170.01,179.34,68368,False
158,2025-11-07,181.12,184.98,178.1,180.68,84191,False
159,2025-11-06,184.95,184.95,181.5,183.27,16646,False
160,2025-11-05,183.5,185.75,183.0,183.2,135141,False
161,2025-11-04,185.0,188.89,184.0,184.29,108775,False
162,2025-11-03,184.0,189.4,183.99,185.59,123143,False
163,2025-10-31,182.0,186.0,179.2,184.85,139448,False
164,2025-10-30,185.0,189.9,182.5,182.96,110194,False
165,2025-10-29,186.02,187.82,184.0,184.4,57729,False
166,2025-10-28,192.9,192.9,186.11,186.95,95300,False
167,2025-10-27,189.81,193.0,184.05,190.24,108025,False
168,2025-10-24,194.0,194.0,187.0,189.81,157188,False
169,2025-10-23,206.0,206.0,192.0,193.85,500684,False
170,2025-10-22,206.46,206.46,200.0,202.85,139909,False
171,2025-10-21,207.98,212.0,205.64,206.46,517108,False
172,2025-10-20,203.26,209.0,202.55,206.38,259961,False
173,2025-10-17,207.0,207.9,199.99,202.55,268883,False
174,2025-10-16,208.0,212.01,205.9,206.21,687217,False
175,2025-10-15,198.0,210.6,197.8,205.91,1491478,False
176,2025-10-14,189.05,198.02,189.05,195.41,479594,False
177,2025-10-13,195.0,195.0,188.01,188.33,176768,False
178,2025-10-10,198.25,198.25,193.01,195.85,217900,False
179,2025-10-09,198.0,204.16,193.0,197.94,831254,False
180,2025-10-08,200.97,203.0,195.02,197.44,746363,False
181,2025-10-07,191.98,202.0,187.15,198.35,1892553,False
182,2025-10-06,188.0,189.95,184.5,186.17,362558,False
183,2025-10-03,195.0,196.49,183.51,184.33,721770,False
184,2025-10-02,176.0,192.79,175.9,192.79,1765109,False
185,2025-10-01,173.0,176.0,172.0,175.26,381808,False
186,2025-09-30,170.0,177.5,170.0,171.93,430926,False
187,2025-09-29,170.0,172.0,169.06,170.07,329318,False
188,2025-09-26,167.0,172.15,167.0,168.22,313529,False
189,2025-09-25,169.0,169.74,167.0,168.37,33526,False
190,2025-09-24,167.8,169.94,167.5,168.33,108012,False
191,2025-09-23,170.99,171.68,165.01,167.75,199810,False
192,2025-09-22,171.0,171.99,168.0,169.09,96490,False
193,2025-09-19,172.5,172.5,169.8,170.06,161660,False
194,2025-09-18,171.0,172.5,170.55,171.68,76218,False
195,2025-09-17,171.5,171.5,170.05,170.89,41051,False
196,2025-09-16,172.0,172.0,170.5,171.0,64234,False
197,2025-09-15,171.2,172.0,170.5,171.59,30114,False
198,2025-09-12,172.65,173.0,171.0,171.29,53059,False
199,2025-09-11,173.34,175.32,172.0,172.35,65307,False
200,2025-09-10,173.99,175.48,173.0,173.34,40298,False
201,2025-09-09,175.99,176.0,173.5,173.67,129489,False
202,2025-09-08,175.99,176.85,174.0,174.03,91868,False
203,2025-09-05,175.5,176.0,174.15,174.64,54453,False
204,2025-09-04,175.0,176.5,172.31,174.09,62932,False
205,2025-09-03,175.85,177.5,173.96,174.58,99040,False
206,2025-09-02,177.26,178.99,171.11,175.05,142724,False
207,2025-09-01,177.24,179.0,176.5,177.26,47612,False
208,2025-08-29,178.0,178.95,175.01,177.24,117662,False
209,2025-08-28,182.99,182.99,178.1,178.92,174750,False
210,2025-08-27,184.8,184.8,180.01,180.89,30857,False
211,2025-08-26,188.0,188.0,181.0,182.39,136192,False
212,2025-08-25,187.12,188.88,185.0,185.5,39867,False
213,2025-08-22,185.0,190.0,185.0,187.03,57085,False
214,2025-08-21,195.5,196.0,185.11,186.75,148386,False
215,2025-08-20,192.5,193.97,191.0,193.07,149718,False
216,2025-08-19,190.0,191.95,189.0,190.85,88920,False
217,2025-08-18,189.99,191.97,188.8,189.44,47726,False
218,2025-08-15,186.6,191.0,186.0,189.3,75429,False
219,2025-08-13,188.0,188.0,186.0,187.1,109210,False
220,2025-08-12,189.1,190.2,182.01,187.6,85082,False
221,2025-08-11,186.89,189.98,186.0,188.81,118451,False
222,2025-08-08,188.0,190.0,186.5,186.89,83813,False
223,2025-08-07,187.75,190.0,185.0,186.86,147902,False
224,2025-08-06,180.5,189.8,180.5,187.71,225848,False
225,2025-08-05,186.9,186.9,183.51,184.42,20796,False
226,2025-08-04,185.0,186.9,182.16,184.55,252784,False
227,2025-08-01,184.0,185.1,182.0,183.39,90871,False
228,2025-07-31,182.39,185.19,180.12,183.26,292158,False
229,2025-07-30,178.8,185.0,178.0,182.58,563891,False
230,2025-07-29,179.19,192.99,173.0,177.56,1457615,False
231,2025-07-28,189.0,193.39,177.5,179.19,376113,False
232,2025-07-25,196.1,199.0,186.5,188.33,651078,False
233,2025-07-24,206.0,208.0,194.2,196.04,441985,False
234,2025-07-23,208.0,212.0,203.1,205.12,591777,False
235,2025-07-22,205.0,219.8,203.0,205.98,1427695,False
236,2025-07-21,202.47,206.87,200.0,202.13,200460,False
237,2025-07-18,211.85,211.99,198.5,202.47,312886,False
238,2025-07-17,206.0,218.09,205.0,209.57,1450450,False
239,2025-07-16,204.8,218.0,200.01,205.4,1349304,False
240,2025-07-15,186.1,198.73,186.0,198.72,1392563,False
241,2025-07-14,164.3,180.66,164.3,180.66,770734,False
242,2025-07-11,168.0,170.0,163.0,164.24,186252,False
243,2025-07-10,170.69,170.7,167.0,169.89,71378,False
244,2025-07-09,168.0,171.89,166.0,168.58,18822,False
245,2025-07-08,170.9,171.98,168.0,169.99,82981,False
246,2025-07-07,161.25,169.0,161.25,167.72,150541,False
247,2025-07-04,157.1,168.0,154.11,162.17,307886,False
248,2025-07-03,155.0,157.98,152.5,157.01,205169,False
249,2025-07-02,150.75,159.0,148.1,154.95,183086,False
250,2025-07-01,141.99,154.0,139.0,150.8,301875,False
251,2025-06-30,141.29,143.42,139.05,141.0,161888,False
252,2025-06-27,138.0,142.5,137.0,141.29,131188,False
253,2025-06-26,141.85,141.98,134.0,135.43,124758,False
254,2025-06-25,139.75,142.0,137.3,141.82,199010,False
255,2025-06-24,138.1,142.96,137.0,137.25,158297,False
256,2025-06-23,140.0,140.0,136.5,136.91,18729,False
257,2025-06-20,140.55,143.0,140.4,140.91,69775,False
258,2025-06-19,144.48,144.98,138.0,140.32,125843,False
259,2025-06-18,141.1,146.95,141.1,142.79,21090,False
260,2025-06-17,143.17,149.89,139.0,146.03,70791,False
261,2025-06-16,139.0,145.0,137.25,143.17,25060,False
262,2025-06-13,143.99,143.99,138.13,138.56,40634,False
263,2025-06-12,140.0,147.0,139.06,142.75,186539,False
264,2025-06-11,141.97,144.99,137.26,141.66,93098,False
265,2025-06-10,135.16,143.0,135.03,139.02,119056,False
266,2025-06-05,137.55,137.55,134.85,135.01,31162,False
267,2025-06-04,129.0,138.5,129.0,137.64,409153,False
268,2025-06-03,128.8,129.6,127.18,129.0,116545,False
269,2025-06-02,129.72,129.76,127.01,128.09,47420,False
270,2025-05-30,128.25,130.19,127.0,129.72,74566,False
271,2025-05-29,127.99,128.5,126.8,127.39,33012,False
272,2025-05-27,127.01,127.95,126.01,127.6,6297,False
273,2025-05-26,128.03,128.1,127.0,127.94,17597,False
274,2025-05-23,129.78,129.78,126.5,128.01,45873,False
275,2025-05-22,128.98,129.0,128.03,128.1,21654,False
276,2025-05-21,129.15,129.9,127.75,128.24,24031,False
277,2025-05-20,129.49,129.55,127.58,128.96,21019,False
278,2025-05-19,128.0,129.6,127.06,129.1,39323,False
279,2025-05-16,127.05,128.89,127.05,128.03,26538,False
280,2025-05-15,128.85,128.85,127.0,127.84,36927,False
281,2025-05-14,127.0,128.5,126.72,127.03,70328,False
282,2025-05-13,131.95,131.95,127.0,127.84,174694,False
283,2025-05-12,133.99,133.99,126.06,131.13,149961,False
284,2025-05-09,125.1,128.5,125.0,125.24,42495,False
285,2025-05-08,128.99,128.99,124.0,125.0,189004,False
286,2025-05-07,122.0,129.49,122.0,125.03,14089,False
287,2025-05-06,131.0,131.0,127.1,128.87,25480,False
288,2025-05-05,133.5,133.5,129.97,130.0,62197,False
289,2025-05-02,134.0,135.99,133.5,134.83,174947,False
290,2025-04-30,132.01,134.98,132.01,134.08,68854,False
291,2025-04-29,132.2,135.0,129.5,134.31,51324,False
292,2025-04-28,130.99,132.49,130.0,131.78,64700,False
293,2025-04-25,130.0,131.0,127.5,129.99,80391,False
294,2025-04-24,130.0,132.97,129.5,129.97,47001,False
295,2025-04-23,132.2,132.88,130.15,130.33,6368,False
296,2025-04-22,133.0,133.0,130.5,131.9,18634,False
297,2025-04-21,127.87,132.49,127.87,131.76,63183,False
298,2025-04-18,130.01,130.01,127.8,127.87,76072,False
299,2025-04-17,130.0,130.95,129.02,129.88,20467,False
300,2025-04-16,131.9,132.95,129.85,130.1,192965,False
301,2025-04-15,134.5,134.5,130.9,131.18,89239,False
302,2025-04-14,134.88,134.88,133.1,133.98,8458,False
303,2025-04-11,135.0,136.0,132.0,133.0,434724,False
304,2025-04-10,135.99,135.99,133.79,133.99,26621,False
305,2025-04-09,135.99,135.99,133.0,134.04,16132,False
306,2025-04-08,134.0,135.0,134.0,134.01,49572,False
307,2025-04-07,136.74,137.0,130.0,133.06,69053,False
308,2025-04-04,135.98,138.9,135.98,136.74,67580,False
309,2025-04-03,134.99,135.89,134.5,135.69,4033,False
310,2025-03-27,134.84,134.84,133.01,134.1,2554,False
311,2025-03-26,133.8,134.9,131.51,133.5,2791123,False
312,2025-03-25,134.13,134.4,132.0,133.95,20999,False
313,2025-03-24,135.96,135.96,134.0,134.13,3432,False
314,2025-03-21,135.95,135.96,134.9,134.9,1251,False
315,2025-03-20,135.0,135.0,133.4,134.85,1569,False
316,2025-03-19,135.97,135.97,132.7,134.97,2557,False
317,2025-03-18,132.6,135.89,132.6,133.55,10046,False
318,2025-03-17,135.97,135.97,132.03,134.99,15781,False
319,2025-03-14,133.01,134.9,132.0,134.52,10766,False
320,2025-03-13,134.0,134.0,131.99,132.64,23035,False
321,2025-03-12,136.06,138.0,135.1,136.01,51188,False
322,2025-03-11,138.9,138.9,136.02,137.09,44916,False
323,2025-03-10,138.0,138.0,137.4,137.43,61189,False
324,2025-03-07,139.8,140.0,137.05,139.01,24124,False
325,2025-03-06,139.84,139.84,137.4,137.65,64364,False
326,2025-03-05,138.5,139.9,137.07,137.15,24105,False
327,2025-03-04,137.5,139.49,137.5,138.5,9696,False
328,2025-03-03,137.0,138.98,136.02,137.38,1499,False
329,2025-02-28,139.0,139.99,137.1,137.35,76162,False
