date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,985.0,999.0,980.0,995.32,195901,False
1,2026-06-30,984.49,989.0,971.0,984.39,35985,False
2,2026-06-29,955.0,974.0,955.0,970.76,18413,False
3,2026-06-24,965.0,975.0,954.98,966.44,45924,False
4,2026-06-23,969.99,975.0,960.0,961.39,174728,False
5,2026-06-22,980.0,980.0,955.0,963.26,93261,False
6,2026-06-19,952.2,988.98,948.5,954.49,24286,False
7,2026-06-18,960.0,990.0,950.0,978.67,37721,False
8,2026-06-17,951.0,959.5,940.0,951.37,48045,False
9,2026-06-16,929.99,950.0,906.0,948.13,25279,False
10,2026-06-15,901.0,930.5,900.0,924.24,61357,False
11,2026-06-12,890.0,898.0,888.0,888.88,4901,False
12,2026-06-11,885.0,890.0,881.5,884.79,5161,False
13,2026-06-10,887.0,888.04,885.0,885.95,6241,False
14,2026-06-09,885.0,895.0,882.0,888.23,3176,False
15,2026-06-08,880.0,885.0,870.0,884.45,6690,False
16,2026-06-05,890.23,894.9,888.0,889.73,9718,False
17,2026-06-04,893.99,893.99,861.3,889.8,7085,False
18,2026-06-03,897.5,897.5,880.0,886.36,16246,False
19,2026-06-02,880.0,896.0,878.0,889.43,9223,False
20,2026-06-01,897.25,903.9,880.0,884.95,29934,False
21,2026-05-29,889.98,899.0,885.0,894.96,30922,False
22,2026-05-25,885.0,896.99,880.0,883.75,27581,False
23,2026-05-22,863.01,876.0,863.01,871.15,27514,False
24,2026-05-21,850.0,869.9,849.52,861.32,735243,False
25,2026-05-20,856.0,868.0,840.0,844.27,33747,False
26,2026-05-19,863.0,876.0,838.0,855.52,10656,False
27,2026-05-18,866.0,883.95,858.0,862.07,15376,False
28,2026-05-15,878.0,878.0,870.0,874.12,7154,False
29,2026-05-14,885.0,890.0,866.01,869.74,19329,False
30,2026-05-13,888.0,893.99,878.01,879.95,17212,False
31,2026-05-12,892.29,899.79,888.0,888.36,8621,False
32,2026-05-11,911.0,911.0,891.9,892.28,11197,False
33,2026-05-08,918.0,918.0,888.0,891.67,35678,False
34,2026-05-07,922.98,922.98,911.0,918.02,10097,False
35,2026-05-06,913.0,913.0,890.88,909.07,14567,False
36,2026-05-05,897.79,900.0,880.0,896.93,9622,False
37,2026-05-04,889.9,918.65,889.9,897.79,4873,False
38,2026-04-30,900.0,900.0,866.0,882.46,27298,False
39,2026-04-29,923.97,923.97,900.0,907.36,13544,False
40,2026-04-28,924.96,930.0,918.0,919.98,9871,False
41,2026-04-27,917.01,932.97,917.0,919.54,29057,False
42,2026-04-24,929.99,933.0,917.0,920.2,38866,False
43,2026-04-23,881.0,950.0,881.0,928.65,11316,False
