date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,207.0,211.0,205.0,210.28,859748,False
1,2026-06-30,208.9,210.5,200.2,206.33,934669,False
2,2026-06-29,202.62,210.0,202.62,207.99,1623692,False
3,2026-06-24,205.0,206.5,203.0,204.97,663971,False
4,2026-06-23,203.43,208.44,202.51,204.16,1198285,False
5,2026-06-22,203.0,205.0,199.8,202.3,934843,False
6,2026-06-19,206.0,206.5,200.49,202.9,1188047,False
7,2026-06-18,204.99,209.0,204.0,205.4,1985759,False
8,2026-06-17,200.9,206.0,200.88,202.86,1925082,False
9,2026-06-16,198.0,203.8,196.0,200.79,3091526,False
10,2026-06-15,195.0,199.5,189.96,196.82,4533966,False
11,2026-06-12,189.89,190.45,187.0,188.47,911140,False
12,2026-06-11,188.0,188.98,187.0,188.05,152673,False
13,2026-06-10,188.0,190.0,186.99,188.26,315794,False
14,2026-06-09,185.75,190.24,184.62,188.07,455752,False
15,2026-06-08,184.8,184.8,182.0,184.09,187628,False
16,2026-06-05,186.88,186.88,184.01,185.03,240513,False
17,2026-06-04,183.5,186.15,183.5,184.98,146893,False
18,2026-06-03,186.48,186.94,183.0,184.44,267146,False
19,2026-06-02,185.01,187.94,183.31,186.47,269481,False
20,2026-06-01,190.0,190.0,185.9,186.25,379427,False
21,2026-05-29,192.01,193.0,189.75,190.09,637762,False
22,2026-05-25,191.44,194.9,188.0,191.52,2084641,False
23,2026-05-22,188.21,196.46,184.26,188.24,5409717,False
24,2026-05-21,181.0,188.0,180.0,186.24,694034,False
25,2026-05-20,175.0,179.7,174.05,178.45,531044,False
26,2026-05-19,175.0,178.47,174.0,174.46,288118,False
27,2026-05-18,179.99,179.99,172.01,173.98,315148,False
28,2026-05-15,178.97,180.5,177.9,179.75,222427,False
29,2026-05-14,180.98,182.5,177.0,178.31,189595,False
30,2026-05-13,182.99,184.89,180.0,180.31,287817,False
31,2026-05-12,182.01,186.0,182.01,183.09,265889,False
32,2026-05-11,186.0,186.4,182.56,183.19,588016,False
33,2026-05-08,185.06,188.0,185.06,187.38,277384,False
34,2026-05-07,189.5,193.0,187.17,188.38,1185281,False
35,2026-05-06,188.25,190.0,187.0,188.03,1037458,False
36,2026-05-05,187.3,189.49,185.0,186.53,408090,False
37,2026-05-04,185.0,189.99,183.01,187.18,883047,False
38,2026-04-30,185.5,190.0,175.99,181.71,1370713,False
