date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,15.86,16.4,15.86,16.27,6010645,False
1,2026-06-30,15.8,16.08,15.8,15.99,2846643,False
2,2026-06-29,16.09,16.09,15.65,15.72,1592596,False
3,2026-06-24,15.8,16.14,15.7,15.99,1868446,False
4,2026-06-23,16.1,16.14,15.7,15.79,2603595,False
5,2026-06-22,16.21,16.4,15.95,16.0,3017837,False
6,2026-06-19,16.4,16.79,16.02,16.08,10412674,False
7,2026-06-18,15.9,16.3,15.77,16.24,9517822,False
8,2026-06-17,15.48,15.98,15.35,15.84,12269876,False
9,2026-06-16,15.4,15.45,15.09,15.35,6933339,False
10,2026-06-15,15.25,15.55,15.06,15.19,4120304,False
11,2026-06-12,15.02,15.3,14.75,14.97,2083873,False
12,2026-06-11,15.0,15.01,14.6,14.78,1914356,False
13,2026-06-10,15.2,15.29,14.9,15.11,5722616,False
14,2026-06-09,14.55,15.24,14.45,15.17,8480947,False
15,2026-06-08,14.15,14.57,14.15,14.4,1437745,False
16,2026-06-05,14.49,14.66,14.4,14.5,1623081,False
17,2026-06-04,14.48,14.7,14.3,14.48,1684967,False
18,2026-06-03,14.4,14.48,14.23,14.31,1628573,False
19,2026-06-02,14.55,14.7,14.3,14.45,2836691,False
20,2026-06-01,14.35,14.85,12.92,14.37,5720651,False
21,2026-05-29,14.02,14.54,14.02,14.35,2357063,False
22,2026-05-25,14.28,14.4,14.02,14.3,1631615,False
23,2026-05-22,14.25,14.3,13.95,14.0,1282693,False
24,2026-05-21,14.29,14.4,14.1,14.23,1330959,False
25,2026-05-20,14.1,14.13,13.95,14.05,762239,False
26,2026-05-19,14.09,14.29,13.95,14.09,1469292,False
27,2026-05-18,14.15,14.34,13.96,14.0,970127,False
28,2026-05-15,14.41,14.45,14.1,14.23,1052061,False
29,2026-05-14,14.44,14.68,14.35,14.36,724449,False
30,2026-05-13,14.28,14.58,14.21,14.33,1745643,False
31,2026-05-12,14.7,14.9,14.25,14.35,1673950,False
32,2026-05-11,14.75,14.95,14.51,14.67,1697952,False
33,2026-05-08,14.9,15.0,14.65,14.83,1675846,False
34,2026-05-07,15.35,15.4,14.91,15.0,3175893,False
35,2026-05-06,14.5,15.26,14.3,15.08,5309653,False
36,2026-05-05,14.28,14.69,14.0,14.26,2921652,False
37,2026-05-04,14.35,14.85,14.26,14.37,4862288,False
38,2026-04-30,14.0,14.34,13.05,14.2,12745896,False
39,2026-04-29,14.84,14.84,14.18,14.26,5281032,False
40,2026-04-28,14.15,14.75,14.15,14.51,2369334,False
41,2026-04-27,14.39,14.79,14.11,14.47,1871690,False
42,2026-04-24,14.31,14.55,14.1,14.45,2508918,False
43,2026-04-23,14.6,14.68,14.35,14.42,2326086,False
