date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,79.9,83.9,79.83,83.1,779972,False
1,2026-06-30,80.6,81.0,78.5,80.05,979837,False
2,2026-06-29,80.88,81.89,78.26,80.51,347791,False
3,2026-06-24,79.05,80.74,79.0,79.61,590685,False
4,2026-06-23,81.0,81.44,78.38,80.15,174027,False
5,2026-06-22,80.01,82.0,77.5,80.19,313655,False
6,2026-06-19,80.7,82.01,79.12,80.32,338350,False
7,2026-06-18,83.48,84.0,78.03,80.66,462236,False
8,2026-06-17,81.89,82.5,80.2,81.42,359138,False
9,2026-06-16,77.99,82.83,76.51,81.89,939538,False
10,2026-06-15,76.98,79.35,75.85,78.27,957031,False
11,2026-06-12,74.95,75.94,74.0,74.6,343481,False
12,2026-06-11,73.49,74.1,72.3,73.84,341718,False
13,2026-06-10,74.74,75.35,72.99,73.01,444720,False
14,2026-06-09,73.02,75.85,73.02,74.01,433039,False
15,2026-06-08,73.95,73.95,71.9,73.05,22136,False
16,2026-06-05,73.5,74.94,72.7,73.95,202196,False
17,2026-06-04,72.97,74.9,72.0,73.66,213689,False
18,2026-06-03,73.27,73.5,71.26,72.45,132652,False
19,2026-06-02,73.98,73.98,73.06,73.48,33413,False
20,2026-06-01,75.0,75.05,73.11,73.99,104962,False
21,2026-05-29,73.17,76.4,73.17,75.63,220809,False
22,2026-05-25,77.0,77.0,73.55,75.13,226397,False
23,2026-05-22,73.0,74.5,71.03,72.92,546272,False
24,2026-05-21,73.99,74.3,72.2,72.99,867102,False
25,2026-05-20,72.6,73.44,72.05,72.77,178186,False
26,2026-05-19,72.5,74.95,72.0,73.13,160137,False
27,2026-05-18,75.06,75.06,72.14,72.41,166223,False
28,2026-05-15,76.8,77.6,74.11,75.35,414391,False
29,2026-05-14,78.99,81.0,74.33,76.35,439379,False
30,2026-05-13,80.39,82.0,78.11,78.99,116125,False
31,2026-05-12,80.97,80.97,79.0,79.26,44918,False
32,2026-05-11,81.2,81.9,79.46,80.08,212451,False
33,2026-05-08,81.75,83.55,79.6,82.68,255732,False
34,2026-05-07,80.95,82.49,79.99,81.79,428760,False
35,2026-05-06,78.1,83.0,77.99,80.33,325834,False
