date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,110.0,115.0,109.0,112.99,22929384,False
1,2026-06-30,107.88,112.04,107.55,110.23,11735387,False
2,2026-06-29,109.99,113.24,106.5,107.85,14704614,False
3,2026-06-24,107.5,110.7,106.96,109.02,3014347,False
4,2026-06-23,109.0,109.2,107.0,107.8,1082949,False
5,2026-06-22,109.0,109.44,107.05,108.66,1761713,False
6,2026-06-19,109.01,112.29,107.05,107.65,5190262,False
7,2026-06-18,107.99,112.49,107.5,108.6,4376306,False
8,2026-06-17,106.51,108.5,103.3,105.68,4299405,False
9,2026-06-16,100.0,107.0,99.89,105.7,10157703,False
10,2026-06-15,100.0,101.0,98.5,99.77,2550274,False
11,2026-06-12,98.74,99.0,97.25,98.2,2322317,False
12,2026-06-11,95.0,97.98,93.85,96.78,1138565,False
13,2026-06-10,97.62,98.1,94.82,95.33,703707,False
14,2026-06-09,97.95,99.0,97.01,97.62,2093032,False
15,2026-06-08,95.11,97.0,94.51,96.66,592021,False
16,2026-06-05,96.9,97.5,95.66,96.5,891884,False
17,2026-06-04,96.99,97.4,95.9,96.18,525934,False
18,2026-06-03,97.5,97.67,95.61,96.25,302689,False
19,2026-06-02,99.5,101.99,96.85,97.58,1207296,False
20,2026-06-01,100.2,103.0,98.5,99.77,1359947,False
21,2026-05-29,98.94,101.25,98.6,99.73,2728128,False
22,2026-05-25,94.0,100.99,94.0,98.94,4299876,False
23,2026-05-22,93.0,94.24,91.0,92.86,1431295,False
24,2026-05-21,92.0,93.4,91.4,92.58,2207833,False
25,2026-05-20,90.69,91.45,89.52,91.02,1131804,False
26,2026-05-19,90.97,91.0,89.1,89.52,1432715,False
27,2026-05-18,90.02,91.95,88.5,88.95,854557,False
28,2026-05-15,91.04,93.4,89.32,91.75,1612582,False
29,2026-05-14,92.97,94.0,90.32,91.04,2246292,False
30,2026-05-13,94.0,94.79,91.85,92.57,2616865,False
31,2026-05-12,95.01,96.39,93.01,93.61,780542,False
32,2026-05-11,96.25,97.0,95.11,95.93,672905,False
33,2026-05-08,98.35,98.98,95.26,96.26,965979,False
34,2026-05-07,99.0,102.5,97.5,98.38,1899842,False
35,2026-05-06,95.6,102.5,95.25,100.27,4526780,False
36,2026-05-05,92.5,95.54,91.15,94.57,1401888,False
37,2026-05-04,94.1,97.0,92.0,92.94,1110732,False
38,2026-04-30,89.9,94.9,87.5,94.1,2000526,False
39,2026-04-29,97.7,97.7,92.5,92.9,1898759,False
40,2026-04-28,97.0,98.48,96.08,96.56,850411,False
41,2026-04-27,96.7,100.5,94.05,97.19,4363388,False
42,2026-04-24,94.99,98.0,93.25,96.73,824390,False
43,2026-04-23,96.0,97.0,92.07,95.63,1636444,False
44,2026-04-22,97.3,98.39,95.05,95.6,422714,False
45,2026-04-21,97.97,100.32,96.51,97.08,2037162,False
46,2026-04-20,97.01,102.94,94.0,96.65,3658014,False
47,2026-04-17,96.88,99.9,95.1,98.67,4018774,False
48,2026-04-16,96.38,97.5,93.7,94.98,2793522,False
49,2026-04-15,96.0,99.2,94.5,94.84,4180229,False
50,2026-04-14,92.01,95.0,92.01,94.55,1453827,False
51,2026-04-13,90.0,94.0,89.0,90.75,1614412,False
52,2026-04-10,90.95,96.0,90.95,94.39,2200961,False
53,2026-04-09,88.11,92.3,86.11,90.01,3162453,False
54,2026-04-08,89.07,89.07,88.0,89.07,2822829,False
55,2026-04-07,80.85,81.97,80.01,80.97,658857,False
56,2026-04-06,81.5,82.39,78.5,81.45,1078510,False
57,2026-04-03,78.99,83.0,78.3,81.05,569307,False
58,2026-04-02,82.01,83.5,79.9,81.29,2019423,False
59,2026-04-01,83.45,87.99,83.45,85.03,5183978,False
60,2026-03-31,77.0,83.95,76.5,81.81,3755194,False
61,2026-03-30,80.9,80.9,74.98,76.37,3308164,False
62,2026-03-27,82.0,83.0,74.0,80.3,3426765,False
63,2026-03-26,82.99,84.3,80.5,81.03,879824,False
64,2026-03-25,82.5,85.0,82.0,84.13,345218,False
65,2026-03-24,84.88,86.5,81.0,81.89,1517956,False
66,2026-03-19,82.6,84.89,81.0,82.64,1206588,False
67,2026-03-18,80.0,86.44,79.5,83.78,662040,False
68,2026-03-17,79.22,83.0,77.11,79.19,942220,False
69,2026-03-16,80.25,81.0,77.0,79.22,1356532,False
70,2026-03-13,80.74,82.0,78.1,80.27,1569669,False
71,2026-03-12,83.2,83.2,80.11,80.74,332621,False
72,2026-03-11,78.91,83.0,77.11,82.31,2567427,False
