date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,541.99,542.0,538.0,540.57,30849,False
1,2026-06-30,533.11,543.5,533.11,538.24,70787,False
2,2026-06-29,535.5,543.0,533.7,535.67,70785,False
3,2026-06-24,537.05,542.85,534.21,536.82,23856,False
4,2026-06-23,539.8,539.9,534.21,535.16,21312,False
5,2026-06-22,541.0,543.0,535.0,535.75,48258,False
6,2026-06-19,549.99,551.0,538.0,539.58,74727,False
7,2026-06-18,544.41,549.0,544.41,546.98,53022,False
8,2026-06-17,542.0,548.0,536.0,543.6,78256,False
9,2026-06-16,534.99,544.78,533.6,541.75,223507,False
10,2026-06-15,540.0,542.55,528.0,532.77,188311,False
11,2026-06-12,530.25,538.99,530.25,533.69,76286,False
12,2026-06-11,530.43,530.43,525.52,529.49,20061,False
13,2026-06-10,529.26,531.49,525.01,530.43,65602,False
14,2026-06-09,527.98,530.49,524.0,529.26,35131,False
15,2026-06-08,525.0,529.0,522.99,523.39,69270,False
16,2026-06-05,532.05,535.99,525.0,526.62,212673,False
17,2026-06-04,533.01,535.9,530.0,531.98,61396,False
18,2026-06-03,541.99,542.9,531.0,533.01,77200,False
19,2026-06-02,545.01,550.99,538.0,539.57,104088,False
20,2026-06-01,555.2,556.55,542.0,546.66,81068,False
21,2026-05-29,560.0,561.01,554.5,555.2,102946,False
22,2026-05-25,557.0,566.0,557.0,562.86,89068,False
23,2026-05-22,562.19,563.8,555.45,556.7,33167,False
24,2026-05-21,557.44,562.46,555.0,559.89,137683,False
25,2026-05-20,555.4,559.0,547.99,552.09,35078,False
26,2026-05-19,559.97,563.0,553.81,555.4,44343,False
27,2026-05-18,565.0,565.0,555.0,557.18,19073,False
28,2026-05-15,585.0,585.0,560.0,564.29,57635,False
29,2026-05-14,581.2,594.95,573.0,575.23,33709,False
30,2026-05-13,589.99,590.0,580.0,580.64,12486,False
31,2026-05-12,595.0,598.0,585.0,585.68,34262,False
32,2026-05-11,599.0,601.0,583.5,593.43,24086,False
33,2026-05-08,598.0,620.0,591.1,593.6,146975,False
34,2026-05-07,602.0,607.24,598.0,599.21,81382,False
35,2026-05-06,594.99,606.0,594.99,601.33,88624,False
36,2026-05-05,590.0,599.0,585.0,595.29,32522,False
37,2026-05-04,600.0,610.0,587.0,588.88,48860,False
38,2026-04-30,565.11,624.0,560.13,587.49,274279,False
39,2026-04-29,567.0,583.99,565.0,571.6,126079,False
40,2026-04-28,563.01,568.49,560.0,561.64,7840,False
41,2026-04-27,573.99,594.99,559.29,560.03,88580,False
42,2026-04-24,566.0,579.9,560.12,574.15,19978,False
43,2026-04-23,575.46,577.11,566.02,567.81,16161,False
44,2026-04-22,558.01,589.0,558.01,575.46,88652,False
45,2026-04-21,557.0,571.0,557.0,565.75,44779,False
46,2026-04-20,550.62,570.1,550.62,557.16,74709,False
47,2026-04-17,560.0,565.99,558.5,560.97,42251,False
48,2026-04-16,560.0,564.99,556.01,557.71,21715,False
49,2026-04-15,554.95,560.0,551.05,555.87,122705,False
50,2026-04-14,545.99,550.0,539.01,548.87,48539,False
51,2026-04-13,550.62,551.0,530.01,538.49,102819,False
52,2026-04-10,547.97,565.0,547.97,557.63,76546,False
53,2026-04-09,560.0,560.01,544.5,547.97,63128,False
54,2026-04-08,540.0,570.0,539.0,566.42,247952,False
55,2026-04-07,516.0,528.0,510.21,522.85,73295,False
56,2026-04-06,514.9,524.0,504.0,519.66,251742,False
57,2026-04-03,500.0,519.0,495.0,509.4,153349,False
58,2026-04-02,513.99,513.99,501.0,504.2,41985,False
59,2026-04-01,520.0,520.0,513.0,513.49,175913,False
60,2026-03-31,524.9,524.9,514.0,514.93,23662,False
61,2026-03-30,530.0,530.0,517.0,518.33,13815,False
62,2026-03-27,514.99,538.89,514.99,525.45,4473,False
63,2026-03-26,539.0,539.0,520.0,526.42,13116,False
64,2026-03-25,534.88,539.9,523.11,538.13,31220,False
65,2026-03-24,541.0,541.0,519.3,529.94,30727,False
66,2026-03-19,526.28,529.89,510.0,519.3,53091,False
67,2026-03-18,521.99,531.0,520.0,526.28,13168,False
68,2026-03-17,522.0,535.0,513.0,516.77,19387,False
69,2026-03-16,536.0,537.0,511.11,520.46,16935,False
70,2026-03-13,545.0,545.0,532.1,536.01,37449,False
71,2026-03-12,544.99,557.9,544.0,544.87,12531,False
72,2026-03-11,555.39,574.0,544.0,552.53,31489,False
73,2026-03-10,568.6,568.6,530.1,555.38,51290,False
74,2026-03-09,549.74,549.74,485.0,516.91,29335,False
75,2026-03-06,554.44,554.44,525.78,533.14,89980,False
76,2026-03-05,524.98,551.0,516.1,546.65,121039,False
77,2026-03-04,530.91,544.99,511.5,515.72,37290,False
78,2026-03-03,535.99,556.0,524.0,530.88,183524,False
79,2026-03-02,551.0,567.0,528.39,530.72,152808,False
80,2026-02-27,602.0,611.0,589.99,607.1,33435,False
81,2026-02-26,584.55,613.88,578.15,609.25,142117,False
82,2026-02-25,594.0,600.0,575.0,584.81,119921,False
83,2026-02-24,575.0,600.0,575.0,585.85,144121,False
84,2026-02-23,589.58,594.99,570.0,573.93,98547,False
85,2026-02-20,578.0,589.9,565.11,583.94,11126,False
86,2026-02-19,596.0,596.0,578.0,581.11,104073,False
87,2026-02-18,579.89,603.89,576.0,593.62,198555,False
88,2026-02-17,577.23,584.99,561.6,572.36,181657,False
89,2026-02-16,593.18,597.0,570.11,577.23,108019,False
