date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,866.0,875.5,864.01,873.63,281596,False
1,2026-06-30,871.0,890.0,831.0,850.67,1036939,False
2,2026-06-29,895.0,897.88,850.25,870.48,641844,False
3,2026-06-24,901.2,913.88,825.56,889.4,580638,False
4,2026-06-23,906.26,908.95,900.21,905.49,215750,False
5,2026-06-22,915.0,917.0,896.01,904.7,649614,False
6,2026-06-19,910.01,915.8,893.25,910.01,991739,False
7,2026-06-18,919.0,920.52,904.0,914.17,400770,False
8,2026-06-17,900.0,926.99,900.0,917.52,1121070,False
9,2026-06-16,878.98,902.0,874.5,894.62,833013,False
10,2026-06-15,880.0,888.0,870.61,875.23,802980,False
11,2026-06-12,869.9,869.98,855.0,857.01,138414,False
12,2026-06-11,859.0,865.4,859.0,861.05,146827,False
13,2026-06-10,869.0,871.76,861.99,863.85,69392,False
14,2026-06-09,870.0,873.0,868.0,871.76,203855,False
15,2026-06-08,867.97,874.89,860.12,862.21,157082,False
16,2026-06-05,885.0,888.0,868.01,872.46,585778,False
17,2026-06-04,879.0,886.99,877.07,885.31,120551,False
18,2026-06-03,880.5,882.98,875.0,878.96,140202,False
19,2026-06-02,885.0,893.65,880.03,883.19,138850,False
20,2026-06-01,899.0,899.0,880.0,883.39,288122,False
21,2026-05-29,897.0,903.01,885.5,888.18,319674,False
22,2026-05-25,890.5,910.0,890.5,898.63,357750,False
23,2026-05-22,900.9,902.0,886.0,889.53,208121,False
24,2026-05-21,905.0,907.99,893.01,898.46,349638,False
25,2026-05-20,894.0,900.0,892.0,898.37,173830,False
26,2026-05-19,875.11,895.0,875.11,892.15,795095,False
27,2026-05-18,887.87,887.87,869.9,874.05,204074,False
28,2026-05-15,885.0,897.0,883.0,890.79,292378,False
29,2026-05-14,883.0,897.99,878.0,880.72,428055,False
30,2026-05-13,896.9,902.33,882.0,886.09,318481,False
31,2026-05-12,902.15,915.99,891.0,895.73,614594,False
32,2026-05-11,891.1,914.0,891.1,900.89,243428,False
33,2026-05-08,895.9,985.93,885.25,903.72,898529,False
34,2026-05-07,915.89,915.89,886.0,896.3,1206401,False
35,2026-05-06,913.9,928.0,896.1,904.89,1259074,False
36,2026-05-05,896.0,908.95,875.01,900.28,550384,False
37,2026-05-04,934.0,934.0,891.0,898.24,702816,False
38,2026-04-30,930.0,934.98,890.0,917.22,903040,False
