date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,68.8,68.8,65.02,66.08,4830,False
1,2026-06-30,67.51,67.68,66.2,66.78,15258,False
2,2026-06-29,67.88,67.89,66.0,67.08,6368,False
3,2026-06-24,67.9,67.9,65.4,66.48,15429,False
4,2026-06-23,65.75,67.75,65.75,66.69,4513,False
5,2026-06-22,67.03,68.4,65.55,66.51,39653,False
6,2026-06-19,69.6,69.6,66.12,67.03,10943,False
7,2026-06-18,69.9,69.9,67.12,68.06,13972,False
8,2026-06-17,69.65,69.85,67.5,68.1,52083,False
9,2026-06-16,66.37,70.7,66.37,68.0,23151,False
10,2026-06-15,71.0,71.83,65.1,69.54,31332,False
11,2026-06-12,66.5,70.65,64.6,69.32,51670,False
12,2026-06-11,66.0,66.44,63.0,65.64,43531,False
13,2026-06-10,65.5,67.73,65.0,65.11,17206,False
14,2026-06-09,66.89,66.89,63.66,65.85,52785,False
15,2026-06-08,64.5,65.5,63.49,64.77,3313,False
16,2026-06-05,63.12,66.5,63.12,64.77,13056,False
17,2026-06-04,63.99,64.2,63.9,63.84,166,True
18,2026-06-03,63.0,63.88,63.0,63.84,3596,False
19,2026-06-02,63.01,65.5,62.0,63.57,42607,False
20,2026-06-01,64.0,64.91,63.02,63.16,3176,False
21,2026-05-29,65.89,65.89,63.0,64.9,7426,False
22,2026-05-25,64.99,64.99,62.83,63.64,542,False
23,2026-05-22,63.5,64.0,63.01,63.64,5469,False
24,2026-05-21,64.98,65.0,63.05,63.5,1991,False
25,2026-05-20,64.8,64.8,63.0,63.49,6390,False
26,2026-05-19,63.2,64.88,63.0,63.48,29089,False
27,2026-05-18,64.0,64.0,61.0,63.02,17973,False
28,2026-05-15,63.11,64.98,63.11,64.0,14129,False
29,2026-05-14,65.08,65.49,63.0,64.84,31938,False
30,2026-05-13,70.48,70.69,65.03,65.08,352703,False
31,2026-05-12,66.08,72.4,66.07,72.26,782837,False
32,2026-05-11,63.02,65.85,63.02,65.82,1221,False
33,2026-05-08,63.4,64.88,60.01,63.05,16744,False
34,2026-05-07,64.99,64.99,63.27,63.71,4051,False
35,2026-05-06,65.9,65.9,62.0,65.05,1352,False
36,2026-05-05,63.05,63.8,63.0,63.51,2172,False
37,2026-05-04,62.99,64.99,62.99,63.5,2494,False
38,2026-04-30,64.45,65.0,62.0,63.0,13014,False
39,2026-04-29,64.0,64.98,63.0,64.79,9715,False
40,2026-04-28,67.15,69.99,61.59,62.64,39301,False
41,2026-04-27,68.35,71.8,68.0,68.43,11170,False
42,2026-04-24,69.65,73.51,68.0,69.32,120414,False
43,2026-04-23,65.13,72.0,65.13,70.0,68988,False
44,2026-04-22,66.39,71.5,63.5,67.9,88732,False
45,2026-04-21,63.2,66.44,63.2,65.0,1934,False
46,2026-04-20,66.0,66.0,61.16,65.42,2096,False
47,2026-04-17,65.0,67.2,65.0,67.02,7907,False
48,2026-04-16,66.02,66.45,64.0,65.2,14097,False
49,2026-04-15,67.86,68.0,65.0,66.0,6946,False
50,2026-04-14,62.0,67.95,62.0,65.13,8185,False
51,2026-04-13,67.52,67.52,62.35,64.7,5978,False
52,2026-04-10,67.87,69.0,66.0,67.52,5921,False
53,2026-04-09,67.5,67.88,66.12,66.59,2718,False
54,2026-04-08,64.14,68.49,64.14,67.89,4367,False
55,2026-04-07,60.4,67.0,60.4,66.2,12247,False
56,2026-04-06,61.27,64.89,61.27,63.94,355,False
57,2026-04-03,62.95,67.9,60.61,63.94,7197,False
58,2026-04-02,64.95,65.8,63.8,64.0,7205,False
59,2026-04-01,59.02,67.0,59.02,67.0,19646,False
60,2026-03-31,56.95,62.76,56.95,62.0,40118,False
61,2026-03-30,62.48,62.48,56.5,57.05,3037,False
62,2026-03-27,62.49,65.0,58.0,60.7,7785,False
63,2026-03-26,57.99,63.3,54.0,60.86,22661,False
64,2026-03-25,58.0,58.0,52.56,57.75,6162,False
65,2026-03-24,51.61,57.48,51.61,56.05,1310,False
66,2026-03-19,53.11,57.6,52.5,57.07,17595,False
67,2026-03-18,57.57,57.57,50.0,52.36,330,False
68,2026-03-17,56.94,56.94,52.0,52.36,212,False
69,2026-03-16,51.0,53.94,51.0,52.36,236,False
70,2026-03-13,52.99,53.1,52.99,52.36,138,True
71,2026-03-12,54.5,54.59,50.11,52.36,180,False
72,2026-03-11,52.5,54.94,52.15,52.36,5485,False
73,2026-03-10,51.74,56.0,51.74,52.52,1252,False
74,2026-03-09,51.5,52.0,51.21,51.21,11989,False
75,2026-03-06,57.99,57.99,53.13,56.9,2041,False
76,2026-03-05,52.0,55.79,52.0,55.52,1182,False
77,2026-03-04,51.56,55.9,51.0,51.68,758,False
78,2026-03-03,57.79,59.0,50.35,54.13,5509,False
79,2026-03-02,55.71,60.97,55.71,55.74,15319,False
80,2026-02-27,61.42,63.0,61.4,61.9,4302,False
81,2026-02-26,61.89,63.75,60.5,63.5,4284,False
82,2026-02-25,61.06,64.4,60.0,60.27,30442,False
83,2026-02-24,60.12,67.84,55.5,64.07,83294,False
84,2026-02-23,65.97,65.97,60.46,61.67,4336,False
85,2026-02-20,65.0,65.0,63.0,65.0,1954,False
86,2026-02-19,65.0,65.65,65.0,65.0,19704,False
87,2026-02-18,63.1,66.6,63.1,65.0,7296,False
88,2026-02-17,62.03,68.89,62.03,65.59,825,False
89,2026-02-16,68.29,68.29,65.05,65.25,13817,False
90,2026-02-13,64.0,66.5,64.0,64.26,5116,False
91,2026-02-12,66.15,68.5,64.0,64.25,7530,False
92,2026-02-11,67.98,67.98,66.01,66.47,693,False
93,2026-02-10,66.65,68.0,66.65,67.98,3826,False
94,2026-02-09,68.0,68.0,66.26,67.27,6009,False
95,2026-02-06,68.13,69.0,65.06,66.37,11489,False
96,2026-02-04,67.67,71.26,67.67,69.01,14261,False
97,2026-02-03,67.95,72.9,67.0,69.48,83665,False
98,2026-02-02,68.25,68.25,63.0,66.27,15577,False
99,2026-01-30,64.0,69.05,60.15,66.88,26021,False
100,2026-01-29,67.62,69.4,62.15,65.81,11415,False
101,2026-01-28,67.35,68.02,67.35,68.0,3862,False
102,2026-01-27,68.0,70.0,68.0,68.03,649,False
103,2026-01-26,67.37,69.97,67.29,69.03,11055,False
104,2026-01-23,67.88,67.88,67.25,67.75,729,False
105,2026-01-22,67.86,67.86,67.07,67.41,594,False
106,2026-01-21,68.0,68.1,66.65,67.89,17696,False
107,2026-01-20,69.59,69.59,67.71,68.0,11692,False
108,2026-01-19,70.97,70.97,65.25,67.59,22500,False
109,2026-01-16,70.46,71.99,68.0,69.03,8571,False
110,2026-01-15,69.04,70.0,69.0,69.05,13177,False
111,2026-01-14,69.51,70.99,69.01,69.25,11232,False
112,2026-01-13,70.4,71.25,70.4,70.5,12255,False
113,2026-01-12,69.32,72.75,68.68,70.35,21748,False
114,2026-01-09,69.25,69.53,69.25,69.52,2030,False
115,2026-01-08,69.29,71.81,69.29,69.99,6085,False
116,2026-01-07,68.52,71.5,68.52,70.98,19787,False
117,2026-01-06,72.0,72.0,69.0,69.53,10987,False
118,2026-01-05,68.02,70.0,67.05,69.99,43986,False
119,2026-01-02,68.25,69.9,66.8,67.32,15886,False
120,2026-01-01,69.85,69.85,68.0,69.04,4557,False
121,2025-12-31,69.3,69.3,67.17,68.0,8587,False
122,2025-12-30,68.58,69.82,67.0,67.1,33367,False
123,2025-12-29,69.35,69.35,68.01,68.56,17244,False
124,2025-12-26,70.0,70.74,67.0,69.04,17214,False
125,2025-12-24,70.01,70.79,69.7,70.27,9039,False
126,2025-12-23,70.67,70.67,70.0,70.45,17920,False
127,2025-12-22,71.22,71.39,70.4,71.3,15567,False
128,2025-12-19,71.22,74.35,71.22,71.43,123335,False
129,2025-12-18,73.2,74.72,72.31,72.72,146211,False
130,2025-12-17,75.69,75.69,72.02,74.39,35939,False
