date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,35.25,36.59,35.15,36.31,77111046,False
1,2026-06-30,35.37,35.37,35.0,35.09,7774990,False
2,2026-06-29,35.11,35.59,34.95,35.04,23242667,False
3,2026-06-24,35.2,35.64,35.03,35.38,18657800,False
4,2026-06-23,35.2,35.4,34.95,35.12,10499260,False
5,2026-06-22,35.46,35.75,35.03,35.21,17004606,False
6,2026-06-19,36.05,36.29,34.9,35.2,34168331,False
7,2026-06-18,36.24,36.6,35.98,36.05,28865742,False
8,2026-06-17,36.52,36.61,35.95,36.12,33354875,False
9,2026-06-16,36.69,36.69,36.16,36.38,40078444,False
10,2026-06-15,35.75,36.0,35.1,35.73,38636119,False
11,2026-06-12,34.05,35.08,34.02,34.61,52924034,False
12,2026-06-11,33.3,33.8,33.2,33.68,10170624,False
13,2026-06-10,33.4,34.13,33.35,33.67,18236761,False
14,2026-06-09,33.56,33.99,33.55,33.6,6579196,False
15,2026-06-08,33.5,33.5,32.4,33.25,10017278,False
16,2026-06-05,34.5,34.5,33.72,33.79,15286456,False
17,2026-06-04,34.12,34.6,34.12,34.25,18971411,False
18,2026-06-03,33.95,34.15,33.7,33.99,10959410,False
19,2026-06-02,33.93,34.17,33.75,33.96,12168368,False
20,2026-06-01,34.63,34.65,33.9,34.0,20772586,False
21,2026-05-29,34.46,34.92,34.2,34.59,23894150,False
22,2026-05-25,34.95,34.95,34.21,34.53,27289910,False
23,2026-05-22,34.35,34.38,33.6,33.7,17225340,False
24,2026-05-21,34.5,34.5,33.94,34.13,29938595,False
25,2026-05-20,33.0,33.59,32.61,33.43,24570490,False
26,2026-05-19,33.75,33.8,32.81,32.93,19059335,False
27,2026-05-18,33.61,33.8,32.91,33.03,21799814,False
28,2026-05-15,33.88,34.25,33.3,33.94,36512598,False
29,2026-05-14,34.55,34.6,33.45,33.6,22447132,False
30,2026-05-13,34.97,35.2,34.2,34.32,19858345,False
31,2026-05-12,35.71,36.0,34.7,34.91,22931678,False
32,2026-05-11,35.51,36.11,35.31,35.53,21776836,False
33,2026-05-08,36.4,36.69,35.7,36.13,30899031,False
34,2026-05-07,37.0,37.22,35.85,36.73,86327198,False
35,2026-05-06,36.4,36.9,35.73,36.54,68046455,False
36,2026-05-05,34.01,35.3,33.65,35.06,45253274,False
37,2026-05-04,34.9,35.7,34.0,34.49,39635378,False
38,2026-04-30,33.88,34.3,32.0,33.79,68530034,False
39,2026-04-29,35.65,36.11,34.2,34.64,32985150,False
40,2026-04-28,34.93,36.2,34.55,35.5,59572852,False
41,2026-04-27,35.9,37.41,34.12,34.95,126624089,False
42,2026-04-24,34.0,36.78,32.8,36.17,112666903,False
43,2026-04-23,35.7,35.8,33.8,34.22,35136344,False
44,2026-04-22,37.01,37.01,35.8,35.93,51350431,False
45,2026-04-21,37.24,38.2,36.85,37.03,82480938,False
46,2026-04-20,36.4,37.6,35.4,36.6,120854860,False
47,2026-04-17,34.49,37.33,33.94,37.01,153717760,False
48,2026-04-16,34.0,34.97,33.75,33.94,38715831,False
49,2026-04-15,33.8,34.49,33.36,33.97,76132188,False
50,2026-04-14,29.6,31.67,29.6,31.66,87034026,False
51,2026-04-13,29.6,30.1,28.64,28.79,50050559,False
52,2026-04-10,28.33,30.87,28.33,30.87,61154777,False
53,2026-04-09,27.8,28.7,27.1,28.06,50636413,False
54,2026-04-08,27.73,27.73,27.52,27.73,24553745,False
55,2026-04-07,24.9,25.5,24.52,25.21,14305300,False
56,2026-04-06,24.51,25.3,24.5,25.03,16399123,False
57,2026-04-03,24.25,25.35,24.25,24.89,17064102,False
58,2026-04-02,25.49,25.49,24.69,25.19,16953514,False
59,2026-04-01,25.48,27.05,25.3,26.52,49505656,False
60,2026-03-31,24.03,25.2,24.03,24.73,21176541,False
61,2026-03-30,25.74,25.74,23.32,24.26,35921883,False
62,2026-03-27,26.0,26.05,25.51,25.77,14263860,False
63,2026-03-26,26.6,26.6,25.6,25.7,17078881,False
64,2026-03-25,26.15,26.83,26.05,26.64,20723432,False
65,2026-03-24,27.0,27.35,25.87,26.01,24517649,False
66,2026-03-19,26.0,26.15,25.25,25.88,22784791,False
67,2026-03-18,25.64,27.88,25.6,27.55,54733142,False
68,2026-03-17,26.63,27.11,25.31,25.79,32250568,False
69,2026-03-16,27.0,27.8,26.32,26.56,17492619,False
70,2026-03-13,27.5,27.9,26.87,27.26,16327842,False
71,2026-03-12,27.51,28.5,27.25,27.72,20604892,False
72,2026-03-11,27.5,28.84,27.3,27.97,37706784,False
73,2026-03-10,27.5,28.0,27.0,27.28,38630948,False
74,2026-03-09,28.18,28.18,25.45,25.45,33386862,False
75,2026-03-06,29.01,29.1,27.83,28.28,14603681,False
76,2026-03-05,27.85,29.49,27.8,29.21,30397862,False
77,2026-03-04,28.95,28.95,27.71,27.84,22149388,False
78,2026-03-03,28.1,29.5,27.26,28.64,28091733,False
79,2026-03-02,28.53,29.7,28.53,28.53,37016404,False
80,2026-02-27,31.1,32.4,30.0,31.7,30604655,False
81,2026-02-26,29.3,32.32,28.6,31.81,38659618,False
82,2026-02-25,30.7,30.94,29.34,29.52,25128535,False
83,2026-02-24,29.97,31.15,27.31,29.7,49139683,False
84,2026-02-23,33.2,33.2,29.74,30.19,26673106,False
85,2026-02-20,32.94,33.6,30.05,33.04,31618879,False
86,2026-02-19,35.88,35.88,32.2,32.77,28791603,False
