date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,494.98,494.98,485.01,490.16,14926,False
1,2026-06-30,478.0,499.0,478.0,489.96,32596,False
2,2026-06-29,477.04,483.41,477.0,480.43,38885,False
3,2026-06-24,471.0,478.0,471.0,477.04,17584,False
4,2026-06-23,475.0,476.0,471.0,475.48,15504,False
5,2026-06-22,471.01,475.0,471.01,472.03,23594,False
6,2026-06-19,473.46,476.49,468.0,470.73,34498,False
7,2026-06-18,475.0,477.89,471.19,473.46,34669,False
8,2026-06-17,475.01,477.99,471.11,474.17,27407,False
9,2026-06-16,474.97,480.0,473.07,474.61,49186,False
10,2026-06-15,462.5,480.0,462.5,474.44,98392,False
11,2026-06-12,450.22,460.0,446.25,456.6,24915,False
12,2026-06-11,452.99,452.99,445.13,450.21,6221,False
13,2026-06-10,452.0,455.0,446.51,450.04,21284,False
14,2026-06-09,445.75,452.0,445.75,451.89,7924,False
15,2026-06-08,443.5,446.94,442.0,445.75,8634,False
16,2026-06-05,446.0,450.98,445.0,446.63,13005,False
17,2026-06-04,443.0,446.0,440.11,444.93,27803,False
18,2026-06-03,442.59,446.97,440.0,442.96,16627,False
19,2026-06-02,439.02,446.98,439.02,445.41,28653,False
20,2026-06-01,457.12,457.5,437.0,439.02,188886,False
21,2026-05-29,450.01,459.0,450.01,457.0,36884,False
22,2026-05-25,452.02,459.8,452.02,456.89,20975,False
23,2026-05-22,450.1,456.8,450.1,452.95,8090,False
24,2026-05-21,447.0,456.99,447.0,452.33,7662,False
25,2026-05-20,447.01,450.0,440.0,445.03,24495,False
26,2026-05-19,448.0,449.0,444.5,444.92,7527,False
27,2026-05-18,465.55,465.55,444.0,444.91,19863,False
28,2026-05-15,458.0,465.0,457.0,458.22,10490,False
29,2026-05-14,463.0,465.75,460.5,461.31,4072,False
30,2026-05-13,463.97,463.97,458.0,463.68,4649,False
31,2026-05-12,465.98,468.9,450.0,460.85,6478,False
32,2026-05-11,464.81,465.0,460.0,461.56,5896,False
33,2026-05-08,469.0,469.49,460.01,464.76,18029,False
34,2026-05-07,462.0,472.09,452.06,469.38,38522,False
35,2026-05-06,446.8,475.0,444.5,461.98,32569,False
36,2026-05-05,429.0,445.0,429.0,444.45,6444,False
37,2026-05-04,443.01,450.0,441.0,441.54,13611,False
38,2026-04-30,446.0,446.96,440.0,441.74,12656,False
39,2026-04-29,440.85,450.0,440.85,448.39,11742,False
40,2026-04-28,449.51,453.68,440.0,440.85,29121,False
41,2026-04-27,458.0,461.99,454.5,454.86,29988,False
42,2026-04-24,460.0,463.99,449.02,459.57,28269,False
43,2026-04-23,477.1,477.1,464.0,465.39,27586,False
44,2026-04-22,485.0,488.0,481.05,487.1,25544,False
45,2026-04-21,482.01,489.69,482.01,485.67,56437,False
46,2026-04-20,485.0,486.0,470.0,480.79,40140,False
47,2026-04-17,486.0,488.5,480.0,487.99,30827,False
48,2026-04-16,463.75,479.0,463.75,474.91,62048,False
49,2026-04-15,450.04,468.5,450.04,463.75,59650,False
50,2026-04-14,446.22,457.64,446.22,449.5,50898,False
51,2026-04-13,450.0,451.99,441.12,447.14,13751,False
52,2026-04-10,461.98,464.0,456.2,462.03,20815,False
53,2026-04-09,462.0,462.0,450.0,459.43,25712,False
54,2026-04-08,450.0,465.9,441.0,463.47,60917,False
55,2026-04-07,422.99,425.0,413.02,424.26,10603,False
56,2026-04-06,423.73,430.0,410.01,423.06,13541,False
57,2026-04-03,419.98,429.99,413.1,423.78,7952,False
58,2026-04-02,423.59,425.99,410.11,421.49,10747,False
59,2026-04-01,410.01,450.87,410.01,425.37,20989,False
60,2026-03-31,415.0,424.0,399.51,409.88,71244,False
61,2026-03-30,440.0,444.79,401.0,413.02,31146,False
62,2026-03-27,445.0,446.0,442.0,443.54,8201,False
63,2026-03-26,452.0,452.3,445.0,445.82,19616,False
64,2026-03-25,441.0,454.3,441.0,452.89,15413,False
65,2026-03-24,449.8,449.8,435.01,440.53,7300,False
66,2026-03-19,435.74,435.74,430.0,434.95,8803,False
67,2026-03-18,435.24,438.74,435.24,436.05,8946,False
68,2026-03-17,439.9,439.9,433.0,435.36,6586,False
69,2026-03-16,430.0,438.1,430.0,432.0,6056,False
70,2026-03-13,439.0,444.44,439.0,440.02,8408,False
71,2026-03-12,445.0,447.93,437.5,442.01,7072,False
72,2026-03-11,439.43,454.89,437.0,441.36,39341,False
73,2026-03-10,429.98,454.99,386.0,439.43,14422,False
74,2026-03-09,419.99,457.95,417.0,423.68,18946,False
75,2026-03-06,465.0,465.0,450.0,450.6,21327,False
76,2026-03-05,450.0,470.0,450.0,466.69,29041,False
77,2026-03-04,445.0,454.5,440.0,452.94,25359,False
78,2026-03-03,444.68,475.0,439.0,442.14,61556,False
79,2026-03-02,451.0,470.0,444.34,444.68,111194,False
80,2026-02-27,488.0,494.99,470.0,493.71,17537,False
81,2026-02-26,477.24,495.0,475.0,486.57,18721,False
82,2026-02-25,480.0,480.0,475.0,477.24,10256,False
83,2026-02-24,470.0,480.0,461.0,474.32,19071,False
84,2026-02-23,485.0,499.9,461.0,474.98,20183,False
85,2026-02-20,503.99,503.99,472.0,492.92,17709,False
86,2026-02-19,503.02,504.97,466.6,496.4,7563,False
87,2026-02-18,504.99,505.0,502.0,503.02,11303,False
88,2026-02-17,501.0,505.97,499.0,500.81,19297,False
89,2026-02-16,506.1,506.1,500.0,500.69,26666,False
90,2026-02-13,507.0,509.9,500.52,506.06,27984,False
91,2026-02-12,510.0,514.74,504.0,507.03,18647,False
92,2026-02-11,502.0,515.99,502.0,509.65,24433,False
93,2026-02-10,509.0,511.9,500.0,501.97,33825,False
94,2026-02-09,512.5,514.99,508.0,509.86,12011,False
95,2026-02-06,515.0,516.01,509.08,510.28,14840,False
96,2026-02-04,518.0,520.0,513.0,515.72,12692,False
97,2026-02-03,514.1,518.9,512.0,517.97,10001,False
98,2026-02-02,517.1,519.0,510.0,514.05,40841,False
99,2026-01-30,516.0,521.48,515.0,516.9,53331,False
100,2026-01-29,524.39,524.39,517.0,518.67,43737,False
101,2026-01-28,523.99,524.5,521.01,524.39,34522,False
102,2026-01-27,523.1,524.0,520.2,523.83,31384,False
103,2026-01-26,525.0,525.0,523.0,523.29,47107,False
104,2026-01-23,522.01,525.99,522.01,524.64,15242,False
105,2026-01-22,526.75,526.75,520.15,524.13,27894,False
106,2026-01-21,523.1,527.03,519.8,520.84,72817,False
107,2026-01-20,525.0,528.23,523.0,524.99,65561,False
108,2026-01-19,527.9,528.25,524.73,525.1,48386,False
109,2026-01-16,525.0,528.99,524.02,526.83,21738,False
110,2026-01-15,527.0,527.0,520.0,523.18,37693,False
111,2026-01-14,528.5,528.5,522.14,526.3,19912,False
112,2026-01-13,526.0,527.94,522.01,524.65,35864,False
113,2026-01-12,527.01,529.2,525.0,526.08,39910,False
114,2026-01-09,528.26,530.0,527.5,528.61,28277,False
115,2026-01-08,532.49,532.49,525.6,528.26,77643,False
116,2026-01-07,533.4,534.0,527.0,528.36,693033,False
117,2026-01-06,532.11,534.0,527.0,528.35,134011,False
118,2026-01-05,530.0,538.99,527.01,530.0,111438,False
119,2026-01-02,534.5,534.5,528.22,530.0,73742,False
120,2026-01-01,525.2,540.0,525.2,533.57,36009,False
121,2025-12-31,532.0,533.0,524.0,524.69,48237,False
122,2025-12-30,530.6,533.4,529.0,529.79,129383,False
123,2025-12-29,531.01,542.0,529.26,529.95,106061,False
124,2025-12-26,528.11,531.0,528.0,530.47,8946,False
125,2025-12-24,532.8,532.8,527.0,528.11,71429,False
126,2025-12-23,532.15,533.6,527.0,528.59,22964,False
