date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,348.0,348.2,340.0,346.69,1488155,False
1,2026-06-30,340.0,350.0,335.5,345.93,410737,False
2,2026-06-29,340.01,347.74,332.16,338.73,465134,False
3,2026-06-24,323.53,350.0,321.0,339.33,915696,False
4,2026-06-23,322.5,326.0,318.12,323.53,160659,False
5,2026-06-22,326.02,329.0,311.5,320.29,399827,False
6,2026-06-19,333.83,335.0,324.1,325.77,178943,False
7,2026-06-18,328.0,336.0,328.0,333.83,855243,False
8,2026-06-17,329.9,329.9,319.1,326.93,567977,False
9,2026-06-16,320.0,340.0,315.0,325.25,2877271,False
10,2026-06-15,306.0,324.5,302.0,316.73,794343,False
11,2026-06-12,288.01,304.99,286.0,296.17,726023,False
12,2026-06-11,285.05,291.99,285.0,285.66,206191,False
13,2026-06-10,289.99,293.5,285.15,288.03,226114,False
14,2026-06-09,284.44,289.0,284.0,286.81,106588,False
15,2026-06-08,285.0,287.0,280.66,281.29,101110,False
16,2026-06-05,285.0,293.66,284.05,286.74,631460,False
17,2026-06-04,279.0,285.77,275.05,285.0,290257,False
18,2026-06-03,275.0,281.0,272.02,278.18,340012,False
19,2026-06-02,275.51,279.85,275.0,276.55,95973,False
20,2026-06-01,289.0,289.0,272.13,275.24,239246,False
21,2026-05-29,284.99,292.66,282.0,287.13,210542,False
22,2026-05-25,284.8,289.0,279.0,284.86,309585,False
23,2026-05-22,283.98,283.98,273.25,276.5,253304,False
24,2026-05-21,262.98,280.0,262.98,278.82,364237,False
25,2026-05-20,260.01,263.8,257.13,262.17,128852,False
26,2026-05-19,266.0,270.0,256.66,259.61,150686,False
27,2026-05-18,270.0,270.0,262.06,264.36,53818,False
28,2026-05-15,278.0,280.0,269.99,271.31,253100,False
29,2026-05-14,275.0,279.89,274.7,277.45,38678,False
30,2026-05-13,279.9,280.0,274.0,274.56,85673,False
31,2026-05-12,283.13,286.0,277.5,278.01,74783,False
32,2026-05-11,287.0,287.99,284.0,284.7,48242,False
33,2026-05-08,292.99,295.17,271.02,289.3,78071,False
34,2026-05-07,295.0,303.0,292.01,295.17,431253,False
35,2026-05-06,277.0,300.0,277.0,296.03,631345,False
36,2026-05-05,271.0,276.98,269.7,274.13,80036,False
37,2026-05-04,270.18,285.85,270.18,274.31,357001,False
38,2026-04-30,270.0,273.0,260.0,270.18,311155,False
39,2026-04-29,280.0,283.75,271.0,275.49,616199,False
40,2026-04-28,260.25,275.3,260.25,267.81,185563,False
41,2026-04-27,278.0,281.0,268.0,269.37,653348,False
42,2026-04-24,270.0,284.88,269.0,280.53,180042,False
43,2026-04-23,275.98,276.9,271.21,273.34,86298,False
44,2026-04-22,280.6,285.95,270.06,274.16,184735,False
45,2026-04-21,295.16,298.45,281.88,283.28,787654,False
46,2026-04-20,306.3,306.3,291.0,295.16,338059,False
47,2026-04-17,305.99,313.3,304.5,306.26,149964,False
48,2026-04-16,306.0,316.0,301.0,304.66,305723,False
