date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,8.23,8.35,8.15,8.21,11320214,False
1,2026-06-30,8.15,8.22,8.14,8.17,3696569,False
2,2026-06-29,8.2,8.3,8.05,8.09,8781968,False
3,2026-06-24,8.19,8.26,8.14,8.2,12295320,False
4,2026-06-23,8.2,8.27,8.11,8.15,7962702,False
5,2026-06-22,8.33,8.34,8.18,8.2,10159697,False
6,2026-06-19,8.49,8.49,8.2,8.22,12088032,False
7,2026-06-18,8.58,8.64,8.4,8.44,23978768,False
8,2026-06-17,8.41,8.65,8.41,8.5,53028384,False
9,2026-06-16,8.37,8.48,8.3,8.33,14647079,False
10,2026-06-15,8.5,8.5,8.24,8.28,26359188,False
11,2026-06-12,8.15,8.24,8.05,8.08,8451160,False
12,2026-06-11,8.1,8.17,8.05,8.08,5597720,False
13,2026-06-10,8.24,8.31,8.06,8.14,4180394,False
14,2026-06-09,8.19,8.35,8.1,8.24,14867369,False
15,2026-06-08,8.01,8.15,8.0,8.05,5034725,False
16,2026-06-05,8.18,8.27,8.13,8.15,6902292,False
17,2026-06-04,8.19,8.25,8.09,8.16,11903447,False
18,2026-06-03,8.33,8.36,8.04,8.11,16285113,False
19,2026-06-02,8.34,8.5,8.27,8.31,11567013,False
20,2026-06-01,8.31,8.62,8.28,8.37,26728999,False
21,2026-05-29,8.51,8.57,8.33,8.36,15167012,False
22,2026-05-25,8.6,8.65,8.49,8.52,10867649,False
23,2026-05-22,8.57,8.58,8.38,8.4,14351123,False
24,2026-05-21,8.55,8.64,8.5,8.56,15255389,False
25,2026-05-20,8.35,8.49,8.3,8.44,13863399,False
26,2026-05-19,8.52,8.65,8.3,8.38,23945909,False
27,2026-05-18,8.79,8.83,8.37,8.43,24749056,False
28,2026-05-15,8.71,8.99,8.68,8.83,46442244,False
29,2026-05-14,8.79,8.99,8.67,8.8,46184369,False
30,2026-05-13,8.8,8.9,8.66,8.7,37749803,False
31,2026-05-12,8.8,9.24,8.69,8.81,154128151,False
32,2026-05-11,8.6,8.8,8.41,8.66,47390977,False
33,2026-05-08,8.25,8.75,8.15,8.53,84108382,False
34,2026-05-07,8.5,8.61,8.22,8.32,16905134,False
35,2026-05-06,8.35,8.58,8.21,8.44,51315756,False
36,2026-05-05,8.21,8.34,8.11,8.19,16839565,False
37,2026-05-04,8.24,8.58,8.13,8.27,50165739,False
38,2026-04-30,8.2,8.23,7.96,8.12,41437674,False
39,2026-04-29,8.88,8.94,8.29,8.41,105652895,False
40,2026-04-28,8.06,8.83,8.04,8.73,265575993,False
41,2026-04-27,8.0,8.28,7.96,8.05,26627242,False
42,2026-04-24,7.91,8.16,7.85,8.08,33196820,False
43,2026-04-23,8.25,8.29,7.94,7.99,48756066,False
44,2026-04-22,8.12,8.37,8.02,8.23,77182783,False
45,2026-04-21,7.78,8.23,7.68,8.1,83675094,False
46,2026-04-20,7.69,7.87,7.52,7.67,29129499,False
47,2026-04-17,7.5,7.84,7.5,7.74,33693931,False
48,2026-04-16,7.5,7.64,7.43,7.48,11895098,False
49,2026-04-15,7.5,7.62,7.41,7.44,27381914,False
50,2026-04-14,7.31,7.46,7.25,7.33,15548153,False
51,2026-04-13,7.3,7.39,7.19,7.21,12088601,False
52,2026-04-10,7.59,7.65,7.51,7.54,12042928,False
53,2026-04-09,7.51,7.85,7.49,7.51,21827824,False
54,2026-04-08,7.7,7.93,7.5,7.85,76757365,False
55,2026-04-07,7.05,7.37,7.05,7.25,16666679,False
56,2026-04-06,7.32,7.68,7.07,7.21,57956235,False
57,2026-04-03,6.81,7.57,6.8,7.45,97208841,False
58,2026-04-02,6.74,6.93,6.64,6.86,14448806,False
59,2026-04-01,6.75,7.11,6.62,6.95,38009642,False
60,2026-03-31,6.39,6.65,6.39,6.54,6787845,False
61,2026-03-30,6.69,6.7,6.25,6.39,10580402,False
62,2026-03-27,6.83,6.92,6.65,6.69,11652701,False
63,2026-03-26,7.02,7.05,6.79,6.82,15293118,False
64,2026-03-25,7.02,7.15,6.99,7.08,13146177,False
65,2026-03-24,7.07,7.1,6.94,6.99,12866482,False
66,2026-03-19,6.85,6.95,6.8,6.88,8444297,False
67,2026-03-18,6.9,7.04,6.88,6.98,9856619,False
68,2026-03-17,6.95,7.04,6.81,6.92,7177055,False
69,2026-03-16,7.04,7.1,6.88,6.93,14597571,False
70,2026-03-13,6.9,7.01,6.82,6.97,4264025,False
71,2026-03-12,6.98,7.08,6.85,6.91,14060673,False
72,2026-03-11,6.96,7.19,6.92,7.06,27351074,False
73,2026-03-10,6.87,7.13,6.86,6.92,27361886,False
74,2026-03-09,6.85,6.85,6.1,6.55,26386640,False
75,2026-03-06,6.9,7.02,6.61,6.7,22424861,False
76,2026-03-05,6.46,7.1,6.45,6.98,42455129,False
77,2026-03-04,6.35,6.48,6.2,6.41,12140942,False
78,2026-03-03,6.0,6.68,5.87,6.33,25439509,False
79,2026-03-02,6.3,6.58,6.1,6.1,35597815,False
80,2026-02-27,7.02,7.25,7.0,7.1,12282469,False
81,2026-02-26,7.15,7.35,7.0,7.26,18195087,False
82,2026-02-25,7.02,7.55,6.9,7.17,70330560,False
83,2026-02-24,6.7,6.85,6.4,6.62,16691799,False
84,2026-02-23,7.2,7.2,6.5,6.65,11440718,False
85,2026-02-20,7.15,7.2,6.65,7.01,19236660,False
86,2026-02-19,7.59,7.59,7.03,7.15,11918907,False
87,2026-02-18,7.47,7.68,7.47,7.54,23735701,False
88,2026-02-17,7.62,7.75,7.32,7.47,28684833,False
89,2026-02-16,7.83,7.92,7.58,7.62,17129066,False
90,2026-02-13,7.99,7.99,7.75,7.83,16499589,False
91,2026-02-12,8.17,8.19,7.72,7.85,52213728,False
92,2026-02-11,8.38,8.59,8.12,8.16,81776987,False
93,2026-02-10,7.68,8.4,7.68,8.25,189381188,False
94,2026-02-09,7.68,7.73,7.56,7.68,15104619,False
95,2026-02-06,7.67,7.72,7.49,7.53,13681021,False
96,2026-02-04,7.77,7.77,7.63,7.67,6786593,False
97,2026-02-03,7.55,7.8,7.55,7.69,17568646,False
98,2026-02-02,7.63,7.7,7.53,7.55,9777790,False
99,2026-01-30,7.65,7.78,7.58,7.6,11500033,False
100,2026-01-29,7.74,7.84,7.6,7.64,13343739,False
101,2026-01-28,7.89,7.89,7.7,7.74,16011284,False
102,2026-01-27,7.91,7.91,7.69,7.79,12960139,False
103,2026-01-26,8.0,8.05,7.86,7.91,18982265,False
104,2026-01-23,8.04,8.2,7.8,7.96,53384296,False
105,2026-01-22,7.87,8.1,7.84,7.99,33092136,False
106,2026-01-21,7.83,8.07,7.81,7.84,41970813,False
107,2026-01-20,7.8,7.98,7.66,7.83,49293142,False
108,2026-01-19,7.68,7.9,7.6,7.74,27787584,False
109,2026-01-16,7.44,7.66,7.41,7.62,24408560,False
110,2026-01-15,7.44,7.54,7.35,7.4,5942257,False
111,2026-01-14,7.69,7.69,7.43,7.44,10052190,False
112,2026-01-13,7.68,7.74,7.54,7.56,11412085,False
113,2026-01-12,7.7,7.83,7.5,7.56,18908141,False
114,2026-01-09,7.8,7.87,7.58,7.64,18747023,False
115,2026-01-08,7.84,8.02,7.76,7.82,46976797,False
116,2026-01-07,7.74,7.8,7.65,7.75,12077564,False
117,2026-01-06,7.65,7.88,7.5,7.74,41620533,False
118,2026-01-05,7.51,7.83,7.4,7.65,43310326,False
119,2026-01-02,7.57,7.65,7.46,7.51,25132330,False
120,2026-01-01,7.36,7.58,7.36,7.51,17063625,False
121,2025-12-31,7.58,7.6,7.34,7.36,22608036,False
122,2025-12-30,7.24,7.5,7.24,7.42,25608439,False
123,2025-12-29,7.3,7.4,7.18,7.2,11766345,False
124,2025-12-26,7.53,7.53,7.27,7.3,10867321,False
125,2025-12-24,7.46,7.54,7.37,7.39,8891901,False
126,2025-12-23,7.57,7.67,7.39,7.41,16068248,False
127,2025-12-22,7.6,7.6,7.47,7.51,6229312,False
128,2025-12-19,7.7,7.73,7.49,7.58,12731365,False
129,2025-12-18,7.75,7.81,7.69,7.71,4123408,False
130,2025-12-17,7.61,7.82,7.61,7.74,7712623,False
131,2025-12-16,7.68,7.82,7.62,7.65,9665717,False
132,2025-12-15,7.87,7.87,7.65,7.68,7507722,False
133,2025-12-12,7.72,7.85,7.7,7.74,4322854,False
134,2025-12-11,7.87,7.87,7.7,7.72,6841866,False
135,2025-12-10,7.99,8.0,7.76,7.79,9030451,False
136,2025-12-09,8.01,8.04,7.85,7.9,12010183,False
137,2025-12-08,7.93,8.1,7.76,7.93,13767321,False
138,2025-12-05,7.86,8.04,7.75,7.86,22332759,False
