date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,1244.53,1268.0,1240.0,1262.27,8637,False
1,2026-06-30,1243.81,1252.0,1238.06,1244.52,8504,False
2,2026-06-29,1260.0,1260.0,1213.81,1244.83,7775,False
3,2026-06-24,1284.0,1284.0,1252.0,1259.53,21647,False
4,2026-06-23,1258.0,1296.0,1258.0,1280.06,33409,False
5,2026-06-22,1209.08,1267.0,1200.11,1254.11,12029,False
6,2026-06-19,1210.0,1220.0,1190.0,1209.08,13908,False
7,2026-06-18,1189.99,1209.91,1185.0,1208.32,4724,False
8,2026-06-17,1185.0,1192.0,1180.01,1183.08,6950,False
9,2026-06-16,1175.99,1189.99,1170.0,1184.8,21818,False
10,2026-06-15,1174.0,1185.0,1168.2,1170.08,4456,False
11,2026-06-12,1173.99,1175.0,1160.0,1164.09,5142,False
12,2026-06-11,1155.0,1170.0,1155.0,1161.47,832,False
13,2026-06-10,1163.0,1175.0,1154.0,1165.05,3018,False
14,2026-06-09,1169.0,1175.0,1150.01,1159.95,31609,False
15,2026-06-08,1162.0,1162.0,1120.0,1156.26,3398,False
16,2026-06-05,1164.4,1189.9,1160.0,1162.75,25011,False
17,2026-06-04,1152.01,1165.0,1150.0,1164.4,1231,False
18,2026-06-03,1145.0,1165.0,1144.0,1151.91,16409,False
19,2026-06-02,1135.0,1151.8,1135.0,1150.17,11043,False
20,2026-06-01,1131.62,1150.0,1121.01,1148.37,11504,False
21,2026-05-29,1129.74,1140.0,1103.81,1131.62,8428,False
22,2026-05-25,1138.0,1150.0,1115.0,1121.06,26324,False
23,2026-05-22,1155.0,1155.0,1111.53,1137.23,12148,False
24,2026-05-21,1095.21,1118.79,1095.0,1117.46,13335,False
25,2026-05-20,1128.38,1128.38,1095.0,1099.16,3938,False
26,2026-05-19,1104.98,1149.0,1086.05,1095.13,11036,False
27,2026-05-18,1099.8,1110.0,1090.0,1099.43,12405,False
