date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,77.9,79.01,77.9,78.8,1057749,False
1,2026-06-30,78.24,78.59,77.65,77.87,605681,False
2,2026-06-29,79.06,79.65,77.4,77.53,1269418,False
3,2026-06-24,79.35,80.1,78.71,79.05,1795318,False
4,2026-06-23,80.51,80.51,78.55,78.85,1259685,False
5,2026-06-22,80.23,80.9,79.82,80.35,785655,False
6,2026-06-19,82.05,82.05,79.06,80.2,2492628,False
7,2026-06-18,82.0,83.68,81.9,82.01,1562036,False
8,2026-06-17,84.5,85.0,82.16,82.9,1065068,False
9,2026-06-16,82.0,84.8,81.8,83.87,3898867,False
10,2026-06-15,81.0,82.69,80.0,81.78,3062159,False
11,2026-06-12,78.5,79.29,78.01,78.45,1406010,False
12,2026-06-11,76.6,77.55,76.31,77.4,884283,False
13,2026-06-10,77.4,78.28,76.45,76.58,977412,False
14,2026-06-09,79.01,79.25,77.21,77.44,900572,False
15,2026-06-08,77.47,78.53,76.61,77.76,1316190,False
16,2026-06-05,78.49,78.5,77.2,77.75,839006,False
17,2026-06-04,77.98,78.55,77.1,78.0,1191843,False
18,2026-06-03,77.97,79.19,76.85,77.98,1118483,False
19,2026-06-02,76.34,78.86,76.2,77.87,1973583,False
20,2026-06-01,77.2,77.85,75.81,76.38,1067342,False
21,2026-05-29,78.4,78.4,76.95,77.2,2296762,False
22,2026-05-25,79.49,79.49,77.4,77.52,2336089,False
23,2026-05-22,78.01,78.52,77.18,77.4,1245703,False
24,2026-05-21,76.9,78.8,76.9,77.38,1202867,False
25,2026-05-20,74.98,76.2,74.98,75.97,416198,False
26,2026-05-19,76.0,76.49,73.9,74.77,735226,False
27,2026-05-18,77.05,77.53,74.75,75.08,787260,False
28,2026-05-15,78.01,78.5,77.0,77.83,981265,False
29,2026-05-14,78.8,79.48,77.9,78.02,519385,False
30,2026-05-13,79.76,80.0,78.5,78.64,605842,False
31,2026-05-12,80.0,81.1,78.7,79.5,1624468,False
32,2026-05-11,80.0,80.0,78.46,79.14,2318585,False
33,2026-05-08,80.0,81.45,79.1,80.64,1222698,False
34,2026-05-07,79.98,82.4,79.5,81.45,3724064,False
35,2026-05-06,75.02,80.41,75.02,79.98,5239762,False
36,2026-05-05,74.5,74.99,73.25,74.52,480586,False
37,2026-05-04,75.0,76.75,74.05,74.62,995145,False
38,2026-04-30,76.5,76.8,73.0,73.78,2115463,False
39,2026-04-29,79.0,79.51,78.0,78.06,902970,False
40,2026-04-28,79.0,80.1,78.51,79.03,749577,False
41,2026-04-27,79.8,80.88,79.0,79.38,919678,False
42,2026-04-24,78.0,80.99,77.85,80.02,3495095,False
43,2026-04-23,82.8,83.0,79.11,79.76,5847545,False
44,2026-04-22,86.2,86.2,82.7,83.71,4559924,False
45,2026-04-21,86.0,88.8,85.61,86.2,4546157,False
46,2026-04-20,85.21,90.5,82.51,85.07,8852156,False
47,2026-04-17,82.28,90.38,82.28,87.65,6266835,False
48,2026-04-16,83.0,83.8,81.95,82.16,1523943,False
49,2026-04-15,80.99,83.75,80.25,83.1,3234627,False
50,2026-04-14,79.51,80.8,78.51,79.96,1019200,False
51,2026-04-13,79.5,79.5,76.99,77.29,1040190,False
52,2026-04-10,81.5,82.95,80.0,81.4,2416262,False
53,2026-04-09,79.45,81.8,76.82,80.42,4313993,False
54,2026-04-08,79.8,79.87,76.82,79.87,1987907,False
55,2026-04-07,73.04,73.04,71.8,72.61,478577,False
56,2026-04-06,71.4,73.5,71.4,73.04,659546,False
57,2026-04-03,72.1,73.25,71.1,71.59,412867,False
58,2026-04-02,73.0,73.75,72.15,73.49,316706,False
59,2026-04-01,73.1,77.55,73.1,75.84,2441078,False
60,2026-03-31,70.4,73.35,70.34,72.91,603085,False
61,2026-03-30,73.2,73.2,69.25,70.34,1498884,False
62,2026-03-27,73.97,73.97,72.0,73.41,597427,False
63,2026-03-26,75.2,75.2,72.7,72.88,500713,False
64,2026-03-25,74.8,75.8,74.02,75.27,897904,False
65,2026-03-24,74.75,75.9,73.02,73.38,698781,False
66,2026-03-19,73.5,73.5,72.2,72.92,391809,False
67,2026-03-18,74.0,74.9,73.2,74.42,735293,False
68,2026-03-17,74.77,74.77,72.15,73.19,338572,False
69,2026-03-16,75.1,75.1,72.0,72.45,420929,False
70,2026-03-13,74.95,75.6,74.0,75.05,174337,False
71,2026-03-12,75.0,77.59,74.52,74.95,775900,False
72,2026-03-11,75.89,78.4,75.25,76.05,861347,False
73,2026-03-10,74.5,76.47,73.0,75.73,2643350,False
74,2026-03-09,73.07,73.07,70.14,70.14,3009983,False
75,2026-03-06,79.4,79.4,77.41,77.93,355960,False
76,2026-03-05,76.99,80.0,76.1,79.18,1363524,False
77,2026-03-04,76.0,78.39,75.5,76.99,473082,False
78,2026-03-03,71.51,78.5,71.51,77.51,3193520,False
79,2026-03-02,76.51,78.99,75.74,75.74,1174841,False
80,2026-02-27,83.75,85.61,82.6,84.16,1228265,False
81,2026-02-26,80.75,85.44,79.05,84.48,1255126,False
82,2026-02-25,81.0,81.1,78.17,80.28,1153486,False
83,2026-02-24,81.51,82.9,77.6,79.84,1117556,False
84,2026-02-23,86.04,87.0,80.25,81.51,1139305,False
85,2026-02-20,84.35,87.73,78.5,85.98,2838734,False
86,2026-02-19,88.99,88.99,83.21,84.35,912964,False
87,2026-02-18,88.0,89.65,88.0,88.89,1219171,False
88,2026-02-17,88.8,88.8,86.25,87.84,1748299,False
89,2026-02-16,90.5,90.88,87.81,88.28,3235226,False
90,2026-02-13,91.25,92.34,89.25,91.4,4587408,False
91,2026-02-12,93.99,93.99,88.5,91.06,6110288,False
92,2026-02-11,87.99,93.99,87.0,92.24,9060535,False
93,2026-02-10,88.74,89.35,86.96,87.22,1731029,False
94,2026-02-09,89.24,89.5,87.05,88.26,2417137,False
95,2026-02-06,89.5,89.51,87.03,87.51,1220592,False
96,2026-02-04,90.21,91.35,89.0,89.29,2224976,False
97,2026-02-03,85.01,92.49,85.01,89.93,9928330,False
98,2026-02-02,86.7,86.7,84.07,84.67,1099930,False
99,2026-01-30,85.26,87.87,84.8,85.87,1483293,False
100,2026-01-29,87.2,87.2,84.75,85.24,1116975,False
101,2026-01-28,88.0,88.0,86.2,86.65,1337662,False
102,2026-01-27,88.51,88.7,86.67,87.06,1044862,False
103,2026-01-26,90.1,90.3,88.5,88.76,1336381,False
104,2026-01-23,90.6,91.31,89.0,89.81,1943148,False
105,2026-01-22,89.89,91.7,88.4,90.56,4310888,False
106,2026-01-21,90.01,92.48,89.0,89.5,8178103,False
107,2026-01-20,86.0,90.35,84.91,89.61,6265211,False
