date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,38.45,38.45,38.0,38.17,609121,False
1,2026-06-30,39.0,39.16,38.4,38.45,557262,False
2,2026-06-29,37.44,38.85,37.0,38.75,1019894,False
3,2026-06-24,37.3,37.47,36.9,37.34,404506,False
4,2026-06-23,37.3,37.62,37.28,37.35,311601,False
5,2026-06-22,37.19,37.35,37.19,37.27,391174,False
6,2026-06-19,37.3,37.42,36.95,37.19,357524,False
7,2026-06-18,37.03,37.35,37.03,37.3,329311,False
8,2026-06-17,37.2,37.45,36.9,37.18,331590,False
9,2026-06-16,36.92,37.3,36.5,37.2,558549,False
10,2026-06-15,36.5,37.0,36.4,36.92,808453,False
11,2026-06-12,36.29,36.49,36.11,36.37,262749,False
12,2026-06-11,36.2,36.45,36.04,36.26,215603,False
13,2026-06-10,36.15,36.48,36.02,36.22,362382,False
14,2026-06-09,36.35,36.36,36.03,36.2,271681,False
15,2026-06-08,35.95,36.35,35.91,36.18,344864,False
16,2026-06-05,36.1,36.2,36.0,36.14,206477,False
17,2026-06-04,36.11,36.11,35.99,36.06,219389,False
18,2026-06-03,36.13,36.13,36.02,36.09,202338,False
19,2026-06-02,35.9,36.12,35.9,36.1,243528,False
20,2026-06-01,35.95,36.1,35.91,36.03,335918,False
21,2026-05-29,35.8,36.18,35.21,36.06,429077,False
22,2026-05-25,35.92,36.25,35.75,36.0,478590,False
23,2026-05-22,36.1,36.17,35.7,35.88,300151,False
24,2026-05-21,35.97,36.2,35.9,36.02,313864,False
25,2026-05-20,36.14,36.14,35.6,35.97,244391,False
26,2026-05-19,36.0,36.09,34.51,35.83,406829,False
27,2026-05-18,36.39,36.4,35.9,35.95,499018,False
28,2026-05-15,36.14,36.4,36.03,36.11,306593,False
29,2026-05-14,36.25,36.28,36.0,36.11,194113,False
30,2026-05-13,36.3,36.39,36.0,36.13,129669,False
31,2026-05-12,36.31,36.39,36.11,36.23,230394,False
32,2026-05-11,36.27,36.4,36.03,36.29,342429,False
33,2026-05-08,36.2,36.39,35.91,36.27,232885,False
34,2026-05-07,36.25,36.37,35.9,36.24,303251,False
35,2026-05-06,35.97,36.39,35.9,36.21,461113,False
36,2026-05-05,35.96,36.01,35.52,35.97,186432,False
37,2026-05-04,35.9,36.15,35.82,35.96,349593,False
38,2026-04-30,36.18,36.18,35.6,35.71,496446,False
39,2026-04-29,35.85,36.21,35.85,35.94,276692,False
40,2026-04-28,36.0,36.08,35.75,35.99,307716,False
41,2026-04-27,36.08,36.25,35.71,36.19,270466,False
42,2026-04-24,35.8,36.15,35.51,36.08,370611,False
43,2026-04-23,36.1,36.12,35.8,36.02,297982,False
44,2026-04-22,36.1,36.29,35.25,36.05,458407,False
45,2026-04-21,36.2,36.2,35.9,35.94,542539,False
46,2026-04-20,36.2,36.2,35.1,35.93,643537,False
47,2026-04-17,35.97,36.55,35.65,36.27,630010,False
48,2026-04-16,35.5,35.69,35.42,35.65,338941,False
49,2026-04-15,35.58,35.58,35.08,35.42,931815,False
50,2026-04-14,35.8,35.99,34.99,35.07,2123154,False
51,2026-04-13,35.5,35.7,33.01,35.4,619379,False
52,2026-04-10,36.5,36.5,35.84,35.88,1116807,False
53,2026-04-09,36.95,37.05,35.91,36.12,1046960,False
54,2026-04-08,36.78,38.0,36.5,37.17,1952778,False
55,2026-04-07,36.47,36.47,36.01,36.16,287352,False
56,2026-04-06,36.5,36.5,35.7,36.2,566730,False
57,2026-04-03,36.0,36.5,36.0,36.4,380899,False
58,2026-04-02,36.38,36.7,36.0,36.44,682491,False
59,2026-04-01,36.15,36.6,33.0,36.38,711303,False
60,2026-03-31,36.1,36.25,35.7,36.15,6214858,False
61,2026-03-30,35.95,36.5,35.7,35.87,338371,False
62,2026-03-27,36.03,36.2,35.45,35.96,530701,False
63,2026-03-26,36.36,36.5,35.9,36.01,549250,False
64,2026-03-25,35.97,36.59,35.94,36.32,669106,False
65,2026-03-24,36.15,36.25,35.45,35.94,606319,False
66,2026-03-19,35.92,36.01,35.73,35.94,282257,False
67,2026-03-18,35.5,36.1,35.5,35.93,390253,False
68,2026-03-17,35.99,35.99,35.4,35.71,260763,False
69,2026-03-16,35.05,35.99,34.45,35.6,631027,False
70,2026-03-13,36.0,36.0,35.01,35.59,137816,False
71,2026-03-12,35.96,36.0,35.0,35.41,426282,False
72,2026-03-11,36.7,36.99,35.8,35.96,352550,False
73,2026-03-10,35.2,37.0,35.2,36.03,397087,False
74,2026-03-09,35.2,36.0,33.11,34.23,1862032,False
75,2026-03-06,37.5,37.5,36.65,36.71,261160,False
76,2026-03-05,36.84,37.25,36.84,37.11,450817,False
77,2026-03-04,36.15,36.95,35.8,36.84,673394,False
78,2026-03-03,34.94,35.99,34.0,35.91,907093,False
79,2026-03-02,33.57,35.99,33.19,34.95,1779213,False
80,2026-02-27,37.0,37.0,34.6,36.88,724364,False
