date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,224.85,228.75,222.51,227.14,8336417,False
1,2026-06-30,221.01,224.01,220.21,223.27,3511930,False
2,2026-06-29,221.0,224.5,219.2,220.06,4424442,False
3,2026-06-24,219.0,222.4,219.0,221.94,6039710,False
4,2026-06-23,218.3,220.6,215.81,218.62,4223372,False
5,2026-06-22,217.0,218.87,214.8,216.59,2121691,False
6,2026-06-19,219.0,220.2,212.0,215.29,4319271,False
7,2026-06-18,221.5,223.5,218.4,219.1,7324254,False
8,2026-06-17,219.0,221.4,216.01,219.77,6670714,False
9,2026-06-16,222.66,222.66,216.51,217.19,7680389,False
10,2026-06-15,224.9,224.9,215.14,221.05,14463033,False
11,2026-06-12,198.9,208.9,197.8,206.32,14121963,False
12,2026-06-11,192.0,194.9,191.2,194.1,2512358,False
13,2026-06-10,195.48,198.39,193.1,193.46,3192528,False
14,2026-06-09,197.0,198.9,195.4,195.91,2959351,False
15,2026-06-08,193.09,194.98,190.5,193.65,3253432,False
16,2026-06-05,198.7,200.9,196.25,197.2,3541626,False
17,2026-06-04,195.01,198.6,194.52,197.47,4896609,False
18,2026-06-03,193.55,196.2,191.31,192.97,3874914,False
19,2026-06-02,194.55,199.19,194.5,195.66,3867156,False
20,2026-06-01,202.0,202.0,193.01,193.88,5302191,False
21,2026-05-29,195.01,202.75,195.0,200.77,11702415,False
22,2026-05-25,190.25,193.85,187.98,193.33,8769852,False
23,2026-05-22,187.0,188.4,182.98,183.64,1901518,False
24,2026-05-21,185.89,188.66,185.89,186.39,5142869,False
25,2026-05-20,177.5,183.6,172.01,181.87,4319437,False
26,2026-05-19,176.0,178.5,175.52,176.43,1662023,False
27,2026-05-18,177.98,178.0,172.76,174.64,2764540,False
28,2026-05-15,179.99,181.0,176.0,179.03,3148050,False
29,2026-05-14,181.0,183.84,179.5,180.84,2736504,False
30,2026-05-13,181.0,183.0,179.76,180.08,2170769,False
31,2026-05-12,186.6,188.9,180.02,180.5,5333361,False
