date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,199.07,200.79,199.07,199.87,1158607,False
1,2026-06-30,199.13,200.9,198.0,198.95,935368,False
2,2026-06-29,200.0,200.0,198.9,199.03,686004,False
3,2026-06-24,199.38,201.0,199.1,200.21,2149768,False
4,2026-06-23,200.0,201.05,198.95,199.38,1527882,False
5,2026-06-22,200.16,201.7,199.29,199.89,1521899,False
6,2026-06-19,203.0,203.0,196.51,200.13,1940377,False
7,2026-06-18,202.02,205.85,201.9,202.27,1774001,False
8,2026-06-17,202.49,202.49,200.6,201.98,2042261,False
9,2026-06-16,200.0,203.0,199.01,200.57,3543043,False
10,2026-06-15,203.49,203.49,198.78,199.84,1583144,False
11,2026-06-12,199.75,201.0,197.9,198.27,1361951,False
12,2026-06-11,198.0,199.1,197.5,198.01,507771,False
13,2026-06-10,199.0,200.0,198.0,199.22,350245,False
14,2026-06-09,200.0,201.88,199.1,199.97,1362512,False
15,2026-06-08,200.0,200.2,198.0,198.32,608269,False
16,2026-06-05,202.6,202.88,200.0,200.4,539209,False
17,2026-06-04,202.99,203.8,200.51,201.75,536660,False
18,2026-06-03,202.0,202.99,200.15,202.44,598819,False
19,2026-06-02,201.5,202.5,200.1,201.29,877507,False
20,2026-06-01,208.52,210.0,201.55,202.41,1731711,False
21,2026-05-29,203.01,210.0,201.0,208.15,2130258,False
22,2026-05-25,204.1,207.0,201.0,202.46,1661902,False
23,2026-05-22,200.6,203.5,199.2,201.97,1399151,False
24,2026-05-21,197.0,200.91,197.0,200.37,1759570,False
25,2026-05-20,193.58,196.9,193.02,196.18,804339,False
26,2026-05-19,193.0,195.05,192.68,193.58,823709,False
27,2026-05-18,196.01,198.24,191.0,192.68,1297401,False
28,2026-05-15,199.64,199.64,196.0,196.98,1068475,False
29,2026-05-14,199.3,200.0,197.09,198.41,213777,False
30,2026-05-13,199.11,200.02,197.9,199.08,433041,False
31,2026-05-12,200.98,200.98,199.0,199.11,346032,False
32,2026-05-11,197.91,201.0,196.0,199.93,623834,False
33,2026-05-08,198.25,200.49,197.0,197.91,950878,False
34,2026-05-07,201.02,202.01,200.0,200.58,1077305,False
35,2026-05-06,198.0,201.5,198.0,200.37,2050675,False
36,2026-05-05,196.3,198.5,195.5,197.06,351382,False
37,2026-05-04,198.0,200.99,197.01,197.75,677969,False
38,2026-04-30,200.0,200.84,195.11,198.83,523987,False
39,2026-04-29,200.11,201.09,198.5,200.36,449284,False
40,2026-04-28,199.22,201.99,197.51,200.09,602024,False
41,2026-04-27,199.49,202.69,199.2,200.88,1016827,False
42,2026-04-24,195.99,200.3,195.0,199.12,1024687,False
43,2026-04-23,204.5,204.99,199.01,199.93,1696237,False
44,2026-04-22,206.5,207.99,204.0,204.53,989855,False
45,2026-04-21,208.0,210.45,205.95,206.13,5139485,False
46,2026-04-20,210.0,212.7,207.0,207.83,1503520,False
47,2026-04-17,214.2,214.2,210.8,212.1,1703589,False
48,2026-04-16,214.0,214.5,212.0,213.65,767135,False
49,2026-04-15,210.95,214.0,210.61,211.09,785914,False
50,2026-04-14,208.0,209.49,207.01,207.82,569715,False
51,2026-04-13,203.01,207.72,203.01,204.88,728179,False
52,2026-04-10,209.0,214.0,209.0,210.0,1762623,False
53,2026-04-09,218.0,218.0,206.52,210.37,1640280,False
54,2026-04-08,212.74,214.18,205.61,214.07,4781938,False
55,2026-04-07,196.15,198.24,192.01,194.71,1774805,False
56,2026-04-06,192.49,197.0,191.07,196.15,833944,False
57,2026-04-03,192.55,195.28,192.02,194.56,537248,False
58,2026-04-02,195.0,196.5,193.0,195.51,428753,False
59,2026-04-01,192.0,201.0,192.0,197.31,2992139,False
60,2026-03-31,191.0,194.0,187.9,190.22,1260367,False
61,2026-03-30,198.01,198.97,187.0,190.67,3712180,False
62,2026-03-27,200.0,201.0,197.0,197.75,408813,False
63,2026-03-26,204.0,205.0,199.0,199.95,1799288,False
64,2026-03-25,204.99,205.49,202.5,203.77,1188813,False
65,2026-03-24,208.0,211.5,201.51,202.69,1626859,False
66,2026-03-19,204.91,204.91,197.5,200.98,960676,False
67,2026-03-18,203.5,206.7,202.79,204.91,570903,False
68,2026-03-17,204.13,206.0,202.5,203.42,263059,False
69,2026-03-16,203.49,207.0,202.29,204.12,365944,False
70,2026-03-13,206.63,212.44,206.0,207.63,538080,False
71,2026-03-12,204.0,215.0,204.0,207.79,11917223,False
72,2026-03-11,208.0,211.0,203.71,205.23,733410,False
73,2026-03-10,220.02,220.02,206.01,207.69,3123820,False
74,2026-03-09,195.0,206.44,193.01,200.02,3322300,False
75,2026-03-06,216.0,216.0,209.0,211.6,507471,False
76,2026-03-05,211.0,218.0,210.0,215.81,1525320,False
77,2026-03-04,205.0,214.0,205.0,212.27,941914,False
78,2026-03-03,195.17,205.6,195.0,204.4,2135555,False
79,2026-03-02,195.01,212.0,194.3,195.17,3889200,False
80,2026-02-27,215.49,220.25,213.0,215.89,1177861,False
81,2026-02-26,212.6,218.34,208.52,216.05,1623368,False
82,2026-02-25,216.01,217.0,210.05,212.52,632059,False
83,2026-02-24,213.0,217.1,212.99,215.6,1452698,False
84,2026-02-23,212.99,216.0,211.0,213.11,1061554,False
85,2026-02-20,213.56,214.0,208.0,212.89,707263,False
86,2026-02-19,217.59,218.98,211.5,213.55,1226973,False
87,2026-02-18,217.88,218.7,214.1,217.59,998784,False
88,2026-02-17,215.95,218.0,212.5,217.16,1256139,False
89,2026-02-16,217.0,217.25,212.4,215.39,1938380,False
90,2026-02-13,222.0,222.0,216.0,217.27,1951813,False
91,2026-02-12,216.0,222.0,213.1,221.14,6904218,False
92,2026-02-11,234.0,235.5,231.01,233.13,2238508,False
93,2026-02-10,236.0,236.95,230.89,232.53,971402,False
94,2026-02-09,236.01,236.99,233.0,235.41,799880,False
95,2026-02-06,238.0,239.0,232.51,235.06,1850400,False
96,2026-02-04,240.5,241.98,236.45,238.14,1787300,False
97,2026-02-03,242.99,244.84,240.0,240.37,1871493,False
98,2026-02-02,244.51,245.8,240.51,243.57,974912,False
99,2026-01-30,239.5,244.9,239.5,244.31,1898013,False
100,2026-01-29,241.75,242.5,233.5,239.11,2299510,False
101,2026-01-28,244.5,245.75,239.75,241.54,2825001,False
102,2026-01-27,251.05,251.98,242.0,243.36,4602100,False
103,2026-01-26,255.51,257.0,250.0,251.91,2531585,False
104,2026-01-23,246.0,257.48,243.0,255.08,7105182,False
105,2026-01-22,241.0,245.89,239.61,245.04,6927000,False
106,2026-01-21,242.11,243.45,240.0,240.25,2184108,False
107,2026-01-20,244.0,244.5,239.95,242.53,2885367,False
108,2026-01-19,243.49,245.5,241.35,242.54,2742412,False
109,2026-01-16,238.4,243.55,238.4,242.16,3949811,False
110,2026-01-15,242.1,243.1,237.5,238.04,1740111,False
111,2026-01-14,243.06,244.25,239.5,242.51,2556428,False
112,2026-01-13,244.0,245.75,241.0,243.06,2022270,False
113,2026-01-12,246.0,246.4,242.4,243.58,739437,False
114,2026-01-09,251.44,252.0,245.0,245.89,1448746,False
115,2026-01-08,254.0,254.9,248.0,249.48,1800484,False
116,2026-01-07,253.0,255.0,250.73,253.9,1803398,False
117,2026-01-06,257.0,258.0,247.01,252.23,3691814,False
118,2026-01-05,248.0,263.3,248.0,254.92,6243690,False
119,2026-01-02,229.0,250.68,229.0,246.19,9387783,False
120,2026-01-01,227.0,228.73,226.35,227.89,566112,False
121,2025-12-31,225.0,227.1,224.0,226.35,1225196,False
122,2025-12-30,227.04,228.0,223.7,224.0,1232788,False
123,2025-12-29,222.1,231.51,222.1,227.04,3295755,False
124,2025-12-26,222.0,222.45,220.0,222.01,560341,False
125,2025-12-24,219.99,221.5,219.5,220.49,664646,False
126,2025-12-23,219.9,220.25,218.02,219.61,477029,False
127,2025-12-22,219.0,219.5,217.5,218.09,347246,False
128,2025-12-19,221.0,222.0,218.37,218.57,628403,False
129,2025-12-18,216.5,222.0,214.01,220.83,2419197,False
130,2025-12-17,218.85,219.0,215.0,216.26,1099216,False
131,2025-12-16,218.44,219.5,217.5,217.93,610170,False
132,2025-12-15,219.1,220.0,217.0,217.84,658406,False
133,2025-12-12,216.15,219.9,215.98,219.43,595484,False
134,2025-12-11,217.5,217.9,215.0,215.97,852960,False
135,2025-12-10,218.7,220.0,216.5,216.81,758637,False
136,2025-12-09,218.95,221.0,218.0,218.55,2797956,False
137,2025-12-08,219.9,219.9,217.7,218.12,1118381,False
138,2025-12-05,219.0,219.88,216.5,218.12,1156712,False
139,2025-12-04,219.0,220.0,216.99,218.0,552063,False
140,2025-12-03,222.65,223.0,217.49,218.24,1195334,False
141,2025-12-02,222.0,223.25,221.0,222.56,944741,False
142,2025-12-01,220.0,223.44,219.0,221.44,1111138,False
