date,date,open,high,low,close,volume,is_anomaly
0,2025-01-03,481.99,496.0,474.01,485.38,4496408,False
1,2025-01-02,452.0,484.0,451.51,478.3,3602326,False
2,2025-01-01,448.9,455.0,444.5,451.15,1299509,False
3,2024-12-31,460.11,461.0,443.0,445.28,1374271,False
4,2024-12-30,430.0,459.0,426.0,451.9,2569139,False
5,2024-12-27,424.5,438.0,421.05,425.66,1468616,False
6,2024-12-26,431.0,434.98,422.0,425.72,921301,False
7,2024-12-24,440.0,446.74,425.02,427.89,2593690,False
8,2024-12-23,408.99,435.67,405.02,435.67,3890190,False
9,2024-12-20,386.0,399.9,385.0,396.06,858656,False
10,2024-12-19,405.0,409.05,385.0,387.89,1950867,False
11,2024-12-18,423.01,433.0,405.25,409.03,1551187,False
12,2024-12-17,426.0,435.0,411.01,422.11,1736942,False
13,2024-12-16,432.0,434.0,424.01,425.88,995329,False
14,2024-12-13,444.51,444.51,425.01,431.37,1298995,False
15,2024-12-12,419.0,447.45,418.0,439.17,3271966,False
16,2024-12-11,415.01,426.5,413.31,418.23,1298734,False
17,2024-12-10,422.0,433.98,395.0,410.2,3177358,False
18,2024-12-09,408.0,429.44,406.0,418.42,3521896,False
19,2024-12-06,380.0,410.0,380.0,407.54,5622094,False
20,2024-12-05,378.0,379.99,371.0,373.3,1799473,False
21,2024-12-04,381.01,383.0,370.14,377.81,1090966,False
22,2024-12-03,362.49,390.96,360.01,380.07,3237133,False
23,2024-12-02,339.0,369.0,333.0,358.09,3072536,False
24,2024-11-29,329.37,338.0,324.5,335.88,1465597,False
25,2024-11-28,325.51,331.99,323.66,327.23,895631,False
26,2024-11-27,325.0,329.7,320.9,324.3,1261440,False
27,2024-11-26,330.51,332.71,315.0,319.2,1015101,False
28,2024-11-25,337.76,339.8,330.0,332.71,948333,False
29,2024-11-22,334.0,344.5,328.15,337.76,3619712,False
30,2024-11-21,320.05,344.74,318.5,333.24,3335376,False
31,2024-11-20,321.1,322.4,317.0,320.04,745569,False
32,2024-11-19,323.0,323.0,320.0,320.44,2166313,False
33,2024-11-18,322.0,324.5,320.0,322.72,408822,False
34,2024-11-15,323.0,323.0,320.0,320.95,311115,False
35,2024-11-14,320.01,326.77,320.0,320.46,851419,False
36,2024-11-13,318.25,323.52,316.0,319.93,2042978,False
37,2024-11-12,321.0,321.63,314.0,314.99,638317,False
38,2024-11-11,325.15,330.0,320.0,321.63,526436,False
39,2024-11-08,324.0,332.39,323.23,324.92,974831,False
40,2024-11-07,309.0,326.0,309.0,323.21,3360384,False
41,2024-11-06,314.0,316.0,312.0,314.04,686136,False
42,2024-11-05,316.0,316.25,311.0,313.78,628513,False
43,2024-11-04,306.4,313.0,305.0,311.81,1550344,False
44,2024-11-01,300.0,306.0,298.0,304.58,702276,False
45,2024-10-31,310.51,311.95,297.8,299.38,1940669,False
46,2024-10-30,314.5,316.95,309.77,310.54,944997,False
47,2024-10-29,314.34,315.49,310.5,313.64,3009489,False
48,2024-10-28,317.0,323.5,313.51,315.34,1004377,False
49,2024-10-25,316.96,324.33,314.01,316.89,673737,False
50,2024-10-24,313.97,319.19,312.65,316.03,305102,False
51,2024-10-23,316.0,317.0,311.0,312.27,299951,False
52,2024-10-22,311.97,317.0,310.04,315.34,329486,False
53,2024-10-21,308.27,312.51,308.27,310.66,136629,False
54,2024-10-18,309.5,311.9,307.55,308.17,229598,False
55,2024-10-17,312.89,313.0,309.85,310.07,207276,False
56,2024-10-16,314.0,315.95,310.8,312.06,235796,False
57,2024-10-15,316.9,319.0,313.17,313.84,519912,False
58,2024-10-14,321.0,323.0,316.1,317.13,2595359,False
59,2024-10-11,322.84,323.73,320.4,320.73,107190,False
60,2024-10-10,323.0,325.0,320.0,321.87,1244761,False
61,2024-10-09,325.55,327.98,320.05,323.81,586680,False
62,2024-10-08,325.0,327.5,324.0,325.66,670233,False
63,2024-10-07,314.98,324.9,310.0,322.55,1863494,False
64,2024-10-04,312.5,314.5,311.0,313.41,552022,False
65,2024-10-03,310.89,314.25,309.12,311.81,308926,False
66,2024-10-02,304.0,310.0,302.01,308.71,544603,False
67,2024-10-01,302.11,305.0,302.11,304.13,2552323,False
68,2024-09-30,310.01,311.0,302.78,303.72,386413,False
69,2024-09-27,318.5,318.5,307.02,309.18,453855,False
70,2024-09-26,319.0,320.45,313.92,314.39,430917,False
71,2024-09-25,318.0,319.09,313.0,317.01,760724,False
72,2024-09-24,318.15,321.99,316.0,317.33,586709,False
73,2024-09-23,321.0,322.0,315.1,320.3,626961,False
74,2024-09-20,319.5,323.0,317.91,320.92,1870674,False
75,2024-09-19,317.5,323.0,315.8,318.92,990994,False
76,2024-09-18,317.9,318.1,313.75,315.75,327095,False
77,2024-09-16,317.58,319.4,314.81,315.09,124734,False
78,2024-09-13,323.0,323.0,316.0,317.57,185441,False
79,2024-09-12,319.0,319.0,315.02,317.79,176080,False
80,2024-09-11,318.13,319.99,315.16,316.83,52643,False
81,2024-09-10,317.45,325.0,315.0,318.74,301504,False
82,2024-09-09,320.0,321.95,314.9,316.78,205934,False
83,2024-09-06,322.0,323.0,319.0,319.9,152037,False
84,2024-09-05,320.01,324.99,317.0,322.28,154141,False
85,2024-09-04,317.9,322.0,317.0,319.99,137763,False
86,2024-09-03,318.0,318.95,315.1,316.66,47866,False
87,2024-09-02,323.1,323.1,315.0,316.92,183396,False
88,2024-08-30,330.0,337.7,328.5,330.19,684961,False
89,2024-08-29,317.25,330.5,317.25,329.98,668844,False
90,2024-08-28,311.83,318.2,311.83,317.21,316791,False
91,2024-08-27,321.0,321.0,311.0,311.83,210636,False
92,2024-08-26,325.99,327.87,317.9,319.36,216758,False
93,2024-08-23,329.0,329.4,324.8,325.02,235057,False
94,2024-08-22,332.0,334.0,327.5,328.44,230906,False
