date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,99.01,102.0,99.01,101.46,3545453,False
1,2026-06-30,97.5,100.0,97.5,99.24,2372386,False
2,2026-06-29,96.75,98.49,96.75,97.97,1479067,False
3,2026-06-24,96.8,97.25,96.75,96.91,516408,False
4,2026-06-23,97.0,97.4,96.58,97.06,842837,False
5,2026-06-22,97.08,97.49,96.51,96.96,823162,False
6,2026-06-19,97.4,97.9,90.51,97.08,1779611,False
7,2026-06-18,97.0,98.0,96.9,97.4,1068964,False
8,2026-06-17,98.29,98.29,96.1,96.61,2059864,False
9,2026-06-16,95.1,97.78,95.1,97.64,2185736,False
10,2026-06-15,92.99,94.8,91.99,94.59,2359111,False
11,2026-06-12,90.5,91.47,90.01,91.07,1515785,False
12,2026-06-11,88.72,90.25,88.59,89.89,1384130,False
13,2026-06-10,88.51,88.98,88.12,88.72,303202,False
14,2026-06-09,89.0,89.38,88.5,88.81,533687,False
15,2026-06-08,89.01,89.38,88.0,88.23,1131985,False
16,2026-06-05,89.97,91.49,89.51,90.03,2034289,False
17,2026-06-04,89.79,90.3,89.12,89.51,404382,False
18,2026-06-03,90.0,90.25,89.11,89.79,222131,False
19,2026-06-02,89.11,90.39,89.11,90.21,903770,False
20,2026-06-01,91.5,91.57,89.56,89.79,1406196,False
21,2026-05-29,89.1,91.5,89.1,91.1,1454840,False
22,2026-05-25,88.65,90.0,88.01,89.1,850029,False
23,2026-05-22,87.52,88.25,87.0,87.55,404400,False
24,2026-05-21,87.07,88.45,87.07,87.41,867732,False
25,2026-05-20,87.92,87.92,86.4,86.96,499700,False
26,2026-05-19,87.0,87.98,86.4,87.05,249860,False
27,2026-05-18,87.98,87.98,85.86,86.07,567241,False
28,2026-05-15,88.48,88.49,87.02,87.86,292678,False
29,2026-05-14,89.09,89.09,87.7,88.05,435405,False
30,2026-05-13,89.5,89.5,87.51,88.16,468467,False
31,2026-05-12,89.45,89.77,89.0,89.1,385318,False
32,2026-05-11,88.9,89.9,88.01,89.42,315529,False
33,2026-05-08,89.55,91.0,88.0,89.25,646573,False
34,2026-05-07,90.99,92.0,90.0,90.47,1049270,False
35,2026-05-06,88.5,91.0,88.5,90.66,1165303,False
36,2026-05-05,87.31,87.99,87.0,87.51,696540,False
37,2026-05-04,87.75,89.49,87.75,88.12,692785,False
38,2026-04-30,86.7,87.8,86.0,87.22,836766,False
39,2026-04-29,88.5,89.94,88.0,88.2,1090683,False
40,2026-04-28,88.0,89.99,87.81,88.59,760306,False
41,2026-04-27,88.99,89.0,87.01,87.81,1715971,False
42,2026-04-24,89.0,90.0,85.71,88.52,3348041,False
43,2026-04-23,91.08,92.5,89.52,89.92,1943221,False
44,2026-04-22,93.9,93.9,91.0,91.24,774514,False
45,2026-04-21,93.95,95.26,92.61,93.14,801190,False
46,2026-04-20,94.65,95.5,90.1,93.48,1822020,False
47,2026-04-17,94.5,96.44,92.9,95.69,2445341,False
48,2026-04-16,94.45,94.45,92.75,93.12,802768,False
49,2026-04-15,94.0,94.89,92.66,93.19,1973730,False
50,2026-04-14,92.0,94.0,91.5,92.65,883061,False
51,2026-04-13,90.45,93.5,88.59,90.01,1839787,False
52,2026-04-10,95.6,97.0,94.7,95.46,2648061,False
53,2026-04-09,95.0,96.0,88.0,94.61,7365960,False
54,2026-04-08,89.88,89.88,88.0,89.88,2549263,False
55,2026-04-07,80.26,82.0,80.26,81.71,909428,False
56,2026-04-06,79.55,82.5,79.51,81.37,1177202,False
57,2026-04-03,80.06,81.75,79.01,80.68,1005725,False
58,2026-04-02,81.49,81.97,79.0,81.12,1568553,False
59,2026-04-01,82.5,83.89,78.1,83.35,2312990,False
60,2026-03-31,79.0,81.35,78.0,79.48,1341475,False
61,2026-03-30,83.12,83.22,76.62,78.61,1921849,False
62,2026-03-27,84.06,85.0,82.95,83.12,664789,False
63,2026-03-26,85.03,85.93,84.0,84.25,944226,False
64,2026-03-25,85.0,86.57,84.12,86.21,837647,False
65,2026-03-24,86.5,86.99,84.05,84.89,898431,False
66,2026-03-19,86.0,86.0,82.66,83.48,2133310,False
67,2026-03-18,84.0,88.25,83.26,87.84,1744418,False
68,2026-03-17,84.0,85.0,81.49,83.06,661081,False
69,2026-03-16,85.0,87.0,82.56,83.25,1133499,False
70,2026-03-13,82.09,89.52,82.0,85.68,3766130,False
71,2026-03-12,81.1,82.8,81.0,81.38,371633,False
72,2026-03-11,83.54,84.8,81.6,82.01,727711,False
73,2026-03-10,82.99,83.53,80.01,83.01,1169968,False
74,2026-03-09,75.83,79.0,75.83,75.94,3866542,False
75,2026-03-06,88.15,88.15,82.99,84.26,1161499,False
76,2026-03-05,88.0,88.75,87.06,88.13,587205,False
77,2026-03-04,89.0,89.49,85.5,86.42,723394,False
78,2026-03-03,80.0,90.0,80.0,87.86,1602711,False
79,2026-03-02,82.48,85.89,82.48,82.48,2410818,False
80,2026-02-27,89.0,92.9,86.75,91.64,579485,False
81,2026-02-26,87.7,90.25,86.05,89.98,1178938,False
82,2026-02-25,90.0,91.0,87.01,88.04,581061,False
83,2026-02-24,90.97,91.96,86.26,88.63,1144977,False
84,2026-02-23,93.09,94.99,90.06,90.97,609462,False
85,2026-02-20,92.98,95.43,89.82,93.09,599375,False
86,2026-02-19,98.0,98.44,91.46,92.12,1417968,False
87,2026-02-18,94.5,98.44,93.0,97.75,1419702,False
88,2026-02-17,93.9,95.5,92.25,92.79,596114,False
89,2026-02-16,97.41,97.47,92.5,94.18,933031,False
90,2026-02-13,97.5,98.0,96.15,97.41,751751,False
91,2026-02-12,99.5,99.51,95.9,97.27,1971630,False
92,2026-02-11,91.25,99.24,90.5,98.4,4997190,False
93,2026-02-10,90.94,93.48,89.9,90.22,2207600,False
94,2026-02-09,97.02,97.9,89.55,91.87,1667046,False
95,2026-02-06,99.49,99.49,96.37,96.78,1995533,False
96,2026-02-04,98.5,100.48,98.31,99.0,2723585,False
97,2026-02-03,97.2,98.75,96.75,98.27,1589061,False
98,2026-02-02,96.5,97.95,96.25,97.05,422421,False
99,2026-01-30,97.2,98.0,96.1,96.7,1189446,False
100,2026-01-29,98.7,98.84,96.01,96.89,1186227,False
101,2026-01-28,99.99,99.99,98.01,98.16,604580,False
102,2026-01-27,99.98,100.48,97.72,98.19,2411309,False
103,2026-01-26,98.5,99.7,97.01,97.32,1206832,False
104,2026-01-23,99.79,99.79,97.8,98.5,996874,False
105,2026-01-22,99.5,99.89,98.5,98.95,772155,False
106,2026-01-21,100.08,101.0,99.2,99.48,1885769,False
107,2026-01-20,100.97,101.38,99.5,100.07,1990654,False
108,2026-01-19,100.52,101.97,100.06,100.3,2606113,False
109,2026-01-16,98.86,101.0,98.86,100.33,1296271,False
110,2026-01-15,100.99,100.99,98.5,98.78,754974,False
111,2026-01-14,100.98,102.0,100.05,100.35,2060983,False
112,2026-01-13,99.5,100.74,96.7,100.34,4477278,False
113,2026-01-12,100.45,101.0,99.5,99.69,1594012,False
114,2026-01-09,102.0,102.34,99.5,100.25,2341570,False
115,2026-01-08,101.45,104.54,100.1,101.75,5012681,False
116,2026-01-07,105.01,105.49,100.5,101.79,5595021,False
117,2026-01-06,102.25,104.9,101.75,104.05,6404645,False
118,2026-01-05,97.0,102.44,97.0,101.45,8588040,False
119,2026-01-02,93.52,98.5,93.51,96.09,5390494,False
120,2026-01-01,92.8,93.99,92.8,93.09,883958,False
121,2025-12-31,94.45,94.65,92.47,92.77,1443249,False
122,2025-12-30,92.9,95.5,92.9,93.93,3967544,False
123,2025-12-29,90.46,93.8,90.0,92.53,4893773,False
124,2025-12-26,89.65,91.0,89.65,89.8,769957,False
125,2025-12-24,90.0,91.4,89.12,89.61,747916,False
126,2025-12-23,89.85,90.33,89.6,89.97,611910,False
127,2025-12-22,90.0,90.2,89.62,89.83,540963,False
128,2025-12-19,90.48,90.99,89.6,89.76,812406,False
129,2025-12-18,90.06,91.25,89.51,90.18,1335602,False
130,2025-12-17,90.0,91.4,89.13,89.76,3695849,False
131,2025-12-16,89.5,90.94,88.5,89.08,1351871,False
132,2025-12-15,89.68,90.6,89.2,89.58,1001961,False
133,2025-12-12,90.0,90.8,89.0,89.68,780062,False
134,2025-12-11,90.0,90.47,88.96,89.26,800802,False
135,2025-12-10,91.49,91.5,89.5,89.84,859748,False
136,2025-12-09,90.99,91.65,89.5,90.19,1423316,False
137,2025-12-08,90.25,91.02,90.0,90.31,749064,False
138,2025-12-05,93.02,93.5,89.8,90.77,1958419,False
139,2025-12-04,92.99,93.63,91.6,92.64,3768541,False
140,2025-12-03,90.3,93.4,90.1,92.2,5865009,False
141,2025-12-02,87.5,93.78,87.5,89.92,9427659,False
142,2025-12-01,85.0,87.5,84.25,87.25,1948424,False
143,2025-11-28,84.05,85.5,84.05,84.83,1314716,False
144,2025-11-27,83.7,84.48,83.0,84.03,574396,False
145,2025-11-26,82.0,83.99,81.55,83.42,969068,False
146,2025-11-25,81.92,82.0,80.7,81.79,755956,False
147,2025-11-24,83.9,83.9,80.55,80.97,838210,False
148,2025-11-21,82.76,83.9,81.0,81.62,640700,False
149,2025-11-20,83.4,83.4,82.5,82.72,414004,False
150,2025-11-19,84.6,85.2,82.5,82.77,1046715,False
151,2025-11-18,84.79,85.64,82.9,84.02,973627,False
152,2025-11-17,86.44,87.0,84.15,84.88,837758,False
153,2025-11-14,85.23,87.5,85.15,87.12,757267,False
154,2025-11-13,84.51,86.48,84.51,85.09,505726,False
155,2025-11-12,84.87,85.95,84.26,84.78,348595,False
156,2025-11-11,87.0,87.99,84.0,84.88,628228,False
157,2025-11-10,87.4,88.1,86.12,87.63,342789,False
158,2025-11-07,88.0,88.5,86.0,87.41,730636,False
159,2025-11-06,88.0,88.0,85.05,86.33,314236,False
160,2025-11-05,87.2,87.95,85.0,86.0,598545,False
161,2025-11-04,89.0,89.0,87.0,87.08,618121,False
162,2025-11-03,88.88,90.9,88.5,89.83,2114158,False
163,2025-10-31,84.95,88.3,84.2,87.65,1251219,False
164,2025-10-30,86.18,87.5,82.7,83.55,1073059,False
165,2025-10-29,86.51,86.75,85.0,85.52,1203365,False
166,2025-10-28,89.37,89.37,85.0,85.78,2492823,False
167,2025-10-27,89.5,89.9,88.0,88.22,1911103,False
168,2025-10-24,89.01,90.47,87.0,89.17,1527287,False
169,2025-10-23,94.25,94.86,88.2,89.36,4724162,False
170,2025-10-22,96.4,96.49,94.0,94.2,1748657,False
171,2025-10-21,94.93,99.35,94.07,95.97,7580150,False
172,2025-10-20,92.0,95.55,91.01,94.37,4368730,False
173,2025-10-17,93.02,93.5,91.2,91.6,2006950,False
174,2025-10-16,94.05,95.88,92.01,92.99,1732135,False
175,2025-10-15,91.0,97.29,89.0,93.94,6924396,False
176,2025-10-14,85.99,91.0,85.99,90.14,1939019,False
177,2025-10-13,85.0,86.89,83.45,84.2,2149492,False
178,2025-10-10,87.55,88.69,86.0,86.76,1860329,False
179,2025-10-09,89.0,90.0,85.57,87.04,2016891,False
180,2025-10-08,90.0,92.0,88.5,88.9,2087838,False
181,2025-10-07,91.49,92.61,89.25,89.7,1666747,False
182,2025-10-06,94.0,95.39,88.2,91.49,3630452,False
183,2025-10-03,97.5,98.7,93.1,93.88,3759671,False
184,2025-10-02,89.85,97.39,88.5,96.44,11364418,False
185,2025-10-01,92.0,92.05,85.65,88.54,4971211,False
186,2025-09-30,91.2,96.45,90.71,91.29,8298344,False
187,2025-09-29,83.3,90.7,82.75,90.4,13293305,False
188,2025-09-26,75.9,83.48,75.85,82.45,8493669,False
189,2025-09-25,76.5,77.49,75.73,75.9,1198701,False
190,2025-09-24,76.05,76.65,75.5,75.73,428006,False
191,2025-09-23,75.5,76.9,75.5,76.05,368368,False
192,2025-09-22,76.51,77.09,75.52,75.74,1176938,False
193,2025-09-19,77.5,77.55,76.0,76.51,843229,False
194,2025-09-18,77.1,77.66,76.9,77.09,1115166,False
195,2025-09-17,77.75,77.75,77.02,77.04,479795,False
196,2025-09-16,77.49,77.74,77.03,77.41,415232,False
197,2025-09-15,77.75,77.75,76.1,77.26,931211,False
198,2025-09-12,76.93,76.95,75.5,75.76,838719,False
199,2025-09-11,77.25,77.5,76.37,76.48,1621822,False
200,2025-09-10,77.5,77.5,76.43,76.82,1402103,False
201,2025-09-09,77.35,78.4,76.85,77.2,1960866,False
202,2025-09-08,79.15,79.15,78.05,78.35,1276699,False
203,2025-09-05,79.15,79.4,78.1,78.36,2081354,False
204,2025-09-04,79.21,79.29,78.4,78.72,1053718,False
205,2025-09-03,78.75,79.78,78.62,78.86,568065,False
206,2025-09-02,80.0,80.1,78.26,78.76,1716261,False
207,2025-09-01,75.0,80.48,74.51,79.35,5817931,False
208,2025-08-29,74.25,75.15,73.5,74.88,1602350,False
209,2025-08-28,78.33,78.7,74.0,74.16,3641831,False
210,2025-08-27,80.0,80.0,78.2,78.33,1042242,False
211,2025-08-26,81.88,81.99,79.2,79.69,1062038,False
212,2025-08-25,81.88,82.4,80.11,81.2,501840,False
213,2025-08-22,81.74,82.55,81.02,81.37,1136432,False
