date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,165.3,167.89,160.0,161.12,3152778,False
1,2026-06-30,163.05,166.5,161.5,165.3,1270504,False
2,2026-06-29,161.4,164.0,160.77,163.05,1016989,False
3,2026-06-24,161.0,163.5,160.22,163.11,718348,False
4,2026-06-23,162.01,163.74,160.5,161.01,1816081,False
5,2026-06-22,162.52,164.8,160.77,162.26,787725,False
6,2026-06-19,167.5,168.0,158.0,161.88,2927042,False
7,2026-06-18,165.45,169.5,159.16,167.47,5569652,False
8,2026-06-17,148.0,162.8,147.0,162.47,6148664,False
9,2026-06-16,144.8,149.01,143.5,148.0,1331348,False
10,2026-06-15,145.0,145.19,142.0,144.79,968159,False
11,2026-06-12,141.0,143.0,140.0,141.76,529886,False
12,2026-06-11,140.49,141.99,138.41,139.0,704500,False
13,2026-06-10,140.0,142.0,139.99,140.69,255837,False
14,2026-06-09,142.0,144.0,140.99,141.2,470434,False
15,2026-06-08,140.01,141.25,138.6,141.04,453233,False
16,2026-06-05,141.95,142.95,141.16,141.61,212632,False
17,2026-06-04,141.34,143.0,140.15,141.85,679331,False
18,2026-06-03,140.0,142.9,139.07,141.34,865955,False
19,2026-06-02,140.25,142.95,139.03,141.23,559805,False
20,2026-06-01,142.0,146.0,138.5,139.66,2260736,False
21,2026-05-29,139.5,142.1,139.11,141.05,1227196,False
22,2026-05-25,141.0,141.0,139.01,139.85,869920,False
23,2026-05-22,138.0,138.0,135.12,136.39,304252,False
24,2026-05-21,132.0,137.0,132.0,136.77,520062,False
25,2026-05-20,130.0,131.85,129.5,131.03,290289,False
26,2026-05-19,132.0,134.0,127.51,129.2,490617,False
27,2026-05-18,134.0,134.5,129.1,130.81,400598,False
28,2026-05-15,135.99,136.99,133.7,134.59,339951,False
29,2026-05-14,136.64,136.65,134.0,136.13,397087,False
30,2026-05-13,137.13,138.0,134.9,135.62,291367,False
31,2026-05-12,138.0,138.44,136.9,137.13,220422,False
32,2026-05-11,136.8,139.0,136.25,137.48,327169,False
33,2026-05-08,138.9,139.39,136.95,137.43,391282,False
34,2026-05-07,141.99,142.5,139.99,140.81,750600,False
35,2026-05-06,134.0,141.02,134.0,140.41,1310911,False
36,2026-05-05,130.1,134.0,130.1,132.74,284296,False
37,2026-05-04,131.01,136.0,130.01,132.69,714614,False
38,2026-04-30,134.3,134.3,124.1,130.29,1628415,False
39,2026-04-29,136.23,137.9,134.0,134.59,261943,False
40,2026-04-28,135.19,136.99,134.51,136.23,885046,False
41,2026-04-27,138.0,139.98,135.0,135.98,1544088,False
42,2026-04-24,138.0,143.25,130.1,140.21,1815003,False
43,2026-04-23,140.25,141.48,138.6,138.98,586210,False
44,2026-04-22,140.99,142.5,136.12,141.55,1130691,False
45,2026-04-21,141.01,142.44,140.0,140.07,839857,False
46,2026-04-20,142.0,143.2,138.09,140.09,2164312,False
47,2026-04-17,143.9,146.24,141.0,143.49,4781480,False
48,2026-04-16,142.69,144.73,140.06,142.47,2481302,False
49,2026-04-15,149.0,150.49,141.5,142.69,5813015,False
50,2026-04-14,140.0,145.0,140.0,144.34,906480,False
51,2026-04-13,140.05,141.0,135.5,137.06,1305786,False
52,2026-04-10,146.0,152.0,144.51,145.16,2309545,False
53,2026-04-09,139.9,147.01,135.0,143.92,2252565,False
54,2026-04-08,138.85,138.85,132.65,138.85,4856281,False
55,2026-04-07,126.0,126.75,125.0,126.23,490083,False
56,2026-04-06,123.4,129.1,120.16,126.98,963358,False
57,2026-04-03,124.05,126.98,120.0,123.48,537283,False
58,2026-04-02,125.0,129.5,123.61,127.56,1051792,False
59,2026-04-01,125.49,132.99,125.49,129.18,3072790,False
60,2026-03-31,127.0,130.0,120.55,123.6,928999,False
61,2026-03-30,131.5,132.0,121.61,126.74,2245267,False
62,2026-03-27,131.66,135.9,130.12,134.02,787080,False
63,2026-03-26,134.88,136.8,131.0,131.66,1298411,False
64,2026-03-25,132.0,137.6,130.9,135.13,1459939,False
65,2026-03-24,134.5,136.0,129.01,130.67,1098965,False
66,2026-03-19,129.0,134.75,125.0,131.37,1286380,False
67,2026-03-18,124.97,135.0,123.55,130.26,931044,False
68,2026-03-17,125.3,127.75,121.1,123.44,831794,False
69,2026-03-16,131.06,132.95,123.81,124.62,1141190,False
70,2026-03-13,133.2,134.8,129.95,131.05,621942,False
71,2026-03-12,134.98,140.98,130.2,133.02,818242,False
72,2026-03-11,138.0,139.0,133.71,135.14,825141,False
73,2026-03-10,132.0,139.55,130.51,134.33,1214647,False
74,2026-03-09,130.1,130.1,126.85,126.86,2512805,False
75,2026-03-06,145.6,146.0,140.0,140.94,1290240,False
76,2026-03-05,148.25,150.0,144.0,145.57,2018499,False
77,2026-03-04,153.88,154.0,146.5,146.78,1837640,False
78,2026-03-03,146.0,158.0,145.5,152.79,2482771,False
79,2026-03-02,149.0,158.89,147.0,147.0,2492931,False
80,2026-02-27,160.0,167.49,156.0,163.33,719341,False
81,2026-02-26,152.8,164.5,150.25,163.04,907927,False
82,2026-02-25,150.0,156.98,149.5,152.82,1064791,False
83,2026-02-24,149.03,155.0,146.0,148.38,2389538,False
84,2026-02-23,156.75,158.49,149.51,150.96,780791,False
85,2026-02-20,159.0,162.0,154.98,156.75,1539232,False
86,2026-02-19,170.0,170.0,157.1,158.78,1004733,False
87,2026-02-18,164.0,170.5,164.0,169.32,1236633,False
88,2026-02-17,167.51,170.49,161.0,163.21,2616793,False
89,2026-02-16,171.2,174.0,164.0,166.62,4137386,False
90,2026-02-13,178.25,178.25,168.11,171.01,1451394,False
91,2026-02-12,177.99,178.0,174.6,177.08,1376056,False
92,2026-02-11,176.99,178.0,175.9,177.54,367385,False
93,2026-02-10,179.0,179.0,175.49,176.01,238600,False
94,2026-02-09,181.0,182.29,174.91,175.4,976280,False
95,2026-02-06,184.11,186.11,176.0,179.51,2326236,False
96,2026-02-04,186.49,190.0,183.25,187.51,1514624,False
97,2026-02-03,186.9,192.8,185.0,186.87,3708210,False
98,2026-02-02,172.31,187.2,160.1,184.53,7657206,False
99,2026-01-30,170.01,179.9,170.0,171.03,1253144,False
100,2026-01-29,175.5,175.52,163.0,169.12,3378163,False
101,2026-01-28,174.9,175.9,173.9,175.52,553522,False
102,2026-01-27,175.22,177.0,172.68,174.76,1365405,False
103,2026-01-26,185.0,186.88,174.0,175.22,2261796,False
104,2026-01-23,176.89,186.35,173.1,183.4,2522053,False
105,2026-01-22,175.63,177.0,173.7,176.18,484532,False
106,2026-01-21,179.0,183.99,173.28,175.63,2304983,False
107,2026-01-20,172.79,186.88,172.5,178.99,6730025,False
108,2026-01-19,162.5,172.5,160.5,170.79,3912077,False
