date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,57.9,59.5,57.55,59.28,10591055,False
1,2026-06-30,57.49,58.61,57.05,57.55,10224774,False
2,2026-06-29,58.25,59.9,52.52,56.19,18052948,False
3,2026-06-24,56.98,58.65,56.6,58.36,8448185,False
4,2026-06-23,56.51,57.5,56.3,56.75,5229399,False
5,2026-06-22,57.5,57.78,56.0,56.49,2411539,False
6,2026-06-19,58.15,58.45,56.6,56.9,4626461,False
7,2026-06-18,58.65,59.6,57.7,58.07,13565884,False
8,2026-06-17,57.75,59.4,56.8,58.47,13538842,False
9,2026-06-16,57.8,58.0,56.53,57.51,12075964,False
10,2026-06-15,56.87,57.75,55.69,57.39,19360878,False
11,2026-06-12,53.2,55.15,53.04,54.4,14464283,False
12,2026-06-11,52.05,52.49,51.5,52.14,3693795,False
13,2026-06-10,52.89,53.48,52.15,52.27,3221257,False
14,2026-06-09,53.55,54.1,52.78,52.91,2981234,False
15,2026-06-08,52.0,53.1,52.0,52.93,1860916,False
16,2026-06-05,54.24,54.5,53.3,53.49,4199390,False
17,2026-06-04,53.01,54.17,53.01,53.89,7860192,False
18,2026-06-03,52.5,53.25,52.25,52.83,5613176,False
19,2026-06-02,53.1,54.15,52.83,53.0,7429244,False
20,2026-06-01,54.8,54.8,52.5,52.9,6040217,False
21,2026-05-29,53.74,55.25,53.3,54.65,16724538,False
22,2026-05-25,52.0,53.75,51.48,53.07,14519031,False
23,2026-05-22,51.78,51.78,50.0,50.29,2947383,False
24,2026-05-21,50.61,51.49,50.51,51.14,9090910,False
25,2026-05-20,47.5,49.85,47.15,49.52,6278511,False
26,2026-05-19,47.61,48.48,47.0,47.5,2533373,False
27,2026-05-18,49.4,49.4,46.98,47.23,3645459,False
28,2026-05-15,49.88,50.0,49.08,49.59,4106860,False
29,2026-05-14,49.0,50.2,48.8,49.88,4378106,False
30,2026-05-13,49.51,49.95,49.0,49.08,2463915,False
31,2026-05-12,50.8,51.44,49.11,49.4,6226744,False
32,2026-05-11,51.51,51.51,50.45,50.75,3504150,False
33,2026-05-08,52.0,52.99,51.62,51.85,7722432,False
34,2026-05-07,52.75,53.99,51.37,53.45,21421641,False
35,2026-05-06,49.4,52.51,48.65,52.33,24901087,False
36,2026-05-05,47.6,48.37,46.25,47.74,5400118,False
37,2026-05-04,48.0,49.86,47.5,47.91,4804069,False
38,2026-04-30,47.9,47.9,46.0,47.46,6503956,False
39,2026-04-29,48.94,50.0,47.0,48.75,7247564,False
40,2026-04-28,48.03,49.19,48.03,48.44,3180771,False
41,2026-04-27,49.8,50.25,48.88,49.25,3405781,False
42,2026-04-24,48.5,51.1,47.31,50.31,8685970,False
43,2026-04-23,49.98,49.98,48.45,48.78,4766955,False
44,2026-04-22,51.0,51.69,50.0,50.12,3990740,False
45,2026-04-21,51.51,52.0,51.4,51.74,4017408,False
46,2026-04-20,52.03,52.48,50.25,51.31,7696017,False
47,2026-04-17,52.2,53.29,52.02,53.03,10601000,False
48,2026-04-16,52.99,53.24,51.6,52.05,8355547,False
49,2026-04-15,53.06,54.5,52.0,52.3,16002385,False
50,2026-04-14,49.62,51.98,49.62,51.63,12360527,False
51,2026-04-13,49.0,50.25,47.25,47.82,15664626,False
