date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,17.8,18.0,17.78,17.85,3717659,False
1,2026-06-30,17.73,17.95,17.7,17.88,3894050,False
2,2026-06-29,17.8,17.87,17.61,17.68,3812949,False
3,2026-06-24,17.99,18.24,17.8,17.84,7540010,False
4,2026-06-23,18.07,18.16,17.7,17.88,5018173,False
5,2026-06-22,18.13,18.35,18.03,18.06,3429755,False
6,2026-06-19,18.37,18.58,18.09,18.13,8658398,False
7,2026-06-18,18.4,18.73,18.31,18.37,13687216,False
8,2026-06-17,18.1,18.47,18.05,18.3,11306178,False
9,2026-06-16,18.15,18.21,18.0,18.06,5429759,False
10,2026-06-15,18.26,18.39,17.9,18.03,11437212,False
11,2026-06-12,18.26,18.4,18.0,18.05,4575552,False
12,2026-06-11,17.75,18.18,17.6,18.01,7056213,False
13,2026-06-10,17.6,17.95,17.55,17.72,1650193,False
14,2026-06-09,17.71,17.93,17.71,17.8,1655312,False
15,2026-06-08,17.75,17.75,17.4,17.61,2124834,False
16,2026-06-05,18.1,18.2,17.78,17.84,2937344,False
17,2026-06-04,18.0,18.19,18.0,18.03,3331116,False
18,2026-06-03,18.1,18.1,17.8,17.95,3248907,False
19,2026-06-02,18.12,18.57,18.09,18.15,11390231,False
20,2026-06-01,18.05,18.76,17.89,18.23,18742145,False
21,2026-05-29,18.0,18.17,17.75,18.03,3751259,False
22,2026-05-25,18.03,18.18,17.81,17.99,4252744,False
23,2026-05-22,17.7,18.18,17.5,17.69,6873080,False
24,2026-05-21,17.7,17.84,17.4,17.59,3669424,False
25,2026-05-20,17.28,17.45,17.04,17.36,2006560,False
26,2026-05-19,17.11,17.56,17.11,17.19,2089977,False
27,2026-05-18,17.6,17.6,17.01,17.06,3205230,False
28,2026-05-15,17.8,17.86,17.6,17.71,2005939,False
29,2026-05-14,18.0,18.15,17.73,17.77,2325821,False
30,2026-05-13,17.88,18.45,17.5,17.9,11657500,False
31,2026-05-12,18.81,19.0,17.9,17.96,20914638,False
