date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,33.99,34.0,33.06,33.5,141093,False
1,2026-06-30,34.0,34.15,33.01,33.73,44005,False
2,2026-06-29,34.5,34.5,33.98,34.1,4561,False
3,2026-06-24,33.8,34.49,33.8,34.04,7856,False
4,2026-06-23,33.81,33.85,33.6,33.8,10666,False
5,2026-06-22,34.76,34.76,33.75,33.8,9155,False
6,2026-06-19,34.88,34.88,33.8,33.97,32944,False
7,2026-06-18,35.0,35.0,34.25,34.42,52192,False
8,2026-06-17,32.73,35.5,32.67,35.06,202882,False
9,2026-06-16,32.63,33.1,32.63,33.03,42340,False
10,2026-06-15,33.01,33.01,32.5,32.92,55107,False
11,2026-06-12,32.61,32.9,32.5,32.72,31454,False
12,2026-06-11,32.6,32.99,32.5,32.67,12624,False
13,2026-06-10,32.51,32.89,32.3,32.82,22003,False
14,2026-06-09,32.8,33.0,32.26,32.82,37046,False
15,2026-06-08,32.9,32.9,32.45,32.63,3529,False
16,2026-06-05,32.99,32.99,32.6,32.77,12271,False
17,2026-06-04,33.15,33.2,32.25,32.64,30877,False
18,2026-06-03,33.55,33.55,32.51,32.77,30577,False
19,2026-06-02,31.75,34.49,31.75,33.57,274338,False
20,2026-06-01,31.97,32.0,31.7,31.73,10096,False
21,2026-05-29,31.5,32.0,31.5,31.97,22026,False
22,2026-05-25,32.0,32.0,31.11,31.47,7814,False
23,2026-05-22,31.91,31.91,30.98,31.0,4739,False
24,2026-05-21,31.1,31.44,30.01,30.84,16098,False
25,2026-05-20,32.15,32.48,30.1,30.93,30034,False
26,2026-05-19,31.14,31.14,30.85,30.98,10471,False
27,2026-05-18,30.5,31.0,30.35,30.86,13584,False
28,2026-05-15,31.31,32.0,30.1,30.3,8802,False
29,2026-05-14,32.01,32.01,31.25,31.43,17317,False
30,2026-05-13,31.62,32.0,31.28,31.5,21939,False
31,2026-05-12,32.95,32.95,31.75,32.01,14894,False
32,2026-05-11,33.02,33.02,31.76,32.42,33179,False
33,2026-05-08,33.51,33.89,33.01,33.01,22336,False
34,2026-05-07,32.99,34.6,31.76,33.58,217634,False
35,2026-05-06,30.12,33.16,30.12,32.37,228467,False
36,2026-05-05,30.6,30.6,29.64,30.19,2906,False
37,2026-05-04,30.0,30.6,30.0,30.6,5506,False
38,2026-04-30,29.8,30.37,29.8,30.33,349,False
39,2026-04-29,30.11,30.48,29.55,30.33,6121,False
40,2026-04-28,30.4,30.99,29.51,29.7,9595,False
41,2026-04-27,30.98,30.98,30.01,30.52,1182,False
42,2026-04-24,29.76,30.5,29.76,30.18,1332,False
43,2026-04-23,30.97,30.97,30.01,30.01,188,False
44,2026-04-22,30.8,30.8,30.0,30.01,2249,False
45,2026-04-21,30.4,30.4,30.0,30.13,1363,False
46,2026-04-20,30.04,30.1,29.8,30.0,19715,False
47,2026-04-17,30.05,30.96,30.02,30.8,1708,False
48,2026-04-16,30.87,30.87,30.77,30.78,2277,False
49,2026-04-15,31.49,31.49,29.5,30.0,52342,False
50,2026-04-14,30.93,30.94,29.5,29.1,201,True
51,2026-04-13,29.05,30.0,29.05,29.1,22901,False
52,2026-04-10,29.05,30.95,29.05,29.61,6951,False
53,2026-04-09,31.49,31.49,29.0,29.98,35444,False
54,2026-04-08,31.84,31.84,29.13,30.49,4505,False
55,2026-04-07,28.15,29.0,28.15,28.98,3104,False
56,2026-04-06,28.6,28.88,28.5,28.6,1417,False
57,2026-04-03,28.0,30.85,28.0,28.28,40354,False
58,2026-04-02,29.9,29.9,28.0,28.25,3645,False
59,2026-04-01,29.79,31.97,27.06,27.33,13638,False
60,2026-03-31,29.5,29.78,29.0,29.78,7421,False
61,2026-03-30,29.9,29.9,28.76,28.76,5150,False
62,2026-03-27,29.99,29.99,28.9,28.9,60356,False
63,2026-03-26,30.99,31.0,29.0,29.16,16326,False
64,2026-03-25,29.89,30.2,29.0,30.1,18300,False
65,2026-03-24,31.0,31.0,29.85,29.89,8942,False
66,2026-03-19,29.13,30.0,29.13,29.88,8824,False
67,2026-03-18,29.1,29.8,29.06,29.13,12051,False
68,2026-03-17,29.65,29.65,29.06,29.06,125,False
69,2026-03-16,29.8,29.8,29.8,29.06,15,True
70,2026-03-13,29.03,29.99,29.03,29.06,4375,False
71,2026-03-12,29.28,30.0,29.0,29.03,6014,False
72,2026-03-11,31.0,31.31,29.26,29.28,4981,False
73,2026-03-10,29.49,31.31,27.05,30.32,11677,False
74,2026-03-09,29.8,29.8,27.0,29.5,956,False
75,2026-03-06,30.88,30.88,29.31,29.5,2117,False
76,2026-03-05,29.51,30.5,28.99,30.25,50470,False
77,2026-03-04,28.12,29.99,28.1,28.1,7869,False
78,2026-03-03,29.55,29.55,28.0,29.4,4996,False
79,2026-03-02,30.4,32.99,28.1,29.55,7831,False
80,2026-02-27,31.6,31.6,30.7,30.87,29372,False
81,2026-02-26,32.9,32.9,31.51,31.9,4157,False
82,2026-02-25,32.4,32.4,31.25,31.76,24911,False
83,2026-02-24,32.5,32.5,31.0,31.27,6325,False
84,2026-02-23,33.0,33.0,32.5,32.5,26547,False
85,2026-02-20,33.5,33.5,33.0,33.0,50743,False
86,2026-02-19,33.0,33.7,32.01,33.5,2735,False
87,2026-02-18,32.5,33.5,32.5,33.38,4627,False
88,2026-02-17,34.0,34.0,31.1,32.33,17685,False
89,2026-02-16,33.5,34.18,33.4,34.0,127936,False
90,2026-02-13,33.51,34.2,33.27,33.46,985,False
91,2026-02-12,34.3,34.3,33.51,33.55,8864,False
92,2026-02-11,34.0,34.29,33.7,33.79,18889,False
93,2026-02-10,34.0,34.0,34.0,34.0,1311,False
94,2026-02-09,34.4,34.44,34.0,34.0,4392,False
95,2026-02-06,34.0,34.75,34.0,34.44,4110,False
96,2026-02-04,33.81,34.3,33.52,34.0,2435,False
97,2026-02-03,34.48,34.48,34.0,34.0,6226,False
98,2026-02-02,34.25,34.29,34.0,34.0,7172,False
99,2026-01-30,33.98,34.4,33.92,34.0,403060,False
100,2026-01-29,34.4,34.4,33.68,33.93,9839,False
101,2026-01-28,34.25,34.49,33.8,34.18,15826,False
102,2026-01-27,34.31,34.39,34.05,34.27,8071,False
103,2026-01-26,34.39,34.39,34.0,34.2,9276,False
104,2026-01-23,34.39,34.39,34.0,34.35,13949,False
105,2026-01-22,34.0,34.43,33.75,33.75,5538,False
106,2026-01-21,34.3,34.3,34.0,34.0,3794,False
107,2026-01-20,34.3,34.48,33.9,34.05,1428,False
108,2026-01-19,34.4,34.44,33.74,33.84,2518,False
109,2026-01-16,33.75,34.3,33.7,34.3,12100,False
110,2026-01-15,33.9,34.28,33.51,33.97,13209,False
111,2026-01-14,34.05,34.44,33.9,33.9,2559,False
112,2026-01-13,34.44,34.44,34.05,34.05,1736,False
113,2026-01-12,34.44,34.44,34.02,34.09,3657,False
114,2026-01-09,34.43,34.45,34.0,34.18,2491,False
115,2026-01-08,34.46,34.46,34.0,34.19,2483,False
116,2026-01-07,33.99,34.25,33.99,34.18,9192,False
117,2026-01-06,34.5,34.5,33.51,34.0,14244,False
118,2026-01-05,34.25,34.4,34.0,34.01,6200,False
119,2026-01-02,34.25,34.5,33.8,34.08,16741,False
120,2026-01-01,34.3,34.56,33.04,33.98,52584,False
121,2025-12-31,34.13,34.2,33.8,34.15,2942,False
122,2025-12-30,34.48,34.49,34.1,34.13,1238,False
123,2025-12-29,34.49,34.49,33.51,33.99,10105,False
124,2025-12-26,33.82,34.5,33.82,34.49,881,False
125,2025-12-24,33.51,34.39,33.51,34.1,275233,False
126,2025-12-23,34.4,34.4,33.75,33.95,55145,False
127,2025-12-22,34.5,34.5,33.52,34.18,31634,False
128,2025-12-19,33.85,34.48,33.75,33.9,5172,False
129,2025-12-18,34.5,34.5,33.53,33.77,76490,False
130,2025-12-17,34.5,34.5,34.45,34.49,2636,False
131,2025-12-16,34.7,34.7,33.53,34.44,34385,False
132,2025-12-15,34.58,34.79,34.1,34.7,8082,False
133,2025-12-12,34.0,34.95,34.0,34.51,8504,False
134,2025-12-11,34.4,34.75,34.4,34.75,5679,False
135,2025-12-10,34.5,34.75,34.4,34.43,15609,False
136,2025-12-09,34.5,34.73,34.0,34.5,8709,False
137,2025-12-08,34.65,34.74,34.3,34.65,24221,False
138,2025-12-05,35.65,35.65,33.15,34.25,92234,False
139,2025-12-04,34.51,35.35,34.51,34.92,2307,False
140,2025-12-03,34.53,35.0,34.12,34.37,6729,False
141,2025-12-02,35.4,35.4,34.13,34.53,6251,False
142,2025-12-01,35.5,35.5,34.05,35.1,9375,False
143,2025-11-28,35.45,36.0,34.15,35.42,29137,False
144,2025-11-27,35.1,36.0,33.3,35.45,56976,False
145,2025-11-26,35.2,35.25,34.6,35.14,10392,False
146,2025-11-25,35.0,35.5,35.0,35.2,1595,False
147,2025-11-24,36.0,36.0,35.5,35.5,1882,False
148,2025-11-21,35.99,36.2,35.01,35.43,14187,False
149,2025-11-20,34.5,36.4,34.5,35.5,18195,False
150,2025-11-19,35.0,35.5,35.0,35.0,3658,False
151,2025-11-18,35.04,35.57,35.0,35.0,15045,False
152,2025-11-17,35.92,35.99,33.0,35.04,153181,False
153,2025-11-14,36.0,36.0,34.9,35.92,11128,False
154,2025-11-13,37.2,37.2,35.0,35.06,40549,False
155,2025-11-12,34.0,37.4,34.0,36.77,85967,False
156,2025-11-11,34.98,34.98,34.0,34.0,11402,False
157,2025-11-10,34.0,34.98,34.0,34.51,10079,False
158,2025-11-07,33.5,34.5,33.0,33.98,126406,False
159,2025-11-06,33.2,34.75,33.2,34.18,251615,False
160,2025-11-05,34.87,34.89,33.15,34.01,35167,False
161,2025-11-04,33.56,35.0,33.56,33.59,5583,False
162,2025-11-03,33.5,35.7,33.5,34.01,24582,False
163,2025-10-31,33.1,34.64,33.0,34.0,18105,False
164,2025-10-30,35.89,35.89,32.05,33.84,64373,False
165,2025-10-29,33.01,34.09,32.5,34.0,151663,False
166,2025-10-28,35.1,35.1,33.0,33.03,11425,False
167,2025-10-27,35.0,35.0,33.0,34.2,41189,False
168,2025-10-24,35.19,36.9,30.7,33.53,21655,False
169,2025-10-23,35.65,35.65,33.11,33.74,17916,False
170,2025-10-22,35.7,35.7,34.5,35.16,30836,False
171,2025-10-21,34.89,35.69,34.01,35.07,55957,False
172,2025-10-20,33.99,34.0,33.28,34.0,53474,False
173,2025-10-17,33.05,33.9,30.51,33.28,24173,False
174,2025-10-16,33.2,33.7,33.1,33.16,11832,False
175,2025-10-15,33.8,34.0,33.1,33.5,21567,False
176,2025-10-14,32.98,33.8,32.98,33.51,11000,False
177,2025-10-13,32.01,33.1,32.0,33.04,115241,False
178,2025-10-10,32.1,33.25,30.11,32.91,96732,False
179,2025-10-09,32.75,33.7,32.75,33.08,23909,False
180,2025-10-08,32.85,33.22,30.11,32.75,34410,False
181,2025-10-07,34.7,34.75,32.0,32.93,103230,False
182,2025-10-06,35.0,36.25,33.5,34.01,119976,False
183,2025-10-03,33.45,36.5,33.0,35.13,79438,False
184,2025-10-02,33.99,33.99,32.2,33.45,48822,False
185,2025-10-01,35.3,35.3,31.99,33.74,204472,False
186,2025-09-30,36.94,37.2,33.5,35.0,1177300,False
187,2025-09-29,38.0,39.49,38.0,39.06,195352,False
188,2025-09-26,38.11,38.3,37.0,37.84,242943,False
189,2025-09-25,38.44,38.5,37.25,37.63,150967,False
190,2025-09-24,38.1,38.49,37.93,38.44,44922,False
191,2025-09-23,38.21,38.21,37.4,37.92,49502,False
192,2025-09-22,36.3,37.99,36.0,37.86,27743,False
193,2025-09-19,38.5,38.95,37.01,37.55,115819,False
194,2025-09-18,37.0,38.23,34.15,37.9,128689,False
195,2025-09-17,33.91,37.04,32.1,36.78,316129,False
196,2025-09-16,34.0,34.1,33.11,33.67,15229,False
197,2025-09-15,34.9,34.9,31.21,33.11,112585,False
198,2025-09-12,34.93,34.93,34.1,34.68,10728,False
199,2025-09-11,34.4,35.3,34.25,34.93,36863,False
200,2025-09-10,34.24,34.7,33.8,34.64,14901,False
201,2025-09-09,34.5,34.95,33.51,34.24,22828,False
202,2025-09-08,34.0,34.0,33.3,33.76,68738,False
203,2025-09-05,32.36,33.99,32.1,33.77,45380,False
204,2025-09-04,32.01,32.5,31.07,32.36,20130,False
205,2025-09-03,32.49,32.49,31.07,31.67,34183,False
206,2025-09-02,32.0,32.5,31.52,32.0,32995,False
207,2025-09-01,31.09,31.98,31.09,31.5,30660,False
208,2025-08-29,29.8,31.09,29.8,31.03,44690,False
209,2025-08-28,29.05,30.88,29.05,29.8,30364,False
210,2025-08-27,30.2,30.2,29.89,29.9,15852,False
211,2025-08-26,30.2,30.21,29.5,30.01,107381,False
212,2025-08-25,31.0,31.0,29.5,30.2,19400,False
213,2025-08-22,31.0,31.45,29.9,30.59,48218,False
214,2025-08-21,31.2,31.25,29.11,30.23,82734,False
215,2025-08-20,29.8,31.49,29.63,30.72,84224,False
216,2025-08-19,29.0,29.8,28.8,29.74,239248,False
217,2025-08-18,29.55,29.65,28.87,28.9,92941,False
218,2025-08-15,28.8,29.65,28.8,29.27,111288,False
219,2025-08-13,29.6,29.6,28.8,28.96,85310,False
220,2025-08-12,29.49,29.49,28.51,29.2,97542,False
221,2025-08-11,27.5,28.43,27.5,28.23,141250,False
222,2025-08-08,28.0,28.2,26.9,27.0,411551,False
223,2025-08-07,28.13,29.95,26.56,27.82,197726,False
224,2025-08-06,29.75,29.95,29.0,29.04,228517,False
225,2025-08-05,27.75,29.89,27.52,29.49,92066,False
226,2025-08-04,26.12,28.73,26.0,27.86,188394,False
227,2025-08-01,26.06,26.9,25.52,26.12,10108,False
228,2025-07-31,28.8,28.8,25.1,26.14,6413,False
229,2025-07-30,26.4,27.5,26.1,26.82,6416,False
230,2025-07-29,26.0,26.91,25.04,26.18,98673,False
231,2025-07-28,27.5,27.5,23.81,26.0,128429,False
232,2025-07-25,28.5,29.4,26.0,26.45,297990,False
233,2025-07-24,25.19,27.63,24.9,27.63,467854,False
234,2025-07-23,24.8,25.3,24.41,25.12,44047,False
235,2025-07-22,24.39,24.9,24.31,24.76,27995,False
236,2025-07-21,23.96,24.29,23.96,24.22,14223,False
237,2025-07-18,24.89,24.89,23.55,23.96,3267,False
238,2025-07-17,24.06,24.71,23.62,24.5,6700,False
239,2025-07-16,23.57,24.3,23.57,24.06,6156,False
240,2025-07-15,23.82,24.24,23.82,24.14,10784,False
241,2025-07-14,23.81,24.24,23.53,24.0,10439,False
242,2025-07-11,24.04,24.1,23.5,23.81,20363,False
243,2025-07-10,23.78,23.8,23.56,23.79,23943,False
244,2025-07-09,23.01,23.84,23.01,23.79,27229,False
245,2025-07-08,23.7,23.95,23.1,23.36,82289,False
246,2025-07-07,23.98,24.4,23.75,24.04,18126,False
247,2025-07-04,23.75,24.4,23.11,23.98,16783,False
248,2025-07-03,23.81,24.96,23.75,23.75,30235,False
249,2025-07-02,24.37,24.45,23.94,24.01,6996,False
250,2025-07-01,24.02,25.01,23.49,23.93,142801,False
251,2025-06-30,24.5,24.75,24.01,24.71,9979,False
252,2025-06-27,25.0,25.0,23.41,24.02,277954,False
253,2025-06-26,25.37,25.37,23.91,24.47,28668,False
254,2025-06-25,23.49,23.53,23.01,23.53,35851,False
255,2025-06-24,22.81,25.75,21.38,21.39,15536,False
256,2025-06-23,23.19,23.9,22.02,23.65,2480,False
257,2025-06-20,22.56,23.74,22.56,23.19,8034,False
258,2025-06-19,23.42,24.0,22.11,23.77,40299,False
259,2025-06-18,23.14,24.27,23.14,24.0,2593,False
260,2025-06-17,23.9,24.3,23.89,23.89,41863,False
261,2025-06-16,22.01,23.77,22.01,23.07,17773,False
262,2025-06-13,21.58,23.44,21.58,23.16,8081,False
263,2025-06-12,22.89,23.0,21.71,23.0,9861,False
264,2025-06-11,21.64,23.0,21.64,22.89,31185,False
