date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,309.0,321.0,302.0,312.74,90711,False
1,2026-06-30,301.6,325.99,300.5,305.99,103608,False
2,2026-06-29,309.5,309.5,299.1,300.49,52879,False
3,2026-06-24,310.0,315.9,305.0,309.02,50691,False
4,2026-06-23,318.74,318.75,306.0,306.76,18554,False
5,2026-06-22,323.99,323.99,309.4,311.91,13447,False
6,2026-06-19,331.0,333.01,315.02,320.67,36332,False
7,2026-06-18,315.4,339.8,315.4,331.16,91128,False
8,2026-06-17,320.34,321.0,308.0,315.4,29556,False
9,2026-06-16,311.0,324.9,308.31,316.88,78546,False
10,2026-06-15,315.0,315.0,303.0,309.47,37334,False
11,2026-06-12,310.0,313.97,302.01,304.34,22908,False
12,2026-06-11,302.0,311.0,300.21,306.55,23662,False
13,2026-06-10,295.0,318.9,294.51,301.74,46136,False
14,2026-06-09,302.99,302.99,297.0,297.09,16391,False
15,2026-06-08,299.0,304.99,291.2,295.93,23020,False
16,2026-06-05,304.95,319.95,299.91,303.95,37990,False
17,2026-06-04,308.99,308.99,298.0,299.9,17410,False
18,2026-06-03,306.95,306.95,298.8,306.12,16780,False
19,2026-06-02,305.99,307.0,297.0,298.7,17302,False
20,2026-06-01,310.7,314.0,303.0,304.91,15195,False
21,2026-05-29,292.2,314.0,292.2,310.65,42053,False
22,2026-05-25,295.21,298.99,294.0,295.92,31275,False
23,2026-05-22,306.0,307.5,289.0,293.21,86643,False
24,2026-05-21,319.0,319.0,305.01,306.37,31987,False
25,2026-05-20,312.0,323.9,308.69,313.81,36982,False
26,2026-05-19,319.0,324.0,301.0,308.69,78058,False
27,2026-05-18,359.89,359.89,321.57,321.8,257199,False
28,2026-05-15,350.0,357.3,337.5,357.3,201533,False
29,2026-05-14,290.02,324.82,290.0,324.82,104824,False
30,2026-05-13,298.93,301.0,294.21,295.29,11025,False
31,2026-05-12,299.31,315.01,294.5,298.81,75249,False
