date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,565.0,589.98,565.0,583.21,2797731,False
1,2026-06-30,553.99,569.8,550.55,562.02,1185620,False
2,2026-06-29,541.22,554.0,539.0,549.63,583871,False
3,2026-06-24,520.0,551.0,517.11,544.23,877178,False
4,2026-06-23,525.0,525.0,516.0,518.49,222725,False
5,2026-06-22,539.0,539.0,521.0,522.85,379148,False
6,2026-06-19,545.75,552.0,526.1,531.99,525603,False
7,2026-06-18,545.0,555.0,537.01,544.14,574978,False
8,2026-06-17,552.0,553.0,540.1,543.04,571738,False
9,2026-06-16,544.01,563.0,544.01,550.1,2274922,False
10,2026-06-15,501.5,533.86,495.3,533.86,2986063,False
11,2026-06-12,479.89,490.1,475.31,485.33,1050716,False
12,2026-06-11,461.0,474.99,461.0,471.34,405635,False
13,2026-06-10,469.0,482.0,465.0,475.3,853050,False
14,2026-06-09,468.0,473.0,465.05,470.8,514990,False
15,2026-06-08,469.9,469.9,455.0,458.29,509714,False
16,2026-06-05,459.75,476.0,458.01,471.53,1335781,False
17,2026-06-04,447.05,458.9,447.05,456.27,286129,False
18,2026-06-03,451.0,458.0,446.0,450.2,213038,False
19,2026-06-02,448.35,460.0,448.35,451.96,422186,False
20,2026-06-01,445.0,464.75,445.0,448.35,739551,False
21,2026-05-29,444.98,456.99,430.0,454.59,433477,False
22,2026-05-25,449.0,450.0,440.0,441.48,264139,False
23,2026-05-22,442.79,442.99,429.0,434.51,211254,False
24,2026-05-21,440.0,445.65,439.0,441.49,167720,False
25,2026-05-20,423.0,432.8,420.61,431.05,125847,False
26,2026-05-19,422.0,424.98,420.0,422.84,83473,False
27,2026-05-18,429.0,429.0,415.0,416.56,83863,False
28,2026-05-15,432.0,433.9,423.12,429.26,151113,False
29,2026-05-14,444.78,444.78,433.0,433.97,135145,False
30,2026-05-13,449.0,449.0,435.0,441.44,149129,False
31,2026-05-12,444.0,450.0,438.0,439.64,150481,False
32,2026-05-11,445.02,457.0,439.0,442.72,400495,False
33,2026-05-08,458.5,461.2,452.0,454.64,210725,False
34,2026-05-07,452.0,465.77,450.0,462.63,523580,False
35,2026-05-06,432.0,452.99,432.0,449.32,452397,False
36,2026-05-05,419.0,429.0,412.52,425.71,166962,False
37,2026-05-04,429.98,445.0,416.12,422.11,304689,False
38,2026-04-30,425.0,429.89,406.0,420.73,325948,False
39,2026-04-29,440.0,448.0,430.0,433.99,173721,False
40,2026-04-28,449.0,449.0,440.0,442.46,154183,False
41,2026-04-27,454.05,460.97,441.01,450.52,362145,False
42,2026-04-24,439.9,464.95,421.0,453.66,585695,False
43,2026-04-23,463.0,463.0,442.0,444.26,288559,False
44,2026-04-22,484.97,484.97,465.01,466.94,342372,False
45,2026-04-21,494.97,498.0,478.0,481.19,511982,False
46,2026-04-20,483.0,498.0,466.0,484.07,1205898,False
47,2026-04-17,477.72,494.49,466.65,483.93,2189512,False
48,2026-04-16,460.0,477.99,448.0,466.34,1366450,False
49,2026-04-15,415.0,437.29,415.0,437.29,341376,False
50,2026-04-14,371.0,397.54,371.0,397.54,796842,False
51,2026-04-13,362.11,373.5,360.22,361.4,323672,False
52,2026-04-10,378.75,386.0,373.05,382.69,926568,False
53,2026-04-09,338.99,367.57,321.0,367.57,1264003,False
54,2026-04-08,334.15,334.15,334.15,334.15,148623,False
55,2026-04-07,300.1,308.4,298.0,303.77,152238,False
56,2026-04-06,300.3,307.0,292.5,303.64,201623,False
57,2026-04-03,291.0,306.0,291.0,300.21,133214,False
58,2026-04-02,310.0,310.0,298.0,306.62,173045,False
59,2026-04-01,313.0,328.87,310.02,321.12,248574,False
60,2026-03-31,302.0,310.2,296.1,307.4,203953,False
61,2026-03-30,329.0,329.0,296.25,298.78,287563,False
62,2026-03-27,343.2,349.9,326.0,328.79,245225,False
63,2026-03-26,362.99,362.99,340.0,343.2,235540,False
64,2026-03-25,354.98,366.8,351.25,363.85,259414,False
65,2026-03-24,369.0,369.0,350.0,353.93,250812,False
66,2026-03-19,360.0,362.3,352.55,357.87,92094,False
67,2026-03-18,355.0,365.55,355.0,362.39,291238,False
68,2026-03-17,370.0,374.98,351.04,353.99,264873,False
69,2026-03-16,381.0,382.99,366.0,369.25,111794,False
70,2026-03-13,384.0,388.0,376.1,381.0,32218,False
71,2026-03-12,390.51,394.0,380.0,384.1,64724,False
72,2026-03-11,383.0,404.0,383.0,393.72,165878,False
73,2026-03-10,369.99,390.0,369.99,382.48,127177,False
74,2026-03-09,358.22,370.0,358.22,358.22,122346,False
75,2026-03-06,410.0,414.0,395.05,398.02,94250,False
76,2026-03-05,400.0,415.0,397.1,410.44,678069,False
77,2026-03-04,387.0,398.0,387.0,395.33,254239,False
78,2026-03-03,380.0,394.0,370.0,386.9,390233,False
79,2026-03-02,391.93,408.9,391.93,391.93,207736,False
80,2026-02-27,435.0,439.98,420.0,435.48,175169,False
81,2026-02-26,434.98,443.5,407.0,439.89,381879,False
82,2026-02-25,441.51,451.75,430.0,431.19,122953,False
83,2026-02-24,445.03,450.0,428.0,440.31,378535,False
84,2026-02-23,480.0,495.0,441.11,451.12,252601,False
85,2026-02-20,473.2,499.0,450.01,479.36,244093,False
86,2026-02-19,496.2,499.0,465.0,475.07,223185,False
87,2026-02-18,489.0,508.0,481.0,492.54,610252,False
88,2026-02-17,494.0,503.0,482.2,484.22,290016,False
89,2026-02-16,513.99,513.99,488.0,493.63,1106145,False
90,2026-02-13,525.11,533.5,510.52,515.76,1017603,False
91,2026-02-12,529.9,532.0,518.27,525.79,902367,False
92,2026-02-11,525.0,531.5,520.6,525.61,1227727,False
93,2026-02-10,516.01,532.94,513.01,520.61,942331,False
94,2026-02-09,518.0,525.0,514.0,515.33,375389,False
95,2026-02-06,526.01,527.0,516.0,517.41,409086,False
96,2026-02-04,529.9,531.99,523.5,524.54,179241,False
97,2026-02-03,523.89,532.0,519.05,528.21,576361,False
98,2026-02-02,525.0,525.0,515.0,519.05,94667,False
99,2026-01-30,512.0,530.04,510.54,519.01,546715,False
100,2026-01-29,527.0,529.8,510.0,513.01,426228,False
101,2026-01-28,531.99,531.99,525.01,525.73,255782,False
102,2026-01-27,529.0,533.0,528.0,531.99,175734,False
103,2026-01-26,536.0,537.4,528.0,529.42,418747,False
104,2026-01-23,540.69,540.69,535.0,535.43,149809,False
105,2026-01-22,537.01,543.95,536.19,538.7,186770,False
106,2026-01-21,554.8,555.0,530.0,536.8,570947,False
107,2026-01-20,562.68,562.68,550.0,552.05,373602,False
108,2026-01-19,550.0,563.0,549.01,559.93,767033,False
109,2026-01-16,535.0,548.2,531.25,547.52,503352,False
110,2026-01-15,539.99,542.0,529.5,530.72,322338,False
111,2026-01-14,548.35,554.0,539.0,539.99,424618,False
112,2026-01-13,550.0,552.5,544.5,546.78,587268,False
113,2026-01-12,559.53,560.0,548.5,549.77,200563,False
114,2026-01-09,568.0,569.99,558.53,559.53,216208,False
115,2026-01-08,570.11,579.9,564.02,567.97,635065,False
116,2026-01-07,564.58,570.0,563.8,568.63,380907,False
117,2026-01-06,566.0,568.0,560.7,564.58,396601,False
118,2026-01-05,556.0,565.9,554.5,562.31,645390,False
119,2026-01-02,554.0,563.2,550.21,555.76,304680,False
120,2026-01-01,549.9,558.25,548.5,552.99,202957,False
121,2025-12-31,548.07,551.0,545.05,549.73,140794,False
122,2025-12-30,547.0,550.96,546.01,548.07,146100,False
123,2025-12-29,551.75,553.0,546.12,548.39,199763,False
124,2025-12-26,553.09,553.09,545.22,547.59,161486,False
125,2025-12-24,550.0,554.0,545.0,551.09,210005,False
126,2025-12-23,546.05,551.5,545.2,549.46,170402,False
127,2025-12-22,551.0,553.0,545.0,545.67,306262,False
128,2025-12-19,551.9,556.0,547.07,549.16,283336,False
129,2025-12-18,549.0,552.49,546.2,550.21,153724,False
130,2025-12-17,552.0,553.89,545.0,549.03,328104,False
131,2025-12-16,551.0,554.99,544.06,548.39,256678,False
132,2025-12-15,555.0,557.0,546.1,548.06,314411,False
133,2025-12-12,550.0,554.3,549.0,551.06,131371,False
134,2025-12-11,554.0,556.0,550.0,550.89,102569,False
135,2025-12-10,554.95,558.0,552.01,552.87,137842,False
136,2025-12-09,555.0,557.97,552.4,553.23,166373,False
137,2025-12-08,557.17,558.16,553.03,554.74,192932,False
138,2025-12-05,556.5,560.13,553.11,557.17,307575,False
139,2025-12-04,551.0,559.0,551.0,555.71,119046,False
140,2025-12-03,556.0,560.0,550.0,555.46,179296,False
141,2025-12-02,559.89,568.0,555.0,555.68,442199,False
142,2025-12-01,569.69,569.69,557.0,558.35,458984,False
143,2025-11-28,552.0,571.98,552.0,564.99,741179,False
144,2025-11-27,548.0,557.98,548.0,555.16,216708,False
145,2025-11-26,551.0,551.89,542.5,547.94,135972,False
146,2025-11-25,554.87,557.05,549.5,550.09,92434,False
147,2025-11-24,559.0,561.88,551.72,553.14,156207,False
148,2025-11-21,556.0,560.98,553.02,555.03,62398,False
149,2025-11-20,557.02,561.0,552.0,555.8,83302,False
150,2025-11-19,561.0,561.0,555.0,557.53,64396,False
151,2025-11-18,564.5,565.99,558.01,560.45,176027,False
152,2025-11-17,555.0,569.0,554.0,561.42,445822,False
153,2025-11-14,554.0,557.5,551.0,553.98,118088,False
154,2025-11-13,555.0,556.0,549.01,552.44,124983,False
155,2025-11-12,550.0,557.0,547.6,548.36,314483,False
156,2025-11-11,564.0,564.0,546.0,547.19,235033,False
157,2025-11-10,558.85,564.0,550.9,561.92,248188,False
158,2025-11-07,557.01,564.5,554.05,558.65,250639,False
159,2025-11-06,557.49,561.0,552.0,556.03,187762,False
160,2025-11-05,559.0,561.0,550.05,555.61,175314,False
161,2025-11-04,565.0,566.0,555.0,557.88,244328,False
162,2025-11-03,560.0,570.0,555.0,562.02,343177,False
163,2025-10-31,556.0,564.0,550.0,554.36,553550,False
164,2025-10-30,542.0,557.95,540.23,545.55,387602,False
165,2025-10-29,547.0,552.0,535.0,537.65,331905,False
166,2025-10-28,565.99,565.99,541.4,545.56,355964,False
167,2025-10-27,554.0,577.94,553.25,566.12,790550,False
168,2025-10-24,563.57,566.3,547.8,553.23,409724,False
169,2025-10-23,575.0,578.51,562.0,563.57,864396,False
170,2025-10-22,589.86,593.9,574.0,577.28,1360087,False
171,2025-10-21,570.93,596.0,569.0,589.86,744423,False
172,2025-10-20,573.0,575.01,565.11,566.83,314804,False
173,2025-10-17,572.97,574.43,565.0,568.06,128702,False
174,2025-10-16,576.86,579.47,571.5,572.96,207274,False
175,2025-10-15,579.79,582.96,572.0,574.2,508579,False
176,2025-10-14,568.0,585.0,560.0,580.51,950387,False
177,2025-10-13,582.99,582.99,549.01,553.11,1159963,False
178,2025-10-10,594.98,595.5,575.37,586.42,381089,False
179,2025-10-09,597.29,602.99,592.53,593.16,387893,False
180,2025-10-08,593.0,604.7,588.6,597.29,921338,False
181,2025-10-07,593.55,596.95,591.2,592.96,284430,False
182,2025-10-06,596.99,599.9,588.1,592.75,548820,False
183,2025-10-03,592.0,601.0,591.11,595.19,947396,False
