date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,370.0,378.0,366.0,376.11,503092,False
1,2026-06-30,365.0,373.0,365.0,370.25,396486,False
2,2026-06-29,367.5,370.86,363.0,364.22,309601,False
3,2026-06-24,359.5,368.2,359.5,366.89,211025,False
4,2026-06-23,363.0,365.5,358.5,359.21,254984,False
5,2026-06-22,371.03,372.0,362.1,363.22,268309,False
6,2026-06-19,377.24,380.0,367.0,368.67,561541,False
7,2026-06-18,380.0,384.2,375.4,377.24,538731,False
8,2026-06-17,381.8,381.99,373.25,378.97,499182,False
9,2026-06-16,382.0,382.0,374.02,380.02,767307,False
10,2026-06-15,370.0,381.4,365.01,378.57,1029703,False
11,2026-06-12,351.0,358.0,348.11,353.38,188786,False
12,2026-06-11,345.0,349.0,345.0,347.18,52666,False
13,2026-06-10,350.0,350.02,346.02,349.0,110391,False
14,2026-06-09,349.88,351.75,346.0,346.68,94287,False
15,2026-06-08,349.0,349.0,344.01,346.42,83167,False
16,2026-06-05,348.89,355.38,348.89,350.87,110111,False
17,2026-06-04,345.5,350.0,345.0,348.28,54110,False
18,2026-06-03,349.97,350.5,346.0,346.5,88603,False
19,2026-06-02,345.0,352.47,345.0,349.97,108777,False
20,2026-06-01,354.75,355.0,343.0,346.29,216887,False
21,2026-05-29,344.25,357.0,342.0,354.78,352374,False
22,2026-05-25,342.0,346.0,339.0,344.25,282682,False
23,2026-05-22,342.99,342.99,334.1,335.3,255892,False
24,2026-05-21,341.01,343.0,338.51,339.88,258516,False
25,2026-05-20,334.0,337.0,331.0,335.6,151308,False
26,2026-05-19,337.0,342.0,330.0,331.09,226184,False
27,2026-05-18,341.3,346.99,333.5,335.53,213158,False
28,2026-05-15,348.0,348.0,344.5,345.87,54216,False
29,2026-05-14,348.75,349.9,346.5,347.18,75083,False
30,2026-05-13,349.96,351.8,347.0,348.64,49652,False
31,2026-05-12,357.99,360.0,349.0,349.96,188925,False
32,2026-05-11,358.9,363.0,357.5,358.37,225618,False
33,2026-05-08,365.26,367.1,362.0,364.64,146255,False
34,2026-05-07,369.0,370.0,364.0,369.07,190769,False
35,2026-05-06,355.02,374.0,355.02,366.72,405337,False
36,2026-05-05,338.0,355.0,335.0,351.74,274496,False
37,2026-05-04,341.03,355.0,337.0,338.94,405096,False
38,2026-04-30,346.9,346.9,335.55,340.77,233231,False
39,2026-04-29,357.0,361.9,345.15,349.16,171447,False
40,2026-04-28,360.0,361.0,355.1,356.56,197067,False
41,2026-04-27,363.0,367.99,357.02,363.35,560899,False
42,2026-04-24,375.35,375.35,358.0,364.73,458536,False
43,2026-04-23,384.99,384.99,376.11,382.32,438969,False
44,2026-04-22,390.1,393.0,385.51,387.15,425594,False
