date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,807.49,812.0,800.11,803.65,28552,False
1,2026-06-30,805.0,814.14,800.0,805.2,143500,False
2,2026-06-29,796.51,814.74,796.0,801.93,34422,False
3,2026-06-24,788.0,821.0,785.01,802.92,205693,False
4,2026-06-23,791.0,803.0,784.0,785.18,23983,False
5,2026-06-22,800.01,809.0,789.0,790.45,24908,False
6,2026-06-19,812.4,812.4,785.1,798.84,46901,False
7,2026-06-18,809.98,815.1,801.3,810.45,61801,False
8,2026-06-17,812.01,820.82,805.0,807.26,54026,False
9,2026-06-16,815.01,835.0,800.0,820.83,317844,False
10,2026-06-15,785.0,850.41,781.0,811.3,324217,False
11,2026-06-12,770.0,775.0,762.0,773.1,36518,False
12,2026-06-11,760.11,765.0,757.0,760.85,8446,False
13,2026-06-10,764.0,774.89,755.0,766.03,21758,False
14,2026-06-09,757.0,767.0,757.0,764.91,11203,False
15,2026-06-08,759.8,759.8,741.3,753.05,17376,False
16,2026-06-05,774.0,775.0,750.51,762.32,18902,False
17,2026-06-04,756.0,789.0,754.99,770.67,21137,False
18,2026-06-03,755.0,762.99,754.99,756.89,20018,False
19,2026-06-02,759.9,764.0,754.0,755.18,47539,False
20,2026-06-01,775.03,781.98,755.0,759.92,43862,False
21,2026-05-29,774.48,794.9,768.01,783.72,56572,False
22,2026-05-25,764.03,790.0,761.05,774.47,91099,False
23,2026-05-22,770.01,779.9,753.0,761.92,26562,False
24,2026-05-21,748.0,798.4,740.98,767.01,58802,False
25,2026-05-20,746.0,746.0,719.0,740.98,220448,False
26,2026-05-19,724.0,746.85,720.0,738.02,33520,False
27,2026-05-18,747.94,747.94,718.0,727.08,69792,False
28,2026-05-15,760.0,764.99,738.1,748.74,27610,False
29,2026-05-14,777.0,777.0,757.0,759.41,11327,False
30,2026-05-13,785.0,794.75,758.58,762.15,79693,False
31,2026-05-12,783.0,784.44,769.0,778.93,24148,False
32,2026-05-11,780.0,781.0,770.0,779.94,29323,False
33,2026-05-08,773.0,800.0,766.66,787.08,124886,False
