date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,293.0,309.1,292.8,307.45,6871016,False
1,2026-06-30,289.94,298.7,283.05,292.21,3443555,False
2,2026-06-29,294.1,300.0,287.0,290.19,2321623,False
3,2026-06-24,293.94,297.85,292.99,294.1,1880768,False
4,2026-06-23,294.95,296.5,291.51,292.99,782629,False
5,2026-06-22,301.0,301.75,292.0,294.98,1456823,False
6,2026-06-19,304.42,305.0,294.0,298.4,2326748,False
7,2026-06-18,303.5,307.3,303.5,304.42,2638687,False
8,2026-06-17,304.51,307.4,302.0,303.34,8452258,False
9,2026-06-16,296.0,303.13,296.0,302.5,7031174,False
10,2026-06-15,292.06,297.47,288.9,295.98,2375251,False
11,2026-06-12,289.01,292.38,281.66,288.35,1074597,False
12,2026-06-11,281.0,284.48,278.02,283.92,410092,False
13,2026-06-10,284.69,285.75,281.0,281.57,371589,False
14,2026-06-09,284.9,286.48,282.5,284.81,683303,False
15,2026-06-08,282.0,283.55,279.3,280.47,688099,False
16,2026-06-05,287.0,288.9,285.11,285.69,771805,False
17,2026-06-04,286.0,288.5,285.5,286.06,416813,False
18,2026-06-03,287.15,289.0,285.14,285.5,665081,False
19,2026-06-02,288.01,292.0,286.51,287.81,845410,False
20,2026-06-01,294.0,294.0,287.01,287.68,781077,False
21,2026-05-29,288.42,294.02,286.5,293.33,2445003,False
22,2026-05-25,280.0,291.5,280.0,288.42,2323093,False
23,2026-05-22,281.99,282.0,274.0,275.96,1257811,False
24,2026-05-21,272.0,280.49,270.11,279.52,1672592,False
25,2026-05-20,268.99,271.99,266.2,268.68,1260506,False
26,2026-05-19,273.0,273.0,266.0,267.45,949025,False
27,2026-05-18,271.49,272.99,266.0,268.06,1359141,False
28,2026-05-15,278.0,278.0,273.76,274.85,1101823,False
29,2026-05-14,282.9,284.0,277.0,278.1,1346272,False
30,2026-05-13,293.0,294.4,279.5,280.28,2732102,False
31,2026-05-12,296.49,297.0,291.0,291.71,1470691,False
32,2026-05-11,292.99,296.88,291.75,296.09,587304,False
33,2026-05-08,295.0,296.79,289.99,295.26,1858447,False
34,2026-05-07,298.5,301.0,294.89,296.35,1633193,False
35,2026-05-06,290.0,300.9,288.5,298.21,3161167,False
36,2026-05-05,280.51,286.99,280.01,285.17,620465,False
37,2026-05-04,284.11,295.0,282.0,283.9,713862,False
38,2026-04-30,287.0,287.0,271.09,282.87,1408326,False
39,2026-04-29,297.45,297.45,285.0,288.58,889531,False
40,2026-04-28,299.4,299.89,295.0,295.63,1559103,False
41,2026-04-27,299.88,303.9,297.0,302.35,1117388,False
42,2026-04-24,298.4,301.99,290.9,298.54,2571793,False
43,2026-04-23,300.0,302.9,295.5,298.44,1560192,False
44,2026-04-22,305.0,305.5,300.0,301.45,794588,False
45,2026-04-21,306.0,309.48,303.0,304.86,3677444,False
46,2026-04-20,308.9,311.95,300.0,303.42,3513051,False
47,2026-04-17,308.5,319.8,305.26,313.15,10870986,False
48,2026-04-16,306.5,307.99,303.1,305.75,1083081,False
49,2026-04-15,306.8,310.5,303.3,304.71,2733705,False
50,2026-04-14,300.07,303.5,298.1,301.16,2290803,False
51,2026-04-13,292.5,302.2,292.5,294.21,923003,False
52,2026-04-10,303.0,309.9,300.86,306.55,1295648,False
53,2026-04-09,305.0,306.0,293.03,300.85,1473710,False
54,2026-04-08,299.72,299.72,296.5,299.72,1080564,False
55,2026-04-07,263.51,273.4,262.0,272.47,601571,False
56,2026-04-06,265.21,269.9,258.5,267.78,1540581,False
57,2026-04-03,260.1,265.9,256.02,265.21,429505,False
58,2026-04-02,262.0,265.0,258.01,264.56,1577170,False
59,2026-04-01,254.0,272.0,253.0,268.3,2456065,False
60,2026-03-31,244.1,254.89,244.1,248.59,1000135,False
61,2026-03-30,252.8,252.8,235.55,243.05,3139717,False
62,2026-03-27,256.0,257.49,251.0,252.9,1380533,False
63,2026-03-26,261.1,263.49,254.26,255.16,3711299,False
64,2026-03-25,263.0,265.8,259.0,264.07,2634754,False
65,2026-03-24,265.0,265.0,255.5,258.36,914917,False
66,2026-03-19,258.0,261.99,255.0,258.16,1700207,False
67,2026-03-18,259.8,268.47,258.51,263.2,1872002,False
68,2026-03-17,264.0,266.99,253.01,259.6,2062757,False
69,2026-03-16,278.49,278.5,262.5,265.15,870153,False
70,2026-03-13,279.26,281.0,275.0,278.6,627180,False
71,2026-03-12,281.0,284.98,277.01,279.26,1348492,False
