date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,17.46,19.69,17.45,19.66,2904116,False
1,2026-06-30,18.0,18.0,17.3,17.9,124605,False
2,2026-06-29,18.02,18.89,17.5,17.66,335220,False
3,2026-06-24,18.75,18.75,18.02,18.39,14324,False
4,2026-06-23,18.88,18.88,18.28,18.72,49793,False
5,2026-06-22,19.49,19.49,18.24,18.88,6474,False
6,2026-06-19,19.0,19.47,17.76,18.45,28318,False
7,2026-06-18,19.9,19.9,18.12,19.0,48254,False
8,2026-06-17,19.97,21.0,19.2,19.84,3040544,False
9,2026-06-16,18.36,20.14,18.02,19.48,1698020,False
10,2026-06-15,17.82,18.6,17.5,18.36,398907,False
11,2026-06-12,16.7,17.58,16.5,17.44,206225,False
12,2026-06-11,16.25,16.77,16.25,16.64,82388,False
13,2026-06-10,16.0,16.01,16.0,16.0,10341,False
14,2026-06-09,15.5,16.15,15.5,16.01,229585,False
15,2026-06-08,15.5,15.83,15.5,15.68,134476,False
16,2026-06-05,15.35,15.89,15.34,15.75,854278,False
17,2026-06-04,15.01,15.29,15.0,15.25,18990,False
18,2026-06-03,15.2,15.2,14.8,15.0,173310,False
19,2026-06-02,15.2,15.2,15.1,15.1,30050,False
20,2026-06-01,14.56,15.37,14.56,15.0,18667,False
21,2026-05-29,14.8,15.2,14.8,15.11,9230,False
22,2026-05-25,15.11,15.12,14.53,15.04,419,False
23,2026-05-22,15.0,15.15,15.0,15.04,41932,False
24,2026-05-21,15.0,15.2,14.81,15.0,64285,False
25,2026-05-20,15.2,15.2,14.76,15.07,23611,False
26,2026-05-19,15.2,15.2,15.05,15.05,29737,False
27,2026-05-18,15.39,15.4,15.1,15.1,39202,False
28,2026-05-15,15.37,15.4,15.0,15.37,17782,False
29,2026-05-14,14.5,15.38,14.5,15.2,39110,False
30,2026-05-13,15.1,15.29,15.01,15.2,36599,False
31,2026-05-12,15.38,15.4,15.01,15.4,28337,False
32,2026-05-11,15.0,15.3,15.0,15.1,73132,False
33,2026-05-08,15.01,15.1,15.0,15.07,34682,False
34,2026-05-07,15.24,15.7,15.24,15.4,34037,False
35,2026-05-06,14.03,15.4,14.03,15.36,50917,False
36,2026-05-05,14.14,15.4,14.14,15.4,5076,False
37,2026-05-04,15.0,15.15,15.0,15.15,40397,False
38,2026-04-30,15.38,15.38,14.25,14.8,16161,False
39,2026-04-29,15.28,15.43,14.9,15.2,68663,False
40,2026-04-28,15.25,15.43,14.75,15.28,26660,False
41,2026-04-27,15.13,15.38,14.52,15.35,3260,False
42,2026-04-24,15.47,15.5,14.77,15.4,213839,False
43,2026-04-23,15.0,15.1,14.81,15.0,7699,False
44,2026-04-22,15.0,15.0,14.0,14.65,69240,False
45,2026-04-21,15.43,15.43,14.85,15.0,117154,False
46,2026-04-20,15.1,15.42,14.66,15.0,449562,False
47,2026-04-17,14.9,15.49,14.7,15.07,22422,False
48,2026-04-16,14.81,15.1,14.8,15.0,131947,False
49,2026-04-15,15.0,15.01,14.8,14.81,293671,False
50,2026-04-14,15.4,15.4,14.25,14.62,5685,False
51,2026-04-13,13.73,14.96,13.73,14.35,31771,False
52,2026-04-10,14.45,14.5,14.0,14.21,113414,False
53,2026-04-09,14.0,14.51,13.85,14.5,312012,False
54,2026-04-08,14.89,14.89,14.25,14.34,76240,False
55,2026-04-07,13.21,13.99,13.2,13.6,33142,False
56,2026-04-06,13.95,14.0,13.13,14.0,15316,False
57,2026-04-03,13.9,14.0,13.04,13.95,8942,False
58,2026-04-02,14.3,14.3,13.9,13.98,20633,False
59,2026-04-01,13.62,14.6,13.62,13.83,10734,False
60,2026-03-31,14.08,14.99,13.2,13.5,440643,False
61,2026-03-30,14.03,14.28,14.0,14.01,20896,False
62,2026-03-27,14.9,14.98,14.02,14.45,811,False
63,2026-03-26,15.15,15.15,14.5,14.51,19123,False
64,2026-03-25,15.3,15.3,15.0,15.02,10704,False
65,2026-03-24,14.22,15.25,14.22,15.0,21333,False
66,2026-03-19,14.5,14.99,13.6,14.78,4052,False
67,2026-03-18,14.5,15.38,14.5,14.61,10447,False
68,2026-03-17,14.59,14.59,14.29,14.38,11773,False
69,2026-03-16,15.2,15.2,13.51,13.55,2645,False
70,2026-03-13,15.7,15.7,13.5,13.99,10106,False
71,2026-03-12,13.95,15.35,13.86,14.63,7204,False
72,2026-03-11,14.75,14.75,13.53,13.97,2712,False
73,2026-03-10,14.79,14.79,14.0,13.5,458,True
74,2026-03-09,13.5,13.5,13.1,13.5,9165,False
75,2026-03-06,14.99,15.69,14.4,14.4,106298,False
76,2026-03-05,14.2,15.8,13.85,15.2,226734,False
77,2026-03-04,14.59,14.8,13.51,14.55,49038,False
78,2026-03-03,13.0,14.99,13.0,14.0,7791,False
79,2026-03-02,13.95,16.75,13.95,13.96,79648,False
80,2026-02-27,16.0,16.98,15.5,15.5,21029,False
81,2026-02-26,15.0,16.0,13.61,16.0,124289,False
82,2026-02-25,15.49,15.69,15.0,15.02,29347,False
83,2026-02-24,16.29,16.29,14.02,14.36,56227,False
84,2026-02-23,15.88,16.99,15.13,15.2,13243,False
85,2026-02-20,17.7,17.7,15.62,16.63,76846,False
86,2026-02-19,17.0,17.0,16.1,16.19,8645,False
87,2026-02-18,16.75,17.35,16.75,17.12,10502,False
88,2026-02-17,17.15,17.25,15.61,16.7,106707,False
89,2026-02-16,17.22,17.82,17.2,17.3,70451,False
90,2026-02-13,17.12,17.94,17.11,17.47,5030,False
91,2026-02-12,17.99,17.99,17.13,17.4,45007,False
92,2026-02-11,17.56,17.95,17.56,17.75,46841,False
93,2026-02-10,18.0,18.0,17.5,17.56,8877,False
94,2026-02-09,18.0,18.5,17.51,18.0,469268,False
95,2026-02-06,18.3,18.3,17.5,18.0,120919,False
96,2026-02-04,18.7,18.7,18.06,18.3,45096,False
97,2026-02-03,18.99,18.99,18.0,18.52,162393,False
98,2026-02-02,17.8,18.37,17.55,18.33,7260,False
99,2026-01-30,17.16,18.0,17.16,18.0,118700,False
100,2026-01-29,18.02,18.02,17.5,17.69,325900,False
101,2026-01-28,18.0,18.3,17.01,18.01,152178,False
102,2026-01-27,18.01,18.29,17.91,17.97,88574,False
103,2026-01-26,18.49,18.49,18.01,18.01,22671,False
104,2026-01-23,18.3,18.8,18.0,18.04,85949,False
105,2026-01-22,18.86,18.9,18.2,18.36,64550,False
106,2026-01-21,18.35,19.0,18.35,18.5,191457,False
107,2026-01-20,18.4,19.15,18.4,18.75,586426,False
108,2026-01-19,18.0,18.4,17.86,18.21,1238376,False
109,2026-01-16,17.9,18.3,17.51,17.77,37342,False
110,2026-01-15,17.8,17.85,17.33,17.42,89908,False
111,2026-01-14,17.9,17.9,17.31,17.74,236214,False
112,2026-01-13,17.71,17.98,17.3,17.8,109839,False
113,2026-01-12,18.0,18.0,17.7,17.7,125009,False
114,2026-01-09,17.9,18.29,17.5,17.8,94782,False
115,2026-01-08,18.0,18.0,17.87,17.91,133475,False
116,2026-01-07,18.19,18.2,17.91,18.0,576188,False
117,2026-01-06,17.99,18.25,17.8,17.99,132414,False
118,2026-01-05,17.99,18.0,17.74,17.77,53051,False
119,2026-01-02,17.99,18.0,17.6,17.9,568406,False
120,2026-01-01,17.6,17.9,17.5,17.88,172082,False
121,2025-12-31,18.0,18.0,17.5,17.56,52400,False
122,2025-12-30,17.65,17.75,17.51,17.65,46735,False
123,2025-12-29,17.8,17.99,17.6,17.6,26741,False
124,2025-12-26,17.98,18.0,17.3,17.95,48611,False
125,2025-12-24,17.51,18.24,17.33,17.51,62364,False
126,2025-12-23,17.52,18.7,17.5,18.06,162830,False
127,2025-12-22,17.51,18.15,17.51,17.97,12367,False
128,2025-12-19,18.24,18.28,17.35,18.05,36706,False
129,2025-12-18,17.8,18.24,17.53,17.69,85273,False
130,2025-12-17,17.41,17.77,17.38,17.6,89275,False
131,2025-12-16,17.21,17.8,17.21,17.8,294632,False
132,2025-12-15,17.5,17.7,17.23,17.65,218022,False
133,2025-12-12,17.02,17.75,16.9,17.31,1173660,False
134,2025-12-11,17.75,17.75,17.0,17.12,1033983,False
135,2025-12-10,17.01,18.4,17.01,17.36,3769368,False
136,2025-12-09,17.0,17.15,17.0,17.15,1024146,False
137,2025-12-08,17.15,17.15,17.0,17.14,257832,False
138,2025-12-05,17.1,17.15,17.0,17.05,50091,False
139,2025-12-04,17.5,17.7,17.1,17.17,28794,False
140,2025-12-03,17.9,17.9,17.18,17.2,251534,False
141,2025-12-02,17.98,17.98,17.45,17.5,101220,False
142,2025-12-01,17.5,18.5,17.4,17.54,76495,False
143,2025-11-28,17.33,17.9,17.06,17.64,30279,False
144,2025-11-27,17.4,17.9,17.11,17.87,31042,False
145,2025-11-26,17.4,17.5,15.8,17.4,11804,False
146,2025-11-25,17.7,17.7,17.2,17.5,23797,False
147,2025-11-24,17.5,17.5,17.5,17.5,2000,False
148,2025-11-21,17.84,17.84,17.41,17.41,5395,False
149,2025-11-20,17.75,17.76,17.7,17.7,57006,False
150,2025-11-19,17.79,17.8,17.27,17.59,21728,False
151,2025-11-18,17.69,17.79,17.5,17.5,28640,False
152,2025-11-17,18.0,18.25,17.3,17.32,54385,False
153,2025-11-14,17.5,17.99,17.5,17.85,23533,False
154,2025-11-13,18.0,18.0,17.22,17.5,71331,False
155,2025-11-12,18.2,18.2,17.13,17.54,24974,False
156,2025-11-11,17.51,18.25,17.5,17.5,52369,False
157,2025-11-10,17.79,18.25,17.79,18.22,142590,False
158,2025-11-07,18.0,18.15,17.35,17.99,11203,False
159,2025-11-06,18.0,18.0,17.0,17.35,191291,False
160,2025-11-05,18.2,18.2,17.9,18.14,3166,False
161,2025-11-04,18.14,18.7,18.0,18.01,134299,False
162,2025-11-03,17.51,18.4,17.25,18.15,148288,False
163,2025-10-31,17.03,18.5,17.03,18.23,64622,False
164,2025-10-30,17.3,17.75,17.0,17.44,47722,False
165,2025-10-29,17.45,17.75,17.04,17.4,12792,False
166,2025-10-28,18.0,18.5,16.81,17.5,211107,False
167,2025-10-27,17.88,17.99,17.3,17.62,65950,False
168,2025-10-24,18.43,18.44,17.0,17.36,267938,False
169,2025-10-23,18.32,18.5,17.86,18.0,188764,False
170,2025-10-22,18.7,18.75,18.3,18.31,17058,False
171,2025-10-21,18.3,19.27,18.3,18.86,1000807,False
172,2025-10-20,18.36,18.36,18.0,18.01,29076,False
173,2025-10-17,17.95,18.29,17.95,18.0,227550,False
174,2025-10-16,18.15,18.15,17.7,17.95,83466,False
175,2025-10-15,18.49,18.49,17.68,17.9,111762,False
176,2025-10-14,18.51,18.51,17.56,18.0,273900,False
177,2025-10-13,18.51,18.94,17.07,17.44,352919,False
178,2025-10-10,18.1,19.1,18.01,18.97,543197,False
179,2025-10-09,18.89,18.9,18.09,18.3,75087,False
180,2025-10-08,18.51,18.95,18.03,18.49,230723,False
181,2025-10-07,18.7,19.1,18.5,18.51,416092,False
182,2025-10-06,18.93,18.93,18.0,18.6,229162,False
183,2025-10-03,19.01,19.48,18.45,18.93,4669533,False
184,2025-10-02,18.51,19.25,18.45,19.0,3723570,False
185,2025-10-01,19.12,19.25,18.55,18.62,1346031,False
186,2025-09-30,19.89,19.89,19.15,19.3,137161,False
187,2025-09-29,19.5,20.0,18.65,19.58,858411,False
188,2025-09-26,19.5,19.78,19.26,19.5,70515,False
189,2025-09-25,20.19,20.2,19.5,19.5,165545,False
190,2025-09-24,20.77,20.85,19.51,19.72,521976,False
191,2025-09-23,20.0,21.4,20.0,20.64,2191775,False
192,2025-09-22,18.0,19.72,18.0,19.72,1431065,False
193,2025-09-19,17.9,18.18,17.7,17.93,1518928,False
194,2025-09-18,17.8,18.0,17.5,17.8,665025,False
195,2025-09-17,17.3,17.85,17.1,17.62,1247086,False
196,2025-09-16,17.0,17.39,16.95,17.2,535277,False
197,2025-09-15,16.81,17.1,16.5,17.0,2794893,False
198,2025-09-12,16.78,17.33,16.3,16.87,7398462,False
199,2025-09-11,16.85,17.7,15.25,17.16,3205937,False
200,2025-09-10,16.6,17.0,16.31,16.89,2999481,False
201,2025-09-09,16.35,16.7,15.97,16.57,1052866,False
202,2025-09-08,16.01,16.4,15.75,16.29,2317215,False
203,2025-09-05,14.25,15.65,14.25,15.65,4235949,False
204,2025-09-04,14.3,14.5,14.15,14.23,508220,False
205,2025-09-03,13.51,14.33,13.32,14.25,1180396,False
206,2025-09-02,13.64,13.7,13.4,13.53,191955,False
207,2025-09-01,13.5,13.65,13.3,13.61,360453,False
208,2025-08-29,13.4,13.5,13.27,13.3,316941,False
209,2025-08-28,13.12,13.5,13.12,13.37,102508,False
210,2025-08-27,13.55,13.6,13.3,13.32,334714,False
211,2025-08-26,13.3,13.59,13.3,13.37,774787,False
212,2025-08-25,13.7,13.7,13.03,13.43,168241,False
213,2025-08-22,13.79,13.8,13.51,13.63,99092,False
214,2025-08-21,13.7,13.8,13.45,13.54,495446,False
215,2025-08-20,13.9,13.9,13.65,13.68,688708,False
216,2025-08-19,13.7,14.0,13.61,13.88,268612,False
217,2025-08-18,14.03,14.03,13.67,13.85,63525,False
218,2025-08-15,13.81,14.05,13.73,13.81,342112,False
219,2025-08-13,13.95,13.95,13.8,13.85,309240,False
220,2025-08-12,14.1,14.1,13.88,13.94,441348,False
221,2025-08-11,14.01,14.14,13.69,14.02,271810,False
222,2025-08-08,14.55,14.55,13.99,14.03,1221200,False
223,2025-08-07,14.79,14.85,14.16,14.41,911410,False
224,2025-08-06,14.6,14.9,14.0,14.63,1248874,False
225,2025-08-05,14.02,14.6,14.01,14.46,906805,False
226,2025-08-04,14.38,14.56,13.5,14.29,919667,False
227,2025-08-01,14.2,14.29,13.78,14.05,1548973,False
228,2025-07-31,14.07,14.39,13.87,14.01,1287635,False
229,2025-07-30,14.06,14.19,13.5,13.7,1009006,False
230,2025-07-29,15.06,15.2,13.85,14.06,2205573,False
231,2025-07-28,14.49,15.46,14.13,14.96,8531432,False
232,2025-07-25,14.78,15.0,14.01,14.11,4911547,False
233,2025-07-24,14.5,15.45,14.25,14.78,16727911,False
234,2025-07-23,13.75,14.22,13.45,14.22,19958113,False
235,2025-07-22,11.7,12.93,11.7,12.93,9950133,False
236,2025-07-21,11.65,11.8,11.0,11.75,1275075,False
237,2025-07-18,11.3,11.48,10.6,11.46,812056,False
238,2025-07-17,10.8,11.34,10.8,11.3,737636,False
239,2025-07-16,11.09,11.25,10.9,10.91,1026198,False
240,2025-07-15,10.88,11.26,10.8,11.1,891802,False
241,2025-07-14,10.83,10.9,10.5,10.74,108460,False
242,2025-07-11,10.85,10.85,10.45,10.84,24009,False
243,2025-07-10,10.28,10.99,10.0,10.5,131839,False
244,2025-07-09,10.5,10.61,10.27,10.41,59640,False
245,2025-07-08,10.9,10.9,10.21,10.74,22609,False
246,2025-07-07,10.4,11.0,9.69,10.7,537797,False
247,2025-07-04,11.1,11.1,9.6,10.75,65660,False
248,2025-07-03,11.2,11.7,11.2,11.68,742943,False
249,2025-07-02,11.0,11.3,11.0,11.29,492151,False
250,2025-07-01,11.2,11.2,11.0,11.0,1574885,False
251,2025-06-30,11.2,11.25,10.76,11.2,1063682,False
252,2025-06-27,10.6,11.25,10.5,10.99,288053,False
253,2025-06-26,10.7,11.0,10.7,10.96,38211,False
254,2025-06-25,10.75,10.9,10.75,10.75,41816,False
255,2025-06-24,10.49,10.94,10.49,10.88,4933,False
256,2025-06-23,10.5,10.5,10.01,10.5,196074,False
257,2025-06-20,10.01,10.5,10.01,10.49,720,False
258,2025-06-19,10.68,10.68,10.3,10.3,21118,False
259,2025-06-18,10.38,10.74,10.17,10.26,75715,False
260,2025-06-17,10.41,10.45,10.26,10.26,9485,False
261,2025-06-16,9.14,10.3,9.13,10.3,22612,False
262,2025-06-13,10.03,10.03,10.03,10.03,10925,False
263,2025-06-12,10.09,10.09,10.09,10.03,446,True
264,2025-06-11,10.01,10.1,9.81,10.03,12548,False
265,2025-06-10,9.9,10.2,9.9,10.1,2660,False
266,2025-06-05,10.0,10.08,9.9,9.93,2317,False
267,2025-06-04,10.14,10.14,9.55,10.04,10679,False
268,2025-06-03,9.9,10.05,9.75,10.0,44864,False
269,2025-06-02,9.51,9.9,9.51,9.85,25670,False
270,2025-05-30,9.38,9.85,9.38,9.83,23553,False
271,2025-05-29,9.16,9.85,9.16,9.8,16616,False
272,2025-05-27,9.77,9.89,9.77,9.85,6654,False
273,2025-05-26,9.75,9.9,9.75,9.82,9163,False
274,2025-05-23,9.72,9.9,9.72,9.9,5135,False
275,2025-05-22,9.51,9.75,9.11,9.75,105010,False
276,2025-05-21,9.59,9.98,9.59,9.78,42200,False
277,2025-05-20,9.51,9.6,9.51,9.58,9905,False
278,2025-05-19,9.55,9.56,9.5,9.52,31840,False
279,2025-05-16,9.55,9.68,9.3,9.51,129476,False
280,2025-05-15,9.7,9.7,9.26,9.5,133372,False
281,2025-05-14,9.5,9.69,9.16,9.51,682626,False
282,2025-05-13,9.5,9.55,9.3,9.31,3080,False
283,2025-05-12,9.48,9.52,9.15,9.52,88988,False
284,2025-05-09,8.38,8.99,8.0,8.8,51210,False
285,2025-05-08,9.4,9.4,9.0,9.0,8302,False
286,2025-05-07,9.45,10.0,9.04,9.38,1372,False
287,2025-05-06,9.47,9.47,9.2,9.3,55631,False
288,2025-05-02,9.01,9.35,9.0,9.35,17350,False
289,2025-04-30,9.13,9.13,9.11,9.12,823,False
290,2025-04-29,9.49,9.49,9.49,9.49,551,False
291,2025-04-28,9.49,9.65,9.31,9.31,2002,False
292,2025-04-25,9.58,9.98,9.2,9.53,115709,False
293,2025-04-24,9.2,9.4,9.2,9.4,18607,False
294,2025-04-23,9.64,9.64,9.41,9.41,21327,False
