date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,1009.0,1018.0,999.01,1007.54,141439,False
1,2026-06-30,996.0,1007.0,992.0,1002.7,30818,False
2,2026-06-29,1000.0,1000.12,987.95,991.04,19822,False
3,2026-06-24,979.9,1024.99,978.0,997.93,44859,False
4,2026-06-23,981.51,987.0,970.0,975.39,54919,False
5,2026-06-22,996.0,996.79,980.0,981.48,32054,False
6,2026-06-19,984.9,991.89,966.0,980.06,23510,False
7,2026-06-18,989.9,994.9,978.0,978.77,111007,False
8,2026-06-17,999.9,1039.0,981.0,984.48,176738,False
9,2026-06-16,992.0,1000.0,990.91,998.24,38666,False
10,2026-06-15,972.01,999.0,972.01,991.04,114628,False
11,2026-06-12,969.48,975.0,960.0,962.59,63602,False
12,2026-06-11,970.0,970.0,960.0,962.97,11805,False
13,2026-06-10,973.0,973.0,962.02,964.92,20500,False
14,2026-06-09,968.0,979.0,964.11,968.98,11887,False
15,2026-06-08,981.3,983.48,967.0,968.97,13009,False
16,2026-06-05,980.0,994.89,975.0,978.5,9140,False
17,2026-06-04,979.75,997.99,971.0,976.28,5941,False
18,2026-06-03,990.0,1000.0,969.51,971.42,43655,False
19,2026-06-02,961.0,1000.25,961.0,993.89,74705,False
20,2026-06-01,984.9,989.0,955.0,965.5,33035,False
21,2026-05-29,968.17,974.0,951.3,969.89,19146,False
22,2026-05-25,954.9,971.0,949.0,968.17,18605,False
23,2026-05-22,945.1,955.0,943.2,949.99,27575,False
24,2026-05-21,935.0,951.0,935.0,943.32,55898,False
25,2026-05-20,949.9,949.9,929.5,930.17,12736,False
26,2026-05-19,948.0,948.0,938.0,941.07,3217,False
27,2026-05-18,953.95,953.95,932.0,942.31,7457,False
28,2026-05-15,954.89,957.49,945.01,952.52,3340,False
29,2026-05-14,954.9,959.0,949.0,949.4,4202,False
30,2026-05-13,955.0,964.9,950.01,951.68,4291,False
31,2026-05-12,972.0,972.0,958.0,958.59,8253,False
32,2026-05-11,975.0,980.0,950.0,974.77,26846,False
33,2026-05-08,935.1,980.0,935.1,978.0,16980,False
34,2026-05-07,969.9,974.01,955.0,959.46,11174,False
35,2026-05-06,940.0,975.0,926.26,961.92,71433,False
36,2026-05-05,911.11,937.8,911.11,925.0,7154,False
37,2026-05-04,919.9,939.0,919.9,929.87,9813,False
38,2026-04-30,944.99,944.99,901.1,913.44,21557,False
