date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,116.09,119.5,116.0,118.9,1264702,False
1,2026-06-30,115.0,118.49,114.12,116.08,277451,False
2,2026-06-29,114.8,115.2,113.0,113.91,484713,False
3,2026-06-24,115.5,115.5,113.5,114.84,597223,False
4,2026-06-23,115.85,115.85,113.01,113.2,268483,False
5,2026-06-22,116.85,116.85,114.0,114.2,334301,False
6,2026-06-19,117.79,117.79,114.82,115.43,470377,False
7,2026-06-18,117.32,118.5,116.0,116.37,339643,False
8,2026-06-17,117.94,117.95,116.8,117.32,429703,False
9,2026-06-16,116.5,117.89,116.01,117.51,778199,False
10,2026-06-15,118.0,118.0,115.9,115.98,235067,False
11,2026-06-12,115.1,117.0,115.0,116.09,419003,False
12,2026-06-11,115.75,115.75,114.5,115.0,77100,False
13,2026-06-10,116.98,117.0,114.0,114.41,365941,False
14,2026-06-09,116.0,116.5,115.03,116.11,111686,False
15,2026-06-08,115.17,116.78,114.17,115.47,44285,False
16,2026-06-05,118.4,118.4,115.0,115.51,74529,False
17,2026-06-04,117.0,117.8,116.7,117.0,166824,False
18,2026-06-03,116.5,117.0,116.1,116.59,67024,False
19,2026-06-02,116.1,117.95,116.1,116.55,574692,False
20,2026-06-01,118.8,118.8,116.5,117.0,58264,False
21,2026-05-29,118.5,118.86,116.0,117.29,35483,False
22,2026-05-25,115.8,118.85,115.8,117.19,140815,False
23,2026-05-22,117.0,117.0,115.0,115.53,59824,False
24,2026-05-21,115.99,118.0,114.11,115.29,280171,False
25,2026-05-20,116.0,116.0,113.19,114.48,72325,False
26,2026-05-19,115.32,117.3,114.44,114.6,571540,False
27,2026-05-18,116.0,118.46,115.0,115.32,74815,False
28,2026-05-15,116.01,117.48,116.0,116.98,58077,False
29,2026-05-14,117.0,118.8,115.0,116.01,289929,False
30,2026-05-13,116.9,118.39,116.0,116.99,51396,False
31,2026-05-12,118.0,118.0,116.07,116.92,126781,False
32,2026-05-11,117.16,117.98,116.5,117.06,37709,False
33,2026-05-08,115.75,118.0,115.5,117.16,153509,False
34,2026-05-07,117.85,118.49,116.6,118.0,179898,False
35,2026-05-06,116.69,118.5,115.84,117.42,219741,False
36,2026-05-05,114.01,116.0,113.0,115.83,185301,False
37,2026-05-04,115.09,117.33,115.09,116.5,82080,False
38,2026-04-30,115.2,116.9,113.01,114.93,61236,False
39,2026-04-29,118.0,118.49,116.85,117.45,212209,False
40,2026-04-28,118.5,118.5,117.0,117.91,115571,False
41,2026-04-27,117.69,118.79,116.2,117.93,122414,False
42,2026-04-24,119.99,119.99,114.5,117.69,205002,False
43,2026-04-23,120.01,121.96,118.0,118.94,83715,False
44,2026-04-22,120.25,123.34,119.78,120.01,234400,False
45,2026-04-21,119.0,122.5,119.0,121.68,237919,False
46,2026-04-20,121.99,122.8,118.0,119.64,203941,False
47,2026-04-17,120.0,124.68,120.0,122.8,242191,False
48,2026-04-16,120.0,121.83,118.62,120.63,190630,False
49,2026-04-15,118.01,120.0,118.0,119.41,597605,False
