date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,234.94,235.7,232.25,233.14,2962891,False
1,2026-06-30,228.99,235.0,228.05,233.45,5812755,False
2,2026-06-29,231.5,232.75,226.96,227.45,3825028,False
3,2026-06-24,232.63,233.0,230.49,231.41,3198012,False
4,2026-06-23,232.97,234.24,231.1,231.81,3438583,False
5,2026-06-22,234.49,234.9,228.8,231.98,4049122,False
6,2026-06-19,234.49,238.75,230.4,231.3,13325239,False
7,2026-06-18,226.95,234.3,226.95,233.45,9542272,False
8,2026-06-17,231.1,232.85,225.11,226.35,10435153,False
9,2026-06-16,229.0,235.0,227.0,230.11,7678902,False
10,2026-06-15,228.0,230.89,225.0,228.76,10737010,False
11,2026-06-12,214.95,222.0,214.48,219.59,5743151,False
12,2026-06-11,212.0,215.9,212.0,212.48,1491851,False
13,2026-06-10,214.0,214.7,213.0,213.46,1060969,False
14,2026-06-09,213.3,215.4,213.3,214.95,1176116,False
15,2026-06-08,211.51,213.0,210.6,211.85,1420530,False
16,2026-06-05,215.97,217.5,213.5,214.12,2263682,False
17,2026-06-04,214.3,216.0,214.25,215.4,1185541,False
18,2026-06-03,215.0,217.4,213.45,214.38,1537009,False
19,2026-06-02,215.0,217.1,215.0,215.95,1255341,False
20,2026-06-01,220.9,220.9,214.5,214.95,3331075,False
21,2026-05-29,218.0,222.0,217.5,221.26,3968035,False
22,2026-05-25,218.85,221.0,215.91,219.5,3362653,False
23,2026-05-22,217.0,218.49,214.74,215.42,2866128,False
24,2026-05-21,211.12,216.98,211.12,215.99,5649761,False
25,2026-05-20,207.01,210.0,206.63,209.68,3104740,False
26,2026-05-19,205.9,207.47,205.01,206.62,2717629,False
27,2026-05-18,209.0,209.0,203.86,204.29,2500108,False
28,2026-05-15,210.74,211.3,208.89,209.82,2814950,False
29,2026-05-14,212.4,213.55,210.1,210.75,1992449,False
30,2026-05-13,213.2,215.95,210.8,211.43,1661164,False
31,2026-05-12,215.0,216.47,213.0,213.81,1320599,False
32,2026-05-11,216.01,216.39,214.0,215.49,861027,False
33,2026-05-08,216.0,218.24,215.0,216.53,2336464,False
34,2026-05-07,221.49,221.75,215.6,217.62,5452878,False
35,2026-05-06,216.92,221.99,216.0,220.57,6402549,False
36,2026-05-05,216.75,216.89,212.51,214.43,3237624,False
37,2026-05-04,222.51,226.0,221.8,222.79,3573076,False
38,2026-04-30,220.5,221.85,216.3,220.49,4421406,False
39,2026-04-29,225.0,226.0,222.22,222.92,2104863,False
40,2026-04-28,224.0,226.0,223.75,224.5,3475920,False
41,2026-04-27,227.0,227.47,225.0,225.49,2463577,False
42,2026-04-24,226.0,228.25,223.3,227.47,3819748,False
43,2026-04-23,227.88,229.5,224.21,226.43,3327782,False
44,2026-04-22,224.0,230.8,220.25,228.0,10044486,False
45,2026-04-21,226.0,227.4,223.0,224.37,3302340,False
46,2026-04-20,227.1,229.97,219.51,224.99,7241128,False
47,2026-04-17,227.89,232.5,226.0,230.49,7131310,False
48,2026-04-16,223.0,228.74,223.0,226.15,8861351,False
