date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,11.2,11.62,11.18,11.5,5455638,False
1,2026-06-30,10.95,11.28,10.95,11.17,901044,False
2,2026-06-29,11.1,11.18,10.9,10.93,3076302,False
3,2026-06-24,11.2,11.2,11.0,11.07,3846674,False
4,2026-06-23,11.15,11.3,11.01,11.12,444287,False
5,2026-06-22,11.4,11.4,11.15,11.19,1839987,False
6,2026-06-19,11.5,11.55,11.1,11.18,5312512,False
7,2026-06-18,11.69,11.69,11.44,11.5,1157141,False
8,2026-06-17,11.71,11.79,11.53,11.55,1605702,False
9,2026-06-16,11.79,11.85,11.61,11.67,6035116,False
10,2026-06-15,11.4,11.77,11.11,11.66,7968352,False
11,2026-06-12,11.2,11.4,11.01,11.07,1557904,False
12,2026-06-11,11.18,11.33,11.0,11.04,2046013,False
13,2026-06-10,11.32,11.32,11.12,11.18,1256251,False
14,2026-06-09,11.1,11.3,11.1,11.24,1283308,False
15,2026-06-08,11.09,11.24,10.8,11.12,1416698,False
16,2026-06-05,11.15,11.45,11.05,11.11,4476409,False
17,2026-06-04,10.76,11.05,10.76,11.0,1235699,False
18,2026-06-03,11.1,11.1,10.8,10.88,367979,False
19,2026-06-02,11.0,11.1,10.92,11.0,1464754,False
20,2026-06-01,11.07,11.17,10.94,11.0,886486,False
21,2026-05-29,11.03,11.3,10.86,11.06,3715903,False
22,2026-05-25,11.0,11.14,10.75,10.97,4804946,False
23,2026-05-22,11.0,11.0,10.51,10.63,829585,False
24,2026-05-21,10.89,11.0,10.71,10.8,804558,False
25,2026-05-20,10.99,10.99,10.6,10.66,880326,False
26,2026-05-19,10.89,10.94,10.62,10.73,850178,False
27,2026-05-18,10.83,10.89,10.6,10.66,6061882,False
28,2026-05-15,10.94,11.0,10.71,10.83,222985,False
29,2026-05-14,10.95,11.1,10.78,10.81,1423229,False
30,2026-05-13,11.0,11.09,10.85,10.88,1715783,False
31,2026-05-12,11.38,11.4,10.9,10.95,2352702,False
32,2026-05-11,11.41,11.41,11.03,11.12,5507636,False
33,2026-05-08,11.37,11.8,11.28,11.7,8114239,False
34,2026-05-07,11.74,11.74,11.3,11.36,6131478,False
35,2026-05-06,11.11,11.69,11.0,11.48,13149386,False
36,2026-05-05,11.09,11.19,10.8,11.11,4912253,False
37,2026-05-04,11.1,11.35,11.0,11.05,4001281,False
38,2026-04-30,10.95,11.7,10.8,11.04,14850697,False
39,2026-04-29,11.25,11.9,11.13,11.25,30469960,False
40,2026-04-28,10.89,11.09,10.8,10.96,13586383,False
41,2026-04-27,10.9,11.0,10.85,10.93,804974,False
42,2026-04-24,10.93,11.1,10.75,10.92,1637475,False
43,2026-04-23,11.0,11.24,10.81,10.92,4636351,False
44,2026-04-22,11.12,11.17,10.97,11.0,1044885,False
45,2026-04-21,11.2,11.27,11.03,11.12,1603234,False
46,2026-04-20,11.28,11.46,10.61,11.03,3218650,False
47,2026-04-17,11.2,11.55,11.08,11.4,4470663,False
48,2026-04-16,11.28,11.44,11.07,11.17,4034895,False
49,2026-04-15,11.2,11.4,10.98,11.09,4805976,False
50,2026-04-14,10.94,11.0,10.75,10.84,1229562,False
51,2026-04-13,10.76,11.19,10.6,10.66,3550881,False
52,2026-04-10,11.0,11.4,10.94,11.32,9749433,False
53,2026-04-09,11.35,11.35,10.76,10.94,8463090,False
54,2026-04-08,11.0,11.44,10.9,11.42,14560957,False
55,2026-04-07,10.5,10.7,10.29,10.41,1277300,False
56,2026-04-06,10.7,10.71,10.2,10.38,2101909,False
57,2026-04-03,10.01,11.0,10.01,10.56,1447788,False
58,2026-04-02,10.75,10.88,10.6,10.67,2495645,False
59,2026-04-01,10.77,11.0,10.75,10.88,4032651,False
60,2026-03-31,10.59,10.9,10.4,10.62,12706158,False
61,2026-03-30,11.0,11.0,10.2,10.4,12988054,False
62,2026-03-27,11.38,11.38,10.9,11.01,398860,False
63,2026-03-26,11.71,11.79,11.0,11.07,6686809,False
64,2026-03-25,11.69,11.85,11.47,11.8,1650296,False
65,2026-03-24,12.0,12.0,11.4,11.48,3910720,False
66,2026-03-19,11.51,11.65,11.5,11.61,396167,False
67,2026-03-18,11.74,11.9,11.5,11.73,915711,False
68,2026-03-17,11.75,11.8,11.46,11.62,1179467,False
69,2026-03-16,11.9,11.9,11.46,11.52,1891599,False
70,2026-03-13,11.67,12.0,11.41,11.9,2779868,False
71,2026-03-12,11.5,12.0,11.02,11.65,4277214,False
72,2026-03-11,11.25,11.75,11.25,11.51,2907584,False
73,2026-03-10,11.0,11.67,11.0,11.59,7067284,False
74,2026-03-09,10.99,11.26,10.62,10.63,5379876,False
75,2026-03-06,11.99,11.99,11.51,11.8,2574536,False
76,2026-03-05,11.4,12.16,10.7,12.08,11513421,False
77,2026-03-04,10.95,11.18,10.11,11.05,3571342,False
78,2026-03-03,10.06,11.25,10.0,10.95,3332014,False
79,2026-03-02,10.51,10.99,10.5,10.51,19644089,False
80,2026-02-27,11.88,11.88,11.51,11.67,1438351,False
81,2026-02-26,11.75,12.19,11.62,11.91,9238604,False
82,2026-02-25,12.1,12.13,11.65,11.78,2509216,False
83,2026-02-24,12.0,12.1,11.51,11.99,6081842,False
84,2026-02-23,12.23,12.35,11.8,11.87,3545577,False
85,2026-02-20,12.0,12.5,11.75,12.23,4367897,False
86,2026-02-19,12.95,12.95,11.85,12.05,4208598,False
87,2026-02-18,12.8,12.97,12.72,12.81,3865332,False
88,2026-02-17,12.9,13.2,12.71,12.79,9638930,False
89,2026-02-16,13.42,13.42,12.6,12.88,47353559,False
90,2026-02-13,11.2,12.2,10.45,12.2,27978793,False
91,2026-02-12,11.8,11.85,11.01,11.09,10876708,False
92,2026-02-11,12.35,12.57,11.7,11.8,10782628,False
93,2026-02-10,12.35,12.72,12.3,12.41,5337634,False
94,2026-02-09,12.5,12.6,12.33,12.37,2154407,False
95,2026-02-06,12.5,12.73,12.39,12.47,2344377,False
96,2026-02-04,12.46,12.78,12.4,12.69,3001610,False
97,2026-02-03,12.4,12.56,12.3,12.46,1877762,False
98,2026-02-02,12.47,12.47,12.12,12.29,2734407,False
99,2026-01-30,12.43,12.58,12.26,12.36,4098567,False
100,2026-01-29,12.85,12.85,12.33,12.43,5801303,False
101,2026-01-28,13.2,13.2,12.62,12.7,8179197,False
102,2026-01-27,12.82,13.09,12.55,12.87,10043335,False
103,2026-01-26,12.92,13.1,12.77,12.81,6082554,False
104,2026-01-23,13.13,13.19,12.82,12.91,4319415,False
105,2026-01-22,13.1,13.25,13.01,13.03,3470042,False
106,2026-01-21,13.17,13.66,13.1,13.14,14988861,False
107,2026-01-20,13.08,13.2,12.96,13.12,4864820,False
108,2026-01-19,13.1,13.2,13.0,13.08,3390274,False
109,2026-01-16,13.03,13.34,12.95,13.06,6661123,False
110,2026-01-15,13.26,13.43,12.86,13.11,16002950,False
111,2026-01-14,13.6,13.71,13.21,13.24,10746621,False
112,2026-01-13,13.53,13.9,13.48,13.54,12245547,False
113,2026-01-12,13.77,13.88,13.5,13.62,6132879,False
114,2026-01-09,14.06,14.1,13.71,13.76,12606608,False
115,2026-01-08,14.26,14.45,13.9,13.97,14963648,False
116,2026-01-07,13.77,14.48,13.75,14.21,24369759,False
117,2026-01-06,14.09,14.09,13.68,13.77,12375883,False
118,2026-01-05,14.0,14.17,13.88,13.97,5726849,False
119,2026-01-02,14.24,14.28,13.9,13.96,7313630,False
120,2026-01-01,14.29,14.4,14.0,14.14,3334141,False
121,2025-12-31,14.14,14.51,14.02,14.12,8067823,False
122,2025-12-30,14.11,14.39,14.1,14.13,7190549,False
