date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,226.0,226.5,220.0,224.27,640,False
1,2026-06-30,225.61,229.0,203.05,225.79,2001,False
2,2026-06-29,230.1,230.1,225.0,225.61,229,False
3,2026-06-24,234.0,234.0,233.33,230.09,15,True
4,2026-06-23,230.0,235.0,230.0,230.09,192,False
5,2026-06-22,236.6,236.6,228.21,235.0,26,False
6,2026-06-19,230.03,237.0,228.0,235.0,1570,False
7,2026-06-18,235.99,235.99,230.02,234.27,141,False
8,2026-06-17,225.01,237.0,224.24,229.05,558,False
9,2026-06-16,243.44,243.44,223.5,238.0,1259,False
10,2026-06-15,246.66,246.66,223.0,243.44,205,False
11,2026-06-12,225.25,238.0,212.0,234.99,926,False
12,2026-06-11,225.0,229.0,225.0,232.17,43,True
13,2026-06-10,236.0,245.75,224.43,232.17,2502,False
14,2026-06-09,229.0,247.0,220.0,226.01,2381,False
15,2026-06-08,230.0,230.0,219.5,228.99,439,False
16,2026-06-05,241.44,241.94,215.5,235.1,356,False
17,2026-06-04,226.0,233.0,217.52,233.0,153,False
18,2026-06-03,230.0,233.0,222.5,231.99,47,False
19,2026-06-02,241.0,249.98,220.1,231.99,1069,False
20,2026-06-01,202.22,241.0,202.22,231.01,284,False
21,2026-05-29,208.1,223.0,208.1,220.93,466,False
22,2026-05-25,210.21,218.88,210.01,216.0,37,False
23,2026-05-22,210.0,210.0,210.0,216.0,66,True
24,2026-05-21,207.77,228.0,207.77,216.0,35,False
25,2026-05-20,208.38,227.94,208.38,216.0,41,False
26,2026-05-19,210.04,210.04,210.04,216.0,29,True
27,2026-05-18,212.02,216.0,212.0,216.0,140,False
28,2026-05-15,212.22,227.94,212.22,211.52,100,True
29,2026-05-14,230.0,230.0,209.0,211.52,258,False
30,2026-05-13,232.0,232.0,204.0,222.69,936,False
31,2026-05-12,228.0,230.0,218.0,218.41,625,False
32,2026-05-11,216.02,234.0,216.02,219.31,911,False
33,2026-05-08,220.0,234.0,217.0,221.86,34,False
34,2026-05-07,221.86,221.86,218.0,221.86,314,False
35,2026-05-06,217.0,233.0,194.8,221.86,1202,False
36,2026-05-05,225.0,225.0,214.0,216.44,120,False
37,2026-05-04,240.0,240.0,212.22,226.87,107,False
38,2026-04-30,218.38,229.0,210.0,226.87,420,False
39,2026-04-29,217.0,252.98,217.0,218.28,1272,False
40,2026-04-28,257.0,257.0,211.0,238.76,986,False
41,2026-04-27,213.7,235.0,213.7,234.06,167,False
42,2026-04-24,237.0,237.0,214.24,237.32,84,True
43,2026-04-23,240.0,240.0,211.28,237.32,168,False
44,2026-04-22,230.0,230.0,215.0,219.9,27,False
45,2026-04-21,215.01,227.99,215.01,219.9,2,False
46,2026-04-20,205.0,219.0,205.0,219.9,103,True
