date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,169.5,170.21,168.5,169.32,59395,False
1,2026-06-30,169.89,170.95,168.0,168.87,46442,False
2,2026-06-29,170.0,172.4,168.0,168.94,91774,False
3,2026-06-24,168.0,171.87,167.31,168.95,126639,False
4,2026-06-23,168.1,171.0,166.5,167.13,95205,False
5,2026-06-22,170.9,172.5,168.7,169.85,168913,False
6,2026-06-19,170.15,172.01,166.1,168.18,184547,False
7,2026-06-18,170.0,173.99,170.0,170.1,184381,False
8,2026-06-17,171.51,174.4,162.51,169.65,152761,False
9,2026-06-16,174.0,177.88,170.95,171.39,445528,False
10,2026-06-15,170.25,177.9,168.02,173.41,518499,False
11,2026-06-12,165.0,170.0,163.1,167.22,519239,False
12,2026-06-11,166.0,166.49,163.0,163.27,120308,False
13,2026-06-10,158.01,168.9,158.01,166.63,1305805,False
14,2026-06-09,157.0,158.1,156.0,157.72,45572,False
15,2026-06-08,154.01,157.0,153.24,154.61,67059,False
16,2026-06-05,158.4,161.0,156.88,157.27,109148,False
17,2026-06-04,158.0,158.45,156.5,157.2,165552,False
18,2026-06-03,158.0,158.4,156.32,157.69,57775,False
19,2026-06-02,162.4,162.98,155.22,159.33,98024,False
20,2026-06-01,158.01,164.9,158.0,161.61,552896,False
21,2026-05-29,159.0,160.0,157.55,158.31,323447,False
22,2026-05-25,160.0,160.8,155.0,158.0,272388,False
23,2026-05-22,162.0,162.47,156.0,156.76,31880,False
24,2026-05-21,159.23,160.0,157.8,159.51,34885,False
25,2026-05-20,157.0,157.0,155.01,156.94,38584,False
26,2026-05-19,158.0,158.0,156.0,156.6,36270,False
27,2026-05-18,159.6,159.6,155.66,156.0,35447,False
28,2026-05-15,162.99,162.99,159.5,160.35,64379,False
29,2026-05-14,163.05,166.0,160.11,161.11,67545,False
30,2026-05-13,155.05,165.98,155.05,162.99,332631,False
31,2026-05-12,159.03,161.88,158.0,158.39,65011,False
32,2026-05-11,159.0,161.7,156.0,161.04,45852,False
