date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,91.39,92.5,89.9,90.18,570429,False
1,2026-06-30,92.61,94.0,90.05,90.74,405192,False
2,2026-06-29,88.13,94.19,88.02,92.6,1706748,False
3,2026-06-24,85.21,90.1,85.2,88.43,424058,False
4,2026-06-23,87.09,87.09,85.0,85.21,282022,False
5,2026-06-22,88.74,90.0,86.11,86.39,366988,False
6,2026-06-19,91.4,91.58,87.75,88.95,302017,False
7,2026-06-18,91.98,92.19,90.51,91.39,535479,False
8,2026-06-17,92.0,93.0,89.0,90.88,383247,False
9,2026-06-16,92.11,96.0,91.5,92.62,1150636,False
10,2026-06-15,94.49,94.49,90.16,92.47,643539,False
11,2026-06-12,83.16,88.24,83.16,87.14,1335077,False
12,2026-06-11,84.25,86.48,81.9,82.44,878164,False
13,2026-06-10,77.5,85.65,77.4,85.32,2645385,False
14,2026-06-09,77.01,78.91,77.01,77.86,306691,False
15,2026-06-08,77.9,78.49,70.32,76.98,181669,False
16,2026-06-05,78.0,79.5,77.85,78.13,442176,False
17,2026-06-04,76.0,78.0,75.8,77.58,354301,False
18,2026-06-03,77.0,77.8,75.8,76.34,131305,False
19,2026-06-02,77.9,78.0,77.16,77.31,196490,False
20,2026-06-01,78.9,79.26,76.5,77.46,392013,False
21,2026-05-29,78.75,79.4,78.35,79.04,156514,False
22,2026-05-25,78.0,79.6,77.65,77.95,284199,False
23,2026-05-22,77.9,78.5,76.5,76.77,121613,False
24,2026-05-21,78.53,78.53,77.02,78.03,354902,False
25,2026-05-20,76.69,76.69,75.52,76.04,56632,False
26,2026-05-19,77.98,77.98,75.0,75.58,45948,False
27,2026-05-18,77.55,78.0,75.05,75.54,33426,False
28,2026-05-15,78.79,78.79,77.11,77.54,47907,False
29,2026-05-14,78.9,79.29,76.99,77.77,91012,False
30,2026-05-13,79.0,79.25,77.51,77.97,88531,False
31,2026-05-12,79.9,80.0,78.52,78.94,194297,False
32,2026-05-11,79.0,81.9,78.25,79.03,158776,False
33,2026-05-08,80.0,80.6,79.0,79.54,196698,False
34,2026-05-07,79.8,81.55,78.64,80.89,271784,False
35,2026-05-06,76.0,81.0,75.22,79.84,485548,False
36,2026-05-05,73.0,74.98,72.53,74.55,163209,False
37,2026-05-04,74.3,76.98,73.25,73.89,243188,False
38,2026-04-30,76.99,76.99,70.31,72.82,1030814,False
39,2026-04-29,80.0,80.99,77.71,78.06,182735,False
40,2026-04-28,81.31,81.7,79.02,80.18,192015,False
41,2026-04-27,81.5,82.89,81.03,82.39,157872,False
42,2026-04-24,81.39,82.5,79.7,82.02,315747,False
43,2026-04-23,85.0,85.0,81.0,81.65,481162,False
44,2026-04-22,87.0,87.49,84.75,85.87,617054,False
45,2026-04-21,89.0,90.5,86.1,86.83,449000,False
46,2026-04-20,87.0,92.0,86.0,88.12,981669,False
47,2026-04-17,85.0,90.98,85.0,89.92,1474347,False
48,2026-04-16,83.9,85.0,82.0,84.42,235872,False
49,2026-04-15,82.5,84.25,81.1,82.43,651946,False
50,2026-04-14,77.31,80.5,77.31,80.11,348162,False
51,2026-04-13,77.0,77.99,75.35,76.7,351142,False
52,2026-04-10,79.48,85.0,79.0,80.49,855718,False
53,2026-04-09,74.0,80.0,72.12,79.48,1934984,False
54,2026-04-08,73.27,73.27,71.7,73.27,1092528,False
55,2026-04-07,70.0,70.9,65.8,66.61,2410449,False
56,2026-04-06,68.27,71.0,65.45,70.66,168402,False
57,2026-04-03,69.02,70.7,67.8,67.98,690327,False
58,2026-04-02,71.89,71.89,70.0,70.75,157765,False
59,2026-04-01,71.0,74.79,71.0,73.04,346062,False
60,2026-03-31,68.8,71.0,68.8,70.26,125206,False
61,2026-03-30,72.0,72.9,68.52,68.75,128482,False
62,2026-03-27,73.0,74.87,71.91,72.03,165679,False
63,2026-03-26,75.5,76.5,72.56,73.04,232525,False
64,2026-03-25,73.5,76.4,72.0,76.0,322810,False
65,2026-03-24,74.19,76.98,72.25,72.51,160297,False
66,2026-03-19,73.45,73.85,71.0,73.24,162965,False
67,2026-03-18,72.0,73.6,72.0,73.45,190157,False
68,2026-03-17,74.7,74.7,70.01,71.86,113087,False
69,2026-03-16,75.0,75.5,71.0,71.69,159380,False
70,2026-03-13,77.0,78.49,74.0,75.06,121795,False
71,2026-03-12,77.5,79.4,76.5,76.97,23809,False
72,2026-03-11,76.27,80.5,76.0,77.91,239087,False
73,2026-03-10,73.0,75.8,71.0,75.8,346720,False
74,2026-03-09,74.0,74.0,68.2,68.91,459521,False
75,2026-03-06,81.0,81.88,75.05,75.78,171966,False
76,2026-03-05,76.0,81.03,75.9,80.44,149876,False
77,2026-03-04,78.55,79.0,72.02,75.87,165251,False
78,2026-03-03,76.99,80.0,75.0,78.29,201454,False
79,2026-03-02,77.68,81.0,77.68,77.68,436889,False
80,2026-02-27,85.0,87.95,85.0,86.31,100523,False
81,2026-02-26,88.98,89.9,83.0,88.6,112549,False
82,2026-02-25,90.8,91.95,86.0,87.59,83763,False
83,2026-02-24,91.0,92.5,89.0,90.03,437771,False
84,2026-02-23,90.4,92.03,90.0,90.36,154590,False
85,2026-02-20,88.8,92.9,87.1,91.15,170362,False
86,2026-02-19,95.07,95.07,87.0,88.82,151238,False
87,2026-02-18,95.44,95.65,94.0,95.07,122264,False
88,2026-02-17,95.1,96.6,92.8,93.13,130512,False
89,2026-02-16,99.96,99.96,95.0,95.99,213015,False
90,2026-02-13,99.5,100.12,93.1,98.6,99122,False
91,2026-02-12,101.49,101.49,97.73,99.24,153295,False
92,2026-02-11,101.88,101.88,100.01,100.54,53278,False
93,2026-02-10,103.0,103.0,100.0,100.63,180254,False
94,2026-02-09,101.36,103.89,100.01,100.57,113234,False
95,2026-02-06,104.75,104.75,99.5,101.24,311293,False
96,2026-02-04,106.0,106.5,105.03,105.75,199706,False
97,2026-02-03,106.5,107.4,105.8,106.0,176611,False
98,2026-02-02,106.5,107.85,105.02,106.02,260497,False
99,2026-01-30,105.0,108.99,103.0,106.46,689659,False
100,2026-01-29,108.0,108.0,103.0,104.55,309217,False
101,2026-01-28,108.4,110.1,106.8,107.5,1197005,False
102,2026-01-27,108.2,108.49,105.25,105.93,277434,False
103,2026-01-26,108.0,109.49,107.02,108.78,259212,False
104,2026-01-23,111.0,111.0,107.8,108.79,484471,False
105,2026-01-22,107.48,110.9,106.0,110.13,1049705,False
106,2026-01-21,109.49,109.49,106.5,106.68,382289,False
107,2026-01-20,109.5,110.53,108.5,108.8,464125,False
108,2026-01-19,111.0,111.88,108.5,109.49,1073254,False
109,2026-01-16,107.1,111.9,107.03,110.55,18857239,False
110,2026-01-15,108.88,108.88,105.6,106.96,101582,False
111,2026-01-14,110.98,110.98,105.5,106.94,246048,False
112,2026-01-13,109.5,111.5,108.95,109.27,91825,False
113,2026-01-12,109.18,111.9,109.0,109.57,108196,False
114,2026-01-09,111.99,111.99,107.5,109.18,157149,False
115,2026-01-08,112.97,113.5,110.22,111.07,738933,False
116,2026-01-07,113.0,114.9,111.6,112.44,338522,False
117,2026-01-06,115.0,116.0,111.03,112.94,141104,False
118,2026-01-05,112.1,116.2,111.91,113.92,591806,False
119,2026-01-02,107.49,114.0,106.9,112.1,842169,False
120,2026-01-01,105.4,107.4,105.4,107.06,191226,False
121,2025-12-31,106.94,107.4,105.02,105.36,242862,False
122,2025-12-30,105.25,106.45,104.63,106.02,85622,False
123,2025-12-29,105.56,106.96,104.0,105.2,139062,False
124,2025-12-26,106.11,107.38,104.25,105.56,273013,False
125,2025-12-24,108.98,108.98,105.01,105.65,187587,False
126,2025-12-23,110.0,111.0,107.6,108.01,77154,False
127,2025-12-22,108.99,113.2,108.6,110.15,212129,False
128,2025-12-19,109.8,112.0,106.0,109.49,895791,False
129,2025-12-18,110.0,115.0,107.0,107.39,1049201,False
130,2025-12-17,113.58,115.74,109.0,109.86,501574,False
131,2025-12-16,115.0,118.0,112.05,113.68,653868,False
132,2025-12-15,112.1,118.0,111.12,114.28,409151,False
133,2025-12-12,112.26,113.99,110.61,111.65,307339,False
134,2025-12-11,121.5,123.0,108.5,111.37,1117248,False
135,2025-12-10,109.89,119.26,109.05,119.26,2598147,False
136,2025-12-09,99.0,108.42,98.56,108.42,1069302,False
137,2025-12-08,96.0,99.1,96.0,98.56,155686,False
138,2025-12-05,96.5,96.5,94.9,95.9,137424,False
139,2025-12-04,96.0,96.8,93.5,95.15,68060,False
140,2025-12-03,98.55,98.95,95.11,95.97,71071,False
141,2025-12-02,97.0,99.99,97.0,98.04,207745,False
142,2025-12-01,92.99,97.49,91.01,96.39,366879,False
143,2025-11-28,91.0,92.52,90.5,92.29,286395,False
144,2025-11-27,89.0,91.0,88.86,90.72,178745,False
145,2025-11-26,88.2,89.0,87.8,88.86,77678,False
146,2025-11-25,88.89,91.0,86.16,87.27,234432,False
147,2025-11-24,93.02,93.49,89.9,90.0,244136,False
148,2025-11-21,91.5,94.5,91.0,92.38,540536,False
149,2025-11-20,91.01,92.98,90.25,91.24,157561,False
150,2025-11-19,89.02,90.75,89.0,90.54,132138,False
151,2025-11-18,90.5,92.5,87.5,88.61,136073,False
152,2025-11-17,91.0,91.0,89.15,89.48,91469,False
153,2025-11-14,90.96,91.79,89.0,90.35,57477,False
154,2025-11-13,88.55,91.5,88.5,90.96,165653,False
