date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,930.02,955.5,930.02,948.43,517,False
1,2026-06-30,922.2,978.0,922.2,944.68,370,False
2,2026-06-29,960.0,960.0,906.0,929.96,69,False
3,2026-06-24,938.0,938.0,928.9,929.58,282,False
4,2026-06-23,928.0,934.99,928.0,934.8,91,False
5,2026-06-22,980.0,980.0,910.0,928.99,96,False
6,2026-06-19,921.0,930.0,905.58,921.0,375,False
7,2026-06-18,925.02,932.99,917.02,919.4,187,False
8,2026-06-17,923.06,925.11,923.05,925.02,83,False
9,2026-06-16,920.0,933.99,920.0,929.4,762,False
10,2026-06-15,940.0,940.0,910.0,921.13,2104,False
11,2026-06-12,949.0,955.0,920.0,924.35,378,False
12,2026-06-11,905.01,937.49,905.0,919.42,860,False
13,2026-06-10,995.0,995.0,902.0,938.1,881,False
14,2026-06-09,928.86,939.99,912.01,915.04,359,False
15,2026-06-08,909.0,938.0,909.0,928.86,405,False
16,2026-06-05,921.0,929.0,915.0,925.69,325,False
17,2026-06-04,906.65,929.99,906.65,921.0,271,False
18,2026-06-03,920.0,920.0,910.0,914.94,535,False
19,2026-06-02,907.0,920.0,907.0,915.12,189,False
20,2026-06-01,924.99,924.99,911.0,921.08,144,False
21,2026-05-29,920.0,950.0,902.01,924.24,1441,False
22,2026-05-25,931.3,931.3,900.06,915.36,1051,False
23,2026-05-22,916.98,930.0,902.01,905.41,607,False
24,2026-05-21,925.0,945.0,900.0,900.66,3771,False
25,2026-05-20,915.0,950.0,900.0,914.87,1372,False
26,2026-05-19,938.0,938.0,891.01,914.47,213,False
27,2026-05-18,912.5,950.0,809.48,902.2,2792,False
28,2026-05-15,900.5,910.0,880.0,899.42,132,False
29,2026-05-14,911.98,911.98,890.0,900.43,36,False
30,2026-05-13,881.0,916.0,880.0,896.22,180,False
31,2026-05-12,935.0,935.0,866.0,881.29,305,False
32,2026-05-11,894.85,920.0,858.01,899.78,1205,False
33,2026-05-08,895.0,906.98,871.01,894.85,162,False
34,2026-05-07,865.54,920.0,865.53,876.09,712,False
35,2026-05-06,860.17,890.0,860.17,889.14,1970,False
36,2026-05-05,879.0,885.0,850.0,880.03,928,False
37,2026-05-04,862.0,875.8,860.0,871.93,158,False
38,2026-04-30,853.0,862.49,852.0,860.16,555,False
39,2026-04-29,869.0,869.0,851.0,856.97,118,False
40,2026-04-28,862.88,862.88,851.15,854.37,12,False
41,2026-04-27,842.0,875.0,840.01,854.37,758,False
42,2026-04-24,835.0,870.05,835.0,855.21,704,False
43,2026-04-23,853.0,864.95,850.01,852.06,303,False
44,2026-04-22,855.0,855.0,843.0,853.58,721,False
45,2026-04-21,860.0,868.88,850.55,855.78,287,False
46,2026-04-20,847.56,905.0,840.0,852.18,6348,False
47,2026-04-17,909.99,909.99,864.0,884.81,647,False
48,2026-04-16,858.01,899.8,856.0,878.54,267,False
49,2026-04-15,886.0,898.0,858.1,868.2,430,False
50,2026-04-14,850.0,889.99,831.0,852.45,171,False
51,2026-04-13,787.49,909.1,787.49,861.53,1152,False
52,2026-04-10,877.0,899.99,874.98,874.99,334,False
53,2026-04-09,870.98,870.99,833.0,870.23,206,False
54,2026-04-08,860.0,884.99,847.5,854.22,1279,False
55,2026-04-07,826.0,880.0,826.0,852.41,63,False
56,2026-04-06,855.0,859.95,850.0,850.01,121,False
57,2026-04-03,830.0,869.89,830.0,842.69,34,False
58,2026-04-02,860.01,865.0,850.0,864.44,104,False
59,2026-04-01,836.09,899.93,836.0,861.19,1181,False
60,2026-03-31,878.9,878.9,835.56,836.17,152,False
61,2026-03-30,835.58,850.02,835.0,845.01,1051,False
62,2026-03-27,850.01,878.95,850.0,877.72,69,False
63,2026-03-26,840.12,875.0,840.01,863.74,329,False
64,2026-03-25,850.0,869.99,840.01,866.06,907,False
65,2026-03-24,860.0,874.99,833.0,833.0,232,False
66,2026-03-19,860.0,879.99,832.04,845.38,175,False
67,2026-03-18,883.97,899.96,850.06,879.77,182,False
68,2026-03-17,884.99,885.0,850.0,850.93,382,False
69,2026-03-16,885.0,905.0,850.0,850.79,294,False
70,2026-03-13,850.0,883.97,845.0,883.89,120,False
71,2026-03-12,851.0,884.97,850.0,850.0,526,False
72,2026-03-11,848.0,899.0,848.0,850.57,78,False
73,2026-03-10,840.5,874.0,840.5,873.17,121,False
74,2026-03-09,830.0,899.0,809.42,840.36,153,False
75,2026-03-06,899.97,910.0,882.1,899.36,56,False
76,2026-03-05,850.0,905.99,850.0,886.0,205,False
77,2026-03-04,815.0,894.0,815.0,871.26,194,False
78,2026-03-03,905.0,905.0,835.0,894.52,69,False
79,2026-03-02,803.27,981.77,803.27,900.0,340,False
80,2026-02-27,858.05,907.0,858.0,892.52,385,False
81,2026-02-26,907.0,907.0,842.5,856.54,164,False
82,2026-02-25,906.99,907.0,851.1,884.0,27,False
83,2026-02-24,924.7,924.7,825.0,884.0,264,False
84,2026-02-23,871.0,900.0,870.0,889.79,184,False
85,2026-02-20,826.04,900.0,826.04,899.1,251,False
86,2026-02-18,853.01,921.0,853.01,910.3,49,False
87,2026-02-17,909.74,910.0,888.0,896.87,545,False
88,2026-02-16,899.0,910.0,890.0,898.99,256,False
89,2026-02-13,900.0,909.0,882.54,899.0,170,False
90,2026-02-12,915.0,919.0,888.0,887.51,12,True
91,2026-02-11,922.0,922.0,895.01,887.51,5,True
92,2026-02-10,900.0,930.63,882.5,887.51,450,False
93,2026-02-09,914.99,935.0,882.0,901.05,1515,False
94,2026-02-06,890.01,920.5,888.02,915.26,331,False
95,2026-02-04,896.0,910.0,895.51,910.0,641,False
96,2026-02-03,920.0,920.0,900.03,915.0,309,False
97,2026-02-02,904.8,950.0,815.0,919.21,4596,False
98,2026-01-30,901.01,920.01,877.1,904.8,793,False
99,2026-01-29,910.0,910.0,881.51,887.2,540,False
100,2026-01-28,917.01,950.0,823.81,905.1,4647,False
101,2026-01-27,886.03,920.0,886.02,915.34,1489,False
102,2026-01-26,890.0,920.0,885.01,900.0,634,False
103,2026-01-23,939.99,939.99,882.22,900.0,1289,False
104,2026-01-22,890.0,907.99,880.01,902.31,1626,False
105,2026-01-21,880.0,895.0,878.02,884.47,218,False
106,2026-01-20,879.51,898.99,879.51,886.66,176,False
107,2026-01-19,898.44,902.66,875.0,899.88,1672,False
108,2026-01-16,877.0,903.0,873.52,880.92,510,False
109,2026-01-15,903.99,903.99,870.1,882.99,817,False
110,2026-01-14,890.01,896.0,881.0,890.24,773,False
111,2026-01-13,902.0,975.0,891.5,906.5,3045,False
112,2026-01-12,902.0,910.0,897.05,900.41,902,False
113,2026-01-09,906.0,909.0,891.0,900.25,629,False
