date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,147.5,154.98,145.9,153.48,3570218,False
1,2026-06-30,146.25,148.0,145.0,147.2,635807,False
2,2026-06-29,145.1,148.5,142.5,144.85,1406451,False
3,2026-06-24,142.0,145.45,141.5,144.51,1377543,False
4,2026-06-23,144.7,145.57,142.0,142.32,838553,False
5,2026-06-22,147.0,147.75,143.99,144.77,865584,False
6,2026-06-19,149.98,149.98,142.5,145.18,2287289,False
7,2026-06-18,146.51,149.25,144.8,148.3,2225103,False
8,2026-06-17,148.5,151.0,145.01,146.09,2708198,False
9,2026-06-16,152.75,156.72,146.9,148.42,5317823,False
10,2026-06-15,158.97,159.5,151.2,152.85,9737085,False
11,2026-06-12,148.0,158.21,147.36,153.16,6474308,False
12,2026-06-11,147.95,148.2,144.25,145.94,743617,False
13,2026-06-10,148.1,153.0,147.25,148.26,3324116,False
14,2026-06-09,150.01,156.89,149.0,150.15,6719808,False
15,2026-06-08,136.4,150.48,133.0,146.62,5859349,False
16,2026-06-05,134.25,138.1,132.5,136.8,1283675,False
17,2026-06-04,132.01,134.9,132.01,133.37,348984,False
18,2026-06-03,133.5,134.43,130.0,131.94,477157,False
19,2026-06-02,133.7,135.99,131.0,134.7,596610,False
20,2026-06-01,133.99,136.69,132.0,132.47,710572,False
21,2026-05-29,134.27,135.8,133.21,134.09,346190,False
22,2026-05-25,137.23,137.23,132.99,134.99,491434,False
23,2026-05-22,135.49,135.49,131.52,132.14,215918,False
24,2026-05-21,133.5,136.38,133.5,134.32,644667,False
25,2026-05-20,132.9,133.0,130.12,132.71,376037,False
26,2026-05-19,128.0,132.0,128.0,130.44,282305,False
27,2026-05-18,133.0,134.4,126.01,126.67,685654,False
28,2026-05-15,135.65,135.65,131.99,133.47,559660,False
29,2026-05-14,131.85,136.5,129.25,134.56,1317973,False
30,2026-05-13,132.39,133.95,129.5,130.06,266323,False
31,2026-05-12,135.5,137.9,131.25,132.45,748399,False
32,2026-05-11,135.5,139.0,134.61,135.13,756696,False
33,2026-05-08,135.0,142.3,133.03,138.3,2758354,False
34,2026-05-07,134.02,137.05,133.38,136.18,1472810,False
35,2026-05-06,129.44,134.5,129.44,133.35,1071849,False
36,2026-05-05,121.0,128.0,116.33,127.27,748208,False
37,2026-05-04,119.05,128.88,119.05,122.42,948190,False
38,2026-04-30,126.5,126.5,114.8,119.04,1445325,False
39,2026-04-29,137.4,138.0,124.0,127.55,1131736,False
40,2026-04-28,134.25,138.48,134.02,134.62,669605,False
41,2026-04-27,134.8,140.89,133.5,137.31,1164864,False
42,2026-04-24,132.16,136.25,132.0,134.71,916823,False
43,2026-04-23,134.81,138.1,133.06,136.63,1066711,False
44,2026-04-22,138.0,138.0,133.55,134.81,918145,False
45,2026-04-21,139.0,142.49,137.0,138.5,1541838,False
46,2026-04-20,129.5,141.7,126.5,137.48,3958116,False
47,2026-04-17,128.0,132.54,125.3,131.43,1428631,False
48,2026-04-16,129.5,129.5,126.0,127.46,533177,False
49,2026-04-15,131.0,133.99,127.0,127.47,1801853,False
50,2026-04-14,121.25,127.4,120.5,126.35,1606213,False
51,2026-04-13,116.0,122.78,116.0,118.06,1494470,False
52,2026-04-10,113.28,124.61,113.28,123.55,1778288,False
53,2026-04-09,112.89,116.5,108.01,113.28,2117014,False
54,2026-04-08,113.0,113.42,111.5,113.42,947488,False
55,2026-04-07,103.88,103.88,101.8,103.11,435414,False
56,2026-04-06,102.9,105.99,100.0,104.71,1298639,False
57,2026-04-03,96.1,101.86,96.1,100.58,292362,False
58,2026-04-02,101.99,103.0,96.5,101.91,260441,False
59,2026-04-01,104.99,109.5,102.7,106.66,787875,False
60,2026-03-31,98.5,105.44,98.5,101.47,385352,False
61,2026-03-30,102.9,103.79,95.1,97.03,320280,False
62,2026-03-27,104.25,104.45,101.01,102.88,186805,False
63,2026-03-26,109.38,109.38,102.2,102.56,556200,False
64,2026-03-25,106.13,112.99,105.53,109.38,746993,False
65,2026-03-24,107.9,109.4,104.21,104.9,302071,False
66,2026-03-19,105.88,105.88,100.01,104.05,145940,False
67,2026-03-18,104.49,109.4,103.15,106.81,497450,False
68,2026-03-17,100.0,104.0,98.65,103.17,500858,False
69,2026-03-16,103.99,103.99,97.0,98.6,225224,False
70,2026-03-13,100.5,104.9,100.0,102.75,125261,False
71,2026-03-12,99.31,105.75,99.31,102.86,339634,False
72,2026-03-11,99.4,109.0,99.4,104.97,681653,False
73,2026-03-10,99.4,101.96,98.0,100.36,666187,False
74,2026-03-09,93.07,96.99,92.61,92.69,824837,False
75,2026-03-06,110.5,112.9,102.9,102.9,1080146,False
76,2026-03-05,110.02,115.5,109.52,114.33,563978,False
77,2026-03-04,109.77,111.85,105.2,110.5,225572,False
78,2026-03-03,105.26,113.0,103.95,109.9,804366,False
79,2026-03-02,115.5,118.0,115.5,115.5,598155,False
80,2026-02-27,126.0,133.75,121.61,128.33,728166,False
81,2026-02-26,122.0,126.85,116.22,123.75,1449316,False
82,2026-02-25,132.0,133.6,121.8,122.93,400524,False
83,2026-02-24,136.38,139.0,127.0,128.53,1162669,False
84,2026-02-23,145.0,145.0,135.0,136.38,285222,False
85,2026-02-20,138.21,145.5,132.05,143.22,823674,False
86,2026-02-19,148.94,148.94,136.02,139.34,490985,False
87,2026-02-18,145.5,149.49,145.15,148.94,529570,False
88,2026-02-17,148.43,149.7,140.0,144.11,705642,False
89,2026-02-16,152.8,155.0,146.5,148.43,702584,False
90,2026-02-13,156.0,156.7,152.5,154.46,645660,False
91,2026-02-12,153.2,155.49,148.31,152.63,2423757,False
92,2026-02-11,158.7,159.5,152.1,153.32,1173327,False
93,2026-02-10,158.21,163.0,157.2,158.1,3540650,False
94,2026-02-09,157.25,159.7,154.6,156.2,2244210,False
95,2026-02-06,152.0,157.44,150.21,156.03,2487326,False
96,2026-02-04,154.8,155.5,149.01,152.0,1323992,False
97,2026-02-03,157.0,158.48,152.06,153.81,1375747,False
98,2026-02-02,160.0,160.5,156.08,156.61,2128588,False
99,2026-01-30,148.5,162.49,148.5,160.17,6495789,False
100,2026-01-29,152.0,153.0,147.0,147.72,2663247,False
101,2026-01-28,149.4,155.0,149.0,151.38,4184623,False
102,2026-01-27,151.0,154.94,147.22,148.44,3130665,False
103,2026-01-26,145.0,155.36,145.0,150.7,10020341,False
104,2026-01-23,141.2,146.99,140.01,141.24,10806604,False
105,2026-01-22,142.0,146.5,140.0,140.4,7857999,False
106,2026-01-21,138.9,148.0,136.54,140.88,2655166,False
107,2026-01-20,138.5,141.9,132.0,138.59,772628,False
108,2026-01-19,144.0,146.54,135.11,138.97,3846172,False
109,2026-01-16,125.5,133.22,125.0,133.22,1778735,False
110,2026-01-15,115.5,123.89,112.95,121.11,859375,False
111,2026-01-14,119.4,119.4,114.1,115.52,79046,False
112,2026-01-13,117.0,119.5,116.0,118.14,116589,False
113,2026-01-12,119.99,119.99,116.0,117.0,283105,False
114,2026-01-09,117.03,120.99,117.0,120.37,351861,False
115,2026-01-08,118.95,120.4,107.06,118.6,771542,False
116,2026-01-07,121.0,122.5,118.0,118.95,498837,False
117,2026-01-06,124.0,125.0,118.6,120.82,778233,False
118,2026-01-05,121.0,125.0,121.0,122.35,2073882,False
119,2026-01-02,114.99,123.22,110.55,120.3,2862681,False
120,2026-01-01,114.0,119.99,111.1,114.48,5315711,False
121,2025-12-31,98.55,109.53,98.55,109.53,4045353,False
122,2025-12-30,97.01,101.0,96.5,99.57,1392749,False
123,2025-12-29,98.0,101.98,93.05,98.86,4314352,False
124,2025-12-26,89.8,97.1,88.5,96.85,4906739,False
125,2025-12-24,84.75,91.0,84.6,88.27,3162325,False
126,2025-12-23,83.99,84.9,83.47,83.85,428053,False
127,2025-12-22,81.09,84.0,80.5,83.47,384942,False
128,2025-12-19,80.3,81.45,79.5,81.09,249035,False
129,2025-12-18,80.48,80.48,78.94,80.38,254803,False
130,2025-12-17,79.0,79.8,78.55,79.0,214429,False
131,2025-12-16,80.0,80.6,78.25,79.2,176379,False
132,2025-12-15,78.8,80.2,78.0,79.16,445734,False
133,2025-12-12,80.95,80.95,77.01,77.58,294800,False
134,2025-12-11,81.97,82.0,79.51,80.11,259310,False
135,2025-12-10,79.83,82.4,79.83,81.0,750607,False
136,2025-12-09,78.0,80.25,76.53,79.83,584353,False
137,2025-12-08,76.5,78.0,76.0,77.56,215980,False
138,2025-12-05,76.8,77.0,75.5,76.01,45826,False
139,2025-12-04,76.6,76.6,75.0,75.92,48603,False
140,2025-12-03,76.99,77.0,74.29,75.86,271834,False
141,2025-12-02,74.1,76.9,73.57,75.81,277991,False
142,2025-12-01,73.01,74.48,73.01,74.03,124793,False
143,2025-11-28,73.99,74.19,73.32,73.79,44930,False
144,2025-11-27,74.0,74.0,73.2,73.66,14531,False
145,2025-11-26,73.75,74.0,72.1,73.58,187850,False
146,2025-11-25,73.53,74.49,72.6,73.04,339506,False
147,2025-11-24,74.0,75.99,73.51,73.69,62510,False
148,2025-11-21,74.0,74.0,73.1,73.53,122550,False
149,2025-11-20,74.4,74.81,73.32,73.88,104420,False
150,2025-11-19,73.36,74.73,67.31,73.7,207583,False
151,2025-11-18,73.48,74.0,73.0,73.36,287869,False
152,2025-11-17,73.95,74.75,73.26,73.48,118739,False
153,2025-11-14,73.2,74.95,73.1,73.75,142168,False
154,2025-11-13,72.99,74.6,72.98,73.95,164381,False
155,2025-11-12,72.4,72.9,71.6,72.3,55457,False
156,2025-11-11,73.55,74.49,71.26,72.0,415837,False
157,2025-11-10,73.25,74.0,73.0,73.59,72198,False
158,2025-11-07,73.0,75.0,72.32,73.25,220723,False
159,2025-11-06,72.48,72.51,71.0,72.32,140899,False
160,2025-11-05,71.65,72.5,71.52,72.01,87140,False
161,2025-11-04,72.05,72.5,71.55,71.99,56068,False
162,2025-11-03,73.05,73.5,71.0,72.47,102075,False
163,2025-10-31,71.5,73.0,71.2,72.03,168662,False
164,2025-10-30,72.5,72.5,70.75,71.27,81949,False
165,2025-10-29,68.4,73.18,68.31,71.96,527203,False
166,2025-10-28,71.13,71.6,65.15,68.51,177349,False
167,2025-10-27,70.07,71.01,69.0,70.61,472080,False
168,2025-10-24,71.03,72.0,69.0,70.16,199897,False
169,2025-10-23,73.5,73.5,70.1,71.03,202556,False
170,2025-10-22,74.0,74.11,72.7,73.05,213157,False
171,2025-10-21,72.1,73.69,72.0,73.12,144605,False
172,2025-10-20,72.1,73.8,71.9,72.73,142452,False
173,2025-10-17,73.55,74.5,71.0,71.95,242284,False
174,2025-10-16,76.0,76.0,72.5,73.54,503786,False
175,2025-10-15,76.5,77.41,74.98,75.24,722634,False
176,2025-10-14,75.0,76.7,74.02,76.4,194987,False
177,2025-10-13,76.3,76.3,72.01,73.85,175801,False
178,2025-10-10,78.0,78.75,74.99,76.31,432203,False
179,2025-10-09,78.88,78.94,76.7,78.36,145190,False
180,2025-10-08,81.5,81.5,76.6,77.99,391884,False
181,2025-10-07,86.06,86.25,85.0,85.47,633118,False
182,2025-10-06,86.9,87.9,85.0,85.72,792737,False
183,2025-10-03,86.51,88.0,86.5,86.96,1159561,False
184,2025-10-02,87.99,88.0,86.33,86.73,902935,False
185,2025-10-01,89.0,89.0,87.0,87.21,1105309,False
186,2025-09-30,88.5,92.5,87.8,88.03,2027338,False
187,2025-09-29,88.0,89.3,87.85,88.27,213822,False
188,2025-09-26,88.0,90.0,87.01,87.85,5585568,False
189,2025-09-25,90.0,90.0,87.8,87.95,536342,False
190,2025-09-24,90.49,90.49,88.5,88.8,326890,False
191,2025-09-23,90.5,90.9,89.36,89.7,230991,False
192,2025-09-22,89.43,91.99,88.75,89.56,251693,False
193,2025-09-19,90.01,92.0,88.0,89.44,591176,False
194,2025-09-18,92.0,92.5,90.4,91.49,877088,False
195,2025-09-17,88.98,93.0,87.76,91.77,1501405,False
196,2025-09-16,88.9,89.99,88.3,88.58,832352,False
197,2025-09-15,86.02,89.01,85.7,88.46,1204130,False
198,2025-09-12,84.0,85.9,83.25,85.38,777304,False
199,2025-09-11,83.0,84.69,82.0,83.16,421633,False
200,2025-09-10,85.0,85.0,83.0,83.58,508199,False
201,2025-09-09,90.0,90.0,82.51,85.03,2193608,False
202,2025-09-08,93.89,93.89,89.7,90.81,582621,False
203,2025-09-05,92.65,93.8,92.0,92.52,302917,False
204,2025-09-04,92.1,96.0,90.0,92.17,1146844,False
205,2025-09-03,95.9,96.05,91.5,92.54,2373573,False
206,2025-09-02,87.0,93.54,86.0,93.54,3721133,False
207,2025-09-01,81.94,86.2,81.65,85.04,2276359,False
