date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,8.52,8.63,8.2,8.33,82666150,False
1,2026-06-30,8.58,8.7,8.5,8.54,15921015,False
2,2026-06-29,8.81,8.87,8.53,8.57,51574602,False
3,2026-06-24,8.5,8.84,8.5,8.75,112892122,False
4,2026-06-23,8.2,8.6,8.2,8.42,83430084,False
5,2026-06-22,8.25,8.36,8.12,8.2,15781351,False
6,2026-06-19,7.7,8.45,7.7,8.15,31689766,False
7,2026-06-18,8.4,8.55,8.36,8.44,57393719,False
8,2026-06-17,8.16,8.45,8.15,8.36,53633860,False
9,2026-06-16,8.12,8.26,8.08,8.14,40115690,False
10,2026-06-15,8.29,8.29,8.0,8.07,28576614,False
11,2026-06-12,7.92,8.1,7.91,8.05,16201950,False
12,2026-06-11,7.8,7.9,7.75,7.84,9008812,False
13,2026-06-10,7.97,8.0,7.8,7.86,7852724,False
14,2026-06-09,7.95,8.05,7.95,7.97,9528635,False
15,2026-06-08,8.02,8.02,7.78,7.89,15817390,False
16,2026-06-05,8.18,8.22,7.99,8.02,11560365,False
17,2026-06-04,8.03,8.23,8.01,8.11,11328146,False
18,2026-06-03,8.12,8.2,8.0,8.02,13876959,False
19,2026-06-02,8.15,8.27,8.11,8.14,7268063,False
20,2026-06-01,8.32,8.48,8.14,8.18,15503210,False
21,2026-05-29,8.41,8.43,8.32,8.36,12760492,False
22,2026-05-25,8.5,8.55,8.36,8.4,18562096,False
23,2026-05-22,8.39,8.4,8.22,8.34,14214828,False
24,2026-05-21,8.33,8.56,8.32,8.34,26485553,False
25,2026-05-20,8.17,8.33,8.15,8.29,11444017,False
26,2026-05-19,8.21,8.39,8.14,8.18,18359469,False
27,2026-05-18,8.36,8.57,8.1,8.15,32512543,False
28,2026-05-15,8.5,8.72,8.3,8.46,78244579,False
29,2026-05-14,8.5,8.6,8.38,8.46,19654071,False
30,2026-05-13,8.6,8.71,8.45,8.5,31748282,False
31,2026-05-12,9.0,9.24,8.53,8.57,107548005,False
32,2026-05-11,8.01,9.12,7.96,8.95,376827777,False
33,2026-05-08,7.8,8.37,7.7,8.12,144424938,False
34,2026-05-07,8.0,8.14,7.85,7.92,35619036,False
35,2026-05-06,7.81,8.05,7.81,7.99,80513955,False
36,2026-05-05,7.6,7.7,7.45,7.65,17095874,False
37,2026-05-04,7.7,7.79,7.52,7.58,24524743,False
38,2026-04-30,7.5,7.65,7.34,7.56,20153350,False
39,2026-04-29,7.7,7.79,7.54,7.68,26711003,False
40,2026-04-28,7.6,7.75,7.6,7.63,14960176,False
41,2026-04-27,7.7,7.88,7.65,7.69,21052340,False
42,2026-04-24,7.53,7.93,7.45,7.8,44641845,False
43,2026-04-23,7.74,7.76,7.48,7.57,36128312,False
44,2026-04-22,7.9,7.91,7.65,7.7,31467236,False
45,2026-04-21,7.98,8.11,7.86,7.9,56317557,False
46,2026-04-20,8.14,8.19,7.7,7.89,85682190,False
