date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,106.98,108.7,106.2,107.12,1407350,False
1,2026-06-30,111.01,115.5,105.15,110.12,2876951,False
2,2026-06-29,105.0,116.61,104.12,109.99,1431645,False
3,2026-06-24,102.58,107.2,102.55,106.01,982854,False
4,2026-06-23,102.62,103.9,101.7,102.58,1412905,False
5,2026-06-22,104.26,105.8,101.9,103.02,1030880,False
6,2026-06-19,105.1,105.97,101.0,104.07,911159,False
7,2026-06-18,105.0,107.0,103.0,105.32,1218868,False
8,2026-06-17,104.0,107.5,101.32,104.6,1164034,False
9,2026-06-16,104.5,105.0,101.5,102.35,1712173,False
10,2026-06-15,100.0,104.57,100.0,103.49,3068060,False
11,2026-06-12,91.1,96.0,91.01,95.25,2006091,False
12,2026-06-11,90.0,91.01,89.4,90.26,1692066,False
13,2026-06-10,90.0,92.11,89.08,91.52,348648,False
14,2026-06-09,90.26,91.06,89.82,90.33,181361,False
15,2026-06-08,90.25,90.89,88.8,89.15,319463,False
16,2026-06-05,91.89,94.29,90.29,91.47,593319,False
17,2026-06-04,90.05,91.9,90.0,91.43,402938,False
18,2026-06-03,88.82,91.9,88.82,91.21,917483,False
19,2026-06-02,87.0,91.4,87.0,89.97,1204691,False
20,2026-06-01,90.8,90.95,85.0,86.86,624731,False
21,2026-05-29,88.06,92.05,88.06,91.02,1890234,False
22,2026-05-25,85.9,89.0,84.5,88.05,1692080,False
23,2026-05-22,85.0,85.22,82.4,83.23,227561,False
24,2026-05-21,83.0,85.5,82.1,84.46,747754,False
25,2026-05-20,79.79,82.26,78.52,81.43,255311,False
26,2026-05-19,80.97,81.94,78.12,79.2,218741,False
27,2026-05-18,80.01,81.06,78.01,79.47,583697,False
28,2026-05-15,81.99,82.5,80.35,80.98,360309,False
29,2026-05-14,83.0,83.84,81.5,82.06,173837,False
30,2026-05-13,83.42,84.5,82.0,82.3,310849,False
31,2026-05-12,86.17,87.8,82.83,83.43,371157,False
32,2026-05-11,87.7,87.8,86.0,86.54,191147,False
33,2026-05-08,87.88,90.0,86.1,88.06,942549,False
34,2026-05-07,87.0,90.2,85.81,89.34,1792737,False
35,2026-05-06,80.99,86.9,80.01,86.15,1806509,False
36,2026-05-05,78.4,79.22,76.5,79.0,404284,False
37,2026-05-04,82.01,83.5,77.0,78.4,381302,False
38,2026-04-30,83.0,84.0,78.06,81.1,1503727,False
39,2026-04-29,84.0,85.98,82.5,84.39,302772,False
40,2026-04-28,84.0,85.0,82.01,83.92,398604,False
41,2026-04-27,88.78,88.78,84.01,85.75,369131,False
42,2026-04-24,85.71,91.9,81.61,88.93,762499,False
43,2026-04-23,89.43,90.8,85.55,85.71,302655,False
44,2026-04-22,90.89,90.89,89.0,89.43,249153,False
45,2026-04-21,91.8,94.0,90.9,91.53,387055,False
46,2026-04-20,93.0,94.5,90.0,91.56,647027,False
47,2026-04-17,94.55,96.05,93.45,95.17,687974,False
48,2026-04-16,94.5,97.0,93.0,93.74,520431,False
49,2026-04-15,95.0,97.98,92.8,93.35,958058,False
50,2026-04-14,89.9,93.0,88.0,92.55,1105905,False
51,2026-04-13,89.0,89.01,85.0,86.71,575467,False
52,2026-04-10,92.9,94.0,91.1,93.31,1597189,False
53,2026-04-09,85.0,92.0,80.11,90.92,5194403,False
54,2026-04-08,84.28,84.28,82.0,84.28,1124130,False
55,2026-04-07,77.94,77.94,75.0,76.62,1280711,False
56,2026-04-06,76.99,79.5,74.0,78.11,2707944,False
57,2026-04-03,76.0,78.9,76.0,76.66,760232,False
58,2026-04-02,79.98,81.0,78.0,80.01,603769,False
59,2026-04-01,81.0,86.2,81.0,83.77,3912156,False
60,2026-03-31,76.9,81.49,76.5,79.81,2573008,False
61,2026-03-30,78.0,79.0,75.0,75.85,536778,False
62,2026-03-27,81.5,81.5,78.56,79.06,553165,False
63,2026-03-26,84.25,84.25,79.85,81.34,855522,False
64,2026-03-25,81.97,86.0,80.3,85.12,1303248,False
65,2026-03-24,86.05,87.84,79.65,80.05,1292553,False
66,2026-03-19,83.72,87.0,79.55,84.08,782462,False
67,2026-03-18,79.75,86.0,79.75,84.72,486542,False
68,2026-03-17,78.51,80.9,78.0,79.75,262344,False
69,2026-03-16,78.01,80.0,77.55,78.4,429855,False
70,2026-03-13,78.98,80.8,76.5,79.52,657256,False
71,2026-03-12,79.99,80.99,75.9,77.93,802133,False
72,2026-03-11,83.5,84.8,80.02,80.9,539398,False
73,2026-03-10,80.1,82.0,78.8,81.13,1133286,False
74,2026-03-09,75.34,76.98,75.34,75.34,515444,False
75,2026-03-06,85.0,85.0,82.16,83.71,174472,False
76,2026-03-05,84.2,86.9,84.2,85.81,428133,False
77,2026-03-04,89.84,89.84,84.51,85.83,407667,False
78,2026-03-03,82.0,96.99,80.0,89.94,2144050,False
79,2026-03-02,88.28,89.99,88.28,88.28,563355,False
80,2026-02-27,95.0,102.0,91.99,98.09,547780,False
81,2026-02-26,92.5,99.9,89.5,96.85,1651859,False
82,2026-02-25,94.0,96.0,92.29,93.48,583145,False
83,2026-02-24,97.66,100.05,92.02,93.98,1005310,False
84,2026-02-23,102.0,102.95,95.78,97.66,676108,False
85,2026-02-20,97.55,102.9,97.5,102.02,451459,False
86,2026-02-19,106.38,106.38,100.26,100.93,257140,False
87,2026-02-18,103.0,107.9,103.0,106.38,903694,False
88,2026-02-17,99.02,104.01,96.5,103.02,1872175,False
89,2026-02-16,103.5,104.0,98.58,100.03,669052,False
90,2026-02-13,103.0,104.3,102.0,103.13,177765,False
91,2026-02-12,105.15,105.98,99.99,102.66,644774,False
92,2026-02-11,104.0,107.05,103.86,105.07,455150,False
93,2026-02-10,105.0,105.0,103.61,103.86,105954,False
94,2026-02-09,105.15,106.36,103.81,104.12,335194,False
95,2026-02-06,109.0,109.0,104.55,104.98,691705,False
96,2026-02-04,108.0,109.0,107.5,108.64,288947,False
97,2026-02-03,107.32,108.5,106.89,107.93,230790,False
98,2026-02-02,107.29,108.5,106.15,107.32,413678,False
99,2026-01-30,107.5,110.0,105.0,107.79,1056064,False
100,2026-01-29,109.99,109.99,103.9,105.9,1660712,False
101,2026-01-28,110.7,112.35,107.99,108.76,913385,False
102,2026-01-27,113.12,113.84,109.5,110.02,673515,False
103,2026-01-26,114.1,115.35,113.0,113.97,1046938,False
104,2026-01-23,116.0,116.2,113.25,114.12,805022,False
105,2026-01-22,114.5,117.0,113.02,115.6,1523951,False
106,2026-01-21,116.5,118.0,112.0,114.14,2845530,False
107,2026-01-20,114.75,116.4,111.9,115.73,2973776,False
108,2026-01-19,111.0,114.48,109.12,113.78,1828500,False
109,2026-01-16,106.5,111.5,106.5,110.39,1700536,False
110,2026-01-15,105.11,107.24,103.8,106.14,2938250,False
111,2026-01-14,108.5,108.5,104.76,105.02,1625432,False
112,2026-01-13,108.79,109.5,105.25,108.58,2227845,False
113,2026-01-12,112.87,113.88,107.11,108.55,1662256,False
114,2026-01-09,112.5,114.47,110.6,112.87,1539566,False
115,2026-01-08,114.89,115.0,112.25,112.53,750075,False
116,2026-01-07,112.85,116.25,112.0,113.67,2080438,False
117,2026-01-06,114.0,114.4,112.0,112.8,2271719,False
118,2026-01-05,114.0,115.35,111.9,113.26,2582149,False
119,2026-01-02,114.89,115.5,111.6,113.61,581579,False
120,2026-01-01,113.54,115.2,112.5,113.69,837830,False
121,2025-12-31,117.0,120.0,109.0,113.2,4434052,False
122,2025-12-30,121.8,123.55,116.0,116.6,4017576,False
123,2025-12-29,122.99,126.6,119.0,120.08,2074635,False
124,2025-12-26,113.99,122.99,113.99,121.41,6348576,False
125,2025-12-24,122.5,122.5,113.0,113.63,3146000,False
126,2025-12-23,112.2,122.82,110.0,122.31,6566348,False
127,2025-12-22,110.8,113.5,109.75,111.65,2375891,False
128,2025-12-19,107.56,112.01,107.0,109.43,2461506,False
129,2025-12-18,105.51,110.0,104.0,107.56,1635662,False
130,2025-12-17,106.49,107.0,104.7,104.87,541780,False
131,2025-12-16,108.0,109.0,104.99,106.06,1496212,False
132,2025-12-15,105.0,109.0,104.81,107.32,1470797,False
133,2025-12-12,104.98,105.4,103.02,104.76,610851,False
134,2025-12-11,108.54,108.54,103.55,104.14,847829,False
135,2025-12-10,105.0,110.49,105.0,108.54,5598386,False
136,2025-12-09,104.01,107.38,103.5,105.07,3337674,False
137,2025-12-08,104.0,105.0,103.03,103.6,491989,False
138,2025-12-05,104.9,105.0,102.0,103.67,680636,False
139,2025-12-04,102.01,105.85,102.01,103.97,1667364,False
140,2025-12-03,102.64,102.64,101.05,101.51,285776,False
141,2025-12-02,102.45,103.65,101.49,102.11,545511,False
142,2025-12-01,102.78,102.78,100.11,101.93,385036,False
143,2025-11-28,99.51,102.9,99.51,101.53,770191,False
144,2025-11-27,100.4,100.5,98.75,100.27,718117,False
145,2025-11-26,100.02,100.49,98.4,100.28,197055,False
146,2025-11-25,100.99,101.29,99.5,99.97,205183,False
147,2025-11-24,101.4,101.98,99.8,100.38,219821,False
