date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,54.99,55.5,53.16,54.3,569654,False
1,2026-06-30,55.9,59.95,51.51,55.21,3926264,False
2,2026-06-29,55.01,57.55,54.13,55.58,2156382,False
3,2026-06-24,53.89,55.7,53.0,54.68,953610,False
4,2026-06-23,54.8,54.8,52.9,53.23,387798,False
5,2026-06-22,55.0,55.0,52.1,53.64,685913,False
6,2026-06-19,54.54,56.2,52.85,54.03,729813,False
7,2026-06-18,54.72,55.79,53.35,54.89,1309566,False
8,2026-06-17,54.0,55.55,53.0,54.7,1315435,False
9,2026-06-16,53.51,54.99,52.7,53.42,1761171,False
10,2026-06-15,51.75,54.0,50.72,52.91,2127220,False
11,2026-06-12,48.0,50.87,48.0,49.73,919672,False
12,2026-06-11,47.5,48.09,47.05,47.67,28502,False
13,2026-06-10,48.7,48.99,47.0,47.44,160380,False
14,2026-06-09,48.2,49.0,47.22,48.0,152957,False
15,2026-06-08,49.0,49.0,47.53,47.6,182071,False
16,2026-06-05,47.99,51.51,47.62,49.53,1084579,False
17,2026-06-04,47.0,47.7,46.71,47.46,193070,False
18,2026-06-03,46.99,48.4,46.5,46.55,379338,False
19,2026-06-02,46.49,48.79,46.45,47.13,264133,False
20,2026-06-01,49.21,49.89,45.15,47.2,278189,False
21,2026-05-29,46.6,50.5,46.5,49.55,531545,False
22,2026-05-25,48.0,48.49,46.21,47.86,666310,False
23,2026-05-22,45.2,46.96,45.0,45.66,419843,False
24,2026-05-21,45.5,46.7,44.85,45.21,141870,False
25,2026-05-20,43.83,45.0,43.0,44.74,147297,False
26,2026-05-19,43.95,44.99,43.0,43.43,96653,False
27,2026-05-18,44.5,45.0,43.02,43.58,172705,False
28,2026-05-15,46.0,46.01,44.5,44.63,210164,False
29,2026-05-14,46.95,47.0,45.5,45.99,164938,False
30,2026-05-13,47.65,48.38,46.0,46.3,112366,False
31,2026-05-12,50.0,50.0,47.2,47.66,264939,False
32,2026-05-11,49.5,50.0,48.5,49.52,106142,False
33,2026-05-08,50.0,50.3,48.52,49.12,386742,False
34,2026-05-07,48.0,50.95,46.71,49.14,816875,False
35,2026-05-06,47.02,48.5,45.6,47.58,722352,False
36,2026-05-05,47.2,48.45,44.94,45.82,371291,False
37,2026-05-04,46.19,51.0,45.13,47.44,610855,False
38,2026-04-30,44.92,47.9,42.99,46.8,269102,False
39,2026-04-29,46.64,47.9,44.25,44.92,113283,False
40,2026-04-28,47.0,49.0,46.1,46.64,89821,False
41,2026-04-27,49.02,52.98,47.12,48.4,278480,False
42,2026-04-24,47.0,51.8,45.01,49.91,260816,False
43,2026-04-23,49.75,49.75,46.61,47.24,137697,False
44,2026-04-22,49.97,49.97,48.53,48.74,91895,False
45,2026-04-21,51.51,52.45,49.0,49.47,384908,False
46,2026-04-20,50.7,51.83,49.85,51.19,133426,False
47,2026-04-17,53.0,53.48,51.52,51.9,151191,False
48,2026-04-16,52.99,53.96,51.89,52.12,110215,False
49,2026-04-15,51.0,54.0,51.0,53.39,565845,False
50,2026-04-14,48.0,50.5,47.51,50.04,440582,False
51,2026-04-13,48.0,48.49,46.2,47.7,259688,False
52,2026-04-10,45.5,50.25,45.5,49.72,970393,False
53,2026-04-09,45.0,47.89,43.25,46.94,409342,False
54,2026-04-08,44.04,44.04,43.49,44.04,887175,False
55,2026-04-07,40.0,41.0,39.5,40.04,59371,False
56,2026-04-06,39.01,41.5,39.01,40.51,71698,False
57,2026-04-03,39.4,40.25,38.15,39.04,59883,False
58,2026-04-02,41.9,41.9,39.51,40.32,238718,False
59,2026-04-01,41.01,43.99,41.01,42.46,503029,False
60,2026-03-31,41.01,44.0,37.02,40.56,1232463,False
61,2026-03-30,43.4,43.4,39.68,40.3,96301,False
62,2026-03-27,44.7,47.0,41.2,43.4,217499,False
63,2026-03-26,46.5,47.33,43.55,44.79,149037,False
64,2026-03-25,46.75,49.2,45.03,46.49,365758,False
65,2026-03-24,50.0,50.0,45.16,46.06,81641,False
66,2026-03-19,47.3,51.0,44.56,48.85,171437,False
67,2026-03-18,46.84,49.0,44.51,47.69,271386,False
68,2026-03-17,47.9,47.9,43.5,44.6,19402,False
69,2026-03-16,46.98,46.98,44.5,45.16,33492,False
70,2026-03-13,48.47,50.0,42.11,47.24,114607,False
71,2026-03-12,47.0,49.89,45.03,46.65,84912,False
72,2026-03-11,48.24,48.9,47.0,47.2,18716,False
73,2026-03-10,48.1,48.43,45.2,47.56,140174,False
74,2026-03-09,46.0,46.0,44.03,44.03,65738,False
75,2026-03-06,50.09,51.49,48.55,48.92,41731,False
76,2026-03-05,49.86,51.43,49.46,50.09,354908,False
77,2026-03-04,51.75,51.75,48.54,49.43,54304,False
78,2026-03-03,50.01,52.5,49.22,51.62,751780,False
79,2026-03-02,54.69,57.0,54.69,54.69,77784,False
80,2026-02-27,57.89,62.4,56.6,60.77,433346,False
81,2026-02-26,54.8,60.0,53.15,58.1,161973,False
82,2026-02-25,54.8,56.8,54.33,54.79,38163,False
83,2026-02-24,58.0,58.0,54.3,55.17,74861,False
84,2026-02-23,59.0,60.1,57.22,57.98,26721,False
85,2026-02-20,59.99,60.79,55.5,59.77,214089,False
86,2026-02-19,61.66,62.19,59.0,59.62,43656,False
87,2026-02-18,58.5,63.67,58.5,61.65,193550,False
88,2026-02-17,60.49,60.49,56.5,57.88,106635,False
89,2026-02-16,60.98,60.98,58.46,59.77,162795,False
90,2026-02-13,61.4,61.85,58.0,60.26,338588,False
91,2026-02-12,61.4,61.99,59.01,61.42,141310,False
92,2026-02-11,61.9,62.0,60.5,60.98,138947,False
93,2026-02-10,62.5,62.5,60.3,61.32,61311,False
94,2026-02-09,62.0,62.9,61.57,62.57,97025,False
95,2026-02-06,64.7,64.7,61.1,61.57,574199,False
96,2026-02-04,64.94,65.25,64.5,64.61,57310,False
97,2026-02-03,64.1,66.5,64.1,64.94,272869,False
98,2026-02-02,64.0,65.5,64.0,64.94,175173,False
99,2026-01-30,60.67,66.4,60.0,64.95,695860,False
100,2026-01-29,62.56,62.8,60.1,60.65,183013,False
101,2026-01-28,63.15,63.99,62.16,62.56,161206,False
102,2026-01-27,63.8,64.25,62.5,63.15,354013,False
103,2026-01-26,64.62,64.62,63.6,63.8,154613,False
104,2026-01-23,65.0,65.49,64.0,64.03,201368,False
105,2026-01-22,64.75,65.4,63.9,64.99,280975,False
106,2026-01-21,68.1,68.1,63.8,64.07,1074499,False
107,2026-01-20,67.9,68.89,66.9,67.6,805449,False
108,2026-01-19,68.01,68.51,66.91,67.08,404304,False
109,2026-01-16,66.75,68.98,66.02,68.01,638032,False
110,2026-01-15,68.0,68.0,65.5,66.06,93025,False
111,2026-01-14,69.0,69.0,66.02,67.21,198654,False
112,2026-01-13,66.1,69.05,63.0,68.85,1093377,False
113,2026-01-12,68.5,69.0,66.0,66.72,696580,False
114,2026-01-09,65.1,69.24,65.0,67.97,1773519,False
115,2026-01-08,65.9,66.7,65.0,65.84,584907,False
116,2026-01-07,63.99,66.0,63.6,65.7,1028694,False
117,2026-01-06,63.25,64.1,61.5,63.69,500794,False
118,2026-01-05,63.01,64.1,62.78,63.38,370249,False
119,2026-01-02,64.5,64.9,62.25,62.82,793389,False
120,2026-01-01,65.02,65.74,63.5,63.97,1060437,False
121,2025-12-31,66.0,67.0,60.11,64.78,2418423,False
122,2025-12-30,67.41,67.41,65.5,66.17,720670,False
123,2025-12-29,68.74,68.74,66.82,67.21,621205,False
124,2025-12-26,65.6,68.49,64.0,67.87,1277642,False
125,2025-12-24,64.71,66.7,64.15,65.59,700769,False
126,2025-12-23,65.74,66.0,64.0,64.13,577738,False
127,2025-12-22,66.45,66.8,65.15,65.51,754901,False
128,2025-12-19,69.99,69.99,66.25,66.36,2599617,False
129,2025-12-18,75.0,75.5,68.68,69.01,4764905,False
130,2025-12-17,75.0,77.8,72.5,73.35,4047441,False
131,2025-12-16,69.49,75.25,69.45,73.47,9012437,False
132,2025-12-15,68.89,70.0,66.26,68.58,2726273,False
133,2025-12-12,69.98,70.0,67.5,67.76,1041150,False
134,2025-12-11,65.99,71.24,64.71,67.95,4664518,False
135,2025-12-10,62.11,67.0,62.11,65.4,6811598,False
136,2025-12-09,62.65,63.48,60.8,61.92,3310347,False
137,2025-12-08,65.13,65.13,61.51,62.65,2132498,False
138,2025-12-05,67.5,68.95,64.14,65.13,1501957,False
139,2025-12-04,64.2,69.5,63.36,66.68,3746914,False
140,2025-12-03,64.7,65.5,63.45,63.63,952371,False
141,2025-12-02,62.0,65.0,62.0,64.64,2309157,False
142,2025-12-01,61.49,63.3,60.0,61.89,489875,False
143,2025-11-28,61.5,62.4,59.0,61.68,677100,False
144,2025-11-27,59.01,61.5,57.0,60.64,654965,False
145,2025-11-26,59.69,61.8,58.5,59.55,805436,False
146,2025-11-25,56.0,61.97,56.0,59.11,980483,False
147,2025-11-24,59.0,59.0,56.3,56.82,435692,False
148,2025-11-21,62.01,62.01,58.0,58.68,760298,False
149,2025-11-20,62.47,64.49,61.15,61.54,830947,False
150,2025-11-19,63.1,65.5,61.0,62.16,2687370,False
151,2025-11-18,68.0,68.9,61.6,62.48,2843218,False
152,2025-11-17,65.55,70.03,65.55,68.44,8491412,False
153,2025-11-14,63.66,63.66,60.0,63.66,4671665,False
154,2025-11-13,56.99,57.87,55.25,57.87,429465,False
155,2025-11-12,47.97,52.61,47.97,52.61,170277,False
156,2025-11-11,49.2,50.55,47.25,47.83,262302,False
157,2025-11-10,50.9,50.9,48.8,49.09,87207,False
158,2025-11-07,51.99,51.99,48.5,49.25,176379,False
159,2025-11-06,53.0,53.3,48.51,50.97,83615,False
160,2025-11-05,51.46,53.5,51.09,51.53,417346,False
161,2025-11-04,54.6,54.6,51.0,51.4,516326,False
162,2025-11-03,55.5,57.97,54.5,54.59,58583,False
163,2025-10-31,55.5,58.74,52.9,55.83,267778,False
164,2025-10-30,58.37,59.99,53.5,53.85,778759,False
165,2025-10-29,61.8,61.8,57.99,58.25,146067,False
166,2025-10-28,60.11,61.9,59.5,59.95,224104,False
167,2025-10-27,61.51,64.97,61.0,61.28,104988,False
168,2025-10-24,67.95,67.95,60.22,64.2,26513,False
169,2025-10-23,65.73,65.74,64.26,64.45,76496,False
170,2025-10-22,68.01,69.0,65.49,65.73,146180,False
171,2025-10-21,68.8,71.0,65.7,68.59,436531,False
172,2025-10-20,64.6,69.88,64.6,68.16,194910,False
173,2025-10-17,65.95,65.95,62.66,64.61,40708,False
174,2025-10-16,66.2,66.2,65.0,65.21,26799,False
175,2025-10-15,65.9,66.5,64.0,65.86,113359,False
176,2025-10-14,63.0,65.0,62.6,64.65,244816,False
177,2025-10-13,66.0,66.0,61.1,62.56,366779,False
178,2025-10-10,69.0,69.0,66.16,66.74,88689,False
179,2025-10-09,69.7,69.75,68.07,69.0,67923,False
180,2025-10-08,68.02,71.5,68.0,69.28,638703,False
181,2025-10-07,67.52,68.99,67.0,68.16,100739,False
182,2025-10-06,69.11,69.8,67.0,67.5,82830,False
183,2025-10-03,70.0,70.19,67.28,70.0,202576,False
184,2025-10-02,69.4,70.2,68.75,68.9,124952,False
185,2025-10-01,69.99,72.1,68.0,68.5,1109030,False
186,2025-09-30,72.49,72.49,69.0,69.47,272825,False
187,2025-09-29,72.44,72.99,70.07,72.24,444281,False
188,2025-09-26,72.38,73.48,71.01,72.44,207096,False
189,2025-09-25,71.5,73.1,71.3,72.37,1416693,False
190,2025-09-24,70.2,73.0,69.01,70.77,1540266,False
191,2025-09-23,70.5,71.7,69.0,70.19,424740,False
192,2025-09-22,69.51,72.0,69.51,70.48,1754638,False
193,2025-09-19,72.0,74.0,69.0,69.17,1903507,False
194,2025-09-18,65.49,71.2,65.49,71.2,3124178,False
195,2025-09-17,62.0,67.64,62.0,64.73,4390528,False
196,2025-09-16,57.99,63.32,57.1,61.5,2644584,False
197,2025-09-15,59.0,59.9,56.41,57.56,261438,False
198,2025-09-12,289.99,305.0,279.0,297.39,136202,False
199,2025-09-11,262.7,285.05,261.0,282.71,288611,False
200,2025-09-10,254.95,265.0,254.95,259.14,59327,False
201,2025-09-09,262.0,262.3,250.02,253.98,23675,False
202,2025-09-08,255.0,262.0,250.0,257.9,26902,False
203,2025-09-05,250.0,259.0,232.16,256.13,29396,False
204,2025-09-04,254.9,256.0,249.0,250.1,9601,False
205,2025-09-03,258.8,260.0,250.1,254.53,10313,False
206,2025-09-02,252.0,259.9,247.5,258.9,32441,False
207,2025-09-01,247.5,251.0,247.5,249.79,14758,False
208,2025-08-29,245.05,252.5,245.05,248.9,17479,False
209,2025-08-28,247.5,250.0,245.0,245.38,27182,False
210,2025-08-27,249.9,250.0,244.0,245.03,25777,False
211,2025-08-26,246.01,250.0,245.0,246.31,17703,False
212,2025-08-25,247.5,251.0,245.0,247.7,13910,False
213,2025-08-22,245.5,253.0,245.5,247.51,48191,False
214,2025-08-21,255.0,255.0,243.0,243.77,33848,False
215,2025-08-20,249.0,254.0,243.5,250.15,32141,False
216,2025-08-19,245.01,249.5,245.0,245.37,11539,False
217,2025-08-18,249.99,249.99,245.0,245.04,13628,False
218,2025-08-15,240.0,253.0,240.0,245.93,21480,False
219,2025-08-13,236.5,241.0,236.5,240.03,135523,False
220,2025-08-12,241.22,243.0,240.0,240.51,134828,False
221,2025-08-11,248.0,248.0,239.0,241.22,34047,False
222,2025-08-08,259.0,259.0,235.6,241.69,92617,False
223,2025-08-07,249.5,258.95,247.98,254.83,68291,False
224,2025-08-06,245.0,248.5,240.0,246.14,29580,False
225,2025-08-05,240.0,245.4,238.1,240.99,43126,False
226,2025-08-04,240.1,264.33,220.55,239.12,306844,False
227,2025-08-01,241.01,242.0,227.27,240.3,39865,False
228,2025-07-31,242.74,247.5,242.74,245.86,58550,False
229,2025-07-30,248.0,248.0,240.0,240.21,37447,False
230,2025-07-29,245.02,248.85,245.0,245.0,6205,False
231,2025-07-28,259.0,259.0,245.0,245.2,10664,False
232,2025-07-25,246.06,249.99,245.0,245.69,40997,False
233,2025-07-24,252.1,253.5,246.0,247.76,153714,False
234,2025-07-23,258.0,258.0,251.95,252.01,74393,False
235,2025-07-22,252.1,257.0,249.5,254.96,47651,False
236,2025-07-21,246.0,258.0,244.0,251.88,34887,False
237,2025-07-18,263.0,264.9,244.0,245.71,154137,False
238,2025-07-17,250.0,271.0,250.0,258.08,456128,False
239,2025-07-16,226.01,248.0,226.01,247.43,125740,False
240,2025-07-15,251.51,251.51,227.0,230.61,262072,False
241,2025-07-14,240.0,249.99,236.01,245.79,544313,False
242,2025-07-11,230.8,230.8,220.0,230.8,751402,False
243,2025-07-10,196.74,213.7,195.2,209.82,182962,False
244,2025-07-09,199.99,199.99,195.0,195.22,11099,False
245,2025-07-08,198.0,201.0,196.0,196.23,5588,False
246,2025-07-07,197.74,205.0,190.0,199.9,95561,False
247,2025-07-04,193.95,195.0,186.2,194.66,633,False
248,2025-07-03,195.99,195.99,190.0,190.0,5982,False
249,2025-07-02,192.5,192.5,186.4,188.06,733,False
250,2025-07-01,197.26,197.26,188.0,191.0,1324,False
251,2025-06-30,189.1,204.0,182.5,196.26,231834,False
252,2025-06-27,185.0,200.89,181.03,189.0,121003,False
253,2025-06-26,200.0,206.0,177.6,186.5,81142,False
254,2025-06-25,196.0,196.0,181.01,194.2,46083,False
255,2025-06-24,183.0,187.0,174.0,187.0,27896,False
256,2025-06-23,175.5,175.7,170.0,170.0,602,False
257,2025-06-20,180.8,180.8,180.8,175.7,73980,True
258,2025-06-19,177.7,179.88,173.21,175.7,78717,False
259,2025-06-18,180.04,185.0,173.2,176.31,7583,False
260,2025-06-17,188.0,193.92,184.56,185.02,3367,False
261,2025-06-16,197.95,199.0,181.2,188.97,22087,False
262,2025-06-13,194.98,199.2,185.02,196.64,3989,False
263,2025-06-12,193.0,201.0,191.65,194.98,39963,False
264,2025-06-11,182.0,194.0,182.0,191.6,45962,False
265,2025-06-10,178.5,180.0,178.5,180.0,105320,False
266,2025-06-05,172.36,182.0,172.36,178.0,108170,False
267,2025-06-04,173.2,178.0,173.2,178.0,3017,False
268,2025-06-03,177.0,180.0,175.0,179.68,14667,False
269,2025-06-02,196.89,196.89,171.52,176.12,32749,False
270,2025-05-30,172.71,187.0,172.71,185.13,47531,False
271,2025-05-29,164.0,174.49,164.0,172.71,157336,False
272,2025-05-27,151.89,166.0,151.0,158.63,52868,False
273,2025-05-26,155.05,158.97,150.25,151.88,7188,False
274,2025-05-23,156.71,170.0,146.5,160.03,78306,False
275,2025-05-22,173.0,173.98,152.55,156.71,65517,False
276,2025-05-21,164.97,168.9,160.01,165.71,21707,False
277,2025-05-20,169.36,175.0,155.25,159.37,17929,False
278,2025-05-19,164.99,169.99,160.0,169.36,25646,False
279,2025-05-16,165.0,168.0,156.0,161.7,19576,False
280,2025-05-15,153.22,172.49,153.21,165.24,27364,False
281,2025-05-14,160.0,164.89,152.2,160.41,6902,False
282,2025-05-13,155.0,159.0,147.5,156.49,46093,False
283,2025-05-12,145.99,146.18,145.98,146.18,11152,False
284,2025-05-09,127.06,135.0,118.0,132.89,24127,False
285,2025-05-08,141.06,144.95,126.16,127.06,223654,False
286,2025-05-07,149.9,149.9,139.0,140.18,200436,False
287,2025-05-06,159.0,159.0,150.0,150.08,7980,False
