date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,28.2,28.75,28.08,28.19,13241887,False
1,2026-06-30,27.65,28.35,27.63,28.07,3292980,False
2,2026-06-29,28.07,28.24,27.5,27.54,6222193,False
3,2026-06-24,28.3,28.53,28.01,28.07,4843195,False
4,2026-06-23,28.86,28.86,28.0,28.22,4181030,False
5,2026-06-22,28.79,29.1,28.25,28.55,10743831,False
6,2026-06-19,29.05,29.95,28.1,28.46,31177846,False
7,2026-06-18,28.5,29.15,28.25,28.71,7846104,False
8,2026-06-17,28.73,28.93,28.3,28.36,12578099,False
9,2026-06-16,28.56,29.0,27.87,28.52,108119661,False
10,2026-06-15,29.05,29.25,28.6,28.69,1463175,False
11,2026-06-12,29.19,29.51,28.56,28.77,1508376,False
12,2026-06-11,28.5,29.1,28.21,28.96,1299551,False
13,2026-06-10,29.15,29.37,28.56,28.77,1954284,False
14,2026-06-09,29.25,30.2,28.99,29.19,13722895,False
15,2026-06-08,27.8,29.0,27.65,28.86,3759977,False
16,2026-06-05,27.51,28.8,27.51,28.05,2209838,False
17,2026-06-04,27.89,28.23,27.3,27.44,1722024,False
18,2026-06-03,28.11,28.57,27.75,27.89,1152281,False
19,2026-06-02,28.07,29.21,28.05,28.5,4877130,False
20,2026-06-01,29.0,29.1,28.25,28.41,1222607,False
21,2026-05-29,28.15,30.32,28.15,29.0,15413819,False
22,2026-05-25,27.11,28.1,26.9,28.0,2688764,False
23,2026-05-22,27.15,27.35,26.85,26.97,639651,False
24,2026-05-21,26.66,27.15,26.35,27.02,833108,False
25,2026-05-20,26.5,26.79,26.1,26.53,837757,False
26,2026-05-19,26.45,26.6,25.6,26.23,531875,False
27,2026-05-18,26.84,26.84,26.0,26.02,656513,False
28,2026-05-15,26.99,27.45,26.5,26.68,1376199,False
29,2026-05-14,27.27,27.3,26.85,26.99,677212,False
30,2026-05-13,27.35,27.4,26.9,27.0,1133988,False
31,2026-05-12,27.38,27.7,27.07,27.27,890442,False
32,2026-05-11,27.2,27.65,27.0,27.43,449776,False
33,2026-05-08,27.31,27.99,27.16,27.4,481072,False
34,2026-05-07,28.45,28.45,27.51,27.78,1936954,False
35,2026-05-06,26.56,28.1,26.56,27.97,4264197,False
36,2026-05-05,26.0,26.44,25.91,26.14,299678,False
37,2026-05-04,27.0,27.1,26.0,26.25,900584,False
38,2026-04-30,26.03,26.7,25.8,26.28,2536013,False
39,2026-04-29,26.9,27.45,26.02,26.53,4011758,False
40,2026-04-28,27.0,28.0,26.7,26.85,2485121,False
41,2026-04-27,28.9,28.9,27.16,27.61,3178283,False
42,2026-04-24,27.52,30.6,27.25,28.8,4115920,False
43,2026-04-23,27.7,28.0,27.52,27.82,1249375,False
44,2026-04-22,28.24,28.8,27.6,27.75,1714219,False
45,2026-04-21,29.04,29.49,27.61,28.24,6172953,False
46,2026-04-20,29.9,30.89,28.05,29.03,14654320,False
47,2026-04-17,28.34,30.84,28.15,29.9,29770494,False
48,2026-04-16,25.62,28.04,25.49,28.04,31238568,False
49,2026-04-15,25.01,26.15,24.9,25.49,13111629,False
50,2026-04-14,24.71,25.1,24.5,24.87,6209308,False
51,2026-04-13,24.0,24.95,23.61,24.09,5645035,False
52,2026-04-10,24.1,24.89,23.9,24.72,3584056,False
53,2026-04-09,24.99,24.99,24.02,24.07,1077736,False
54,2026-04-08,25.01,25.49,24.2,25.26,4175080,False
55,2026-04-07,23.8,23.8,23.3,23.5,414499,False
56,2026-04-06,23.61,24.1,22.05,23.82,1026146,False
57,2026-04-03,22.5,23.8,22.5,23.6,403819,False
58,2026-04-02,24.0,24.2,23.35,23.88,787017,False
59,2026-04-01,23.65,24.7,23.65,24.41,2580492,False
60,2026-03-31,23.71,24.05,23.4,23.57,764888,False
61,2026-03-30,24.0,24.0,23.0,23.72,1746212,False
62,2026-03-27,23.01,24.13,23.01,24.08,6282869,False
63,2026-03-26,23.8,23.81,23.09,23.46,3203461,False
64,2026-03-25,23.28,24.51,23.28,23.96,8227292,False
65,2026-03-24,23.85,23.88,22.95,23.01,726300,False
66,2026-03-19,23.12,23.3,21.5,23.2,1012532,False
67,2026-03-18,22.5,23.35,22.5,23.12,749409,False
68,2026-03-17,22.7,22.99,22.35,22.51,404023,False
69,2026-03-16,21.98,24.0,21.1,22.55,2549030,False
70,2026-03-13,22.6,22.6,21.8,22.29,2320970,False
71,2026-03-12,23.49,23.7,22.2,22.54,5317536,False
72,2026-03-11,21.72,22.59,21.72,22.59,2056735,False
73,2026-03-10,19.2,20.54,19.2,20.54,499799,False
74,2026-03-09,20.3,20.3,18.41,18.67,2336563,False
75,2026-03-06,21.0,21.04,20.07,20.45,344237,False
76,2026-03-05,20.01,21.1,20.0,20.99,3794897,False
77,2026-03-04,20.53,20.89,19.81,20.01,1418219,False
78,2026-03-03,19.8,21.2,19.7,20.87,2115693,False
79,2026-03-02,20.75,20.75,19.98,19.98,2161529,False
80,2026-02-27,21.5,23.2,21.0,22.2,2743022,False
81,2026-02-26,20.8,21.86,20.26,21.58,1286158,False
82,2026-02-25,21.6,21.75,20.85,20.96,833207,False
83,2026-02-24,21.07,21.65,20.1,21.35,2157395,False
84,2026-02-23,22.78,23.0,20.7,21.0,631503,False
85,2026-02-20,23.5,23.5,22.41,22.74,537418,False
86,2026-02-19,24.15,24.15,22.75,23.18,963646,False
87,2026-02-18,23.8,24.17,23.52,23.98,1631747,False
88,2026-02-17,23.5,23.99,23.21,23.79,3580963,False
89,2026-02-16,23.44,24.2,22.95,23.44,3798706,False
90,2026-02-13,23.65,23.65,22.62,23.09,2043571,False
91,2026-02-12,24.1,24.1,23.0,23.26,982988,False
92,2026-02-11,24.25,24.44,23.5,24.03,3578983,False
93,2026-02-10,22.9,24.65,22.65,24.12,5155457,False
94,2026-02-09,24.2,24.29,22.77,22.9,5179445,False
95,2026-02-06,25.03,25.03,23.62,24.15,6952944,False
96,2026-02-04,25.4,25.45,24.95,25.04,3288273,False
97,2026-02-03,25.75,25.89,25.2,25.4,2389494,False
98,2026-02-02,24.76,26.99,24.11,25.56,7580219,False
99,2026-01-30,31.1,32.05,30.4,30.51,17949921,False
100,2026-01-29,32.0,32.06,30.55,30.91,7257141,False
101,2026-01-28,32.33,32.88,31.7,31.89,7560987,False
102,2026-01-27,32.35,32.45,31.87,31.98,4361237,False
103,2026-01-26,32.89,32.89,31.76,32.17,7168175,False
104,2026-01-23,33.64,33.65,32.4,32.54,8308194,False
105,2026-01-22,33.94,34.3,32.4,33.27,22776127,False
106,2026-01-21,31.55,34.15,31.1,33.62,69462739,False
107,2026-01-20,33.2,33.44,30.76,31.36,8911591,False
108,2026-01-19,33.25,33.8,32.25,33.15,7763800,False
109,2026-01-16,32.84,33.4,32.35,33.16,6685787,False
110,2026-01-15,31.78,33.05,31.57,32.41,18669158,False
111,2026-01-14,30.15,32.61,30.15,31.57,36186124,False
112,2026-01-13,30.69,31.26,29.6,30.02,9766809,False
113,2026-01-12,29.48,31.71,29.3,30.76,44731921,False
114,2026-01-09,29.7,29.85,29.15,29.49,3808792,False
115,2026-01-08,29.42,29.99,29.1,29.47,2983264,False
116,2026-01-07,29.3,29.5,28.9,29.04,950661,False
117,2026-01-06,29.3,29.63,29.0,29.2,720636,False
118,2026-01-05,29.2,30.09,29.01,29.37,4955825,False
119,2026-01-02,29.15,29.55,29.15,29.28,2284138,False
120,2026-01-01,29.18,29.4,29.1,29.14,169000,False
121,2025-12-31,29.05,29.39,29.05,29.18,146875,False
122,2025-12-30,29.43,29.5,29.16,29.4,609379,False
123,2025-12-29,29.4,29.98,28.96,29.42,891818,False
124,2025-12-26,29.6,29.7,27.11,29.35,1286028,False
125,2025-12-24,29.06,29.5,29.0,29.44,3207804,False
126,2025-12-23,29.59,29.64,29.13,29.26,516061,False
127,2025-12-22,29.5,29.88,29.41,29.59,735674,False
128,2025-12-19,29.41,29.6,29.0,29.5,931104,False
129,2025-12-18,29.48,29.74,29.03,29.41,2072297,False
130,2025-12-17,27.1,29.5,27.1,29.02,353064,False
131,2025-12-16,29.72,29.72,29.05,29.22,3025668,False
132,2025-12-15,29.8,29.88,28.9,29.14,657485,False
133,2025-12-12,29.99,29.99,29.25,29.78,3103891,False
134,2025-12-11,29.5,30.15,29.3,29.75,9642767,False
135,2025-12-10,29.48,29.85,29.06,29.32,7009962,False
136,2025-12-09,27.42,29.75,27.42,29.1,10333842,False
137,2025-12-08,26.5,27.88,26.5,27.42,2803716,False
138,2025-12-05,26.85,26.85,26.05,26.31,1588408,False
139,2025-12-04,26.69,26.69,26.05,26.3,281916,False
140,2025-12-03,26.4,26.8,26.4,26.52,698212,False
141,2025-12-02,27.1,27.5,26.06,26.4,1366186,False
142,2025-12-01,26.67,28.0,26.67,26.92,996964,False
143,2025-11-28,27.0,27.25,26.63,26.97,2752927,False
144,2025-11-27,27.5,27.65,26.95,27.01,753847,False
145,2025-11-26,27.49,27.55,27.0,27.19,2030114,False
146,2025-11-25,27.6,27.85,26.98,27.21,2856084,False
147,2025-11-24,27.7,28.19,27.4,27.61,1745387,False
148,2025-11-21,28.25,28.3,27.55,27.67,2529938,False
149,2025-11-20,28.79,29.0,28.0,28.4,1619023,False
150,2025-11-19,27.1,30.02,27.1,28.6,26845668,False
151,2025-11-18,28.41,28.41,27.2,27.29,1713200,False
152,2025-11-17,28.4,28.9,27.0,27.82,2398551,False
153,2025-11-14,28.0,28.13,27.35,27.8,2820258,False
154,2025-11-13,27.7,28.67,27.35,27.75,3249597,False
155,2025-11-12,26.2,27.5,25.99,27.27,2576359,False
156,2025-11-11,26.97,26.97,25.52,25.87,1407096,False
157,2025-11-10,27.16,27.3,26.79,26.97,1210443,False
158,2025-11-07,27.45,28.3,26.93,27.16,3370489,False
159,2025-11-06,26.99,27.5,26.41,26.88,1032768,False
160,2025-11-05,26.5,27.25,26.3,26.82,1213614,False
161,2025-11-04,27.1,27.15,26.55,26.76,515853,False
162,2025-11-03,26.56,27.3,26.03,27.03,848419,False
163,2025-10-31,25.65,27.1,25.65,26.56,1125456,False
164,2025-10-30,24.6,26.8,24.25,25.65,6688134,False
165,2025-10-29,25.01,27.5,24.5,24.53,5695892,False
166,2025-10-28,27.8,28.0,25.3,25.58,6648863,False
167,2025-10-27,27.6,28.55,27.5,27.63,6627045,False
