date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,470.0,474.92,469.29,472.38,2038908,False
1,2026-06-30,462.1,471.5,462.1,469.52,1320094,False
2,2026-06-29,467.75,467.75,460.5,461.84,902422,False
3,2026-06-24,458.02,469.0,458.02,467.75,1991650,False
4,2026-06-23,460.01,462.9,455.0,457.47,1694484,False
5,2026-06-22,465.11,467.9,457.5,459.06,1538353,False
6,2026-06-19,471.0,472.99,459.0,462.98,2737636,False
7,2026-06-18,472.0,477.0,469.99,471.57,2098556,False
8,2026-06-17,470.0,475.0,464.16,470.61,3055536,False
9,2026-06-16,472.5,475.9,463.63,469.82,4277608,False
10,2026-06-15,470.0,472.4,460.9,469.36,6516394,False
11,2026-06-12,438.88,454.01,436.52,449.11,5436081,False
12,2026-06-11,427.0,434.9,422.0,433.09,3275763,False
13,2026-06-10,431.0,435.0,427.0,429.35,1587252,False
14,2026-06-09,432.99,438.0,431.0,432.15,3790348,False
15,2026-06-08,426.0,429.9,423.5,426.49,1162090,False
16,2026-06-05,435.6,437.67,430.2,431.5,850824,False
17,2026-06-04,434.95,436.36,430.0,434.4,937132,False
18,2026-06-03,435.0,435.0,427.0,429.83,1560670,False
19,2026-06-02,437.14,441.5,432.0,435.67,1596078,False
20,2026-06-01,451.9,452.15,434.0,437.14,2214263,False
21,2026-05-29,440.0,454.5,437.8,453.43,4073832,False
22,2026-05-25,435.0,438.5,430.0,436.77,1913466,False
23,2026-05-22,430.48,431.5,420.16,422.13,1107759,False
24,2026-05-21,418.0,434.0,418.0,426.82,4012991,False
25,2026-05-20,410.01,412.25,405.01,410.88,3983677,False
26,2026-05-19,408.11,415.49,406.11,407.89,628912,False
27,2026-05-18,413.15,414.99,405.0,406.51,949984,False
28,2026-05-15,429.0,429.0,416.0,417.75,1174717,False
29,2026-05-14,422.36,429.9,421.0,422.8,531442,False
30,2026-05-13,428.02,431.4,421.0,422.36,767836,False
31,2026-05-12,436.13,440.0,427.0,428.3,708151,False
32,2026-05-11,440.26,441.4,435.0,436.13,1302881,False
33,2026-05-08,442.0,448.97,438.0,445.73,1727932,False
34,2026-05-07,445.25,457.0,436.0,449.6,3840933,False
35,2026-05-06,420.1,444.0,418.11,439.61,5101180,False
36,2026-05-05,405.0,411.9,405.0,409.1,964827,False
37,2026-05-04,411.0,425.0,406.81,411.18,1757797,False
38,2026-04-30,413.94,413.94,400.51,407.99,2247520,False
39,2026-04-29,418.01,425.9,410.5,418.41,1767142,False
40,2026-04-28,417.99,421.0,415.0,418.64,881743,False
41,2026-04-27,430.0,434.0,420.0,422.88,990168,False
42,2026-04-24,422.27,435.0,415.0,430.25,1386253,False
43,2026-04-23,430.0,433.99,420.55,425.8,1051797,False
44,2026-04-22,441.0,442.97,429.05,431.12,1376109,False
45,2026-04-21,448.0,448.0,438.5,441.02,1632822,False
46,2026-04-20,445.0,445.0,430.1,440.86,3733292,False
47,2026-04-17,438.01,451.95,437.01,449.37,3389829,False
48,2026-04-16,439.99,444.0,430.15,435.5,2920671,False
49,2026-04-15,455.0,458.44,433.99,435.77,5435632,False
50,2026-04-14,425.0,438.0,420.0,434.36,4056475,False
51,2026-04-13,415.0,425.0,407.0,410.06,3601011,False
52,2026-04-10,431.11,447.8,431.11,435.76,3957795,False
53,2026-04-09,439.8,439.8,402.0,429.97,7125029,False
54,2026-04-08,420.33,420.33,420.33,420.33,858501,False
55,2026-04-07,372.0,385.0,370.0,382.12,2395447,False
56,2026-04-06,370.5,382.56,361.36,379.26,3261316,False
57,2026-04-03,370.0,377.0,369.0,371.17,1461592,False
58,2026-04-02,376.0,383.44,370.0,378.75,2852587,False
59,2026-04-01,368.0,392.55,368.0,389.58,6249051,False
60,2026-03-31,355.0,364.0,350.52,356.86,1986599,False
61,2026-03-30,362.3,364.0,339.0,345.09,2657018,False
62,2026-03-27,366.15,373.0,360.0,362.3,1987580,False
63,2026-03-26,383.97,383.97,363.0,366.56,3312882,False
64,2026-03-25,370.23,389.25,368.11,384.99,4696288,False
65,2026-03-24,379.68,379.68,358.0,365.22,4346775,False
66,2026-03-19,350.03,358.52,344.0,354.85,2716650,False
67,2026-03-18,349.99,363.5,343.97,356.53,2708443,False
68,2026-03-17,345.0,354.98,341.0,346.79,2681764,False
69,2026-03-16,358.4,359.0,341.5,342.91,2232849,False
70,2026-03-13,365.0,367.65,350.0,358.85,1885853,False
71,2026-03-12,375.1,377.96,365.0,366.5,1772781,False
72,2026-03-11,385.0,390.0,375.1,379.02,1669709,False
73,2026-03-10,376.0,379.47,371.0,379.41,1965393,False
74,2026-03-09,344.74,359.99,344.74,344.97,3897451,False
75,2026-03-06,397.99,398.0,381.99,383.04,2031009,False
76,2026-03-05,392.95,400.5,390.0,398.83,3782703,False
77,2026-03-04,398.0,398.0,389.0,390.6,1650846,False
78,2026-03-03,387.0,405.0,381.27,398.55,4351762,False
79,2026-03-02,379.96,410.2,379.96,381.27,7253805,False
80,2026-02-27,420.0,435.0,410.2,422.18,1338120,False
81,2026-02-26,415.0,430.5,408.0,424.06,2515007,False
82,2026-02-25,423.24,428.3,410.55,414.58,1153268,False
83,2026-02-24,415.0,431.02,405.0,422.22,2981168,False
84,2026-02-23,434.99,435.0,397.0,407.97,3536711,False
85,2026-02-20,435.8,441.97,424.01,436.5,1735381,False
86,2026-02-19,453.9,453.9,432.6,435.72,1299232,False
87,2026-02-18,449.0,457.5,445.5,454.25,4594770,False
88,2026-02-17,449.06,457.0,441.0,445.65,2541525,False
89,2026-02-16,461.02,462.0,442.0,449.06,5941873,False
90,2026-02-13,472.0,472.0,454.01,460.86,4047882,False
91,2026-02-12,477.0,482.5,467.06,472.88,2375010,False
92,2026-02-11,466.0,484.0,466.0,477.53,4625558,False
93,2026-02-10,459.99,470.0,453.01,465.95,1816434,False
94,2026-02-09,472.0,473.85,455.76,457.49,2459358,False
95,2026-02-06,477.0,478.0,466.5,468.65,1405871,False
96,2026-02-04,477.0,481.75,475.0,476.66,2918769,False
97,2026-02-03,479.27,481.5,475.01,476.06,1482328,False
98,2026-02-02,483.5,486.82,473.5,475.91,1361788,False
99,2026-01-30,467.9,489.5,465.0,482.13,2341538,False
100,2026-01-29,480.0,483.5,462.51,465.43,1801771,False
101,2026-01-28,478.0,485.0,475.01,478.07,1043937,False
102,2026-01-27,485.0,485.0,475.1,477.24,1724656,False
103,2026-01-26,492.0,499.0,480.06,486.26,1521757,False
104,2026-01-23,494.98,497.0,485.01,491.94,945441,False
105,2026-01-22,491.99,497.2,490.1,495.17,788835,False
106,2026-01-21,498.49,499.79,490.0,492.35,1161563,False
107,2026-01-20,501.0,502.96,495.0,496.37,1004690,False
108,2026-01-19,497.99,501.25,494.16,500.15,1057520,False
109,2026-01-16,488.1,500.12,488.1,493.86,1495746,False
110,2026-01-15,490.02,495.0,485.0,487.58,818902,False
111,2026-01-14,500.26,502.0,487.11,490.0,1683329,False
112,2026-01-13,494.2,506.0,488.0,500.09,1677757,False
113,2026-01-12,498.3,499.97,490.0,491.18,1108288,False
114,2026-01-09,507.0,508.27,492.0,498.3,1889315,False
115,2026-01-08,514.49,516.88,504.55,507.84,2146131,False
116,2026-01-07,508.8,515.23,506.01,512.15,2461854,False
117,2026-01-06,490.5,514.0,489.0,508.8,6692054,False
118,2026-01-05,478.5,498.99,478.5,488.36,3367840,False
119,2026-01-02,483.99,486.65,472.0,478.44,1492540,False
120,2026-01-01,476.01,492.0,476.01,481.02,1560281,False
121,2025-12-31,492.0,492.0,470.0,474.96,3110153,False
122,2025-12-30,487.0,492.0,486.1,487.24,1120108,False
123,2025-12-29,489.89,495.0,484.8,486.74,941680,False
124,2025-12-26,491.89,497.8,485.0,486.36,1277190,False
125,2025-12-24,495.01,502.0,487.96,490.42,1659599,False
126,2025-12-23,510.0,520.0,505.1,509.2,1265993,False
127,2025-12-22,498.99,529.5,495.0,512.7,3865992,False
128,2025-12-19,485.67,503.04,485.67,499.04,2918362,False
129,2025-12-18,479.11,495.03,477.0,485.49,1456032,False
130,2025-12-17,488.8,490.5,471.2,476.63,1401564,False
131,2025-12-16,491.98,500.0,487.5,488.3,1138092,False
132,2025-12-15,490.0,496.0,487.02,488.6,697626,False
133,2025-12-12,487.24,492.77,481.0,488.82,761289,False
134,2025-12-11,495.0,496.0,484.52,487.24,1026336,False
135,2025-12-10,485.92,504.0,485.27,497.28,2634361,False
136,2025-12-09,479.45,488.7,473.49,485.92,1639272,False
137,2025-12-08,475.0,477.98,471.5,476.06,755301,False
138,2025-12-05,478.0,478.0,468.01,475.6,1475173,False
139,2025-12-04,469.0,472.98,465.0,471.44,568533,False
140,2025-12-03,480.0,480.0,466.0,471.13,973670,False
141,2025-12-02,468.99,481.4,463.25,476.71,4149100,False
142,2025-12-01,464.0,469.0,455.0,465.35,2448671,False
143,2025-11-28,453.5,460.48,452.0,458.24,1906835,False
144,2025-11-27,438.07,457.0,438.0,451.58,1937982,False
145,2025-11-26,427.5,440.0,423.5,436.7,1197282,False
146,2025-11-25,428.1,433.45,423.0,430.53,606817,False
