date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,675.0,677.0,671.01,673.75,773978,False
1,2026-06-30,660.5,680.0,659.4,674.29,2289973,False
2,2026-06-29,662.77,664.5,657.25,659.47,448811,False
3,2026-06-24,659.73,664.9,657.49,662.8,407381,False
4,2026-06-23,662.0,662.0,655.0,656.72,476705,False
5,2026-06-22,661.0,665.0,655.9,658.67,445865,False
6,2026-06-19,665.03,669.0,655.0,658.47,796763,False
7,2026-06-18,670.0,673.5,660.0,665.03,925301,False
8,2026-06-17,671.0,673.0,668.0,669.97,767066,False
9,2026-06-16,669.98,674.0,666.02,669.0,1120896,False
10,2026-06-15,675.0,675.0,664.0,666.87,801493,False
11,2026-06-12,665.25,667.95,659.25,661.82,1084036,False
12,2026-06-11,648.0,665.0,645.2,657.42,934459,False
13,2026-06-10,650.0,655.45,649.5,650.27,640928,False
14,2026-06-09,654.0,657.0,650.8,651.8,374384,False
15,2026-06-08,644.0,649.9,642.0,647.66,304728,False
16,2026-06-05,658.88,658.88,647.06,649.67,606551,False
17,2026-06-04,654.8,657.9,652.0,655.81,235321,False
18,2026-06-03,654.99,657.0,652.02,654.79,366183,False
19,2026-06-02,658.5,661.99,653.11,656.06,380652,False
20,2026-06-01,670.0,671.9,655.0,658.11,880309,False
21,2026-05-29,661.0,671.1,655.0,669.47,1331545,False
22,2026-05-25,654.88,662.0,649.9,658.52,1451188,False
23,2026-05-22,654.0,654.0,642.0,643.56,389360,False
24,2026-05-21,644.0,654.0,643.0,647.43,571882,False
25,2026-05-20,632.0,638.25,628.91,636.24,390849,False
26,2026-05-19,633.15,638.99,625.11,628.88,588895,False
27,2026-05-18,640.0,640.8,628.0,630.99,577933,False
28,2026-05-15,648.95,649.89,640.2,642.79,228085,False
29,2026-05-14,650.0,652.49,644.95,645.88,449664,False
30,2026-05-13,647.0,652.7,645.0,647.18,616950,False
31,2026-05-12,645.11,658.95,645.0,646.48,715330,False
32,2026-05-11,648.0,652.0,645.0,646.99,244952,False
33,2026-05-08,660.0,660.98,649.94,650.81,765774,False
34,2026-05-07,658.0,673.0,652.0,662.63,1361411,False
35,2026-05-06,644.74,655.0,640.0,650.55,862795,False
36,2026-05-05,621.56,641.0,621.56,637.03,444032,False
37,2026-05-04,635.0,648.0,626.56,632.74,431744,False
38,2026-04-30,638.0,638.0,622.0,631.93,443266,False
39,2026-04-29,649.99,653.0,640.0,640.94,291392,False
40,2026-04-28,648.0,653.77,645.55,646.76,230499,False
41,2026-04-27,655.0,660.0,647.0,651.13,368134,False
42,2026-04-24,642.0,661.59,641.01,655.21,527934,False
43,2026-04-23,664.1,669.0,650.06,651.86,463833,False
44,2026-04-22,668.0,677.0,665.5,666.02,768074,False
45,2026-04-21,673.99,675.95,667.5,671.94,883054,False
46,2026-04-20,668.94,678.49,662.26,669.69,1100514,False
47,2026-04-17,667.0,680.0,664.94,675.85,1544391,False
48,2026-04-16,668.0,670.01,662.03,664.94,519838,False
49,2026-04-15,685.0,685.0,658.24,660.65,1063196,False
50,2026-04-14,652.1,660.0,652.1,656.67,492682,False
51,2026-04-13,650.26,654.0,641.1,646.15,700538,False
52,2026-04-10,671.0,675.0,666.01,668.21,640785,False
53,2026-04-09,685.0,685.0,662.0,667.7,1987220,False
54,2026-04-08,680.0,692.0,659.0,688.6,3769585,False
55,2026-04-07,629.48,635.0,621.0,631.64,658192,False
56,2026-04-06,625.05,637.0,614.0,634.0,725467,False
57,2026-04-03,625.0,638.8,622.05,623.08,617372,False
58,2026-04-02,634.99,635.0,625.0,632.1,667315,False
59,2026-04-01,634.0,658.9,632.5,642.14,1702430,False
60,2026-03-31,614.0,635.0,612.0,628.01,655021,False
61,2026-03-30,613.0,620.0,603.03,613.86,490813,False
62,2026-03-27,634.89,634.89,602.25,617.92,1173469,False
63,2026-03-26,640.1,642.1,626.0,627.14,971060,False
64,2026-03-25,624.0,650.0,622.01,642.14,1070283,False
65,2026-03-24,624.0,629.0,619.0,619.43,703100,False
66,2026-03-19,615.0,631.0,605.5,617.07,2039169,False
67,2026-03-18,603.0,625.0,600.0,618.45,919164,False
68,2026-03-17,600.5,607.0,590.85,600.62,393211,False
69,2026-03-16,611.4,613.0,595.0,598.76,398691,False
70,2026-03-13,606.1,616.9,604.5,613.62,538257,False
71,2026-03-12,620.21,624.0,608.0,608.75,652152,False
72,2026-03-11,630.36,640.0,615.0,620.21,721961,False
73,2026-03-10,665.0,665.0,620.0,630.36,1566127,False
74,2026-03-09,607.0,624.0,565.0,616.99,1473433,False
