date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,515.1,559.89,515.1,553.45,3775484,False
1,2026-06-30,512.5,517.17,512.5,516.46,628601,False
2,2026-06-29,513.0,515.99,510.0,511.29,642943,False
3,2026-06-24,512.0,516.78,509.16,514.26,1044374,False
4,2026-06-23,515.0,515.0,509.06,511.24,1511977,False
5,2026-06-22,512.98,520.0,511.4,512.17,1455490,False
6,2026-06-19,515.0,517.69,508.71,512.98,1284857,False
7,2026-06-18,512.0,518.47,512.0,514.79,963452,False
8,2026-06-17,522.5,522.5,509.0,511.87,7613907,False
9,2026-06-16,515.16,521.98,512.0,520.35,1980632,False
10,2026-06-15,515.0,523.97,509.0,511.46,7259660,False
11,2026-06-12,504.9,512.0,503.5,510.21,1966348,False
12,2026-06-11,494.9,507.95,491.0,500.89,1840728,False
13,2026-06-10,488.0,498.8,486.11,495.89,1674545,False
14,2026-06-09,489.0,495.0,486.16,490.35,849815,False
15,2026-06-08,487.0,489.0,483.0,485.33,625423,False
16,2026-06-05,493.5,496.8,486.02,489.31,618768,False
17,2026-06-04,493.93,498.0,492.0,492.8,694518,False
18,2026-06-03,498.0,503.0,492.0,493.93,1814571,False
19,2026-06-02,482.0,502.5,482.0,498.11,2571769,False
20,2026-06-01,496.0,497.5,484.0,485.77,1289167,False
21,2026-05-29,490.2,494.0,485.0,493.37,1177147,False
22,2026-05-25,483.09,493.0,482.0,490.2,1104404,False
23,2026-05-22,485.0,485.0,478.0,479.56,1150369,False
24,2026-05-21,476.0,485.0,476.0,481.45,1252169,False
25,2026-05-20,465.01,476.0,461.0,475.2,685488,False
26,2026-05-19,469.4,476.44,459.0,463.51,1815226,False
27,2026-05-18,479.59,482.0,455.01,464.83,960069,False
28,2026-05-15,483.12,483.12,478.0,479.59,358652,False
29,2026-05-14,482.0,485.0,478.18,481.96,729880,False
30,2026-05-13,480.26,486.88,480.26,481.55,379228,False
31,2026-05-12,484.95,487.89,482.3,483.58,295200,False
32,2026-05-11,486.0,488.0,480.03,482.03,448867,False
33,2026-05-08,492.0,492.0,485.0,485.95,1057466,False
34,2026-05-07,492.0,496.0,491.0,494.95,966665,False
35,2026-05-06,489.0,496.5,476.01,491.51,1631999,False
36,2026-05-05,479.3,484.48,475.0,483.32,420317,False
37,2026-05-04,498.49,499.89,484.5,486.8,2872627,False
38,2026-04-30,489.99,500.0,482.0,492.34,1358821,False
39,2026-04-29,498.79,499.0,489.0,491.45,490244,False
40,2026-04-28,498.0,500.0,494.5,495.88,983340,False
41,2026-04-27,494.5,502.0,488.03,497.33,1478378,False
42,2026-04-24,479.0,504.56,474.0,494.48,1764997,False
43,2026-04-23,491.8,491.8,478.0,480.53,928013,False
44,2026-04-22,494.0,495.0,487.01,489.34,491274,False
45,2026-04-21,495.0,499.8,492.0,493.63,1178870,False
46,2026-04-20,492.0,496.49,479.0,490.22,1052438,False
47,2026-04-17,497.0,501.2,493.2,497.11,1773674,False
48,2026-04-16,499.0,501.0,490.0,491.99,1361155,False
49,2026-04-15,496.2,500.0,491.1,495.36,1313815,False
50,2026-04-14,485.0,491.0,485.0,487.39,758114,False
51,2026-04-13,490.0,492.0,476.26,479.83,1320028,False
52,2026-04-10,512.01,517.0,497.0,500.96,2444510,False
53,2026-04-09,519.51,519.51,498.0,511.58,3297445,False
54,2026-04-08,525.0,525.0,506.65,519.04,6087017,False
55,2026-04-07,476.98,484.0,471.1,481.16,1330715,False
56,2026-04-06,480.0,484.0,466.0,478.27,1478842,False
57,2026-04-03,460.55,488.8,460.55,477.77,1211610,False
58,2026-04-02,473.98,474.94,452.0,471.84,1003131,False
59,2026-04-01,458.0,490.95,458.0,477.59,3846804,False
60,2026-03-31,445.0,455.5,444.99,452.46,1645297,False
61,2026-03-30,456.86,459.0,419.0,440.3,2710199,False
62,2026-03-27,454.0,466.0,454.0,457.86,1202815,False
63,2026-03-26,462.98,475.0,450.56,453.5,2738016,False
64,2026-03-25,441.0,467.0,440.27,464.09,2768694,False
65,2026-03-24,451.25,458.99,435.0,437.17,1405635,False
66,2026-03-19,440.0,440.0,428.11,437.32,974087,False
67,2026-03-18,430.0,447.84,430.0,443.28,684175,False
68,2026-03-17,429.0,434.26,423.68,426.19,337786,False
69,2026-03-16,437.0,440.99,420.0,423.68,1482873,False
70,2026-03-13,447.48,450.0,440.05,444.72,453980,False
71,2026-03-12,455.0,467.55,445.0,447.48,1289180,False
72,2026-03-11,462.74,469.0,454.85,456.69,1029850,False
73,2026-03-10,460.0,471.33,440.11,462.74,3486750,False
74,2026-03-09,420.5,436.0,410.0,428.48,1601118,False
75,2026-03-06,457.0,457.0,443.0,444.9,996077,False
76,2026-03-05,433.63,460.0,433.63,457.56,1900341,False
77,2026-03-04,439.0,447.0,431.5,433.63,1031338,False
78,2026-03-03,415.11,448.44,410.0,439.0,2861423,False
79,2026-03-02,424.0,450.48,414.46,415.86,5321505,False
80,2026-02-27,456.71,466.88,450.0,460.51,605266,False
81,2026-02-26,453.0,460.94,445.0,456.71,769198,False
82,2026-02-25,459.0,471.5,452.03,453.24,1162654,False
83,2026-02-24,465.0,473.89,454.0,457.81,1492777,False
84,2026-02-23,482.0,487.99,452.32,464.04,917868,False
85,2026-02-20,479.0,486.0,471.0,482.21,438159,False
86,2026-02-19,496.7,496.7,476.0,478.59,574831,False
87,2026-02-18,475.5,500.01,468.12,496.76,2269641,False
88,2026-02-17,475.0,481.2,459.0,469.08,1665498,False
89,2026-02-16,488.0,488.88,469.0,475.0,1487625,False
90,2026-02-13,489.0,489.0,475.0,487.45,753205,False
91,2026-02-12,490.92,493.0,485.0,488.69,604190,False
92,2026-02-11,485.42,494.0,485.0,490.92,663746,False
93,2026-02-10,488.5,488.5,481.0,485.42,976569,False
94,2026-02-09,501.11,509.0,482.0,489.15,3718236,False
95,2026-02-06,516.0,517.3,495.13,500.84,2363863,False
96,2026-02-04,498.0,518.79,497.89,514.06,4411444,False
97,2026-02-03,490.61,499.5,489.0,497.89,1803162,False
98,2026-02-02,489.0,492.85,483.0,490.61,1081757,False
99,2026-01-30,479.0,490.5,478.05,488.67,1532149,False
100,2026-01-29,484.5,485.46,470.45,477.16,2076460,False
101,2026-01-28,486.85,486.85,481.6,483.75,552403,False
102,2026-01-27,479.97,487.9,479.97,484.56,1317985,False
103,2026-01-26,486.39,488.5,473.99,476.97,1307586,False
104,2026-01-23,482.5,488.5,480.0,486.39,1283687,False
105,2026-01-22,479.0,483.32,478.6,480.69,779255,False
106,2026-01-21,491.74,491.75,476.9,478.8,2443507,False
107,2026-01-20,500.5,501.0,490.6,491.75,2309687,False
108,2026-01-19,491.0,503.5,488.98,500.21,3833022,False
109,2026-01-16,481.15,491.9,480.1,488.96,2208410,False
110,2026-01-15,480.17,485.0,477.2,478.27,1748995,False
111,2026-01-14,480.5,484.0,476.1,482.38,1798889,False
112,2026-01-13,474.2,482.0,462.0,479.84,3133109,False
113,2026-01-12,481.0,481.0,469.0,471.49,1670965,False
114,2026-01-09,484.0,487.5,476.0,482.13,2364003,False
115,2026-01-08,499.94,499.94,478.0,484.91,4826989,False
116,2026-01-07,493.25,505.0,490.0,498.26,5036801,False
117,2026-01-06,469.99,495.8,463.0,492.11,9414033,False
118,2026-01-05,459.5,473.45,459.5,468.79,6136500,False
119,2026-01-02,451.99,460.03,449.0,458.81,5582307,False
120,2026-01-01,447.35,454.0,445.0,451.83,2442504,False
121,2025-12-31,448.0,449.9,443.5,444.38,1226754,False
122,2025-12-30,444.99,448.7,444.0,447.1,2979718,False
123,2025-12-29,442.5,444.88,440.12,444.0,1758817,False
124,2025-12-26,440.0,443.0,439.05,442.01,1785462,False
125,2025-12-24,441.0,442.0,439.5,439.92,1646026,False
126,2025-12-23,440.0,443.85,440.0,440.71,1737303,False
127,2025-12-22,438.75,443.5,435.25,439.46,1950734,False
128,2025-12-19,436.49,444.1,435.56,438.78,14227920,False
129,2025-12-18,431.02,435.99,431.0,434.63,5916732,False
130,2025-12-17,432.5,433.0,427.0,429.9,1521535,False
131,2025-12-16,432.0,434.0,430.0,431.64,1972073,False
132,2025-12-15,432.0,433.0,431.3,432.0,1081892,False
133,2025-12-12,429.26,432.97,429.26,431.8,2954712,False
134,2025-12-11,434.24,435.1,429.85,431.02,1410189,False
135,2025-12-10,435.0,436.0,432.9,434.24,1105628,False
136,2025-12-09,438.0,438.0,433.3,434.13,2539306,False
137,2025-12-08,433.89,436.5,433.88,435.82,1259670,False
138,2025-12-05,438.97,439.5,431.99,433.24,2235212,False
139,2025-12-04,435.71,438.5,432.1,433.97,400530,False
140,2025-12-03,448.0,448.0,434.51,435.69,1260459,False
141,2025-12-02,442.0,447.39,440.2,444.9,1744655,False
142,2025-12-01,446.0,447.0,438.0,441.48,1346244,False
143,2025-11-28,442.0,454.0,442.0,444.86,2604630,False
144,2025-11-27,422.15,443.0,422.15,440.79,4221656,False
145,2025-11-26,414.5,423.5,410.58,422.15,1831327,False
146,2025-11-25,414.6,417.0,410.0,411.69,1009152,False
147,2025-11-24,418.0,420.89,410.0,413.27,991021,False
148,2025-11-21,420.0,422.0,417.0,417.71,734517,False
149,2025-11-20,422.5,426.6,418.01,419.81,1115016,False
150,2025-11-19,421.0,425.5,420.0,421.8,822743,False
151,2025-11-18,429.9,430.25,419.5,420.56,1072567,False
152,2025-11-17,426.5,433.0,425.8,426.84,1039943,False
153,2025-11-14,422.0,426.45,420.5,425.05,1550393,False
154,2025-11-13,418.0,422.86,418.0,421.92,587958,False
155,2025-11-12,423.49,423.9,414.0,417.11,756242,False
156,2025-11-11,427.5,427.98,418.0,420.16,1087757,False
157,2025-11-10,428.51,432.47,422.62,426.41,1842575,False
158,2025-11-07,422.0,429.67,421.9,426.87,461153,False
159,2025-11-06,429.97,432.93,416.99,421.9,658208,False
160,2025-11-05,430.0,438.0,425.0,426.46,898687,False
161,2025-11-04,443.0,443.7,435.0,436.05,431634,False
162,2025-11-03,449.99,452.99,434.99,440.97,1072728,False
163,2025-10-31,429.99,466.48,429.0,454.47,1455911,False
164,2025-10-30,432.0,433.49,425.0,425.71,604303,False
165,2025-10-29,431.0,435.0,426.5,428.04,645123,False
166,2025-10-28,440.0,447.1,430.0,430.89,481239,False
167,2025-10-27,442.0,442.0,435.0,438.9,529581,False
168,2025-10-24,450.0,452.0,441.1,442.74,1025360,False
169,2025-10-23,456.0,457.02,449.0,452.35,506623,False
170,2025-10-22,459.01,460.2,452.25,454.7,754682,False
171,2025-10-21,460.67,465.0,450.1,458.23,594672,False
172,2025-10-20,455.0,462.49,452.01,460.67,641942,False
173,2025-10-17,454.39,455.36,447.0,454.02,667864,False
174,2025-10-16,462.0,465.0,453.0,454.39,1019694,False
175,2025-10-15,451.98,461.79,448.01,458.36,1376376,False
176,2025-10-14,435.0,450.92,435.0,449.27,1180704,False
177,2025-10-13,439.0,447.48,425.1,430.35,1920374,False
178,2025-10-10,441.16,454.0,439.2,445.28,1389100,False
179,2025-10-09,442.39,450.0,441.49,444.42,690401,False
180,2025-10-08,446.0,453.0,440.0,442.39,1085737,False
181,2025-10-07,451.99,455.0,442.0,444.8,1390259,False
182,2025-10-06,459.0,464.22,443.0,450.52,1806181,False
183,2025-10-03,482.0,484.1,455.0,459.3,3059262,False
184,2025-10-02,445.01,490.0,444.0,484.37,2882630,False
185,2025-10-01,431.11,448.98,431.11,445.83,1376449,False
186,2025-09-30,421.0,438.0,421.0,435.98,2409510,False
187,2025-09-29,413.0,420.0,411.8,418.88,1136965,False
188,2025-09-26,408.0,413.0,405.0,411.45,1590123,False
189,2025-09-25,403.0,405.0,400.29,404.15,357938,False
190,2025-09-24,403.1,405.9,398.8,400.29,582324,False
191,2025-09-23,405.76,408.4,401.6,402.7,992505,False
