date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,249.99,249.99,239.0,239.0,1420,False
1,2026-06-30,256.81,256.81,236.01,239.28,3724,False
2,2026-06-29,245.19,245.39,235.15,245.38,893,False
3,2026-06-24,240.0,248.0,236.01,245.19,7780,False
4,2026-06-23,246.14,249.99,240.0,240.11,4395,False
5,2026-06-22,260.0,260.0,250.0,250.0,313,False
6,2026-06-19,254.99,255.0,240.55,248.49,1284,False
7,2026-06-18,254.0,254.0,236.05,248.9,670,False
8,2026-06-17,247.58,255.0,245.0,246.03,679,False
9,2026-06-16,248.14,248.14,236.0,247.58,5886,False
10,2026-06-15,228.0,234.95,220.0,233.99,34463,False
11,2026-06-12,222.0,230.0,219.02,223.89,6783,False
12,2026-06-11,221.8,221.85,221.7,221.7,4420,False
13,2026-06-10,220.0,221.9,219.01,221.87,5838,False
14,2026-06-09,229.9,229.9,217.01,220.69,2778,False
15,2026-06-08,219.0,219.9,219.0,219.9,318,False
16,2026-06-05,220.0,242.95,220.0,222.85,1092,False
17,2026-06-04,221.94,221.94,215.0,220.97,932,False
18,2026-06-03,224.39,224.39,211.0,215.41,1303,False
19,2026-06-02,220.0,224.9,210.02,217.2,576,False
20,2026-06-01,220.8,220.98,220.0,220.0,2479,False
21,2026-05-29,223.95,223.95,215.25,220.76,2659,False
22,2026-05-25,226.4,226.4,219.51,219.6,1526,False
23,2026-05-22,227.0,227.0,210.0,217.0,3877,False
24,2026-05-21,225.2,229.0,210.0,219.36,4693,False
25,2026-05-20,251.97,251.97,225.0,225.0,2925,False
26,2026-05-19,248.0,248.0,231.01,230.03,5,True
27,2026-05-18,248.99,248.99,230.0,230.03,1569,False
28,2026-05-15,244.99,246.99,233.34,244.94,2863,False
29,2026-05-14,248.99,249.99,243.0,243.05,1346,False
30,2026-05-13,248.99,249.0,241.52,244.98,377,False
31,2026-05-12,257.79,257.79,241.05,245.0,1297,False
32,2026-05-11,258.99,258.99,238.03,249.99,616,False
33,2026-05-08,254.5,254.5,242.05,242.25,1579,False
34,2026-05-07,261.75,261.75,240.0,244.78,1950,False
35,2026-05-06,250.0,263.99,242.45,250.0,920,False
36,2026-05-05,247.99,248.0,245.0,249.98,50,True
37,2026-05-04,242.05,250.0,242.01,249.98,613,False
38,2026-04-30,255.99,255.99,240.0,247.2,453,False
39,2026-04-29,272.7,272.7,241.0,246.04,495,False
40,2026-04-28,262.99,271.0,241.06,250.07,462,False
41,2026-04-27,249.99,250.0,242.08,247.78,617,False
42,2026-04-24,253.99,253.99,230.92,231.07,197,False
43,2026-04-23,257.99,257.99,246.01,246.98,928,False
44,2026-04-22,259.99,259.99,240.1,245.0,203,False
45,2026-04-21,247.0,265.0,233.37,250.59,1780,False
46,2026-04-20,254.99,255.0,244.0,247.59,827,False
47,2026-04-17,242.51,251.99,242.0,247.29,1908,False
48,2026-04-16,244.05,249.99,242.66,250.0,92,True
49,2026-04-15,242.1,257.39,242.09,250.0,976,False
50,2026-04-14,251.99,251.99,240.0,245.01,439,False
51,2026-04-13,242.54,265.0,231.08,237.0,1207,False
52,2026-04-10,226.01,274.99,226.01,242.54,1066,False
53,2026-04-09,266.0,266.0,230.01,250.15,485,False
54,2026-04-08,250.98,250.98,244.0,244.33,203,False
55,2026-04-07,229.99,229.99,228.99,229.24,184,False
56,2026-04-06,211.0,239.99,208.05,220.1,249,False
