date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,107.48,107.89,105.8,107.43,20049681,False
1,2026-06-30,107.0,107.75,106.11,106.91,10339995,False
2,2026-06-29,107.0,108.75,106.0,106.51,20938723,False
3,2026-06-24,104.05,107.55,104.01,107.15,27194838,False
4,2026-06-23,101.0,104.3,100.45,103.3,19003792,False
5,2026-06-22,101.89,102.25,100.2,100.76,8546058,False
6,2026-06-19,103.4,104.0,98.3,100.52,23842938,False
7,2026-06-18,100.01,103.19,100.01,102.47,32650385,False
8,2026-06-17,98.4,99.5,96.65,98.75,22843442,False
9,2026-06-16,99.0,99.83,97.4,97.67,28293781,False
10,2026-06-15,98.45,98.59,95.0,98.13,45547716,False
11,2026-06-12,88.11,91.9,88.01,90.52,35896472,False
12,2026-06-11,84.9,86.99,84.51,86.51,35476080,False
13,2026-06-10,85.51,87.25,85.15,85.6,15465699,False
14,2026-06-09,86.9,87.12,85.77,86.01,14574799,False
15,2026-06-08,86.0,86.14,84.24,85.35,10327926,False
16,2026-06-05,88.9,89.6,87.05,87.4,14973631,False
17,2026-06-04,87.16,89.0,86.75,88.05,19271458,False
18,2026-06-03,86.5,87.8,85.9,86.51,10496227,False
19,2026-06-02,88.9,90.15,87.3,87.88,11262863,False
20,2026-06-01,90.61,91.24,87.78,88.02,9840463,False
21,2026-05-29,90.26,93.0,90.21,91.56,19021707,False
22,2026-05-25,88.47,89.89,87.2,89.38,17487229,False
23,2026-05-22,86.25,86.49,84.1,84.36,4130482,False
24,2026-05-21,85.61,86.99,85.1,85.54,11257708,False
25,2026-05-20,82.4,83.99,80.61,83.56,8917688,False
26,2026-05-19,83.4,84.39,81.65,81.96,4836220,False
27,2026-05-18,83.8,83.8,80.81,82.44,6897296,False
28,2026-05-15,83.39,84.44,82.06,83.91,7479551,False
29,2026-05-14,84.5,85.75,83.2,83.79,7445291,False
30,2026-05-13,83.85,85.36,83.5,84.31,5042838,False
31,2026-05-12,87.12,88.29,83.5,83.89,7735072,False
32,2026-05-11,87.0,88.3,86.0,87.27,5950591,False
33,2026-05-08,88.0,91.47,87.0,88.96,19499165,False
34,2026-05-07,87.35,92.1,85.3,89.62,36500653,False
35,2026-05-06,81.49,86.78,81.0,86.66,21597885,False
36,2026-05-05,76.0,79.27,76.0,78.89,5108883,False
37,2026-05-04,81.98,83.39,76.5,77.87,12828416,False
38,2026-04-30,79.25,80.89,74.75,79.61,12843176,False
39,2026-04-29,81.5,83.85,79.5,80.74,7262367,False
40,2026-04-28,81.5,82.5,80.25,81.67,5364907,False
41,2026-04-27,86.55,87.75,83.07,83.87,5179018,False
42,2026-04-24,85.02,88.79,82.66,87.57,8785204,False
43,2026-04-23,88.0,88.0,85.63,86.52,4308587,False
44,2026-04-22,90.01,90.47,87.6,88.89,9543226,False
45,2026-04-21,94.0,94.9,91.2,92.04,7119071,False
46,2026-04-20,94.0,95.87,89.11,93.3,11639947,False
47,2026-04-17,95.25,96.4,94.01,95.87,10916161,False
48,2026-04-16,96.98,97.56,93.0,94.17,12855328,False
49,2026-04-15,97.0,100.8,94.5,95.22,20002955,False
50,2026-04-14,90.0,94.39,88.5,93.8,20991076,False
51,2026-04-13,88.0,90.49,85.38,86.86,11934463,False
52,2026-04-10,88.2,94.59,88.2,92.52,24901822,False
53,2026-04-09,83.55,89.6,79.25,87.65,28894168,False
54,2026-04-08,83.18,83.18,83.18,83.18,2332507,False
55,2026-04-07,74.43,76.08,72.85,75.62,4375283,False
56,2026-04-06,73.21,76.33,71.0,74.95,8451521,False
57,2026-04-03,71.5,74.24,71.0,73.2,4053201,False
58,2026-04-02,74.99,75.64,73.0,75.36,5239081,False
59,2026-04-01,75.3,80.88,75.3,78.57,20481330,False
60,2026-03-31,73.02,75.37,73.0,73.53,6044143,False
61,2026-03-30,79.8,79.8,71.53,72.87,9488003,False
62,2026-03-27,80.65,81.5,78.5,79.03,3830577,False
63,2026-03-26,84.1,84.98,80.08,80.65,6267655,False
64,2026-03-25,82.39,86.55,82.0,85.85,12853017,False
65,2026-03-24,85.0,86.5,81.02,81.57,6718854,False
66,2026-03-19,81.99,82.5,79.4,82.0,6061434,False
67,2026-03-18,80.9,84.31,79.3,83.22,7973035,False
68,2026-03-17,79.0,81.2,78.85,79.78,3582631,False
69,2026-03-16,79.2,81.8,77.21,78.63,8195712,False
70,2026-03-13,77.0,79.6,76.53,78.99,4685506,False
71,2026-03-12,78.99,78.99,77.0,77.67,6208356,False
72,2026-03-11,82.01,83.5,79.55,80.57,9133915,False
73,2026-03-10,83.41,83.41,79.0,80.61,11429715,False
74,2026-03-09,77.55,77.55,75.83,75.83,2284792,False
75,2026-03-06,86.0,86.0,82.8,84.26,11055952,False
76,2026-03-05,84.1,87.1,83.01,86.27,10829560,False
77,2026-03-04,83.01,86.3,81.1,84.06,11666790,False
78,2026-03-03,79.0,86.5,79.0,84.54,18735179,False
79,2026-03-02,85.5,88.5,85.5,85.5,14033928,False
80,2026-02-27,96.37,97.4,93.0,95.0,5956379,False
81,2026-02-26,93.29,98.0,90.0,96.67,12610870,False
82,2026-02-25,97.0,98.0,92.5,93.29,9283892,False
83,2026-02-24,101.82,103.75,94.89,96.21,14096419,False
84,2026-02-23,108.5,109.5,100.5,101.82,3895329,False
85,2026-02-20,102.87,110.0,97.03,108.43,5336405,False
86,2026-02-19,108.95,108.95,97.71,100.44,4905983,False
87,2026-02-18,106.35,109.1,103.81,108.26,4867844,False
88,2026-02-17,106.0,108.3,103.5,105.2,4733246,False
89,2026-02-16,113.44,113.44,104.55,106.25,5372281,False
90,2026-02-13,110.0,113.8,109.52,112.87,2824279,False
91,2026-02-12,113.6,114.59,109.0,111.32,4478272,False
92,2026-02-11,109.95,113.8,108.99,112.9,4049647,False
93,2026-02-10,109.85,110.6,108.06,109.15,1613819,False
94,2026-02-09,113.0,113.5,108.99,109.85,3508467,False
95,2026-02-06,114.39,114.7,111.1,112.36,3155523,False
96,2026-02-04,114.52,116.0,114.05,114.39,2128518,False
97,2026-02-03,115.01,115.99,114.0,114.52,3497756,False
98,2026-02-02,115.2,116.5,114.5,115.01,2618372,False
99,2026-01-30,114.0,119.0,113.62,115.19,4509070,False
100,2026-01-29,117.0,117.75,112.11,113.52,6444326,False
101,2026-01-28,117.7,119.15,116.7,117.06,4971525,False
102,2026-01-27,119.94,119.94,117.0,117.68,6299536,False
103,2026-01-26,120.4,122.9,120.4,121.53,8462736,False
104,2026-01-23,122.3,122.4,120.0,120.3,4011367,False
105,2026-01-22,120.87,123.5,120.0,122.18,8929196,False
