date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,919.0,938.98,899.0,906.45,22088,False
1,2026-06-30,917.12,944.0,908.17,919.55,14421,False
2,2026-06-29,924.98,1011.2,907.0,934.71,45305,False
3,2026-06-24,920.01,930.0,907.0,919.27,14548,False
4,2026-06-23,929.19,930.0,915.01,920.0,2551,False
5,2026-06-22,934.98,940.98,907.01,927.0,22321,False
6,2026-06-19,931.99,931.99,920.0,926.54,1126,False
7,2026-06-18,931.97,931.97,920.0,928.03,1881,False
8,2026-06-17,920.0,944.0,920.0,929.85,354,False
9,2026-06-16,930.0,975.0,900.0,930.19,134247,False
10,2026-06-15,930.01,935.99,910.0,931.39,9846,False
11,2026-06-12,930.0,930.0,910.0,919.78,4184,False
12,2026-06-11,930.0,930.0,890.37,917.11,924,False
13,2026-06-10,939.86,939.86,920.17,929.89,490,False
14,2026-06-09,920.01,939.99,920.01,934.9,69,False
15,2026-06-08,920.0,937.95,856.0,922.58,2938,False
16,2026-06-05,948.97,948.97,920.0,928.95,1743,False
17,2026-06-04,930.0,930.0,927.0,928.94,81,False
18,2026-06-03,948.0,948.0,910.0,927.5,1041,False
19,2026-06-02,949.1,949.1,927.0,930.0,19602,False
20,2026-06-01,936.29,950.0,925.0,933.0,898,False
21,2026-05-29,950.0,950.0,918.0,936.26,4607,False
22,2026-05-25,924.95,949.99,915.1,928.65,2069,False
23,2026-05-22,922.18,948.0,836.85,919.87,9215,False
24,2026-05-21,929.99,949.99,922.1,929.83,1346,False
25,2026-05-20,920.0,930.0,901.0,905.53,523,False
26,2026-05-19,927.99,930.0,915.27,924.34,220,False
27,2026-05-18,930.0,930.0,895.0,919.33,572,False
28,2026-05-15,925.0,935.0,920.0,933.48,503,False
29,2026-05-14,901.0,928.98,901.0,917.59,791,False
30,2026-05-13,929.94,930.0,905.0,924.74,1456,False
31,2026-05-12,918.0,934.87,918.0,924.0,1985,False
32,2026-05-11,933.72,934.98,911.03,922.52,3605,False
33,2026-05-08,939.9,939.9,916.01,933.72,220,False
34,2026-05-07,937.8,940.0,924.5,932.94,2425,False
35,2026-05-06,932.0,932.0,921.0,924.16,2596,False
36,2026-05-05,933.48,935.0,920.0,925.85,1942,False
37,2026-05-04,947.6,947.6,919.1,933.48,1945,False
38,2026-04-30,920.72,942.5,905.0,918.55,10790,False
39,2026-04-29,958.4,958.4,920.05,920.72,25312,False
40,2026-04-28,939.49,964.78,936.0,942.25,325,False
41,2026-04-27,965.0,965.0,921.0,944.94,601,False
42,2026-04-24,968.98,968.98,907.2,958.0,8490,False
43,2026-04-23,948.0,970.0,921.0,942.4,5061,False
44,2026-04-22,935.0,970.0,930.03,948.27,2752,False
45,2026-04-21,912.0,970.0,912.0,949.02,3961,False
46,2026-04-20,901.51,989.99,885.1,924.95,2542,False
47,2026-04-17,929.48,929.48,900.0,901.51,66450,False
48,2026-04-16,900.0,919.98,885.15,919.24,5789,False
49,2026-04-15,899.95,920.0,885.11,900.0,25567,False
50,2026-04-14,899.99,899.99,864.6,885.69,5834,False
51,2026-04-13,840.03,900.0,840.03,880.0,38717,False
52,2026-04-10,881.65,900.0,870.02,894.01,12344,False
53,2026-04-09,890.0,895.0,851.16,881.65,12636,False
54,2026-04-08,880.0,914.95,860.05,890.27,19724,False
55,2026-04-07,845.0,845.0,820.0,834.56,6901,False
56,2026-04-06,805.02,864.99,805.02,844.79,1234,False
57,2026-04-03,804.0,867.77,804.0,835.02,3339,False
58,2026-04-02,841.51,879.0,809.06,848.93,861,False
59,2026-04-01,805.26,893.0,805.26,849.59,5446,False
60,2026-03-31,899.99,899.99,800.0,835.66,1163,False
61,2026-03-30,884.5,884.7,802.0,835.95,18728,False
62,2026-03-27,855.0,879.0,830.0,830.34,6994,False
63,2026-03-26,851.02,884.74,840.0,840.02,3544,False
64,2026-03-25,868.0,885.0,868.0,869.01,5712,False
65,2026-03-24,845.0,877.75,844.0,844.16,4753,False
66,2026-03-19,867.88,867.88,840.0,854.4,853,False
67,2026-03-18,830.11,869.6,830.11,845.0,1200,False
68,2026-03-17,837.0,844.0,820.1,837.59,126,False
69,2026-03-16,810.0,880.0,810.0,820.0,2809,False
70,2026-03-13,812.5,853.86,812.01,836.97,100271,False
71,2026-03-12,849.74,868.0,805.51,847.59,2004,False
72,2026-03-11,882.98,882.98,845.09,849.74,7114,False
73,2026-03-10,924.98,924.98,821.0,845.09,5538,False
74,2026-03-09,841.5,934.85,841.5,848.87,15507,False
75,2026-03-06,936.75,948.97,935.0,935.0,812,False
