date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,388.0,414.0,384.0,399.24,946555,False
1,2026-06-30,386.0,389.5,382.0,387.43,232076,False
2,2026-06-29,381.92,387.43,380.0,385.34,310552,False
3,2026-06-24,380.0,385.0,380.0,382.2,184808,False
4,2026-06-23,373.0,393.0,373.0,377.7,875891,False
5,2026-06-22,373.5,373.5,368.57,370.45,169854,False
6,2026-06-19,367.03,375.0,367.0,368.3,138641,False
7,2026-06-18,367.01,374.0,367.01,372.08,228871,False
8,2026-06-17,371.5,375.0,366.0,370.55,247956,False
9,2026-06-16,368.0,374.0,360.0,371.35,452417,False
10,2026-06-15,365.0,370.0,355.0,366.92,673545,False
11,2026-06-12,360.0,363.88,355.0,356.76,234661,False
12,2026-06-11,360.0,360.0,358.0,358.54,44341,False
13,2026-06-10,360.0,362.99,360.0,360.43,48324,False
14,2026-06-09,358.0,366.0,358.0,363.73,165891,False
15,2026-06-08,359.08,359.08,344.01,355.68,92554,False
16,2026-06-05,365.0,366.5,351.0,359.08,169187,False
17,2026-06-04,364.1,367.49,361.0,364.61,66701,False
18,2026-06-03,368.0,368.95,361.51,364.63,99809,False
19,2026-06-02,364.25,370.0,364.0,368.91,49631,False
20,2026-06-01,372.96,373.55,361.0,364.25,129817,False
21,2026-05-29,376.0,379.79,372.0,372.96,152699,False
22,2026-05-25,372.0,380.0,372.0,375.13,123840,False
23,2026-05-22,375.0,375.0,368.0,369.23,61358,False
24,2026-05-21,371.5,375.0,370.75,371.89,58468,False
25,2026-05-20,372.0,372.0,366.0,370.17,25536,False
26,2026-05-19,370.0,372.0,365.9,368.71,177065,False
27,2026-05-18,372.0,372.03,368.11,369.42,120860,False
28,2026-05-15,375.0,375.0,370.22,372.03,53840,False
29,2026-05-14,378.0,380.0,372.03,373.72,42500,False
30,2026-05-13,379.61,380.99,377.0,378.02,47660,False
31,2026-05-12,383.8,386.0,378.02,379.61,37036,False
32,2026-05-11,379.99,383.98,378.0,383.08,46530,False
33,2026-05-08,385.0,389.0,380.51,386.69,157216,False
34,2026-05-07,386.1,390.0,384.0,386.01,698791,False
35,2026-05-06,375.0,390.0,375.0,385.94,271629,False
36,2026-05-05,377.0,377.0,366.99,373.96,44949,False
37,2026-05-04,380.0,385.0,373.01,377.14,165143,False
38,2026-04-30,377.0,377.0,368.5,370.08,126989,False
39,2026-04-29,383.97,388.0,375.06,378.13,166426,False
40,2026-04-28,374.5,400.0,370.02,383.97,320021,False
41,2026-04-27,374.5,380.0,374.0,376.74,43070,False
42,2026-04-24,369.9,378.0,363.51,374.79,64397,False
43,2026-04-23,373.81,379.99,368.5,370.37,92071,False
44,2026-04-22,384.25,384.25,370.22,373.81,101710,False
45,2026-04-21,381.2,388.44,381.18,384.25,123904,False
46,2026-04-20,390.0,390.0,367.0,381.18,342758,False
47,2026-04-17,399.88,399.88,389.2,392.74,94981,False
48,2026-04-16,394.0,400.1,389.51,391.82,96420,False
49,2026-04-15,379.0,400.0,375.01,390.63,259364,False
50,2026-04-14,365.0,370.48,362.0,369.68,211748,False
51,2026-04-13,370.62,370.63,357.0,359.55,192967,False
52,2026-04-10,361.5,384.48,361.01,380.23,434506,False
53,2026-04-09,365.0,370.0,351.0,359.26,237725,False
54,2026-04-08,344.0,364.18,344.0,364.18,382994,False
55,2026-04-07,330.1,333.0,328.0,331.07,74552,False
56,2026-04-06,330.0,336.0,326.5,332.62,87255,False
57,2026-04-03,331.65,340.0,326.01,329.69,86741,False
58,2026-04-02,340.0,340.0,331.5,335.65,119951,False
59,2026-04-01,339.0,348.0,338.0,344.27,232875,False
60,2026-03-31,333.0,343.0,330.01,333.83,73146,False
61,2026-03-30,349.99,349.99,329.5,331.07,148535,False
62,2026-03-27,344.9,354.0,339.0,341.25,52053,False
63,2026-03-26,357.11,362.0,344.0,344.9,108640,False
64,2026-03-25,349.9,356.5,348.0,355.53,41013,False
65,2026-03-24,354.0,354.0,341.4,345.41,44785,False
66,2026-03-19,352.5,352.5,336.0,341.29,164700,False
67,2026-03-18,343.0,354.43,343.0,353.36,21148,False
68,2026-03-17,353.11,353.11,339.0,343.38,32919,False
69,2026-03-16,343.86,348.95,340.0,341.83,23997,False
70,2026-03-13,354.0,354.0,326.0,343.86,52911,False
71,2026-03-12,350.0,354.75,345.0,347.46,53666,False
72,2026-03-11,360.0,362.51,353.5,355.32,51565,False
73,2026-03-10,340.0,359.38,340.0,358.81,135071,False
74,2026-03-09,352.0,352.0,322.31,329.71,130927,False
75,2026-03-06,361.98,361.98,356.0,358.12,52785,False
