date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,7663.48,7699.9,7611.25,7678.79,172,False
1,2026-06-30,7611.16,7689.98,7600.0,7663.49,143,False
2,2026-06-29,7622.26,7650.0,7621.1,7639.18,163,False
3,2026-06-24,7689.0,7690.0,7620.0,7649.62,904,False
4,2026-06-23,7699.99,7700.0,7555.02,7615.96,271,False
5,2026-06-22,7785.0,7785.0,7105.0,7632.7,872,False
6,2026-06-19,7780.0,7789.0,7705.01,7780.0,439,False
7,2026-06-18,7750.0,7799.9,7735.0,7780.46,241,False
8,2026-06-17,7773.75,7800.0,7651.0,7734.15,241,False
9,2026-06-16,7750.0,7780.0,7500.85,7748.78,620,False
10,2026-06-15,7793.0,7793.0,7700.11,7743.0,343,False
11,2026-06-12,7635.0,7729.95,7635.0,7700.0,195,False
12,2026-06-11,7699.99,7699.99,7628.15,7696.22,162,False
13,2026-06-10,7685.0,7750.0,7625.0,7703.28,561,False
14,2026-06-09,7669.74,7800.0,7600.0,7660.26,317,False
15,2026-06-08,7651.16,7719.9,7651.16,7660.04,117,False
16,2026-06-05,7710.0,7750.0,7700.0,7730.19,119,False
17,2026-06-04,7758.89,7759.87,7702.0,7734.17,84,False
18,2026-06-03,7758.98,7774.0,7500.0,7726.48,440,False
19,2026-06-02,7645.0,7726.0,7640.0,7702.0,209,False
20,2026-06-01,7750.5,7750.5,7555.0,7645.71,288,False
21,2026-05-29,7541.11,7750.0,7541.11,7677.51,175,False
22,2026-05-25,7550.0,7700.0,7550.0,7657.86,431,False
23,2026-05-22,7591.04,7690.0,7500.01,7599.03,203,False
24,2026-05-21,7669.95,7669.95,7560.0,7586.27,526,False
25,2026-05-20,7738.0,7738.0,7550.0,7554.52,447,False
26,2026-05-19,7623.98,7623.98,7528.0,7600.0,1200,False
27,2026-05-18,7559.99,7639.99,7460.17,7523.17,972,False
28,2026-05-15,7587.74,7599.99,7510.0,7584.95,113,False
29,2026-05-14,7568.0,7600.0,7561.0,7587.75,119,False
30,2026-05-13,7648.88,7650.0,7552.0,7563.04,296,False
31,2026-05-12,7731.58,7740.0,7511.01,7615.76,243,False
32,2026-05-11,7501.06,7990.0,7460.0,7731.58,1840,False
33,2026-05-08,7545.0,7545.0,7410.0,7501.06,304,False
34,2026-05-07,7547.99,7548.0,7500.2,7515.0,195,False
35,2026-05-06,7455.0,7520.0,7455.0,7500.43,181,False
36,2026-05-05,7350.01,7569.0,7350.0,7462.3,1956,False
37,2026-05-04,7508.0,7509.0,7400.03,7470.52,1418,False
38,2026-04-30,7449.99,7500.0,7365.0,7488.55,1353,False
39,2026-04-29,7310.0,7580.0,7310.0,7451.0,538,False
40,2026-04-28,7460.0,7550.0,7411.0,7492.31,375,False
41,2026-04-27,7450.5,7551.0,7300.0,7475.47,237,False
42,2026-04-24,7500.0,7520.22,7411.05,7519.65,582,False
43,2026-04-23,7443.9,7488.45,7360.0,7416.05,496,False
44,2026-04-22,7600.0,7600.0,7000.0,7374.65,547,False
45,2026-04-21,7497.0,7497.0,7351.51,7442.09,363,False
46,2026-04-20,7497.3,7506.0,7400.0,7455.91,429,False
47,2026-04-17,7500.14,7590.0,7301.51,7497.3,636,False
48,2026-04-16,7441.0,7483.8,7431.01,7480.74,338,False
49,2026-04-15,7448.0,7549.9,7420.0,7441.99,347,False
50,2026-04-14,7467.9,7467.9,7375.0,7416.28,253,False
51,2026-04-13,7430.0,7496.97,7250.0,7355.77,5741,False
52,2026-04-10,7674.94,7674.94,7415.0,7503.54,535,False
53,2026-04-09,7600.0,7700.0,7490.0,7495.37,9040,False
54,2026-04-08,7700.0,7790.0,7550.01,7699.95,4004,False
55,2026-04-07,7767.94,7767.94,7520.0,7554.63,1316,False
56,2026-04-06,7651.0,7800.0,7591.0,7601.39,738,False
57,2026-04-03,7649.98,7850.0,7649.0,7677.46,198,False
58,2026-04-02,7690.0,7700.0,7340.02,7696.0,296,False
59,2026-04-01,7712.41,7800.0,7650.01,7697.29,987,False
60,2026-03-31,7532.62,7737.95,7532.62,7712.4,115,False
61,2026-03-30,7755.0,7755.0,7499.0,7532.62,714,False
62,2026-03-27,7749.03,7890.0,7635.0,7742.38,123,False
63,2026-03-26,7725.0,7799.95,7650.0,7748.0,484,False
64,2026-03-25,7750.0,7789.98,7650.0,7700.0,1479,False
65,2026-03-24,8000.0,8000.0,7600.0,7700.0,1382,False
66,2026-03-19,7885.0,7900.0,7820.5,7887.17,122,False
67,2026-03-18,7820.01,7919.0,7800.0,7899.0,70,False
68,2026-03-17,7899.9,7925.0,7803.0,7892.0,197,False
69,2026-03-16,7798.5,7980.0,7770.05,7781.36,217,False
70,2026-03-13,7821.88,8100.0,7750.0,7799.67,427,False
71,2026-03-12,7820.0,7850.0,7750.0,7821.88,57,False
72,2026-03-11,7875.0,8000.0,7700.01,7814.28,163,False
73,2026-03-10,7851.16,8000.0,7500.0,7899.29,132,False
74,2026-03-09,7800.0,7800.0,7400.0,7713.65,196,False
75,2026-03-06,7785.0,8189.0,7750.0,7770.19,438,False
76,2026-03-05,7771.01,7994.95,7771.01,7830.4,83,False
77,2026-03-04,8000.0,8000.0,7715.0,7800.0,109,False
78,2026-03-03,8200.0,8200.0,7667.2,7796.18,211,False
79,2026-03-02,7250.0,8000.0,7250.0,7667.2,253,False
80,2026-02-27,7999.0,7999.0,7960.0,7998.89,50,False
81,2026-02-26,7979.5,7980.0,7801.0,7903.0,506,False
82,2026-02-25,8027.0,8027.0,7900.01,7979.5,80,False
83,2026-02-24,7900.05,8044.9,7800.0,7904.29,210,False
84,2026-02-23,8089.99,8090.0,7962.0,7996.45,119,False
85,2026-02-20,8000.0,8100.0,7960.01,8046.98,396,False
86,2026-02-19,7980.0,8036.0,7900.0,7952.26,73,False
87,2026-02-18,7990.0,8080.0,7950.0,7999.56,933,False
88,2026-02-17,8050.0,8050.0,7905.02,7966.5,79,False
89,2026-02-16,8050.0,8050.0,7930.01,7955.26,318,False
90,2026-02-13,8079.8,8079.8,7905.0,8013.14,78,False
91,2026-02-12,8097.09,8100.0,7950.0,8012.5,227,False
92,2026-02-11,8050.01,8176.0,8050.01,8097.09,82,False
93,2026-02-10,8400.0,8400.0,8000.0,8178.65,456,False
94,2026-02-09,7935.0,8638.0,7854.0,8265.26,1744,False
95,2026-02-06,7914.0,7949.0,7850.0,7852.73,407,False
96,2026-02-04,7800.0,7949.9,7800.0,7906.13,325,False
97,2026-02-03,7774.41,7848.0,7774.41,7830.74,95,False
