date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,73.35,74.0,73.05,73.31,1653144,False
1,2026-06-30,72.61,73.89,72.5,73.51,1032966,False
2,2026-06-29,73.99,73.99,72.25,72.54,1197960,False
3,2026-06-24,74.0,75.0,73.57,74.14,1257436,False
4,2026-06-23,73.76,74.96,72.96,73.89,1472624,False
5,2026-06-22,76.51,77.39,73.4,74.2,1884257,False
6,2026-06-19,79.39,79.55,74.1,76.04,3980466,False
7,2026-06-18,77.99,79.0,77.06,78.66,7480015,False
8,2026-06-17,76.1,77.87,74.61,77.12,3884083,False
9,2026-06-16,75.55,76.4,67.46,75.63,3302213,False
10,2026-06-15,75.0,75.9,72.2,74.95,5553116,False
11,2026-06-12,70.1,73.1,70.0,71.59,2372067,False
12,2026-06-11,69.0,69.99,68.5,69.38,578407,False
13,2026-06-10,70.0,71.1,69.2,69.64,816704,False
14,2026-06-09,69.5,72.18,69.3,71.17,2394819,False
15,2026-06-08,70.0,70.0,68.51,68.79,1086825,False
16,2026-06-05,68.88,72.29,68.24,70.62,3790321,False
17,2026-06-04,68.16,68.94,67.5,68.23,683166,False
18,2026-06-03,69.0,69.5,68.0,68.13,1074360,False
19,2026-06-02,69.2,70.2,69.06,69.47,1071633,False
20,2026-06-01,71.5,71.5,69.11,69.29,1899854,False
21,2026-05-29,71.31,72.7,70.5,71.62,2172894,False
22,2026-05-25,71.1,72.2,70.87,71.3,2465660,False
23,2026-05-22,71.26,71.68,69.51,69.91,1702561,False
24,2026-05-21,70.8,72.05,70.6,71.18,3015597,False
25,2026-05-20,68.95,69.92,67.26,69.54,1916974,False
26,2026-05-19,69.0,71.0,68.11,68.27,2038060,False
27,2026-05-18,71.03,71.48,67.9,68.09,2735128,False
28,2026-05-15,71.69,72.15,70.9,71.64,1596541,False
29,2026-05-14,72.89,73.73,71.05,71.69,2150358,False
30,2026-05-13,72.3,73.44,71.12,71.8,2763207,False
31,2026-05-12,74.9,75.79,71.9,72.23,1891717,False
32,2026-05-11,74.3,75.59,74.0,74.85,1867725,False
33,2026-05-08,76.12,76.89,75.15,75.99,2206718,False
34,2026-05-07,79.0,79.39,77.9,78.39,4291392,False
35,2026-05-06,75.6,79.49,75.42,78.48,8201834,False
36,2026-05-05,73.01,74.3,72.25,74.02,2900590,False
37,2026-05-04,77.0,77.0,72.7,73.73,4324075,False
38,2026-04-30,72.1,74.4,70.61,72.83,4808078,False
39,2026-04-29,79.0,79.9,74.3,74.98,7934020,False
40,2026-04-28,82.3,85.89,77.27,78.92,17634030,False
41,2026-04-27,80.62,85.4,80.15,83.22,11996743,False
42,2026-04-24,76.99,83.73,75.5,81.75,7374584,False
43,2026-04-23,81.5,81.5,77.27,78.02,6729204,False
44,2026-04-22,84.0,84.99,81.0,81.28,8296439,False
45,2026-04-21,80.5,86.35,80.2,83.85,21037024,False
46,2026-04-20,78.85,80.39,74.95,79.59,12683784,False
47,2026-04-17,78.95,80.7,78.0,80.44,8448294,False
48,2026-04-16,79.5,79.7,76.6,77.52,6052399,False
49,2026-04-15,78.0,81.0,77.26,78.1,12742544,False
50,2026-04-14,74.95,75.89,73.6,75.2,8928464,False
51,2026-04-13,74.25,74.78,70.3,70.95,6710496,False
52,2026-04-10,74.1,78.47,74.1,77.47,11511298,False
53,2026-04-09,71.49,75.35,69.76,73.04,15032006,False
54,2026-04-08,71.72,71.72,71.0,71.72,4850792,False
55,2026-04-07,64.39,65.77,63.95,65.2,3806519,False
56,2026-04-06,64.0,66.6,63.0,65.31,9119385,False
57,2026-04-03,62.25,65.2,61.11,63.51,4305312,False
58,2026-04-02,66.4,66.4,63.7,64.78,4586877,False
59,2026-04-01,66.41,70.85,66.41,68.78,9368186,False
60,2026-03-31,64.05,65.84,64.0,64.41,3408260,False
61,2026-03-30,65.15,65.45,61.1,63.05,3668783,False
62,2026-03-27,67.25,68.3,66.1,66.66,4314399,False
63,2026-03-26,69.02,69.98,66.5,66.91,9078513,False
64,2026-03-25,67.0,72.2,66.23,71.0,10710459,False
65,2026-03-24,68.75,69.49,65.6,66.12,5418475,False
66,2026-03-19,64.49,65.99,62.11,65.45,3338959,False
67,2026-03-18,64.1,67.5,64.03,66.25,4070850,False
68,2026-03-17,64.0,65.0,59.3,64.05,5992712,False
69,2026-03-16,68.0,69.5,62.02,62.83,5023694,False
70,2026-03-13,68.16,69.43,67.05,68.19,2375001,False
71,2026-03-12,69.0,70.88,68.0,69.7,5980241,False
72,2026-03-11,67.87,72.89,67.78,70.9,14835558,False
73,2026-03-10,64.5,67.87,64.0,67.87,3361253,False
74,2026-03-09,67.0,67.0,61.7,61.7,3092541,False
75,2026-03-06,72.95,73.0,66.4,68.55,7083946,False
76,2026-03-05,70.0,74.15,69.35,73.56,6056352,False
77,2026-03-04,71.9,71.95,68.01,69.34,3362485,False
78,2026-03-03,70.0,74.5,68.0,72.21,8968033,False
79,2026-03-02,73.0,75.7,73.0,73.0,5426649,False
80,2026-02-27,74.0,82.1,74.0,81.11,15143169,False
81,2026-02-26,69.89,75.59,65.25,75.59,7294749,False
82,2026-02-25,72.95,73.55,67.52,68.72,3541751,False
83,2026-02-24,68.5,73.99,64.99,72.13,9056355,False
84,2026-02-23,75.49,75.97,67.94,68.42,4192428,False
85,2026-02-20,80.0,80.4,71.05,75.49,7889376,False
86,2026-02-19,86.4,86.4,77.88,78.42,4031172,False
87,2026-02-18,86.51,87.9,82.8,86.53,4434487,False
88,2026-02-17,86.17,87.48,81.8,85.16,4201354,False
89,2026-02-16,90.0,92.4,83.55,86.17,7072294,False
90,2026-02-13,85.1,92.0,83.05,89.32,8441858,False
91,2026-02-12,86.0,88.89,82.25,85.1,6151225,False
92,2026-02-11,88.8,89.5,80.5,85.46,10493032,False
93,2026-02-10,92.5,92.99,88.5,89.2,4043601,False
94,2026-02-09,94.45,94.45,92.1,92.44,5129002,False
95,2026-02-06,93.06,93.71,90.22,92.46,18353540,False
96,2026-02-04,96.65,96.89,92.6,93.07,10268693,False
97,2026-02-03,96.5,98.9,95.59,96.65,15295858,False
98,2026-02-02,96.5,100.45,94.0,95.92,34713839,False
99,2026-01-30,92.0,100.18,90.68,98.91,21049082,False
100,2026-01-29,94.99,95.38,89.25,91.07,8977680,False
101,2026-01-28,92.0,98.3,92.0,94.67,30250074,False
102,2026-01-27,83.99,92.81,83.51,91.32,15242617,False
103,2026-01-26,88.0,88.39,83.1,84.37,3812394,False
104,2026-01-23,85.74,87.62,84.01,86.97,4155972,False
105,2026-01-22,85.0,88.45,84.0,85.24,6797294,False
106,2026-01-21,88.62,89.4,84.0,84.85,5645178,False
107,2026-01-20,89.76,90.7,88.01,88.62,3772611,False
108,2026-01-19,89.0,91.98,86.26,89.49,12722591,False
109,2026-01-16,93.85,94.9,87.2,88.51,16925046,False
110,2026-01-15,96.6,97.7,92.12,92.72,14118282,False
111,2026-01-14,90.0,98.2,90.0,96.5,42605091,False
112,2026-01-13,87.49,89.42,84.45,89.42,25151700,False
113,2026-01-12,81.29,81.29,79.11,81.29,6716214,False
114,2026-01-09,72.0,74.5,68.5,73.9,11789748,False
115,2026-01-08,73.75,74.7,70.05,71.85,5300943,False
116,2026-01-07,72.45,74.9,71.61,73.39,9888096,False
117,2026-01-06,64.99,70.1,64.5,70.1,16861179,False
118,2026-01-05,61.77,65.73,60.7,63.73,12584469,False
119,2026-01-02,65.5,66.0,59.34,59.75,8998870,False
120,2026-01-01,66.67,68.3,65.5,65.93,2338605,False
121,2025-12-31,68.5,69.0,66.52,66.66,1822394,False
122,2025-12-30,68.6,69.98,66.55,68.49,4327381,False
123,2025-12-29,70.9,72.0,67.4,68.2,3748289,False
124,2025-12-26,66.1,70.97,64.82,69.75,7011436,False
125,2025-12-24,69.0,69.11,64.0,66.89,10227908,False
126,2025-12-23,79.0,80.0,70.41,70.43,12655408,False
127,2025-12-22,75.0,79.0,74.01,78.23,13735370,False
128,2025-12-19,66.51,71.91,66.51,71.91,17210999,False
129,2025-12-18,64.62,66.45,61.51,65.37,6875178,False
130,2025-12-17,63.15,68.4,62.5,64.28,6959332,False
131,2025-12-16,65.48,67.98,60.0,63.13,16318445,False
132,2025-12-15,58.9,61.8,56.0,61.8,15232631,False
133,2025-12-12,60.0,61.8,55.7,56.18,15303853,False
134,2025-12-11,54.22,56.22,53.6,56.22,2672392,False
135,2025-12-10,47.44,51.11,46.9,51.11,12608675,False
136,2025-12-09,44.0,47.44,43.55,46.46,11556590,False
137,2025-12-08,41.9,43.95,41.2,43.13,5777527,False
