date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,335.0,337.3,333.0,334.91,3716723,False
1,2026-06-30,335.8,339.7,332.81,334.87,4510910,False
2,2026-06-29,340.0,340.5,333.51,335.2,2691219,False
3,2026-06-24,338.25,340.75,337.0,339.96,3779720,False
4,2026-06-23,335.4,340.6,335.25,338.17,9873720,False
5,2026-06-22,334.0,334.75,330.99,334.25,11154880,False
6,2026-06-19,339.0,339.49,329.0,331.28,9526189,False
7,2026-06-18,335.0,337.96,333.6,337.2,7936728,False
8,2026-06-17,328.9,335.0,325.8,334.04,9568482,False
9,2026-06-16,326.5,329.9,324.0,327.64,5305472,False
10,2026-06-15,325.0,325.65,319.6,324.63,5774424,False
11,2026-06-12,319.95,321.22,317.01,317.99,3228564,False
12,2026-06-11,315.65,318.0,314.01,316.2,2336208,False
13,2026-06-10,317.01,320.75,316.0,316.68,1366369,False
14,2026-06-09,321.0,322.45,319.4,319.63,2778242,False
15,2026-06-08,318.0,320.0,314.1,318.07,2805226,False
16,2026-06-05,325.0,326.39,319.75,320.31,2032744,False
17,2026-06-04,321.51,325.2,321.0,324.56,2362888,False
18,2026-06-03,320.0,323.25,319.0,319.96,2339418,False
19,2026-06-02,320.25,324.51,319.99,320.58,2144427,False
20,2026-06-01,330.0,330.0,319.05,320.33,3947944,False
21,2026-05-29,330.0,331.9,321.0,330.33,3972556,False
22,2026-05-25,328.0,330.9,326.7,330.05,4384086,False
23,2026-05-22,326.8,327.6,321.0,323.51,2072490,False
24,2026-05-21,322.0,326.8,322.0,325.82,5129543,False
25,2026-05-20,317.7,319.9,315.5,318.53,3194694,False
26,2026-05-19,312.0,318.39,312.0,316.7,4685426,False
27,2026-05-18,319.98,319.98,309.15,310.37,4951514,False
28,2026-05-15,326.0,326.0,318.5,321.75,3609510,False
29,2026-05-14,326.0,328.0,322.72,323.72,2021160,False
30,2026-05-13,327.99,328.9,324.32,325.41,1706584,False
31,2026-05-12,325.14,331.6,325.14,326.32,4800902,False
32,2026-05-11,324.8,328.0,321.0,327.22,3452488,False
33,2026-05-08,330.11,332.2,328.15,329.68,4956910,False
34,2026-05-07,328.59,334.9,325.0,333.72,10178258,False
35,2026-05-06,319.98,333.88,318.0,328.39,18183260,False
36,2026-05-05,302.03,312.89,301.25,311.42,3893802,False
37,2026-05-04,307.9,312.85,304.2,306.75,4889986,False
38,2026-04-30,304.63,307.89,297.02,303.17,5863557,False
39,2026-04-29,319.0,320.45,307.94,309.99,3739485,False
40,2026-04-28,316.66,320.45,316.1,318.45,2871347,False
41,2026-04-27,323.9,325.88,318.01,319.11,3282147,False
42,2026-04-24,316.01,328.9,313.1,325.9,4675630,False
43,2026-04-23,320.0,321.2,315.84,319.34,2642398,False
44,2026-04-22,323.0,326.0,319.25,321.11,4410952,False
45,2026-04-21,327.9,329.0,321.11,324.21,5230868,False
46,2026-04-20,321.0,331.0,316.1,326.65,14265811,False
47,2026-04-17,315.0,329.4,315.0,324.72,13430014,False
48,2026-04-16,314.0,319.7,312.01,314.71,12057181,False
49,2026-04-15,309.74,309.8,302.4,304.12,7810723,False
50,2026-04-14,298.0,300.8,297.6,299.63,3863235,False
51,2026-04-13,292.99,302.1,292.0,293.48,10001847,False
52,2026-04-10,298.99,302.68,295.7,299.89,8632671,False
53,2026-04-09,302.87,302.9,290.01,297.7,6061644,False
54,2026-04-08,302.87,302.87,291.56,302.87,12924433,False
55,2026-04-07,272.89,276.75,271.01,275.34,3550872,False
56,2026-04-06,270.0,276.48,266.5,275.38,5675692,False
57,2026-04-03,270.0,277.4,266.21,270.59,4511446,False
58,2026-04-02,272.99,273.49,267.0,271.47,3345653,False
59,2026-04-01,278.44,284.89,276.0,279.08,7654898,False
60,2026-03-31,264.0,276.5,260.0,270.64,4137241,False
61,2026-03-30,265.0,272.0,250.0,263.5,6622456,False
62,2026-03-27,270.0,271.75,262.75,265.62,8371102,False
63,2026-03-26,279.99,281.5,272.3,274.13,5013789,False
64,2026-03-25,278.0,283.98,277.5,281.64,5683663,False
65,2026-03-24,285.0,289.3,275.0,276.5,5293284,False
66,2026-03-19,275.01,279.88,270.05,276.61,3024632,False
67,2026-03-18,264.0,281.99,262.01,279.75,5135452,False
68,2026-03-17,264.0,268.0,256.6,262.64,3046604,False
69,2026-03-16,272.99,275.5,259.52,261.86,2405108,False
70,2026-03-13,272.8,276.65,269.0,273.09,2915016,False
71,2026-03-12,283.4,285.5,273.65,274.81,4562205,False
72,2026-03-11,289.95,291.1,281.5,283.27,3783886,False
73,2026-03-10,290.0,297.9,281.01,288.6,7435962,False
74,2026-03-09,267.0,275.4,253.26,272.48,6816293,False
75,2026-03-06,284.0,285.98,273.5,275.79,5937936,False
76,2026-03-05,266.0,288.55,266.0,285.28,8152076,False
77,2026-03-04,261.95,265.48,256.25,263.56,5847854,False
78,2026-03-03,255.5,266.0,250.02,260.35,7420387,False
79,2026-03-02,255.12,274.0,255.12,255.12,11960980,False
80,2026-02-27,286.0,287.7,282.0,283.47,2213776,False
81,2026-02-26,282.1,290.0,277.51,287.0,4356222,False
82,2026-02-25,286.0,287.95,280.01,282.01,2199117,False
83,2026-02-24,285.01,292.01,278.98,285.57,7318099,False
84,2026-02-23,289.88,294.4,282.5,284.85,4989065,False
85,2026-02-20,285.12,292.99,280.5,290.41,3597651,False
86,2026-02-19,298.89,298.89,279.5,283.67,4478464,False
87,2026-02-18,295.56,299.98,291.5,297.49,5125937,False
88,2026-02-17,287.0,295.4,284.37,293.6,6856284,False
89,2026-02-16,295.0,296.35,281.51,285.41,14889577,False
90,2026-02-13,297.01,298.42,289.5,294.74,14028465,False
91,2026-02-12,307.9,307.9,294.6,300.47,8206049,False
92,2026-02-11,309.51,311.9,305.0,306.32,2094636,False
93,2026-02-10,310.99,312.5,307.0,308.05,2692709,False
94,2026-02-09,325.0,325.0,306.21,310.07,12789231,False
95,2026-02-06,329.0,329.0,315.8,321.18,6350781,False
96,2026-02-04,329.02,331.0,326.0,328.8,1776495,False
97,2026-02-03,328.97,332.5,327.0,329.02,4327179,False
98,2026-02-02,323.79,330.98,320.26,328.97,5477804,False
99,2026-01-30,325.0,329.5,318.6,323.93,6707829,False
100,2026-01-29,335.01,336.0,320.16,321.81,10913390,False
