date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,112.0,114.49,107.0,110.6,122482,False
1,2026-06-30,111.9,112.88,110.0,111.32,24845,False
2,2026-06-29,115.0,115.9,111.0,111.73,127074,False
3,2026-06-24,113.03,117.0,113.0,115.9,290680,False
4,2026-06-23,113.75,114.99,113.0,113.02,152604,False
5,2026-06-22,115.0,119.49,113.03,113.17,45487,False
6,2026-06-19,114.99,119.0,112.0,113.64,213380,False
7,2026-06-18,116.0,119.0,114.1,114.73,155562,False
8,2026-06-17,115.89,122.9,115.0,115.83,1126731,False
9,2026-06-16,107.49,117.23,107.0,113.83,698615,False
10,2026-06-15,106.9,107.89,106.0,106.66,28400,False
11,2026-06-12,106.0,106.0,104.0,105.44,27575,False
12,2026-06-11,104.0,104.9,103.5,103.59,7145,False
13,2026-06-10,107.0,107.0,95.42,105.34,86792,False
14,2026-06-09,106.01,107.78,105.77,106.02,17060,False
15,2026-06-08,105.74,108.98,101.11,106.1,10031,False
16,2026-06-05,107.97,108.7,107.0,107.19,10882,False
17,2026-06-04,108.0,108.35,105.2,107.03,44322,False
18,2026-06-03,107.51,108.0,105.52,106.97,4905,False
19,2026-06-02,106.01,108.0,106.01,107.99,14855,False
20,2026-06-01,109.95,109.95,106.09,107.28,19646,False
21,2026-05-29,107.58,111.0,105.01,108.38,39593,False
22,2026-05-25,107.54,111.0,105.0,107.58,86777,False
23,2026-05-22,105.0,106.75,103.01,105.0,3074,False
24,2026-05-21,106.0,108.0,103.0,105.6,27836,False
25,2026-05-20,104.97,108.0,101.0,105.4,31216,False
26,2026-05-19,108.99,108.99,103.34,103.88,26879,False
27,2026-05-18,104.01,110.95,103.03,105.57,8631,False
28,2026-05-15,108.93,109.95,106.0,106.2,24361,False
29,2026-05-14,114.0,114.0,105.51,106.57,36535,False
30,2026-05-13,106.0,108.4,105.0,105.49,11101,False
31,2026-05-12,105.25,111.4,105.25,107.59,8478,False
32,2026-05-11,106.27,111.91,106.27,107.93,71584,False
33,2026-05-08,106.0,107.95,104.0,107.44,27987,False
34,2026-05-07,108.32,111.0,105.16,108.91,46913,False
35,2026-05-06,103.79,110.66,102.01,108.32,67452,False
36,2026-05-05,103.6,108.95,100.0,102.94,30853,False
37,2026-05-04,100.99,104.0,100.55,103.72,19947,False
38,2026-04-30,103.7,103.7,97.5,99.78,20200,False
39,2026-04-29,104.03,106.43,104.0,104.0,26041,False
40,2026-04-28,107.49,107.5,104.1,104.42,68670,False
41,2026-04-27,110.93,110.93,106.5,107.56,73560,False
42,2026-04-24,105.27,114.45,105.27,109.22,37774,False
43,2026-04-23,110.76,111.0,109.0,109.19,15529,False
44,2026-04-22,112.91,113.0,107.0,110.86,61494,False
45,2026-04-21,117.95,117.95,112.31,112.91,52513,False
46,2026-04-20,114.0,118.0,110.0,115.95,186543,False
47,2026-04-17,112.51,117.0,112.0,115.33,521335,False
48,2026-04-16,112.1,115.81,110.5,114.35,252894,False
49,2026-04-15,116.22,118.0,110.0,111.84,246105,False
50,2026-04-14,108.0,113.5,108.0,111.41,380395,False
51,2026-04-13,106.0,110.0,103.52,106.1,80261,False
52,2026-04-10,106.88,113.25,104.0,112.1,730484,False
53,2026-04-09,102.97,107.0,97.0,103.02,330555,False
54,2026-04-08,99.68,99.68,95.05,99.68,117927,False
55,2026-04-07,89.99,91.0,89.0,90.62,33742,False
56,2026-04-06,89.49,90.0,88.6,89.6,37545,False
57,2026-04-03,88.31,91.91,88.31,89.99,7787,False
58,2026-04-02,90.2,93.0,90.0,91.99,28670,False
59,2026-04-01,89.0,95.82,89.0,93.06,129185,False
60,2026-03-31,90.0,90.0,86.99,87.11,64815,False
61,2026-03-30,88.33,90.94,87.0,87.3,30200,False
62,2026-03-27,90.01,90.05,87.8,88.88,13167,False
63,2026-03-26,88.39,91.0,87.0,90.02,642316,False
64,2026-03-25,86.1,88.69,85.0,88.37,37267,False
65,2026-03-24,89.89,89.89,85.2,85.43,18632,False
66,2026-03-19,85.9,86.75,82.9,85.72,53872,False
67,2026-03-18,95.5,95.99,87.0,87.99,69972,False
68,2026-03-17,91.8,95.0,90.01,92.62,25158,False
69,2026-03-16,93.99,93.99,90.5,91.82,5972,False
70,2026-03-13,94.98,97.0,92.0,93.28,19759,False
71,2026-03-12,93.0,95.89,93.0,95.11,5095,False
72,2026-03-11,93.6,97.99,93.5,95.0,305538,False
73,2026-03-10,93.59,93.59,87.01,93.59,1282957,False
74,2026-03-09,85.0,88.97,80.33,85.08,513117,False
75,2026-03-06,91.49,91.49,87.0,89.26,24160,False
76,2026-03-05,91.82,91.82,88.0,88.83,231506,False
77,2026-03-04,92.0,92.0,87.0,87.3,51910,False
78,2026-03-03,86.11,94.98,86.11,91.9,25368,False
79,2026-03-02,87.38,100.0,87.38,89.88,100633,False
80,2026-02-27,93.5,98.0,93.05,97.08,93531,False
81,2026-02-26,92.99,99.99,90.01,99.07,217665,False
82,2026-02-25,102.64,103.98,92.38,94.12,116910,False
83,2026-02-24,99.26,103.25,97.1,102.64,150457,False
84,2026-02-23,107.0,109.0,98.1,98.78,132756,False
85,2026-02-20,108.48,110.0,105.0,107.73,15913,False
86,2026-02-19,114.5,114.5,107.0,108.48,19884,False
87,2026-02-18,113.93,113.93,108.0,110.14,106972,False
88,2026-02-17,116.0,117.5,109.95,110.21,90308,False
89,2026-02-16,117.5,118.0,114.5,115.22,49330,False
90,2026-02-13,114.4,118.7,111.75,114.79,43865,False
91,2026-02-12,116.0,116.2,113.0,113.7,52039,False
92,2026-02-11,119.2,119.2,115.36,115.95,42027,False
