date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,45.65,45.9,44.75,45.42,10840203,False
1,2026-06-30,45.4,45.88,45.01,45.45,10982077,False
2,2026-06-29,44.31,46.1,44.3,45.0,29211933,False
3,2026-06-24,43.89,44.9,43.51,44.49,31348609,False
4,2026-06-23,43.5,43.82,43.15,43.47,12298958,False
5,2026-06-22,43.3,43.63,42.8,43.08,11486138,False
6,2026-06-19,43.98,44.2,42.35,42.75,12980870,False
7,2026-06-18,43.03,44.55,42.95,43.73,30786304,False
8,2026-06-17,43.75,43.75,42.85,42.95,13568349,False
9,2026-06-16,43.61,44.35,43.25,43.56,23626897,False
10,2026-06-15,42.0,43.25,41.7,43.09,28439162,False
11,2026-06-12,40.5,41.5,40.35,41.07,14726882,False
12,2026-06-11,39.99,40.18,39.79,39.96,4499632,False
13,2026-06-10,39.85,41.18,39.52,40.27,11378743,False
14,2026-06-09,40.12,40.9,40.07,40.21,7475962,False
15,2026-06-08,39.75,39.8,39.1,39.41,2628674,False
16,2026-06-05,40.14,40.9,40.01,40.25,6281766,False
17,2026-06-04,39.45,40.27,39.44,39.94,4806149,False
18,2026-06-03,39.99,39.99,39.01,39.42,3179035,False
19,2026-06-02,40.39,40.71,39.92,40.07,3117471,False
20,2026-06-01,41.25,41.49,40.3,40.42,9751090,False
21,2026-05-29,40.15,41.6,39.9,41.39,15392977,False
22,2026-05-25,40.44,40.45,39.6,40.03,11194913,False
23,2026-05-22,40.5,40.5,38.88,39.07,4316893,False
24,2026-05-21,39.7,40.2,39.19,39.6,9228316,False
25,2026-05-20,37.6,39.25,37.25,38.8,5289769,False
26,2026-05-19,37.94,38.32,37.3,37.48,2357962,False
27,2026-05-18,38.2,38.6,37.1,37.27,2903797,False
28,2026-05-15,38.99,39.19,38.05,38.47,2940042,False
29,2026-05-14,39.3,39.85,38.5,38.78,3259981,False
30,2026-05-13,39.2,39.48,38.71,39.21,2779984,False
31,2026-05-12,40.05,40.63,39.0,39.15,4833159,False
32,2026-05-11,40.45,40.45,39.2,40.08,5771987,False
33,2026-05-08,40.9,41.3,40.25,40.85,5782623,False
34,2026-05-07,41.75,42.0,40.9,41.25,9854888,False
35,2026-05-06,39.55,41.6,39.25,41.2,16798363,False
36,2026-05-05,38.02,38.97,37.75,38.67,4905967,False
37,2026-05-04,38.7,40.0,38.03,38.41,9263201,False
38,2026-04-30,38.49,38.49,36.6,37.58,9493006,False
39,2026-04-29,41.2,41.2,38.7,39.16,12702825,False
40,2026-04-28,40.02,41.24,40.02,40.46,6477238,False
41,2026-04-27,42.24,42.65,41.01,41.34,7588251,False
42,2026-04-24,41.5,43.0,40.5,42.27,13223634,False
43,2026-04-23,42.3,42.3,41.21,41.9,7266056,False
44,2026-04-22,43.0,43.49,42.4,42.64,9427658,False
45,2026-04-21,44.25,45.0,43.6,43.79,32686338,False
46,2026-04-20,42.51,44.49,41.27,43.51,58104626,False
47,2026-04-17,41.0,43.74,40.57,42.94,43159658,False
48,2026-04-16,41.72,42.0,40.25,40.57,15742528,False
49,2026-04-15,40.45,42.74,40.45,41.37,41399709,False
50,2026-04-14,38.61,40.07,38.12,39.4,15320024,False
51,2026-04-13,38.39,38.39,36.85,37.3,7466938,False
52,2026-04-10,39.0,39.84,38.81,39.44,16625073,False
53,2026-04-09,36.95,38.85,36.01,38.41,22016503,False
54,2026-04-08,37.05,37.05,37.05,37.05,2510197,False
55,2026-04-07,32.8,34.0,32.5,33.68,6110795,False
56,2026-04-06,32.5,33.45,32.02,33.16,5534273,False
57,2026-04-03,32.01,34.21,32.01,32.49,10192746,False
58,2026-04-02,33.2,33.79,32.85,33.13,6694213,False
59,2026-04-01,33.95,36.12,33.8,35.09,7049236,False
60,2026-03-31,33.3,33.85,32.6,33.2,7734096,False
61,2026-03-30,35.78,35.8,32.4,32.84,8147924,False
62,2026-03-27,36.99,37.19,35.8,35.88,4909393,False
63,2026-03-26,38.6,38.89,36.4,36.63,6527362,False
64,2026-03-25,38.3,39.59,38.3,39.0,9031306,False
65,2026-03-24,39.02,39.19,38.01,38.08,3635549,False
66,2026-03-19,37.48,37.88,36.75,37.62,4632163,False
67,2026-03-18,35.78,38.49,35.3,37.89,7723434,False
68,2026-03-17,36.0,36.5,34.45,35.05,12528491,False
69,2026-03-16,37.35,37.5,34.66,35.57,4015215,False
70,2026-03-13,37.9,38.0,36.25,36.9,3178614,False
71,2026-03-12,38.98,38.98,37.7,37.92,2901605,False
72,2026-03-11,40.0,40.2,38.75,39.01,5165773,False
73,2026-03-10,39.69,39.69,38.55,39.64,6802331,False
74,2026-03-09,37.02,37.5,35.98,36.08,4181781,False
75,2026-03-06,41.15,41.5,39.55,39.98,4273660,False
76,2026-03-05,40.0,42.0,40.0,41.83,6411575,False
77,2026-03-04,39.0,40.69,37.55,39.98,15671285,False
78,2026-03-03,41.05,42.7,38.92,39.33,38234339,False
79,2026-03-02,43.24,43.99,43.24,43.24,8475404,False
80,2026-02-27,48.99,49.01,47.8,48.04,2142133,False
81,2026-02-26,47.98,49.49,47.25,49.19,5216300,False
82,2026-02-25,50.0,50.0,47.0,48.19,3599664,False
83,2026-02-24,48.0,50.15,44.8,48.9,11359436,False
84,2026-02-23,48.5,51.5,47.05,47.97,8901909,False
85,2026-02-20,49.15,50.48,46.51,48.88,6802723,False
86,2026-02-19,54.04,54.04,48.62,49.15,5996864,False
87,2026-02-18,52.07,54.54,52.07,54.02,6021194,False
88,2026-02-17,52.8,53.55,51.35,51.72,3492287,False
89,2026-02-16,54.79,54.79,52.3,52.75,3739573,False
90,2026-02-13,53.02,55.04,52.31,53.94,4712312,False
91,2026-02-12,55.0,55.3,52.25,53.26,6829731,False
92,2026-02-11,56.0,56.0,54.55,54.88,3227346,False
93,2026-02-10,56.9,56.9,55.4,55.58,2046601,False
94,2026-02-09,55.9,56.63,55.85,56.48,3039201,False
95,2026-02-06,57.69,57.69,55.1,55.78,3735972,False
96,2026-02-04,58.0,58.0,57.03,57.3,2761243,False
97,2026-02-03,56.94,57.9,56.78,57.69,4535682,False
98,2026-02-02,56.19,56.95,56.01,56.57,2355002,False
99,2026-01-30,56.7,57.39,55.85,56.19,5456896,False
100,2026-01-29,57.35,57.6,56.01,56.24,10879370,False
101,2026-01-28,58.03,58.05,57.0,57.21,3876103,False
102,2026-01-27,59.2,59.2,57.44,57.58,10831260,False
103,2026-01-26,60.75,61.28,59.1,59.37,13864995,False
104,2026-01-23,61.9,61.91,60.6,60.76,3901514,False
105,2026-01-22,61.51,62.44,61.03,61.79,14499321,False
106,2026-01-21,62.0,62.35,60.3,61.25,12933196,False
107,2026-01-20,63.01,63.25,61.9,62.08,11555954,False
108,2026-01-19,63.05,64.05,62.39,62.73,35774076,False
109,2026-01-16,62.1,63.0,61.9,62.69,9509421,False
110,2026-01-15,63.45,63.55,60.85,61.56,10296544,False
111,2026-01-14,62.55,64.19,62.4,63.04,26691881,False
112,2026-01-13,61.49,62.69,60.6,62.3,21999301,False
113,2026-01-12,61.89,62.51,61.0,61.05,10137587,False
114,2026-01-09,63.1,63.31,60.81,61.81,29385239,False
115,2026-01-08,59.25,64.6,59.05,62.95,76297603,False
116,2026-01-07,58.83,59.3,58.3,58.99,8738108,False
117,2026-01-06,59.25,59.7,58.01,58.58,9957397,False
118,2026-01-05,58.0,60.42,57.85,59.06,36512524,False
119,2026-01-02,57.3,58.5,56.8,57.53,19287567,False
120,2026-01-01,57.6,57.93,56.8,56.95,6790929,False
121,2025-12-31,56.13,57.98,56.0,57.34,33089548,False
122,2025-12-30,55.76,56.49,55.76,56.13,9252959,False
123,2025-12-29,54.6,55.99,54.6,55.76,11803119,False
124,2025-12-26,54.51,55.41,54.3,54.57,8318390,False
