date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,13.61,14.87,13.61,14.2,7807,False
1,2026-06-30,14.55,14.55,13.5,14.35,32039,False
2,2026-06-29,14.53,14.57,14.25,14.28,1352,False
3,2026-06-24,14.69,14.69,14.33,14.53,15392,False
4,2026-06-23,14.3,14.8,14.3,14.65,10813,False
5,2026-06-22,14.7,15.0,14.25,14.99,39522,False
6,2026-06-19,14.65,14.65,14.55,14.57,8388,False
7,2026-06-18,14.53,14.7,14.3,14.45,19896,False
8,2026-06-17,14.65,15.34,14.2,14.53,29414,False
9,2026-06-16,14.82,14.82,14.17,14.23,17720,False
10,2026-06-15,14.48,14.93,14.12,14.66,16396,False
11,2026-06-12,14.16,14.6,14.16,14.49,7123,False
12,2026-06-11,14.99,14.99,14.0,14.22,29848,False
13,2026-06-10,14.04,14.98,14.04,14.85,325,False
14,2026-06-09,14.08,15.09,14.08,14.85,4448,False
15,2026-06-08,15.18,15.19,14.06,14.47,157575,False
16,2026-06-05,14.47,15.19,13.85,15.16,191157,False
17,2026-06-04,13.7,14.21,13.7,13.81,10475,False
18,2026-06-03,13.71,14.49,13.71,14.25,139151,False
19,2026-06-02,13.5,14.8,13.5,14.01,1115,False
20,2026-06-01,15.0,15.0,13.55,13.77,5940,False
21,2026-05-29,15.28,15.28,14.2,14.39,8541,False
22,2026-05-25,14.07,14.5,14.07,14.38,6708,False
23,2026-05-22,14.01,14.7,13.81,14.06,14640,False
24,2026-05-21,13.4,15.14,13.4,14.75,12391,False
25,2026-05-20,15.7,15.7,13.53,13.84,7654,False
26,2026-05-19,14.24,14.54,13.61,14.39,4265,False
27,2026-05-18,14.98,14.98,13.1,13.22,10568,False
28,2026-05-15,14.99,16.0,14.03,14.21,22907,False
29,2026-05-14,15.99,16.2,14.82,15.0,5040,False
30,2026-05-13,17.16,17.16,14.3,15.99,44725,False
31,2026-05-12,14.99,15.77,14.99,15.76,122551,False
32,2026-05-11,13.06,14.34,13.06,14.34,213465,False
33,2026-05-08,13.67,13.79,12.76,13.04,30460,False
34,2026-05-07,13.79,13.8,13.0,13.11,7607,False
35,2026-05-06,13.23,13.9,13.2,13.28,12897,False
36,2026-05-05,13.49,13.49,13.1,13.23,12706,False
