date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,19.25,19.35,18.81,18.85,20096607,False
1,2026-06-30,18.3,19.27,18.25,19.08,58251836,False
2,2026-06-29,18.87,18.87,18.15,18.27,18749215,False
3,2026-06-24,18.0,19.17,18.0,18.64,73295107,False
4,2026-06-23,18.0,18.05,17.65,17.7,8267140,False
5,2026-06-22,18.2,18.32,17.78,17.84,11754336,False
6,2026-06-19,18.4,18.5,17.7,17.94,22379926,False
7,2026-06-18,18.5,18.62,18.09,18.22,20432661,False
8,2026-06-17,18.5,18.91,18.28,18.43,30692451,False
9,2026-06-16,18.09,18.55,17.75,18.35,49523210,False
10,2026-06-15,18.0,18.24,17.69,17.96,32236050,False
11,2026-06-12,17.5,17.86,17.36,17.51,24755100,False
12,2026-06-11,16.8,17.38,16.8,17.27,11728735,False
13,2026-06-10,17.31,17.4,17.0,17.04,7666893,False
14,2026-06-09,17.36,17.65,17.21,17.32,15523458,False
15,2026-06-08,16.97,17.47,16.75,17.15,12652105,False
16,2026-06-05,17.49,17.6,17.01,17.14,7588742,False
17,2026-06-04,16.65,17.66,16.65,17.32,32165203,False
18,2026-06-03,16.7,16.91,16.53,16.67,3769288,False
19,2026-06-02,16.7,17.05,16.63,16.76,4726414,False
20,2026-06-01,16.98,17.0,16.65,16.69,5121318,False
21,2026-05-29,16.99,17.16,16.7,17.0,11017495,False
22,2026-05-25,16.5,17.03,16.45,16.89,24880827,False
23,2026-05-22,16.6,16.6,16.15,16.22,4322203,False
24,2026-05-21,16.52,16.7,16.3,16.43,9463534,False
25,2026-05-20,15.95,16.25,15.82,16.18,4742836,False
26,2026-05-19,15.91,16.35,15.85,15.91,5866372,False
27,2026-05-18,16.35,16.48,15.75,15.85,10425485,False
28,2026-05-15,16.37,16.68,16.11,16.56,10345387,False
29,2026-05-14,16.75,16.94,16.12,16.2,9273442,False
30,2026-05-13,16.9,17.0,16.41,16.52,6587281,False
31,2026-05-12,17.5,17.69,16.81,16.89,22945695,False
32,2026-05-11,16.9,17.75,16.81,17.46,38615389,False
33,2026-05-08,16.65,17.6,16.25,17.13,32341852,False
34,2026-05-07,17.0,17.3,16.7,17.04,19992647,False
35,2026-05-06,16.01,17.07,16.01,16.92,46142366,False
36,2026-05-05,14.91,15.85,14.9,15.64,8471239,False
37,2026-05-04,15.3,16.01,15.01,15.21,15663177,False
38,2026-04-30,15.0,15.1,14.1,15.01,16165010,False
39,2026-04-29,15.79,16.2,14.75,15.23,18747750,False
40,2026-04-28,15.99,16.11,15.71,15.8,5775543,False
41,2026-04-27,16.31,16.36,16.03,16.14,5497723,False
42,2026-04-24,16.0,16.44,15.52,16.19,12509664,False
43,2026-04-23,16.5,16.5,15.83,16.04,11101183,False
44,2026-04-22,16.74,16.83,16.29,16.4,14804716,False
45,2026-04-21,17.14,17.37,16.4,16.74,38042625,False
46,2026-04-20,17.25,17.48,16.25,16.96,22800548,False
47,2026-04-17,17.3,17.77,17.08,17.52,30774424,False
48,2026-04-16,17.01,17.49,16.82,17.08,29476590,False
49,2026-04-15,17.7,17.7,16.77,16.86,33499947,False
50,2026-04-14,15.7,16.62,15.7,16.49,24026831,False
51,2026-04-13,16.05,16.35,15.27,15.35,19069467,False
52,2026-04-10,15.67,16.85,15.59,16.71,39618729,False
53,2026-04-09,15.84,16.15,15.03,15.5,12867846,False
54,2026-04-08,15.92,15.92,15.5,15.92,22709646,False
55,2026-04-07,14.39,14.6,14.26,14.47,9719914,False
56,2026-04-06,14.34,14.74,14.25,14.49,10514418,False
57,2026-04-03,14.1,14.95,14.1,14.34,8189701,False
58,2026-04-02,14.25,14.5,14.0,14.4,4572051,False
59,2026-04-01,14.69,15.35,14.6,14.98,18592829,False
60,2026-03-31,14.1,14.59,14.1,14.26,6117571,False
61,2026-03-30,14.39,14.5,13.7,14.01,8688182,False
62,2026-03-27,14.31,14.75,13.99,14.43,8598345,False
63,2026-03-26,15.45,15.47,14.45,14.56,13523948,False
64,2026-03-25,14.4,15.5,14.25,15.45,22164621,False
65,2026-03-24,14.48,14.48,13.9,14.09,9337713,False
66,2026-03-19,13.71,13.9,13.41,13.74,2881139,False
67,2026-03-18,13.5,14.2,13.5,13.99,4211778,False
68,2026-03-17,13.39,13.56,13.11,13.45,3488304,False
69,2026-03-16,13.99,13.99,12.91,13.1,4925108,False
70,2026-03-13,14.05,14.24,13.77,13.89,3826073,False
71,2026-03-12,14.1,14.3,13.69,14.09,7518634,False
72,2026-03-11,14.18,14.67,13.8,14.1,10812136,False
73,2026-03-10,14.49,14.49,13.8,14.02,8336293,False
74,2026-03-09,13.66,14.39,13.17,13.17,3095315,False
75,2026-03-06,14.87,15.02,14.54,14.63,4239350,False
76,2026-03-05,14.12,15.0,14.12,14.87,6446667,False
77,2026-03-04,14.47,14.5,13.91,14.12,5335004,False
78,2026-03-03,14.1,14.77,13.52,14.46,18555831,False
79,2026-03-02,15.02,15.44,15.02,15.02,8385229,False
80,2026-02-27,16.95,17.15,16.25,16.69,10718992,False
81,2026-02-26,17.03,17.3,16.25,17.15,25064830,False
82,2026-02-25,17.88,17.88,16.82,17.03,13301331,False
83,2026-02-24,17.5,18.02,16.56,17.49,22853251,False
84,2026-02-23,18.68,18.95,17.35,17.49,13317615,False
85,2026-02-20,18.1,18.99,17.21,18.68,14846470,False
86,2026-02-19,19.99,19.99,17.89,18.09,13488641,False
87,2026-02-18,19.65,20.05,19.4,19.88,14761875,False
88,2026-02-17,19.14,19.7,18.81,19.51,24906035,False
89,2026-02-16,19.01,19.5,18.35,18.99,21524521,False
90,2026-02-13,19.7,20.4,19.35,19.53,34704501,False
