date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,283.1,285.0,276.0,280.46,199318,False
1,2026-06-30,272.2,296.98,269.22,283.37,264553,False
2,2026-06-29,271.8,274.0,269.5,270.04,57874,False
3,2026-06-24,270.98,275.89,269.0,273.85,326636,False
4,2026-06-23,279.74,279.74,268.78,270.0,305140,False
5,2026-06-22,278.5,282.0,273.78,274.71,194571,False
6,2026-06-19,284.75,285.0,270.0,277.85,114997,False
7,2026-06-18,286.0,290.9,283.31,284.69,135532,False
8,2026-06-17,289.88,289.88,283.0,285.02,192241,False
9,2026-06-16,293.0,296.0,286.49,287.77,569894,False
10,2026-06-15,286.0,299.0,284.11,292.3,637041,False
11,2026-06-12,270.01,280.5,270.01,278.98,193374,False
12,2026-06-11,268.0,271.75,265.0,267.58,82607,False
13,2026-06-10,267.0,273.49,265.0,269.32,53458,False
14,2026-06-09,270.0,272.99,267.1,268.71,88566,False
15,2026-06-08,270.01,274.5,261.01,267.47,154632,False
16,2026-06-05,277.0,282.0,270.02,274.58,158864,False
17,2026-06-04,264.5,279.89,262.11,275.46,122695,False
18,2026-06-03,264.0,267.8,262.39,266.06,30671,False
19,2026-06-02,266.9,272.9,264.5,267.78,48482,False
20,2026-06-01,273.0,273.0,261.0,262.28,70613,False
21,2026-05-29,279.85,279.85,270.11,273.47,112319,False
22,2026-05-25,282.5,282.5,274.53,275.99,156860,False
23,2026-05-22,268.05,273.49,262.0,270.92,242371,False
24,2026-05-21,250.0,268.0,250.0,264.84,457337,False
25,2026-05-20,244.92,249.87,241.71,248.78,86508,False
26,2026-05-19,245.0,253.98,240.0,242.18,80349,False
27,2026-05-18,250.0,253.99,240.06,243.12,140758,False
28,2026-05-15,258.0,259.98,251.53,253.7,134629,False
29,2026-05-14,266.9,266.99,257.5,260.16,65502,False
30,2026-05-13,265.32,269.98,262.0,262.95,97548,False
31,2026-05-12,275.0,277.0,264.1,265.32,89261,False
32,2026-05-11,277.0,281.0,269.0,273.02,410325,False
33,2026-05-08,270.0,289.51,268.0,278.38,2295390,False
34,2026-05-07,250.0,263.19,244.0,263.19,906831,False
35,2026-05-06,219.98,239.26,219.06,239.26,693843,False
36,2026-05-05,217.0,219.99,213.5,217.51,230896,False
37,2026-05-04,218.59,222.68,217.55,218.15,24955,False
38,2026-04-30,219.0,219.5,210.5,214.16,63191,False
39,2026-04-29,224.98,226.99,218.1,219.56,54309,False
40,2026-04-28,220.7,227.3,220.7,224.73,164906,False
41,2026-04-27,234.0,234.0,226.2,227.24,37865,False
42,2026-04-24,225.0,234.9,217.0,227.05,160421,False
43,2026-04-23,240.01,243.0,224.15,225.92,394155,False
44,2026-04-22,248.0,248.0,238.0,239.94,54051,False
45,2026-04-21,254.89,254.89,244.11,245.76,184079,False
46,2026-04-20,253.0,255.0,243.1,248.92,263531,False
47,2026-04-17,255.0,257.9,245.1,253.02,468431,False
48,2026-04-16,259.0,259.9,251.03,251.81,159644,False
49,2026-04-15,259.99,264.99,254.0,255.08,237010,False
50,2026-04-14,244.0,255.99,242.0,252.45,169469,False
51,2026-04-13,241.02,253.0,234.1,240.19,164461,False
52,2026-04-10,243.1,258.0,243.1,252.19,465638,False
53,2026-04-09,232.9,248.8,230.5,243.1,871175,False
54,2026-04-08,229.9,229.9,222.1,229.9,341356,False
55,2026-04-07,208.32,213.0,202.1,209.0,116271,False
56,2026-04-06,200.01,213.8,200.01,208.55,193267,False
57,2026-04-03,210.1,219.9,208.0,210.88,103624,False
58,2026-04-02,218.87,218.87,212.0,215.42,274202,False
59,2026-04-01,209.9,227.72,209.9,222.71,500160,False
60,2026-03-31,205.0,212.5,205.0,207.02,81125,False
61,2026-03-30,218.57,220.0,201.0,204.16,446809,False
62,2026-03-27,231.89,231.89,215.0,218.57,258598,False
63,2026-03-26,236.95,238.0,224.2,227.07,180604,False
64,2026-03-25,233.89,241.0,228.11,237.63,430599,False
65,2026-03-24,236.0,236.0,222.05,230.16,95016,False
66,2026-03-19,223.0,231.45,220.01,227.36,112183,False
67,2026-03-18,221.01,232.0,221.01,229.09,408606,False
68,2026-03-17,223.5,226.99,218.0,224.5,138069,False
69,2026-03-16,222.21,229.85,217.0,223.12,150563,False
70,2026-03-13,222.97,228.9,219.0,225.78,206542,False
71,2026-03-12,220.0,224.0,215.0,222.12,82742,False
72,2026-03-11,235.0,235.85,216.25,223.55,191005,False
73,2026-03-10,230.0,234.75,215.0,230.03,983438,False
74,2026-03-09,233.99,235.0,216.07,216.07,275890,False
75,2026-03-06,240.6,243.0,236.0,240.08,120378,False
76,2026-03-05,237.02,244.9,236.05,240.38,214583,False
77,2026-03-04,240.0,241.0,228.01,237.73,141666,False
78,2026-03-03,225.1,242.9,225.1,239.17,489707,False
79,2026-03-02,232.12,244.75,232.12,234.32,1531179,False
80,2026-02-27,246.0,275.0,242.0,257.91,617340,False
81,2026-02-26,232.51,252.89,232.5,250.47,896636,False
82,2026-02-25,248.0,255.0,231.5,237.94,469632,False
83,2026-02-24,264.01,267.0,239.0,249.97,893409,False
84,2026-02-23,273.02,276.01,260.0,263.01,446661,False
85,2026-02-20,275.0,279.0,271.0,274.7,333833,False
86,2026-02-19,289.89,290.02,272.01,276.11,1387600,False
87,2026-02-18,300.11,308.9,297.2,298.8,536933,False
88,2026-02-17,350.98,358.1,315.44,330.22,107408,False
89,2026-02-16,351.94,360.91,337.05,350.49,73925,False
90,2026-02-13,362.0,362.36,347.78,352.94,27596,False
91,2026-02-12,350.1,368.0,350.1,362.36,112698,False
92,2026-02-11,360.0,363.47,343.99,354.52,194516,False
93,2026-02-10,355.0,375.0,346.51,357.77,325209,False
94,2026-02-09,360.0,360.0,350.0,353.03,69158,False
95,2026-02-06,344.99,375.75,339.99,352.56,307965,False
96,2026-02-04,335.0,346.0,335.0,343.78,73300,False
97,2026-02-03,337.99,339.92,336.92,337.74,76490,False
98,2026-02-02,338.0,340.49,334.2,338.49,86728,False
99,2026-01-30,337.0,344.99,333.25,337.15,141448,False
100,2026-01-29,353.98,354.0,329.0,336.26,626059,False
101,2026-01-28,318.8,347.94,317.06,347.94,1024878,False
102,2026-01-27,325.0,325.0,314.99,316.31,240655,False
103,2026-01-26,337.1,339.93,323.1,326.19,768666,False
104,2026-01-23,358.52,364.0,358.52,358.52,598504,False
