date,date,open,high,low,close,volume,is_anomaly
0,2026-07-01,23.03,23.74,23.0,23.55,2107444,False
1,2026-06-30,22.25,23.15,22.25,23.03,542658,False
2,2026-06-29,23.15,23.5,22.8,23.16,1261252,False
3,2026-06-24,23.1,23.47,23.03,23.3,1801949,False
4,2026-06-23,23.1,23.36,22.73,23.03,2114711,False
5,2026-06-22,23.55,23.58,22.8,22.86,1316793,False
6,2026-06-19,23.79,24.0,22.51,23.11,8282577,False
7,2026-06-18,22.1,24.26,22.1,23.58,27848733,False
8,2026-06-17,22.15,22.39,21.77,22.05,2299745,False
9,2026-06-16,22.42,22.47,22.12,22.18,3194919,False
10,2026-06-15,22.5,22.51,21.81,22.19,8595981,False
11,2026-06-12,20.4,21.84,20.4,21.5,9095236,False
12,2026-06-11,20.49,20.5,20.05,20.32,781315,False
13,2026-06-10,20.3,20.87,20.21,20.68,1763759,False
14,2026-06-09,20.69,20.89,20.32,20.43,587557,False
15,2026-06-08,20.51,20.51,20.0,20.19,526093,False
16,2026-06-05,20.99,21.25,20.52,20.71,1352509,False
17,2026-06-04,20.35,20.9,20.25,20.74,720700,False
18,2026-06-03,20.8,20.99,20.3,20.44,1074748,False
19,2026-06-02,20.46,21.35,20.16,21.02,3148723,False
20,2026-06-01,21.98,21.98,20.2,20.46,2830203,False
21,2026-05-29,20.99,21.9,20.66,21.63,5041159,False
22,2026-05-25,20.58,20.7,20.18,20.55,2603094,False
23,2026-05-22,19.86,20.4,19.5,20.18,2464849,False
24,2026-05-21,19.74,20.1,19.45,19.83,4568120,False
25,2026-05-20,18.69,19.89,18.5,19.54,2006433,False
26,2026-05-19,18.64,18.94,18.26,18.64,206835,False
27,2026-05-18,18.91,18.99,18.5,18.57,229770,False
28,2026-05-15,18.8,19.25,18.8,19.03,2833776,False
29,2026-05-14,18.91,19.24,18.75,18.88,2771005,False
30,2026-05-13,19.21,19.4,18.85,18.9,1386402,False
31,2026-05-12,19.45,19.7,19.05,19.2,1733290,False
32,2026-05-11,19.51,19.89,19.19,19.48,509774,False
33,2026-05-08,19.32,20.08,19.3,19.66,2428693,False
34,2026-05-07,20.0,20.45,19.5,19.84,4137294,False
35,2026-05-06,18.6,20.29,18.6,20.07,8102896,False
36,2026-05-05,17.9,18.75,17.5,18.55,724976,False
37,2026-05-04,18.58,19.36,17.49,17.92,2755055,False
38,2026-04-30,18.25,18.69,18.0,18.58,1677885,False
39,2026-04-29,18.91,19.18,18.5,18.9,3950876,False
40,2026-04-28,18.85,19.17,18.7,18.99,3748842,False
41,2026-04-27,19.01,19.59,18.9,19.13,832204,False
42,2026-04-24,18.8,19.52,18.21,19.36,1840532,False
43,2026-04-23,19.35,19.39,18.72,18.88,1974044,False
44,2026-04-22,19.6,19.79,19.1,19.35,1160564,False
45,2026-04-21,19.99,20.49,19.6,19.76,3962938,False
46,2026-04-20,19.01,19.4,18.36,19.05,1399838,False
47,2026-04-17,19.55,19.68,19.36,19.56,834651,False
48,2026-04-16,19.22,19.4,19.05,19.36,715982,False
49,2026-04-15,19.9,19.9,19.0,19.15,1603597,False
50,2026-04-14,19.1,19.33,18.7,19.23,1171706,False
51,2026-04-13,19.16,19.16,18.42,18.53,1693540,False
52,2026-04-10,19.5,19.58,19.1,19.4,2178642,False
53,2026-04-09,19.49,19.6,18.7,19.03,5052715,False
54,2026-04-08,18.81,19.38,18.79,19.38,4177256,False
55,2026-04-07,18.0,18.0,17.17,17.62,898648,False
56,2026-04-06,16.81,18.35,16.34,18.06,1877840,False
57,2026-04-03,16.0,17.04,16.0,16.91,1013119,False
58,2026-04-02,16.8,16.8,16.06,16.46,594592,False
59,2026-04-01,16.0,17.38,16.0,16.86,1370179,False
60,2026-03-31,15.5,15.84,15.32,15.8,444522,False
61,2026-03-30,16.5,16.5,15.02,15.26,2173861,False
62,2026-03-27,16.71,16.9,16.31,16.5,846911,False
63,2026-03-26,17.1,17.1,16.61,16.71,277277,False
64,2026-03-25,16.71,17.44,16.71,17.18,1441351,False
65,2026-03-24,16.92,17.49,16.6,16.71,482858,False
66,2026-03-19,17.1,17.2,16.16,16.63,232140,False
67,2026-03-18,16.5,17.35,16.5,17.2,726742,False
68,2026-03-17,16.75,16.75,16.2,16.66,500454,False
69,2026-03-16,17.28,17.41,16.11,16.39,739405,False
70,2026-03-13,17.1,17.48,17.1,17.27,752392,False
71,2026-03-12,16.95,17.4,16.95,17.26,731186,False
72,2026-03-11,16.5,17.49,16.5,17.33,2813078,False
73,2026-03-10,15.52,16.42,15.52,16.42,826610,False
74,2026-03-09,15.0,15.8,14.71,14.93,7383004,False
75,2026-03-06,17.25,17.43,15.8,16.34,2150161,False
76,2026-03-05,17.09,18.02,17.01,17.34,1770047,False
77,2026-03-04,17.14,17.14,16.6,17.09,1009501,False
78,2026-03-03,16.11,18.0,16.11,17.16,2314752,False
79,2026-03-02,16.9,18.5,16.89,16.89,2686618,False
80,2026-02-27,18.71,19.2,18.02,18.77,970261,False
81,2026-02-26,18.1,19.36,17.06,18.9,1981609,False
82,2026-02-25,18.26,18.6,17.85,17.97,1817019,False
83,2026-02-24,18.82,18.82,18.0,18.26,1293358,False
84,2026-02-23,19.0,19.0,18.21,18.45,1222764,False
85,2026-02-20,18.5,19.2,17.51,18.87,1593320,False
86,2026-02-19,19.9,19.91,18.56,18.71,902029,False
87,2026-02-18,19.62,19.95,19.5,19.78,720582,False
88,2026-02-17,19.71,20.09,19.49,19.69,2992602,False
89,2026-02-16,20.8,20.8,19.61,19.8,2034906,False
90,2026-02-13,20.61,21.09,20.5,20.66,2392857,False
91,2026-02-12,20.49,21.9,20.18,21.0,11186258,False
92,2026-02-11,20.8,20.95,19.9,20.11,7529222,False
93,2026-02-10,20.5,20.89,20.14,20.78,2789694,False
